lane,arm,candidate_id,candidate_sha256,source,complexity,feasible,min_cluster_size,registered_endpoint_names
A1_K10,SHARED_SCALE_CONTROL,RAW_KMEANS_N1_S3,0cdf640468306c14f7f12e7f7b30eaee0e01f2e00917a298c4ac98153a4a87e8,RAW,1,True,203,
A1_K10,SHARED_SCALE_CONTROL,RAW_KMEANS_N1_S4,19825d3609ae49370b9fd3ce422dcd44812bb111dd25e999e1e1cf870ac1ce1e,RAW,1,True,184,
A1_K10,SHARED_SCALE_CONTROL,RAW_KMEANS_N1_S5,0391fc253e4b85cbb2bc5bf3a0cac71d695760d10a93c65c3bdb60cb16bbdd54,RAW,1,True,203,
A1_K10,SHARED_SCALE_CONTROL,RAW_GMM_DIAG_S0,dcad95ada6832239f1ccc17a325d31e74e6a081da5d2202b18e0404d78f4e58f,RAW_GMM,2,True,189,COMMON_GMM
A1_K10,SHARED_SCALE_CONTROL,RAW_GMM_DIAG_S1,ec6a139721fcae3b110b72c30b75726746a0050adf3d29c2ee6caa0a429e0746,RAW_GMM,2,True,189,
A1_K10,SHARED_SCALE_CONTROL,GRAPH_L1_KMEANS_S0,5c34ec5457c1777f419df665a4e0abe3dc797c0764de98624c16022f316588d3,GRAPH_0.10,3,True,214,
A1_K10,SHARED_SCALE_CONTROL,GRAPH_L1_KMEANS_S1,8f3dafa7fbb48047b991c0d3f499677df00e4b0afa47ddbd4aaced2b0356ec12,GRAPH_0.10,3,True,143,NIGHT16H_FIXED_STRUCTURED
A1_K10,SHARED_SCALE_CONTROL,GRAPH_L2_KMEANS_S0,94cfce412505e1e08cff6677475910a1805a502dcb8b15d9f8783cd44af01866,GRAPH_0.20,4,True,298,
A1_K10,SHARED_SCALE_CONTROL,GRAPH_L2_KMEANS_S1,dd11bf721f28a473d798f72053fc2a76ce7e0cacdc277cab889e89acc6a7c5fb,GRAPH_0.20,4,True,194,FEASIBLE_MEDOID
A1_K10,SHARED_SCALE_CONTROL,GRAPH_L3_KMEANS_S0,6d71a3cdf01d554d007f89cc8b275c5d4ff09d9b54b1ca7bc1d1d8e5117d9a96,GRAPH_0.35,5,True,225,
A1_K10,SHARED_SCALE_CONTROL,GRAPH_L3_KMEANS_S1,b64e53886a665e9772a71c2c2818bb152782b4a57579090087d9b3bf374649ad,GRAPH_0.35,5,True,295,
A1_K10,SHARPEN_ONLY_CALIBRATION,COMMON_KMEANS_N20_S0,4b1c04df3c6c0ed1145b2f04009458c2ea449da96fdf2c419431e5bd4bf6e0ff,RAW,0,True,205,NIGHT16H_FIXED_STRUCTURED
A1_K10,SHARPEN_ONLY_CALIBRATION,RAW_KMEANS_N1_S0,01b6a29e05fe4b5163a01832aa787b0162007f8e7185f33e38697b21b6200ad1,RAW,1,True,277,
A1_K10,SHARPEN_ONLY_CALIBRATION,RAW_KMEANS_N1_S1,3617a83b8b9f6a9c4033457041f0a3f23d8c43df8bf2a7b5deede9650f255aff,RAW,1,True,231,
A1_K10,SHARPEN_ONLY_CALIBRATION,RAW_KMEANS_N1_S2,e388e534a295f42b82f35ecf875643e8e5590d3eb2718fd763aadd8efe324c90,RAW,1,True,200,
A1_K10,SHARPEN_ONLY_CALIBRATION,RAW_KMEANS_N1_S3,be5554921b16ed0ab415a2d2350c6c3b90584f4813afa93e60202f003a1bf77b,RAW,1,True,265,
A1_K10,SHARPEN_ONLY_CALIBRATION,RAW_KMEANS_N1_S4,3f13c0b4470caa1c77ba75162294a4f0919c70217c1a58de07ec9df39f27e2a3,RAW,1,True,187,
A1_K10,SHARPEN_ONLY_CALIBRATION,RAW_KMEANS_N1_S5,c3de24b668bad8322b90e706c25e5df05c83b3a6624200f13ae21ca3818b809d,RAW,1,True,280,
A1_K10,SHARPEN_ONLY_CALIBRATION,RAW_GMM_DIAG_S0,37a69607c53b79ba71894ff42370caa2ec205bf68db59035862efb82a61068ef,RAW_GMM,2,True,131,COMMON_GMM
A1_K10,SHARPEN_ONLY_CALIBRATION,RAW_GMM_DIAG_S1,5369dc68514f81b99de83f60ed4d2929dd3949fbcbe193f716ff95b0262721ff,RAW_GMM,2,True,195,
A1_K10,SHARPEN_ONLY_CALIBRATION,GRAPH_L1_KMEANS_S0,61a43d5992bc5a334da29ecd58c911da1ce9f9f89fc6184816aba1b0bf1827bd,GRAPH_0.10,3,True,288,
A1_K10,SHARPEN_ONLY_CALIBRATION,GRAPH_L1_KMEANS_S1,6193cab506ed5f48ab69fb8519e0daaba67562b0c44119421e2515bfb68e2649,GRAPH_0.10,3,True,202,
A1_K10,SHARPEN_ONLY_CALIBRATION,GRAPH_L2_KMEANS_S0,1576ff4fc1ff817b5e3146397084b308bf859b8e634e46226e80645319680c34,GRAPH_0.20,4,True,233,
A1_K10,SHARPEN_ONLY_CALIBRATION,GRAPH_L2_KMEANS_S1,a611fd438df4f99d3361e828d15d4801bbbdd9cae8d45efa5c9527f7eed7ccb7,GRAPH_0.20,4,True,196,
A1_K10,SHARPEN_ONLY_CALIBRATION,GRAPH_L3_KMEANS_S0,16ef2ca15b02911c7d7bbe048a0f2ee1859a45db92370c2dfbe499c5003d28cd,GRAPH_0.35,5,True,197,
A1_K10,SHARPEN_ONLY_CALIBRATION,GRAPH_L3_KMEANS_S1,c444763f2493fe664704d323446da3eed5ce338cd8df3e87d930f1d0c2d72566,GRAPH_0.35,5,True,236,
A1_K10,SWAPPED_RESPONSE_CONTROL,COMMON_KMEANS_N20_S0,bbe0e6c9a2c4643dead603282fd3abd775c4ffbc3b66e0079cd2ceed12ff421b,RAW,0,True,197,COMMON_KMEANS
A1_K10,SWAPPED_RESPONSE_CONTROL,RAW_KMEANS_N1_S0,5d4405a86ec6f427e4e2690796a6eea0ff4807e762716a4e8fb7f184e15c6a49,RAW,1,True,201,
A1_K10,SWAPPED_RESPONSE_CONTROL,RAW_KMEANS_N1_S1,0fab21d9bddf8e772acdb14518e3a045685800640f63ada6851c43f2ccdd2453,RAW,1,True,236,
A1_K10,SWAPPED_RESPONSE_CONTROL,RAW_KMEANS_N1_S2,ad7b61571f67b27765a1ad706f8221271ca6c9914115eace344993e6f6ffd779,RAW,1,True,203,
A1_K10,SWAPPED_RESPONSE_CONTROL,RAW_KMEANS_N1_S3,812e8065b0a5dad1770d283e8425866f72ea20bf0cfd0b9e06abc0b80189d165,RAW,1,True,201,
A1_K10,SWAPPED_RESPONSE_CONTROL,RAW_KMEANS_N1_S4,670e50301cab5de0859b8e84539606b9156f7547a95802cc9a8bcbcdb72c546c,RAW,1,True,276,
A1_K10,SWAPPED_RESPONSE_CONTROL,RAW_KMEANS_N1_S5,3f4dc9e0f35a76dd89ed7eef8487540697dd7b1f8634228e830fdb725a3993ef,RAW,1,True,199,
A1_K10,SWAPPED_RESPONSE_CONTROL,RAW_GMM_DIAG_S0,9a141553080e155a7f867c637e8e2cfcafbb25b85fe42293f2cb20d1e7ecea8a,RAW_GMM,2,True,193,COMMON_GMM
A1_K10,SWAPPED_RESPONSE_CONTROL,RAW_GMM_DIAG_S1,8e84539690ea4515a75ae19256a43d292aefcd4ab960f96eb4feb70f95653338,RAW_GMM,2,True,208,
A1_K10,SWAPPED_RESPONSE_CONTROL,GRAPH_L1_KMEANS_S0,c710ac57e2b4c7e46a9d4aa0ca60a7ea26c22dac9f9082729a56b46ae66cd2b4,GRAPH_0.10,3,True,294,
A1_K10,SWAPPED_RESPONSE_CONTROL,GRAPH_L1_KMEANS_S1,ce4b66750e89b02188a7de4faeb8bee116530fffa9473ee76408d8e5b064f341,GRAPH_0.10,3,True,204,FEASIBLE_MEDOID
A1_K10,SWAPPED_RESPONSE_CONTROL,GRAPH_L2_KMEANS_S0,d42c5ab911406550bfc031c5a777520443e3d7a4657072d97c6667bc23df51d1,GRAPH_0.20,4,True,249,
A1_K10,SWAPPED_RESPONSE_CONTROL,GRAPH_L2_KMEANS_S1,ca62e8afeb085dea5e6c6d00b47cb0d98250b61d229baf19786d09c5f1004d54,GRAPH_0.20,4,True,94,NIGHT16H_FIXED_STRUCTURED
A1_K10,SWAPPED_RESPONSE_CONTROL,GRAPH_L3_KMEANS_S0,afd8782c7295a8178969121fb5a9d924e65672d444850e0cd46ab1c51668565f,GRAPH_0.35,5,True,196,
A1_K10,SWAPPED_RESPONSE_CONTROL,GRAPH_L3_KMEANS_S1,9d5c7ce81c1f5e762849ada396a664017936c96cb78841a186eaabe9e52d0384,GRAPH_0.35,5,True,198,
P22_K9,FULL_RESPONSE_CALIBRATION,COMMON_KMEANS_N20_S0,6324f1bcb54fe58dc8d4583d170219e41222918f9b18ed7c777f7effc0229977,RAW,0,True,705,FEASIBLE_MEDOID
P22_K9,FULL_RESPONSE_CALIBRATION,RAW_KMEANS_N1_S0,453cc865d9280073adb4b7e89b558c4b00185b8045ed0dbead4fab858efa2888,RAW,1,True,702,
P22_K9,FULL_RESPONSE_CALIBRATION,RAW_KMEANS_N1_S1,6bfff3394e07d079f77a6f0b6ac5abef77d79767dfc65c1a47ed162b23eff57b,RAW,1,True,705,
P22_K9,FULL_RESPONSE_CALIBRATION,RAW_KMEANS_N1_S2,f16a7cc3fbbbc47303079973310342d6429df762932f63c65151335bfeee84df,RAW,1,True,701,
P22_K9,FULL_RESPONSE_CALIBRATION,RAW_KMEANS_N1_S3,84b403bc9668d4232dc07c53da5b56d3fb7db340a752d964bc6ea208848e665f,RAW,1,True,156,
P22_K9,FULL_RESPONSE_CALIBRATION,RAW_KMEANS_N1_S4,44e60de03afffb63b09d7dfbe8056081e7a47a190d1698f60ceb84005fca61e9,RAW,1,True,706,
P22_K9,FULL_RESPONSE_CALIBRATION,RAW_KMEANS_N1_S5,1922af1e606b3a2c707e69c0faee2c5c519e52dc70538e1cfe47e6fa670b1b6b,RAW,1,True,702,
P22_K9,FULL_RESPONSE_CALIBRATION,RAW_GMM_DIAG_S0,0d76cb3ac6f5e868ab04c2f2db4f2a3576877a27c4092ba882387e81b737865b,RAW_GMM,2,True,630,COMMON_GMM
P22_K9,FULL_RESPONSE_CALIBRATION,RAW_GMM_DIAG_S1,e7865b7988aceeea779b6455cff34a4e5ce2a385b01f8c03d91245f73beba3b4,RAW_GMM,2,True,625,
P22_K9,FULL_RESPONSE_CALIBRATION,GRAPH_L1_KMEANS_S0,2fa8a3dc7f85dc13a431bfac7d08e40a430789fe4fe580f3afbf301d70c9f55c,GRAPH_0.10,3,True,550,
P22_K9,FULL_RESPONSE_CALIBRATION,GRAPH_L1_KMEANS_S1,8c802ee920134f59051d16c7bde82ce9833d0c45f1e853ad93195028e8edede5,GRAPH_0.10,3,True,687,
P22_K9,FULL_RESPONSE_CALIBRATION,GRAPH_L2_KMEANS_S0,1433aa12c18f5f457068395ef9f60fbb467d9bc22390493e95bb27ec62f20da4,GRAPH_0.20,4,True,674,
P22_K9,FULL_RESPONSE_CALIBRATION,GRAPH_L2_KMEANS_S1,55acb144c40ce3e4f7c5a88289d562335619436f7e73158350c9dc3d5285a29f,GRAPH_0.20,4,True,699,
P22_K9,FULL_RESPONSE_CALIBRATION,GRAPH_L3_KMEANS_S0,7c7adc0a2cc6cd029818cbdcf1471b7b8f06017dd91c27f227cbdee0710fd74e,GRAPH_0.35,5,True,698,
P22_K9,FULL_RESPONSE_CALIBRATION,GRAPH_L3_KMEANS_S1,d68608ec80eba1ff803bb03335944242686ec9f8990fd44f7e27efaf97edd934,GRAPH_0.35,5,True,664,NIGHT16H_FIXED_STRUCTURED
P22_K9,LOWPASS_ONLY_CALIBRATION,COMMON_KMEANS_N20_S0,fdafb3715c6e41f7228b31453ff281a099df96ed47a60a8816b29569cc307389,RAW,0,True,701,COMMON_KMEANS
P22_K9,LOWPASS_ONLY_CALIBRATION,RAW_KMEANS_N1_S0,3d457443f9760dcd37a19cd9fe41f719f91264d1aa104f2904cb5a73109ec084,RAW,1,True,496,
P22_K9,LOWPASS_ONLY_CALIBRATION,RAW_KMEANS_N1_S1,59d2a2131861f246b40fbbb7257cbceaa4af1f75b5a8887285d772351dd29a0b,RAW,1,True,706,
P22_K9,LOWPASS_ONLY_CALIBRATION,RAW_KMEANS_N1_S2,e17663dc2513e9ba33782f19464206799e53a8e5e355d769bca8490448a8d77c,RAW,1,True,378,
P22_K9,LOWPASS_ONLY_CALIBRATION,RAW_KMEANS_N1_S3,8b581e1ead91736eb790eace64835d0e4ddf2c8d537813069a729e06a9202455,RAW,1,True,195,FEASIBLE_MEDOID
P22_K9,LOWPASS_ONLY_CALIBRATION,RAW_KMEANS_N1_S4,5b5109d96fea9d8b30b346179a0b61b4c9d7a89100d61552a99a4db1156ed0fe,RAW,1,True,699,
P22_K9,LOWPASS_ONLY_CALIBRATION,RAW_KMEANS_N1_S5,5ef034e33db91f8244b2454d14307aeab54fada29be93f99ed2951c671359036,RAW,1,True,700,
P22_K9,LOWPASS_ONLY_CALIBRATION,RAW_GMM_DIAG_S0,adade29296a115423ee05c000a1ea6a6887cd645b421f2b08cc0ec2c9081a8c5,RAW_GMM,2,True,359,COMMON_GMM
P22_K9,LOWPASS_ONLY_CALIBRATION,RAW_GMM_DIAG_S1,fb86d3c17cd94d2772e1ea7470301ec5178b4154ed4dc28fca231554e99bdbef,RAW_GMM,2,True,627,
P22_K9,LOWPASS_ONLY_CALIBRATION,GRAPH_L1_KMEANS_S0,848255ff155f765faee64d6aed3c8a067b7b0db7af9f0405ad0fb4785bed8ab7,GRAPH_0.10,3,True,405,
P22_K9,LOWPASS_ONLY_CALIBRATION,GRAPH_L1_KMEANS_S1,c59b68c08e69da8e4c4cf0e95cc24755c137d2ff3d6c3c597cf1da800cf99150,GRAPH_0.10,3,True,701,
P22_K9,LOWPASS_ONLY_CALIBRATION,GRAPH_L2_KMEANS_S0,d739d8fc699664e0196df3a0bbb2a31162fdd2733df6a1edac3de9c258c10902,GRAPH_0.20,4,True,697,
P22_K9,LOWPASS_ONLY_CALIBRATION,GRAPH_L2_KMEANS_S1,66b719eecf115948c5ed7c97f26099b9789ace48dd0dc8a9f52993f3da05b108,GRAPH_0.20,4,True,701,
P22_K9,LOWPASS_ONLY_CALIBRATION,GRAPH_L3_KMEANS_S0,59d5d07a6b33914fc6819256e18dcb99401faa94c993cb7ea13f75c85e909042,GRAPH_0.35,5,True,698,
P22_K9,LOWPASS_ONLY_CALIBRATION,GRAPH_L3_KMEANS_S1,9013047795249458c0325ae540376e967e460faa5d0435813f33f1c319d42e6a,GRAPH_0.35,5,True,547,NIGHT16H_FIXED_STRUCTURED
P22_K9,MATCHED_BACKBONE,COMMON_KMEANS_N20_S0,fdafb3715c6e41f7228b31453ff281a099df96ed47a60a8816b29569cc307389,RAW,0,True,701,COMMON_KMEANS
P22_K9,MATCHED_BACKBONE,RAW_KMEANS_N1_S0,3d457443f9760dcd37a19cd9fe41f719f91264d1aa104f2904cb5a73109ec084,RAW,1,True,496,
P22_K9,MATCHED_BACKBONE,RAW_KMEANS_N1_S1,59d2a2131861f246b40fbbb7257cbceaa4af1f75b5a8887285d772351dd29a0b,RAW,1,True,706,
P22_K9,MATCHED_BACKBONE,RAW_KMEANS_N1_S2,e17663dc2513e9ba33782f19464206799e53a8e5e355d769bca8490448a8d77c,RAW,1,True,378,
P22_K9,MATCHED_BACKBONE,RAW_KMEANS_N1_S3,8b581e1ead91736eb790eace64835d0e4ddf2c8d537813069a729e06a9202455,RAW,1,True,195,FEASIBLE_MEDOID
P22_K9,MATCHED_BACKBONE,RAW_KMEANS_N1_S4,d8c5caa805da5222f518b32997d68ad2b9214781d1407eb21349c179d8da0a17,RAW,1,True,699,
P22_K9,MATCHED_BACKBONE,RAW_KMEANS_N1_S5,5ef034e33db91f8244b2454d14307aeab54fada29be93f99ed2951c671359036,RAW,1,True,700,
P22_K9,MATCHED_BACKBONE,RAW_GMM_DIAG_S0,adade29296a115423ee05c000a1ea6a6887cd645b421f2b08cc0ec2c9081a8c5,RAW_GMM,2,True,359,COMMON_GMM
P22_K9,MATCHED_BACKBONE,RAW_GMM_DIAG_S1,fb86d3c17cd94d2772e1ea7470301ec5178b4154ed4dc28fca231554e99bdbef,RAW_GMM,2,True,627,
P22_K9,MATCHED_BACKBONE,GRAPH_L1_KMEANS_S0,848255ff155f765faee64d6aed3c8a067b7b0db7af9f0405ad0fb4785bed8ab7,GRAPH_0.10,3,True,405,
P22_K9,MATCHED_BACKBONE,GRAPH_L1_KMEANS_S1,31bb2e6786252887dd35417281236bc8126627fbe3607758e8c6238cce140433,GRAPH_0.10,3,True,701,
P22_K9,MATCHED_BACKBONE,GRAPH_L2_KMEANS_S0,d739d8fc699664e0196df3a0bbb2a31162fdd2733df6a1edac3de9c258c10902,GRAPH_0.20,4,True,697,
P22_K9,MATCHED_BACKBONE,GRAPH_L2_KMEANS_S1,66b719eecf115948c5ed7c97f26099b9789ace48dd0dc8a9f52993f3da05b108,GRAPH_0.20,4,True,701,
P22_K9,MATCHED_BACKBONE,GRAPH_L3_KMEANS_S0,59d5d07a6b33914fc6819256e18dcb99401faa94c993cb7ea13f75c85e909042,GRAPH_0.35,5,True,698,
P22_K9,MATCHED_BACKBONE,GRAPH_L3_KMEANS_S1,9013047795249458c0325ae540376e967e460faa5d0435813f33f1c319d42e6a,GRAPH_0.35,5,True,547,NIGHT16H_FIXED_STRUCTURED
P22_K9,SHARED_SCALE_CONTROL,COMMON_KMEANS_N20_S0,fdafb3715c6e41f7228b31453ff281a099df96ed47a60a8816b29569cc307389,RAW,0,True,701,COMMON_KMEANS
P22_K9,SHARED_SCALE_CONTROL,RAW_KMEANS_N1_S0,3d457443f9760dcd37a19cd9fe41f719f91264d1aa104f2904cb5a73109ec084,RAW,1,True,496,
P22_K9,SHARED_SCALE_CONTROL,RAW_KMEANS_N1_S1,59d2a2131861f246b40fbbb7257cbceaa4af1f75b5a8887285d772351dd29a0b,RAW,1,True,706,
