lane,arm,config_id,training_seed,endpoint,candidate_id,partition_sha256,n_total,n_eval,k,ari,nmi,ami,fmi,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,wall_seconds,gpu_peak_mib,peak_rss_mib,neighbor_agreement,moran_macro_indicator,geary_macro_indicator
A1_K10,SWAPPED_RESPONSE_CONTROL,T01_COMMON_NO_GRAPH,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,bbe0e6c9a2c4643dead603282fd3abd775c4ffbc3b66e0079cd2ceed12ff421b,3484,3484,10,0.2278571428069773,0.3881796554719446,0.3843786121731078,0.3653168282154773,197,"[197, 509, 306, 410, 344, 355, 261, 266, 283, 553]",197,"[197, 509, 306, 410, 344, 355, 261, 266, 283, 553]",9.720313904806972,138.4521484375,1009.0859375,0.553210418739438,0.5111600066697479,0.4928605488345802
A1_K10,SWAPPED_RESPONSE_CONTROL,T01_COMMON_NO_GRAPH,0,FEASIBLE_MEDOID,GRAPH_L1_KMEANS_S1,ce4b66750e89b02188a7de4faeb8bee116530fffa9473ee76408d8e5b064f341,3484,3484,10,0.226355517264187,0.389801824785863,0.3860142013648887,0.3638434267080214,204,"[389, 565, 490, 204, 262, 367, 298, 276, 325, 308]",204,"[389, 565, 490, 204, 262, 367, 298, 276, 325, 308]",9.720313904806972,138.4521484375,1009.0859375,0.576692284405543,0.5372795236550498,0.4667348020928811
A1_K10,SWAPPED_RESPONSE_CONTROL,T01_COMMON_NO_GRAPH,0,NIGHT16H_FIXED_STRUCTURED,GRAPH_L2_KMEANS_S1,ca62e8afeb085dea5e6c6d00b47cb0d98250b61d229baf19786d09c5f1004d54,3484,3484,10,0.2418183998578147,0.3973376057518142,0.3935239148506245,0.3805841948200948,94,"[556, 241, 94, 617, 589, 289, 258, 176, 305, 359]",94,"[556, 241, 94, 617, 589, 289, 258, 176, 305, 359]",9.720313904806972,138.4521484375,1009.0859375,0.6278015446293419,0.5904960556710604,0.4162960817424684
P22_K9,FULL_RESPONSE_CALIBRATION,T01_COMMON_NO_GRAPH,0,COMMON_GMM,RAW_GMM_DIAG_S0,0d76cb3ac6f5e868ab04c2f2db4f2a3576877a27c4092ba882387e81b737865b,9196,9196,9,0.4518480245229052,0.5787260728093653,0.5780113433676726,0.5311482853143377,630,"[832, 1094, 732, 878, 2147, 988, 630, 974, 921]",630,"[832, 1094, 732, 878, 2147, 988, 630, 974, 921]",25.821464398875836,336.6640625,1901.421875,0.8131192125914201,0.7773158967293754,0.2234761537092804
P22_K9,FULL_RESPONSE_CALIBRATION,T01_COMMON_NO_GRAPH,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,6324f1bcb54fe58dc8d4583d170219e41222918f9b18ed7c777f7effc0229977,9196,9196,9,0.4177292582114458,0.5497512150738819,0.5489864011997209,0.5019376395675182,705,"[760, 795, 1185, 705, 2155, 982, 718, 804, 1092]",705,"[760, 795, 1185, 705, 2155, 982, 718, 804, 1092]",25.821464398875836,336.6640625,1901.421875,0.805406261018279,0.7610040070716693,0.2398904883790354
P22_K9,FULL_RESPONSE_CALIBRATION,T01_COMMON_NO_GRAPH,0,FEASIBLE_MEDOID,COMMON_KMEANS_N20_S0,6324f1bcb54fe58dc8d4583d170219e41222918f9b18ed7c777f7effc0229977,9196,9196,9,0.4177292582114458,0.5497512150738819,0.5489864011997209,0.5019376395675182,705,"[760, 795, 1185, 705, 2155, 982, 718, 804, 1092]",705,"[760, 795, 1185, 705, 2155, 982, 718, 804, 1092]",25.821464398875836,336.6640625,1901.421875,0.805406261018279,0.7610040070716693,0.2398904883790354
P22_K9,FULL_RESPONSE_CALIBRATION,T01_COMMON_NO_GRAPH,0,NIGHT16H_FIXED_STRUCTURED,GRAPH_L3_KMEANS_S1,d68608ec80eba1ff803bb03335944242686ec9f8990fd44f7e27efaf97edd934,9196,9196,9,0.4494971646057389,0.5871277941763449,0.5864242502499687,0.5298602500268076,664,"[664, 2230, 1206, 744, 701, 1182, 920, 799, 750]",664,"[664, 2230, 1206, 744, 701, 1182, 920, 799, 750]",25.821464398875836,336.6640625,1901.421875,0.8755243296143839,0.8454883680929264,0.1556856647627715
P22_K9,LOWPASS_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,COMMON_GMM,RAW_GMM_DIAG_S0,adade29296a115423ee05c000a1ea6a6887cd645b421f2b08cc0ec2c9081a8c5,9196,9196,9,0.4087910312832014,0.5533384225324424,0.5525742360032998,0.4951119733282152,359,"[736, 1127, 1003, 644, 2146, 1253, 1107, 821, 359]",359,"[736, 1127, 1003, 644, 2146, 1253, 1107, 821, 359]",24.749384051188827,336.66357421875,1882.51171875,0.8176699979148272,0.7892877749216783,0.2106041156564656
P22_K9,LOWPASS_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,fdafb3715c6e41f7228b31453ff281a099df96ed47a60a8816b29569cc307389,9196,9196,9,0.4192055973769617,0.5511881134661232,0.5504256561097217,0.5032287350822704,701,"[800, 1095, 2157, 1186, 982, 715, 762, 798, 701]",701,"[800, 1095, 2157, 1186, 982, 715, 762, 798, 701]",24.749384051188827,336.66357421875,1882.51171875,0.8072841344887864,0.7630827910090631,0.2378104658355108
P22_K9,LOWPASS_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,0,FEASIBLE_MEDOID,RAW_KMEANS_N1_S3,8b581e1ead91736eb790eace64835d0e4ddf2c8d537813069a729e06a9202455,9196,9196,9,0.4018186370028014,0.5413842045840513,0.5405914851132932,0.4904518896282287,195,"[195, 862, 2127, 1378, 707, 752, 659, 1407, 1109]",195,"[195, 862, 2127, 1378, 707, 752, 659, 1407, 1109]",24.749384051188827,336.66357421875,1882.51171875,0.814313568897495,0.7711450140534103,0.22906305690519
