lane,training_seed,profile,ari,nmi,ami,fmi,neighbor_agreement,moran_macro_ovr,geary_macro_ovr,min_cluster_size,cluster_sizes,partition_sha256,changed_spots_vs_strong_start,evaluator_label_reads,delta_ari_vs_registered_anchor_same_head,delta_nmi_vs_registered_anchor_same_head,night16h_frontier_ari,night16h_frontier_nmi,delta_ari_vs_night16h_frontier,delta_nmi_vs_night16h_frontier,night16h_context
MISAR_K7,0,VANILLA_PCGRAD,0.3598114348808185,0.5382196633513128,0.5358086596238631,0.48177565637078146,0.9260644221343272,0.9091463798794229,0.09028981741201736,174,"[405,219,267,272,247,174,365]",028df90822c98192fe34bca147c57239e689e080d2f8adaab91df9e9352d3e43,8,1,-0.00036597142229100044,-0.00013814308355908356,0.534624,0.656772,-0.17481256511918147,-0.11855233664868725,Night-16H fixed selector
MISAR_K7,0,GLOBAL_MIN_NORM,0.36007215930367265,0.5383591851410177,0.5359490929265381,0.4819785811615118,0.9260644221343272,0.9090537731574566,0.09038550698645234,174,"[219,404,267,365,174,272,248]",5e1e51e7404a0022de660b652a7d8eb198f762fa06f1c8fc899616ecb6a64f70,7,1,-0.00010524699943686988,1.37870614580482e-06,0.534624,0.656772,-0.17455184069632734,-0.11841281485898236,Night-16H fixed selector
MISAR_K7,0,EVIDENCE_CONDITIONED_ARBITRATION_FULL,0.3602990423494838,0.5386955495212971,0.5362865052780736,0.48220292714768015,0.9240629140964703,0.906231757630462,0.09318102947030794,170,"[247,277,364,170,265,405,221]",3f34458fa3e18700cab771f5aa905afa6bcae0ec9febf8f1b082fc34ed30612c,13,1,0.00012163604637427383,0.0003377430864252018,0.534624,0.656772,-0.1743249576505162,-0.11807645047870297,Night-16H fixed selector
MISAR_K7,0,EVIDENCE_PERMUTED_MASS_MATCHED,0.362816425469793,0.5403162841179778,0.5379160176222034,0.48427227717694554,0.9245761180729992,0.9069393900682892,0.09247237683327192,170,"[281,364,402,265,247,220,170]",735ed652afad232a50c49e3210d8cf96ab5e35caf827ffcd52f6fb6c0ef73e9e,15,1,0.002639019166683465,0.0019584776831059747,0.534624,0.656772,-0.171807574530207,-0.11645571588202219,Night-16H fixed selector
MISAR_K7,0,TOPOLOGY_DISABLED,0.3623814584393759,0.5399589344226391,0.5375573985503381,0.48388725258214565,0.9261157300025861,0.9089293507146643,0.09048799646938264,174,"[366,402,265,174,275,220,247]",a740d7eb6f01a0927c61bf15a04cf9ad312a51c87ab35997959abcb0081b4737,13,1,0.002204052136266399,0.0016011279877672369,0.534624,0.656772,-0.17224254156062407,-0.11681306557736093,Night-16H fixed selector
MISAR_K7,0,ARBITRATION_DISABLED_SAME_LOSSES,0.36371391381529505,0.5409742092460456,0.5385776010331369,0.485002395721311,0.9245760554260295,0.9068837668243611,0.09253032653614046,170,"[283,363,401,265,247,220,170]",100f3ddc1e3ee1371265ee3458b9f2c852dbe208571918d580040e473c74a47f,19,1,0.0035365075121855383,0.0026164028111737014,0.534624,0.656772,-0.17091008618470493,-0.11579779075395447,Night-16H fixed selector
HUMAN_HIPPOCAMPUS_K7,0,STRONG_START_NO_TRAIN,0.19516105524843821,0.2712210274967669,0.26816611935240203,0.3533007602878385,0.4591984918244028,0.4291200990665373,0.5670818374880013,49,"[161,544,436,230,512,568,49]",0bfb5a5452acad9c0cc6b12e68297ffbd96e13b13fc5b588cf9d9a2e133120c5,0,1,0.0,0.0,0.596178,0.58549,-0.4010169447515618,-0.31426897250323305,Night-16H fixed selector
HUMAN_HIPPOCAMPUS_K7,0,STANDARD_WEIGHTED_SUM,0.20961933782755815,0.2792051836720784,0.2761793678885168,0.3655412352487619,0.4660393530945415,0.43895811560475584,0.5573529290698966,49,"[49,235,558,155,562,400,541]",93df68ea7013c7dbdfd43c9cc2fdb590f7e8119410660e9fb353dde4fe4f5960,170,1,0.014458282579119935,0.007984156175311508,0.596178,0.58549,-0.38655866217244184,-0.30628481632792154,Night-16H fixed selector
HUMAN_HIPPOCAMPUS_K7,0,VANILLA_PCGRAD,0.1977298918700317,0.27039816030306646,0.26733959557815384,0.35537186269525345,0.4606539757089008,0.4300559970041258,0.56614011975723,49,"[161,532,439,228,525,566,49]",bfb244edd7ab0ca72e1b91731091118712369b41e71b88ccacf61a2c380f9455,51,1,0.00256883662159349,-0.0008228671937004495,0.596178,0.58549,-0.3984481081299683,-0.3150918396969335,Night-16H fixed selector
HUMAN_HIPPOCAMPUS_K7,0,GLOBAL_MIN_NORM,0.2007767790986182,0.2720274315790933,0.2689759155552412,0.3578034712906787,0.4560273927939025,0.426020665231124,0.5701847115071799,49,"[161,535,436,229,529,561,49]",424d74802579a486aa0ae278e494068e0b40f8f3b6c13ff5ba98ec3a5645fc94,44,1,0.005615723850179999,0.0008064040823264063,0.596178,0.58549,-0.39540122090138174,-0.31346256842090664,Night-16H fixed selector
HUMAN_HIPPOCAMPUS_K7,0,EVIDENCE_CONDITIONED_ARBITRATION_FULL,0.19459739448036958,0.27460937432453947,0.27155300017705347,0.35491772691456486,0.46600739218413295,0.4384796623805965,0.5577650973749808,49,"[49,587,395,581,156,527,205]",4202fd660fb022bc04f1cb688246a2168b3c9fe991d03b07db05f24ff5fea6b7,195,1,-0.0005636607680686301,0.0033883468277725592,0.596178,0.58549,-0.4015806055196304,-0.3108806256754605,Night-16H fixed selector
HUMAN_HIPPOCAMPUS_K7,0,EVIDENCE_PERMUTED_MASS_MATCHED,0.20803310224482469,0.2786440926794384,0.2756157310880461,0.3643425932432815,0.4653082066684937,0.43824429014893357,0.5581355807504483,49,"[49,231,555,158,569,397,541]",1079d53b5120034ddf0e500152b3b524e47e8d0d5dc41111a8973aaf234b749d,165,1,0.012872046996386471,0.0074230651826714955,0.596178,0.58549,-0.3881448977551753,-0.30684590732056155,Night-16H fixed selector
HUMAN_HIPPOCAMPUS_K7,0,TOPOLOGY_DISABLED,0.1954595017668427,0.2772196141176165,0.2741833036618842,0.3544153837487076,0.45873606117592247,0.4331011164007427,0.5631673785617425,49,"[563,153,582,232,517,49,404]",7436da350bedaa6697050133a72d32cf0031a3fff205e212a38f4631216bfdeb,171,1,0.00029844651840449377,0.005998586620849566,0.596178,0.58549,-0.4007184982331573,-0.3082703858823835,Night-16H fixed selector
HUMAN_HIPPOCAMPUS_K7,0,ARBITRATION_DISABLED_SAME_LOSSES,0.20961933782755815,0.2792051836720784,0.2761793678885168,0.3655412352487619,0.4660393530945415,0.43895811560475584,0.5573529290698966,49,"[49,235,558,155,562,400,541]",93df68ea7013c7dbdfd43c9cc2fdb590f7e8119410660e9fb353dde4fe4f5960,170,1,0.014458282579119935,0.007984156175311508,0.596178,0.58549,-0.38655866217244184,-0.30628481632792154,Night-16H fixed selector
PLACENTA_K10,0,STRONG_START_NO_TRAIN,0.31260339775730633,0.5115797362076748,0.5052729928523946,0.4224808224042813,0.2811747713047665,0.21601698643754527,0.7929843310741009,61,"[95,273,61,349,153,210,163,103,167,88]",cff5096530b541a4e202ab6d091a0d5b32859e63a36d60acafb9a3a8b38e0a6e,0,1,0.0,0.0,,,,,NOT_APPLICABLE
PLACENTA_K10,0,STANDARD_WEIGHTED_SUM,0.38194769387636146,0.5329740330141796,0.526940150994145,0.4824598261467673,0.27106403466538276,0.2301417343162208,0.7840055339130709,59,"[158,102,200,288,89,122,316,59,233,95]",82002d6b5a5a678e6d4f951dd8c58f14bc9dee081492b39153acaa29fec52dac,405,1,0.06934429611905513,0.02139429680650473,,,,,NOT_APPLICABLE
PLACENTA_K10,0,VANILLA_PCGRAD,0.31224180869484147,0.5112041810449245,0.5048953186779053,0.42205951466433617,0.287915262397689,0.22178473317254258,0.786792437378361,61,"[164,287,61,335,165,210,95,88,102,155]",b8ae81fbe6a35c29b01144020c39b36fda7b5991b03d641d1cd0a342f2693af7,49,1,-0.0003615890624648621,-0.0003755551627503406,,,,,NOT_APPLICABLE
PLACENTA_K10,0,GLOBAL_MIN_NORM,0.3127747886420806,0.5111248455475779,0.5048141572641188,0.4225902938406887,0.2811747713047665,0.21631907466535485,0.7925849017189635,61,"[96,271,61,349,154,210,164,103,166,88]",73ffcaede0dcff34a6df9532cd5ed294ff7f97a50d5a1d80671c2aabac337458,8,1,0.00017139088477424735,-0.00045489066009696266,,,,,NOT_APPLICABLE
PLACENTA_K10,0,EVIDENCE_CONDITIONED_ARBITRATION_FULL,0.3739764865448206,0.5274264560285937,0.5212862948211653,0.47594634075323156,0.280693307655272,0.2522840565268116,0.76265873594555,60,"[288,322,95,161,200,60,89,86,259,102]",1720145388e70954aaad1849317ab88f1c1f4df8d61b56c08bb9ccdcd02a578b,407,1,0.06137308878751424,0.015846719820918898,,,,,NOT_APPLICABLE
PLACENTA_K10,0,EVIDENCE_PERMUTED_MASS_MATCHED,0.372557206037517,0.5250607355876166,0.5189013453689101,0.4745775499347205,0.2802118440057776,0.24725034695908632,0.7673332875684249,60,"[287,319,95,160,202,60,89,96,253,101]",a4d5a3072a939d17ead9124d2a8419fd97601aa34d06362f5f35b063898c7f60,426,1,0.059953808280210685,0.013480999379941738,,,,,NOT_APPLICABLE
PLACENTA_K10,0,TOPOLOGY_DISABLED,0.3168627677261017,0.5094316237943157,0.5031058359423765,0.4259219988872256,0.2833413577274916,0.21899084492201187,0.7899556646110746,61,"[151,93,208,326,291,104,61,170,90,168]",fdc1f1eb599912824e841a13ec4a85f9e9444db6792e4958772dfbe2f92cd90a,73,1,0.00425936996879539,-0.0021481124133591045,,,,,NOT_APPLICABLE
PLACENTA_K10,0,ARBITRATION_DISABLED_SAME_LOSSES,0.38194769387636146,0.5329740330141796,0.526940150994145,0.4824598261467673,0.27106403466538276,0.2301417343162208,0.7840055339130709,59,"[158,102,200,288,89,122,316,59,233,95]",82002d6b5a5a678e6d4f951dd8c58f14bc9dee081492b39153acaa29fec52dac,405,1,0.06934429611905513,0.02139429680650473,,,,,NOT_APPLICABLE
