dataset,variant,seed,n_observations_trained,n_observations_evaluated,ami,ari,embedding_davies_bouldin,embedding_silhouette,fmi,homogeneity,hungarian_balanced_accuracy,hungarian_macro_f1,hungarian_weighted_f1,nmi,silhouette_sample_size,spatial_cluster_moran_mean,spatial_neighbor_agreement,v_measure,clustering_seconds,evaluation_seconds,preprocessing_seconds,total_seconds,training_seconds,gpu_peak_allocated_mib,process_peak_rss_mib,source,run_status
placenta,corrected_unweighted,3,1662,1662,0.5451542737441628,0.4594693170474976,2.910726941023755,0.041473958641290665,0.5514092923910032,0.5745082407735258,0.5129089102076912,0.5171299835789187,0.6797776186611298,0.5511655790087705,1662,0.4705107275578772,0.5084235860409145,0.5511655790087704,3.866549286991358,0.28158016107045114,5.856155497021973,13.956204402958974,3.183884161990136,255.09033203125,2196.80078125,night1_fdecb33_reference,existing_reference
placenta,corrected_unweighted,4,1662,1662,0.5021655872637331,0.40970903598682307,3.1646866085568717,0.04505966231226921,0.5078945429338695,0.5365649580329407,0.49370788078789135,0.4854461114050541,0.6287924518051362,0.5086566545638403,1662,0.4607078430418777,0.4879663056558363,0.5086566545638403,3.118097823113203,0.27779130986891687,5.641670577926561,13.467794647905976,3.697605837834999,255.091796875,2255.703125,night1_fdecb33_reference,existing_reference
p22,legacy_exact,0,9196,9196,0.5432049169219295,0.42072353913908134,2.6480666625411473,0.1465463638305664,0.5133426393568582,0.5419460550557343,0.5549622945782101,0.5215203864868159,0.5919207164460278,0.5440080360373132,5000,0.746597410563901,0.8029917899086559,0.5440080360373132,6.96725663007237,2.11634181602858,13.99850318999961,73.28994867298752,49.96554724802263,723.212890625,7041.01171875,night1_fdecb33_reference,existing_reference
p22,legacy_exact,1,9196,9196,0.5336728582501966,0.39290897788895307,2.6124721866254794,0.13696785271167755,0.4855742719344411,0.5389614226231417,0.5737477003164476,0.5286925126241547,0.5745287277493593,0.5344824818452865,5000,0.7833542675186616,0.8200508373205742,0.5344824818452865,6.894582178909332,2.0515303518623114,14.14943008706905,73.79809915809892,50.472453767899424,723.21044921875,8312.71875,night1_fdecb33_reference,existing_reference
p22,legacy_exact,2,9196,9196,0.5734910858832776,0.4420842110337055,2.4460628179047985,0.12850210070610046,0.5300397082570947,0.573774826841102,0.5663196129230378,0.5299944841321125,0.5980167100140116,0.574238658711178,5000,0.7895510995718491,0.8303270443671161,0.574238658711178,5.428624481894076,2.0992903457954526,14.454483255976811,71.5983852809295,49.38094343501143,723.20263671875,9239.78125,night1_fdecb33_reference,existing_reference
p22,legacy_exact,3,9196,9196,0.5585492246934133,0.42281998260044024,2.6755962150219252,0.1473299264907837,0.5127453489714319,0.5614759646644316,0.5720663951101677,0.5401972977569749,0.5928016201000622,0.5593191664822582,5000,0.7847600788930325,0.8259093627664201,0.5593191664822583,6.54528011707589,1.981415786081925,14.143505654064938,72.08278549811803,49.2288124889601,723.208984375,10191.73046875,night1_fdecb33_reference,existing_reference
p22,legacy_exact,4,9196,9196,0.556398559822056,0.39335868880569314,2.358851154162291,0.14869572222232819,0.4912767253151422,0.5520877693956385,0.5992988230797197,0.5497874730985453,0.5688659334154097,0.5571834347431815,5000,0.8043464648478609,0.8517426054806437,0.5571834347431817,5.9550062250345945,1.9336258708499372,14.26601528795436,72.19460394210182,49.72398151899688,723.20556640625,11158.875,night1_fdecb33_reference,existing_reference
p22,corrected_unweighted,0,9196,9196,0.543584165168553,0.4208931509385829,2.581053800863297,0.14903266727924347,0.5140707248118491,0.5414720807985725,0.5534182521896196,0.5208637966831705,0.5919206190771825,0.5443879289627399,5000,0.7468470245123485,0.8035355045672031,0.5443879289627399,6.494681837968528,1.8366844989359379,16.426303680986166,67.04348599584773,41.64016191614792,763.021484375,3903.19140625,night1_fdecb33_reference,existing_reference
p22,corrected_unweighted,1,9196,9196,0.5333835826668427,0.39450293178197277,2.5675986856615696,0.14037317037582397,0.48717450014122593,0.5382501342612034,0.573010699758548,0.5285544936075375,0.5744817581796707,0.5341943581142353,5000,0.7816280845123951,0.8203023053501522,0.5341943581142352,7.812374148983508,1.6691173759754747,16.185364465927705,68.10564066306688,41.83877657097764,763.01953125,4137.6640625,night1_fdecb33_reference,existing_reference
p22,corrected_unweighted,2,9196,9196,0.5686181200763992,0.4365381780946581,2.4007580494757024,0.13167966902256012,0.525908031630446,0.5681583666831579,0.561789920128692,0.526898710986705,0.5945197031414742,0.5693752296399771,5000,0.7868663439729493,0.8287366789908656,0.5693752296399772,5.308198529062793,1.7112776688300073,16.382346279919147,65.8546764110215,41.781037303153425,763.01318359375,4984.53515625,night1_fdecb33_reference,existing_reference
