dataset,graph_id,head_id,seed,transform_status,training_runtime_seconds,head_runtime_seconds,effective_runtime_seconds,peak_gpu_allocated_mib,process_peak_rss_mib
p22,G04_SP10_F10_EUC_UNION,H00_FUSED_PCA20_MCLUST_EEE,3,success,60.39608756825328,5.54151155333966,65.93759912159294,1613.5166015625,1352.65234375
p22,G04_SP10_F10_EUC_UNION,H00_FUSED_PCA20_MCLUST_EEE,4,success,59.093525611795485,6.088388846255839,65.18191445805132,1613.5166015625,1352.65234375
p22,G04_SP10_F10_EUC_UNION,H00_FUSED_PCA20_MCLUST_EEE,5,success,57.63612096570432,5.980175165459514,63.616296131163836,1613.5166015625,1352.65234375
p22,G04_SP10_F10_EUC_UNION,H00_FUSED_PCA20_MCLUST_EEE,6,success,58.64382649958134,6.452788486145437,65.09661498572677,1613.5166015625,1352.65234375
p22,G04_SP10_F10_EUC_UNION,H00_FUSED_PCA20_MCLUST_EEE,7,success,54.98481989931315,5.2754747634753585,60.26029466278851,1613.5166015625,1352.65234375
p22,G04_SP10_F10_EUC_UNION,H00_FUSED_PCA20_MCLUST_EEE,8,success,58.06551864743233,5.8542420621961355,63.91976070962846,1613.5166015625,1352.65234375
p22,G04_SP10_F10_EUC_UNION,H00_FUSED_PCA20_MCLUST_EEE,9,success,58.26084181945771,5.7090322794392705,63.96987409889698,1613.5166015625,1359.3125
p22,G04_SP10_F10_EUC_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,0,success,56.75900859199464,55.704157090745866,112.46316568274051,1613.5166015625,1456.015625
p22,G04_SP10_F10_EUC_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,1,success,58.24509189464152,53.713257792405784,111.9583496870473,1613.5166015625,1479.7109375
p22,G04_SP10_F10_EUC_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,2,success,60.55319126136601,52.59604481048882,113.14923607185483,1613.5166015625,1479.7109375
p22,G04_SP10_F10_EUC_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,3,success,60.39608756825328,53.17827159631997,113.57435916457325,1613.5166015625,1479.7109375
p22,G04_SP10_F10_EUC_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,4,success,59.093525611795485,48.07940056081861,107.1729261726141,1613.5166015625,1479.7109375
p22,G04_SP10_F10_EUC_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,5,success,57.63612096570432,57.446208694018424,115.08232965972275,1613.5166015625,1479.7109375
p22,G04_SP10_F10_EUC_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,6,success,58.64382649958134,50.84505068976432,109.48887718934566,1613.5166015625,1479.7109375
p22,G04_SP10_F10_EUC_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,7,success,54.98481989931315,64.55524647701532,119.54006637632847,1613.5166015625,1481.921875
p22,G04_SP10_F10_EUC_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,8,success,58.06551864743233,57.36412681546062,115.42964546289295,1613.5166015625,1481.921875
p22,G04_SP10_F10_EUC_UNION,H05_EQUAL3_AFFINITY_SPECTRAL,9,success,58.26084181945771,39.0958132231608,97.35665504261851,1613.5166015625,1481.921875
