candidate_id,lane,family,arm,config_id,training_seed,endpoint_seed,steps,ari,nmi,ami,fmi,n_total,n_eval,k,min_cluster_size,cluster_sizes,neighbor_agreement,moran_indicator_macro,geary_indicator_macro,partition_sha256,representation_sha256,artifact_sha256,checkpoint_sha256,parameter_changed,optimizer_steps,wall_seconds,peak_rss_mb,loss_relative_change_last_windows,labels_read_by_producer,labels_read_by_evaluator
P22_K9__FULL_SIGNED_RELATIONAL_DISTILLATION__REV1_POSDOM_S0,P22_K9,RNA_CHROMATIN,FULL_SIGNED_RELATIONAL_DISTILLATION,REV1_POSDOM,0,0,700,0.2831307046031552,0.4244076971901144,0.42334529843774293,0.40782727117773854,9196,9196,9,56,"[1452, 855, 624, 2024, 855, 56, 149, 2818, 363]",0.7336956521739131,0.6821981168537685,0.31542198067867255,ad076171f1e3674a0f044d3d38a03895c0fc91bf95a22e4e57c649d1cbb3032f,e5c8611d21eddd0d583855d98dc1b6040e8a0c769341d53c49224496c42fbfcb,4b2b2826448214e0b57081c219556d0cd5ff7d65af84fd51cd811a413992ba67,ae61d57b876751747df49a5fe3a504371f078584d5ffc9f75310d1c8acab161f,True,700,12.912542819976807,1005.296875,-0.047054231193525364,0,1
P22_K9__FULL_SIGNED_RELATIONAL_DISTILLATION__STABLE700_V1_S0,P22_K9,RNA_CHROMATIN,FULL_SIGNED_RELATIONAL_DISTILLATION,STABLE700_V1,0,0,700,0.26855116809697827,0.4270021511118627,0.4259558392856015,0.3981456365299155,9196,9196,9,131,"[1831, 224, 600, 1177, 883, 131, 686, 501, 3163]",0.69635170038743,0.6545471857870792,0.3437089327606281,4eddd98ffc6809c7fcdaad967a16acc39f60639947562ab42588b02847f32e0c,380dfd8450c1d7bbd0332c08b52d34555bddf40459a43b954d440dfce0ab7802,47ef1fa14cb32b2e120c1b10fb1653bb700d9ea960046cdfca056e50250d72ce,610ca9324435e80afd2634047de9f94e43670fe321db4d9eedbd4b632e85bf50,True,700,10.83618450164795,998.12109375,-0.04613821687331515,0,1
P22_K9__T0_STRONG_CARRIER__P0_COMMON_V1_S0,P22_K9,RNA_CHROMATIN,T0_STRONG_CARRIER,P0_COMMON_V1,0,0,300,0.4710883039953578,0.600489060931043,0.5998100414330684,0.5481018094241809,9196,9196,9,707,"[968, 707, 969, 1059, 726, 2245, 919, 767, 836]",0.866820921222557,0.8384938073528239,0.1625158744092722,4d03da02d9111fb53b9b56e94ba45dfc242668ed45c8f6e0c0e313c4ce49b062,7bd8f48f065c405ae0a52b2fc7360d6a57ba8482c17e88b9a446552aff081094,f0fcc63bb301f08719ba983e306206c5c349d268938194fdf1af9a48929599d4,,False,0,1.2752208709716797,421.7421875,,0,1
P22_K9__T0_STRONG_CARRIER__STABLE700_V1_S0,P22_K9,RNA_CHROMATIN,T0_STRONG_CARRIER,STABLE700_V1,0,0,700,0.4710883039953578,0.600489060931043,0.5998100414330684,0.5481018094241809,9196,9196,9,707,"[968, 707, 969, 1059, 726, 2245, 919, 767, 836]",0.866820921222557,0.8384938073528239,0.1625158744092722,4d03da02d9111fb53b9b56e94ba45dfc242668ed45c8f6e0c0e313c4ce49b062,7bd8f48f065c405ae0a52b2fc7360d6a57ba8482c17e88b9a446552aff081094,f0fcc63bb301f08719ba983e306206c5c349d268938194fdf1af9a48929599d4,,False,0,1.5212302207946777,421.828125,,0,1
PLACENTA_K10__B0_BACKBONE_ONLY__STABLE700_V1_S0,PLACENTA_K10,RNA_CHROMATIN,B0_BACKBONE_ONLY,STABLE700_V1,0,0,700,0.3321601683008269,0.5481386777273198,0.5421843492020322,0.44207906887978965,1662,1662,10,52,"[236, 262, 380, 269, 62, 52, 103, 109, 87, 102]",0.3334135772749157,0.2586811578551675,0.7493427857884019,6c9203d684872261c2a7f24f87b350a14d981bd160fa6d1b38c32a0b74b237ff,35a94820e17014661d6fe6182901fa2ff77553df7ef1f33f2f42d318adc7630b,1cd0a48faaf292927d01b3c5e5a747432392745b62e84bda9e77908b54101bd2,bc4964132c46ed0109934f19c8e00389dbe9d82468962b589b1a90c6f16023da,True,700,9.3526451587677,892.37109375,-0.03726645379087082,0,1
PLACENTA_K10__B1_BACKBONE_POINTWISE_ANCHOR__STABLE700_V1_S0,PLACENTA_K10,RNA_CHROMATIN,B1_BACKBONE_POINTWISE_ANCHOR,STABLE700_V1,0,0,700,0.3164689047865684,0.5092418533479387,0.5028924193002079,0.425891473904276,1662,1662,10,50,"[297, 310, 238, 91, 93, 119, 191, 104, 169, 50]",0.3276360134809822,0.25501164595674986,0.746422465885875,b0f3d34ba74ff613c4ce6a7c9c6d52eef44a865f8aca376b65af44909bd6c2e7,ef3819beb1250e2d894cc97482f41388b2ffa6b3d5664e8950761f51896c9a57,3f8bab461439b5f21ea3025f3f6eddc08b918f9474b0a780c27c80c462dfbaa9,36e76c3dcce5456a0cff3f40f9b516ba9529f7a280b502a4e48b0ff2bc1d8383,True,700,10.018937587738037,888.8203125,-0.03717809765765925,0,1
PLACENTA_K10__B2_POSITIVE_RELATION_ONLY__STABLE700_V1_S0,PLACENTA_K10,RNA_CHROMATIN,B2_POSITIVE_RELATION_ONLY,STABLE700_V1,0,0,700,0.30043151308387145,0.5009381158512244,0.49440931060812554,0.4139471443300357,1662,1662,10,50,"[57, 382, 94, 254, 95, 50, 181, 201, 115, 233]",0.362782859894078,0.3118741631774011,0.6963126464728313,681f190913f84c0e25c203a871737f45248de2704d29f64383a291af4b932f72,0150ce87482416e85c5e97aea67e0751a25e274e9bda98e4e73808a48755c3a0,39cf86ec4e5060f7af816537977d6177c66fe932c6abb1d42932b01a13d2d669,10f13f90c19056e17338b78e33ce17c3618882f921e869082d1363e0c7a840b6,True,700,10.41911506652832,896.5546875,-0.03163622464049424,0,1
PLACENTA_K10__B3_BOUNDARY_RELATION_ONLY__STABLE700_V1_S0,PLACENTA_K10,RNA_CHROMATIN,B3_BOUNDARY_RELATION_ONLY,STABLE700_V1,0,0,700,0.3313361819362989,0.5465502838998845,0.540596626958371,0.4406587372735479,1662,1662,10,50,"[106, 280, 105, 50, 87, 73, 256, 102, 251, 352]",0.32980259990370725,0.24694538389171786,0.7592652156344627,197ad7ab92e04adc6bd589b71c0418c6474b9d736f5b950f1d55920308ce392a,9ff42253eec3d2d94a23e8a966845cca29483602de315489bbf656214f95f60f,255cc8fc32834918826cf7ebf792e42d81a6fbc27946da5a9b65ed3714496cb2,5a9a205da8c7a12b2de2706daa6733c12001e0ad5eb5a793d2091dfe16d856c2,True,700,10.302489280700684,906.69921875,-0.03726348190346673,0,1
PLACENTA_K10__FULL_SIGNED_RELATIONAL_DISTILLATION__REV1_POSDOM_S0,PLACENTA_K10,RNA_CHROMATIN,FULL_SIGNED_RELATIONAL_DISTILLATION,REV1_POSDOM,0,0,700,0.28435184054129137,0.48393835256050943,0.47699632120393387,0.40747411906114267,1662,1662,10,50,"[92, 373, 50, 214, 93, 77, 110, 441, 63, 149]",0.4152623976889745,0.3781029908571034,0.6407131419103752,6b59a9b2e390999752327ab70c47dfb400d0e5a8134458f1439e62f30f83eced,8914ee27852e9ef93932add4f74f34c2c1b324d084ee3468fcc6a95c9a624844,e1c1c1698fcecdcaf4646e866c291417889eff7785ee555ba2fafe7bd2dd000e,928b7209b64a24a66261f1ee28074b437b5de83c4db9cc5ce90c70052c5c6e2c,True,700,11.301162958145142,905.86328125,-0.023724524634669862,0,1
PLACENTA_K10__FULL_SIGNED_RELATIONAL_DISTILLATION__STABLE700_V1_S0,PLACENTA_K10,RNA_CHROMATIN,FULL_SIGNED_RELATIONAL_DISTILLATION,STABLE700_V1,0,0,700,0.47284441179890113,0.5910894252005634,0.5857789246551942,0.5611415685575094,1662,1662,10,51,"[196, 325, 265, 184, 51, 155, 246, 85, 98, 57]",0.3261916225324988,0.2866800833839928,0.722509758118751,c489ab1b514e326a7a82b3cc9cd96df8fd2d4a906b8d33d1c1d5b188d9afd163,a9cdbbf4b49c5b03341a17878c02fccb094bdd286bac02fd057051e4e7805ed6,24376d4cc1a18b1d5a25800e230bdd70e1d6768f73641a1f7b2857b461cd9140,618d0d60362675bdc75d6cb4ca78bad5746fff2f2eada5e78111a6157910ba8a,True,700,10.552401781082153,899.3359375,-0.03138988578700741,0,1
PLACENTA_K10__T0_STRONG_CARRIER__STABLE700_V1_S0,PLACENTA_K10,RNA_CHROMATIN,T0_STRONG_CARRIER,STABLE700_V1,0,0,700,0.42194852088155427,0.5483126140302924,0.5424998184118985,0.5170693246893531,1662,1662,10,47,"[270, 161, 303, 186, 95, 47, 72, 210, 125, 193]",0.2424169475204622,0.1808945155454694,0.82528881089258,5c355a8be0c5307d59d9c2becb94bc86a57315bb3308f3b982f613f1fe5de199,1755af3a5059e36bb99159ffa283d2550e0fffcd861e809cecd4d698a5aef45a,5a21b0cfaedeaafb8159c5700c91963af0778568ad08535a804d12ceafedc34a,,False,0,0.22136998176574707,407.390625,,0,1
