lane,run_id,arm,config_id,ari,nmi,ami,fmi,neighbor_agreement,moran_macro_ovr,geary_macro_ovr,min_cluster_size,cluster_sizes,partition_sha256,representation_sha256,training_seed,evaluator_label_reads,delta_ari_vs_frozen,delta_nmi_vs_frozen,delta_ari_vs_strongest_control,delta_nmi_vs_strongest_control
MISAR_K7,F03_ANCHORED__FULL_WEIGHTED__S0,FULL_WEIGHTED,F03_ANCHORED,0.35914458163174984,0.5345729217926564,0.5321414680089732,0.48127418887434587,0.9184347103304352,0.8990049475007845,0.1004024922489465,166,"[369,400,256,166,267,276,215]",e9d3dbaa25fbb35760558361af52f21178273498de23bcd37cf733230d0b0170,9a54ee2bae0ebb75edd43d93a4634cc8f11f15d26cea43b46fb52a2a12d0a14a,0,1,-0.0019687676825486666,-0.0025986720590502888,-0.0019687676825486666,-0.0037441655451952993
MISAR_K7,F03_ANCHORED__UNWEIGHTED_RELATION__S0,UNWEIGHTED_RELATION,F03_ANCHORED,0.3593393682551326,0.5341497031701223,0.5317159055219385,0.48143701524500987,0.9173569945091183,0.8980237407117667,0.1013759999187034,165,"[398,370,258,165,214,279,265]",4e6d950ce296ad0257581b50f26508090e4d2b3300d98dff3ee502898227c345,40aa490b385571fdf0884687cfbefa794a18d26d802a44e4b6188ea53dcd7536,0,1,-0.00177398105916593,-0.003021890681584316,-0.00177398105916593,-0.004167384167729327
MISAR_K7,F03_ANCHORED__UNBIASED_BANK_WEIGHTED__S0,UNBIASED_BANK_WEIGHTED,F03_ANCHORED,0.3583005141587254,0.5310008185369696,0.5285526291674223,0.4804505038731555,0.9197348855414803,0.9011953357880057,0.0982482387997413,171,"[369,394,257,171,215,270,273]",665a3a0d893d2553cf4ee3d8f5bbeff04a5147518e89196020d28d71ba6e9e4b,b6c218b3fcd6fb8f798ae0946e50af93449d2891018d611c644e5be60d7993a1,0,1,-0.0028128351555731235,-0.006170775314737087,-0.0028128351555731235,-0.0073162688008820975
MISAR_K7,F03_ANCHORED__RELATION_PERMUTED__S0,RELATION_PERMUTED,F03_ANCHORED,0.3600928322378702,0.533015158689786,0.5305781718846437,0.4819230297453466,0.9187768880794344,0.8998054434085251,0.09965687831801819,178,"[265,270,395,370,178,211,260]",8af49899cbdfb86a6a3374d4c30a509c18b5d91e9d42610f03b7c6e5d1af7c3e,7c2372d8fb641cff257a1a3fe76a97158782999877e5b4129af4052bf8775e4b,0,1,-0.0010205170764283067,-0.004156435161920657,-0.0010205170764283067,-0.005301928648065668
MISAR_K7,F03_ANCHORED__SINGLE_VIEW1__S0,SINGLE_VIEW1,F03_ANCHORED,0.3594937477237962,0.5321335158399089,0.5296923998320135,0.4813912737700729,0.9180583899828999,0.8994770521914203,0.099970847596952,178,"[275,367,268,178,395,252,214]",638c1f93d91289dd258a28720f7d4d9671924424077506c8f485a69ee91c4fe8,73ca2e9b0fede734e3dd9c12ea99d6192bd5e40d0a1bab3efca73e41ef78cd24,0,1,-0.0016196015905022842,-0.005038078011797786,-0.0016196015905022842,-0.006183571497942797
MISAR_K7,F03_ANCHORED__SINGLE_VIEW2__S0,SINGLE_VIEW2,F03_ANCHORED,0.3624956181689856,0.5400555491206848,0.5376547343116291,0.4839771274316031,0.9204191783925089,0.9018608202093888,0.09754514021168768,177,"[177,369,401,259,216,257,270]",fb1b033d045e7e79f4c0d7111817edc84a3db47c36f859dac1cec9e6f71139d9,d3fcb97e9744ee404ee871aa319442e3ebbbec03b0814d459f50a9b751a1b15f,0,1,0.0013822688546871187,0.002883955268978111,0.0013822688546871187,0.0017384617828331006
P22_K9,BASELINE__FROZEN_RETAINED,FROZEN_RETAINED_SAME_HEAD,BASELINE,0.3893208525073957,0.5784037483938195,0.5776923150201647,0.47587557030383065,0.8573291745602739,0.8384116403956239,0.16174153243553338,708,"[1009,1491,1232,708,894,1604,711,736,811]",9f4d2239dd47e1d3c735ee2e6e6be9d8f1b0a91dc92be15b6148349f9fb530b9,0c67c0eebbcea4da157ec7cab84026052137394bb2646c6db9516f63a6ecd74f,0,1,0.0,0.0,-0.004478340598250696,-0.006253769325391234
P22_K9,BASELINE__FEASIBLE_RELATION_SMOOTH,FEASIBLE_CONSENSUS_SAME_HEAD,BASELINE,0.3937991931056464,0.5846575177192107,0.5839565457229017,0.47978395089014936,0.8703888428060156,0.8523203053878176,0.14786265833635018,705,"[1591,1496,1260,731,715,705,892,805,1001]",a1f29cf43cef9c98c8b423b2835762d048d747f4a719a5639355ec3c216c1c1d,4882ca09328fdadce05ec5221633fc939ae165d07fc56cc7497cd63b252577b1,0,1,0.004478340598250696,0.006253769325391234,0.0,0.0
P22_K9,F03_ANCHORED__FULL_WEIGHTED__S0,FULL_WEIGHTED,F03_ANCHORED,0.43868078887595796,0.5881421439341474,0.5874350814182211,0.5219472233026307,0.8771883412923523,0.8431502984317604,0.15720121228781425,545,"[545,2264,826,716,735,725,642,1189,1554]",e4cbf0bcf7b5403a321c37a32ff70053ae92c1c8f7920ae495e9d3c89a76fe84,1b96c3ea45b87f4760c9a87c8f2bdd3b65a5f3d9538f44ccfad432df463f5c82,0,1,0.049359936368562285,0.00973839554032796,0.04488159577031159,0.0034846262149367258
P22_K9,F03_ANCHORED__UNWEIGHTED_RELATION__S0,UNWEIGHTED_RELATION,F03_ANCHORED,0.438613271731752,0.5877064380418955,0.5869986980910755,0.5218659827277815,0.8770978609296671,0.8431034008609832,0.1572350976667491,546,"[1187,737,830,724,716,1553,641,546,2262]",6f8c0c0cc4f5cd0054cb609cc624d4c8d7789fa26012e93277a6e06f10b66389,885f453fdc5054ddfb8a9cbdd9125d5034e580826bd7a625edb4396ae3d2dc33,0,1,0.04929241922435634,0.009302689648076012,0.04481407862610565,0.0030489203226847783
