dataset,variant,attention,alternative_0_mean,alternative_0_seed_sd,alternative_1_mean,alternative_1_seed_sd,max_row_sum_deviation
p22,asr_hvg,alpha_omics1,0.7513980507850647,0.008343280602301217,0.24860191941261292,0.008343286439569827,1.1920928955078125e-07
p22,asr_hvg,alpha_omics2,0.8026316642761231,0.016470864843935007,0.197368323802948,0.01647089666473589,1.1920928955078125e-07
p22,asr_rescue,alpha,0.7820295214653015,0.034721854925839964,0.2179705172777176,0.034721836331296226,1.1920928955078125e-07
p22,asr_rescue,alpha_omics1,0.7255964040756225,0.017416675240337978,0.27440358996391295,0.01741667696588754,1.1920928955078125e-07
p22,asr_rescue,alpha_omics2,0.7495824098587036,0.018421783357035273,0.2504176139831543,0.018421753743132208,1.1920928955078125e-07
p22,corrected_unweighted,alpha,0.599030327796936,0.03358250028618151,0.40096967220306395,0.03358250446219343,1.1920928955078125e-07
p22,corrected_unweighted,alpha_omics1,0.7514838457107544,0.008336914493806663,0.24851614534854888,0.008336936387375463,1.1920928955078125e-07
p22,corrected_unweighted,alpha_omics2,0.8027780055999756,0.016562216894931422,0.19722196459770203,0.016562219425951177,1.1920928955078125e-07
p22,legacy_exact,alpha,0.6229902029037475,0.03395084591887157,0.37700979709625243,0.033950887535737335,1.1920928955078125e-07
p22,legacy_exact,alpha_omics1,0.7573001861572266,0.008064348534554216,0.24269983172416687,0.008064354790393642,1.1920928955078125e-07
p22,legacy_exact,alpha_omics2,0.7994836091995239,0.016246012753923855,0.2005163997411728,0.01624602959387559,1.1920928955078125e-07
placenta,abundance_only,alpha,0.5639633893966675,0.011355409698677687,0.43603662252426145,0.011355422101101204,1.1920928955078125e-07
placenta,abundance_only,alpha_omics1,0.4524641573429108,0.0040308025219345876,0.5475358486175537,0.004030812280035571,1.1920928955078125e-07
placenta,abundance_only,alpha_omics2,0.4987103343009949,0.0009127599416530519,0.5012896537780762,0.0009127377051982271,5.960464477539063e-08
placenta,asr_hvg,alpha,0.5672240018844604,0.012108358338335703,0.43277597427368164,0.012108348168751084,1.1920928955078125e-07
placenta,asr_hvg,alpha_omics1,0.45116071701049804,0.004214021986433711,0.5488392949104309,0.004214044097919465,1.1920928955078125e-07
placenta,asr_hvg,alpha_omics2,0.4987101972103119,0.000913053090393055,0.5012898087501526,0.0009130602597755949,5.960464477539063e-08
placenta,asr_rescue,alpha,0.6441177010536194,0.022403479630140468,0.355882328748703,0.022403461653845182,1.1920928955078125e-07
placenta,asr_rescue,alpha_omics1,0.477351051568985,0.004490197426136583,0.5226489305496216,0.004490173379174624,1.1920928955078125e-07
placenta,asr_rescue,alpha_omics2,0.49989821910858157,0.0013999118034167819,0.5001017689704895,0.0013999317577770647,5.960464477539063e-08
placenta,corrected_unweighted,alpha,0.5677794814109802,0.012261938934475303,0.43222052454948423,0.012261934209572724,1.1920928955078125e-07
placenta,corrected_unweighted,alpha_omics1,0.4509683847427368,0.00420672188705741,0.5490316152572632,0.004206745709776028,1.1920928955078125e-07
placenta,corrected_unweighted,alpha_omics2,0.4987101435661316,0.0009135206523519121,0.5012898445129395,0.0009135435544453905,5.960464477539063e-08
placenta,legacy_exact,alpha,0.6960760593414307,0.017136588742808708,0.3039239525794983,0.017136613596616775,1.1920928955078125e-07
placenta,legacy_exact,alpha_omics1,0.43255503177642823,0.007988142911799575,0.5674449682235718,0.007988170749330963,1.1920928955078125e-07
placenta,legacy_exact,alpha_omics2,0.4986411690711975,0.0009615609075951601,0.5013588309288025,0.0009615739593923349,5.960464477539063e-08
