dataset,variant,seed,attention,alternative_0_mean,alternative_1_mean,alternative_0_sd_across_locations,max_row_sum_deviation
a1,asr_rescue,3,alpha,0.530851423740387,0.46914854645729065,0.22434455156326294,1.1920928955078125e-07
a1,asr_rescue,4,alpha_omics1,0.49635666608810425,0.5036433339118958,0.1472865492105484,1.1920928955078125e-07
a1,asr_rescue,4,alpha_omics2,0.5053083300590515,0.4946916997432709,0.10302683711051941,1.1920928955078125e-07
a1,asr_rescue,4,alpha,0.5378207564353943,0.4621792137622833,0.24442490935325623,1.1920928955078125e-07
a1,corrected_unweighted,0,alpha_omics1,0.4994301497936249,0.5005698204040527,0.1450941413640976,1.1920928955078125e-07
a1,corrected_unweighted,0,alpha_omics2,0.502558171749115,0.4974418580532074,0.10665150731801987,1.1920928955078125e-07
a1,corrected_unweighted,0,alpha,0.5315315127372742,0.4684685170650482,0.23221705853939056,1.1920928955078125e-07
a1,corrected_unweighted,1,alpha_omics1,0.4989841878414154,0.5010157823562622,0.13227654993534088,1.1920928955078125e-07
a1,corrected_unweighted,1,alpha_omics2,0.5071039795875549,0.4928959906101227,0.09838105738162994,1.1920928955078125e-07
a1,corrected_unweighted,1,alpha,0.5078567266464233,0.49214327335357666,0.24372611939907074,1.1920928955078125e-07
a1,corrected_unweighted,2,alpha_omics1,0.5004354119300842,0.49956458806991577,0.13523709774017334,1.1920928955078125e-07
a1,corrected_unweighted,2,alpha_omics2,0.5058792233467102,0.4941208064556122,0.10823327302932739,1.1920928955078125e-07
a1,corrected_unweighted,2,alpha,0.5011064410209656,0.4988935589790344,0.21996885538101196,1.1920928955078125e-07
a1,corrected_unweighted,3,alpha_omics1,0.49816229939460754,0.5018377304077148,0.1538596898317337,1.1920928955078125e-07
a1,corrected_unweighted,3,alpha_omics2,0.50215083360672,0.4978491961956024,0.09080056846141815,1.1920928955078125e-07
a1,corrected_unweighted,3,alpha,0.5159720182418823,0.4840279817581177,0.22876907885074615,1.1920928955078125e-07
a1,corrected_unweighted,4,alpha_omics1,0.5024359822273254,0.4975639879703522,0.14438121020793915,1.1920928955078125e-07
a1,corrected_unweighted,4,alpha_omics2,0.5053580403327942,0.4946419298648834,0.10145675390958786,1.1920928955078125e-07
a1,corrected_unweighted,4,alpha,0.5191534161567688,0.4808465838432312,0.24416686594486237,1.1920928955078125e-07
a1,legacy_exact,0,alpha_omics1,0.4993092119693756,0.5006908178329468,0.14482782781124115,1.1920928955078125e-07
a1,legacy_exact,0,alpha_omics2,0.50253826379776,0.49746173620224,0.10674664378166199,1.1920928955078125e-07
a1,legacy_exact,0,alpha,0.5319721698760986,0.468027800321579,0.2312597632408142,1.1920928955078125e-07
a1,legacy_exact,1,alpha_omics1,0.49898597598075867,0.501013994216919,0.13192860782146454,1.1920928955078125e-07
a1,legacy_exact,1,alpha_omics2,0.5070945024490356,0.49290549755096436,0.0983625277876854,1.1920928955078125e-07
a1,legacy_exact,1,alpha,0.5080979466438293,0.49190205335617065,0.24301515519618988,1.1920928955078125e-07
a1,legacy_exact,2,alpha_omics1,0.5005100965499878,0.4994899332523346,0.13489322364330292,1.1920928955078125e-07
a1,legacy_exact,2,alpha_omics2,0.5058671832084656,0.4941328465938568,0.1082104966044426,1.1920928955078125e-07
a1,legacy_exact,2,alpha,0.5014121532440186,0.49858784675598145,0.21862851083278656,1.1920928955078125e-07
a1,legacy_exact,3,alpha_omics1,0.49809691309928894,0.5019031167030334,0.1535577028989792,1.1920928955078125e-07
a1,legacy_exact,3,alpha_omics2,0.5021588802337646,0.49784114956855774,0.09072770178318024,1.1920928955078125e-07
a1,legacy_exact,3,alpha,0.5168398022651672,0.48316022753715515,0.22867421805858612,1.1920928955078125e-07
a1,legacy_exact,4,alpha_omics1,0.5025059580802917,0.49749401211738586,0.14380699396133423,1.1920928955078125e-07
a1,legacy_exact,4,alpha_omics2,0.5053266882896423,0.49467334151268005,0.10151725262403488,1.1920928955078125e-07
a1,legacy_exact,4,alpha,0.5192820429801941,0.4807179272174835,0.2435135841369629,1.1920928955078125e-07
p22,abundance_only,0,alpha_omics1,0.7408952116966248,0.25910472869873047,0.21934284269809723,1.1920928955078125e-07
p22,abundance_only,0,alpha_omics2,0.7885516881942749,0.2114482969045639,0.1624043881893158,1.1920928955078125e-07
p22,abundance_only,0,alpha,0.6246724724769592,0.37532752752304077,0.4410235583782196,1.1920928955078125e-07
p22,abundance_only,1,alpha_omics1,0.7477754354476929,0.25222450494766235,0.21027588844299316,1.1920928955078125e-07
p22,abundance_only,1,alpha_omics2,0.8052536249160767,0.19474640488624573,0.16132551431655884,1.1920928955078125e-07
p22,abundance_only,1,alpha,0.5660688877105713,0.4339311420917511,0.4465341567993164,1.1920928955078125e-07
p22,abundance_only,2,alpha_omics1,0.7637821435928345,0.2362179011106491,0.2029799073934555,1.1920928955078125e-07
p22,abundance_only,2,alpha_omics2,0.8245214223861694,0.17547859251499176,0.15582722425460815,1.1920928955078125e-07
p22,abundance_only,2,alpha,0.5845044255256653,0.4154956340789795,0.4324794411659241,1.1920928955078125e-07
p22,abundance_only,3,alpha_omics1,0.7506883144378662,0.2493116557598114,0.2181098610162735,1.1920928955078125e-07
p22,abundance_only,3,alpha_omics2,0.7838798761367798,0.216120183467865,0.16262993216514587,1.1920928955078125e-07
p22,abundance_only,3,alpha,0.6435093879699707,0.3564905822277069,0.43777066469192505,1.1920928955078125e-07
p22,abundance_only,4,alpha_omics1,0.7524617314338684,0.247538223862648,0.21107561886310577,1.1920928955078125e-07
p22,abundance_only,4,alpha_omics2,0.8099279999732971,0.19007200002670288,0.16525694727897644,1.1920928955078125e-07
p22,abundance_only,4,alpha,0.5748319625854492,0.42516806721687317,0.44698628783226013,1.1920928955078125e-07
p22,asr_hvg,0,alpha_omics1,0.7412242889404297,0.2587756812572479,0.21909916400909424,1.1920928955078125e-07
p22,asr_hvg,0,alpha_omics2,0.7887475490570068,0.21125246584415436,0.16246844828128815,1.1920928955078125e-07
p22,asr_hvg,0,alpha,0.6248820424079895,0.3751179277896881,0.4409501850605011,1.1920928955078125e-07
p22,asr_hvg,1,alpha_omics1,0.7479804754257202,0.2520194947719574,0.21015004813671112,1.1920928955078125e-07
p22,asr_hvg,1,alpha_omics2,0.805459201335907,0.19454076886177063,0.16132062673568726,1.1920928955078125e-07
p22,asr_hvg,1,alpha,0.5662541389465332,0.4337458908557892,0.4465015232563019,1.1920928955078125e-07
