formal_id,dataset,cluster_k,model_seed,endpoint_seed,status,label_policy,labels_in_fit_gradient_or_checkpoint,config_sha256,source_view_path,source_view_sha256,embedding_sha256,partition_sha256,wall_seconds,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,source_stage
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,0,2,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,97e45c47c7151310d795939ebd8cfe26640d24cf6895a16bbb8e3f3427548b77,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/MISAR_E15_5_S1/seed_0/roundtrip_expected.npz,bccac96d039784c280633fb1ce744242614d7cffca47d3bd027c973ffbb284b0,2ae83dab1887762fa13c0ec51a253687c0c6093459c91c14300637f766288535,fb208db9d5767147fdc32fae43be09b0609299c2d3c6fdc3314f21b4da2e8268,0.3043207935988903,0.3660734350386063,0.5187360059088646,0.5161578360733036,0.491427717405665,0.5408667614562488,0.5187360059088645,0.9294367923550264,0.0691595412875865,FROZEN_FORMAL
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,1,0,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,97e45c47c7151310d795939ebd8cfe26640d24cf6895a16bbb8e3f3427548b77,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/MISAR_E15_5_S1/seed_1/roundtrip_expected.npz,6615724d17c6b9ac2afbb116a3907756b16c00fa25739da0f22c9f28dd6d9694,bc07892305581278ea28b9ee15768ec2d09a477b374e65481b34120a1d81cad3,cd8f158baad1ff82fd910037c9427caa4bcecc0eed534c638fd01c75ba7e03fb,0.3141051586717367,0.475547563306255,0.6084364915531629,0.6063597920939737,0.5790350555740112,0.6399457219118843,0.6084364915531628,0.9340008832527336,0.0669926931342485,FROZEN_FORMAL
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,1,1,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,97e45c47c7151310d795939ebd8cfe26640d24cf6895a16bbb8e3f3427548b77,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/MISAR_E15_5_S1/seed_1/roundtrip_expected.npz,6615724d17c6b9ac2afbb116a3907756b16c00fa25739da0f22c9f28dd6d9694,bc07892305581278ea28b9ee15768ec2d09a477b374e65481b34120a1d81cad3,dc99a69b8df02080d377530a2a3c2e9d38af9210836818d5bebb2612818302f7,0.2694668173789978,0.3558175377929419,0.4909500903333817,0.4882856538262932,0.4790389587117371,0.5218864742562598,0.4909500903333817,0.9361899186871092,0.0655679592172658,FROZEN_FORMAL
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,1,2,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,97e45c47c7151310d795939ebd8cfe26640d24cf6895a16bbb8e3f3427548b77,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/MISAR_E15_5_S1/seed_1/roundtrip_expected.npz,6615724d17c6b9ac2afbb116a3907756b16c00fa25739da0f22c9f28dd6d9694,bc07892305581278ea28b9ee15768ec2d09a477b374e65481b34120a1d81cad3,f8e080e232409801cc3567b897e17923327f920e6c6e374db02ca3c69402faf3,0.2496711239218711,0.3984140130584945,0.5668188492201358,0.5644966136989229,0.5174931183925697,0.5909039387178023,0.5668188492201358,0.9182346841660696,0.0818370996973627,FROZEN_FORMAL
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,2,0,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,97e45c47c7151310d795939ebd8cfe26640d24cf6895a16bbb8e3f3427548b77,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/MISAR_E15_5_S1/seed_2/roundtrip_expected.npz,e2ba4d235574e3bd75d93c145d28dc6be8c470ce60bfe995d929df89e8cddf7d,396f25d9415de8a71277d6d1b54111e06368e249c5443fb8041816f7e0811270,38d65aefa645a87c1de88cfe899411be0a3d4c4774c955da76d82382581f0435,0.2996674384921789,0.3400742678105161,0.5129977201579694,0.5104485945722069,0.4656881430245049,0.5454458757285201,0.5129977201579693,0.93220492358454,0.0694071577786711,FROZEN_FORMAL
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,2,1,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,97e45c47c7151310d795939ebd8cfe26640d24cf6895a16bbb8e3f3427548b77,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/MISAR_E15_5_S1/seed_2/roundtrip_expected.npz,e2ba4d235574e3bd75d93c145d28dc6be8c470ce60bfe995d929df89e8cddf7d,396f25d9415de8a71277d6d1b54111e06368e249c5443fb8041816f7e0811270,ec0c4151074e15223b2302cf908febc6b394ea67827bb45fae22fd345f4b11c6,0.291196871548891,0.4003992854842524,0.5345676070800849,0.5321195622569205,0.5167041450993323,0.5658171403308759,0.5345676070800849,0.9286091515481372,0.0728162069619531,FROZEN_FORMAL
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,2,2,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,97e45c47c7151310d795939ebd8cfe26640d24cf6895a16bbb8e3f3427548b77,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/MISAR_E15_5_S1/seed_2/roundtrip_expected.npz,e2ba4d235574e3bd75d93c145d28dc6be8c470ce60bfe995d929df89e8cddf7d,396f25d9415de8a71277d6d1b54111e06368e249c5443fb8041816f7e0811270,5e0d6ae8fb2a20e5792a7371122ff3f3930ba2cfb050384938cbe2200ac8b484,0.2629367336630821,0.4266950940620812,0.5686504172719355,0.5663759440193978,0.5385491834267419,0.6006972532746834,0.5686504172719357,0.928489928020056,0.0733777358453778,FROZEN_FORMAL
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,0,0,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,ac17a800278589acb478119f2b787f650c86313551a63f3d27de32a5b5c77dbc,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/MISAR_E15_5_S1/seed_0/roundtrip_expected.npz,bccac96d039784c280633fb1ce744242614d7cffca47d3bd027c973ffbb284b0,16157c9b33d38cf2257fb60a39d51f2b8c34fb095b44f3a20cfb98e5f411fbf4,d7bbbd7a795facbb111bb4e28d0055be6f971fb3e61445f7828cca86b3222070,0.2909406628459692,0.4142752375766465,0.5328709531713021,0.5286549881071411,0.5260923703833688,0.6188887041726925,0.5328709531713021,0.9021818465361644,0.0987635860684314,FROZEN_FORMAL
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,0,1,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,ac17a800278589acb478119f2b787f650c86313551a63f3d27de32a5b5c77dbc,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/MISAR_E15_5_S1/seed_0/roundtrip_expected.npz,bccac96d039784c280633fb1ce744242614d7cffca47d3bd027c973ffbb284b0,16157c9b33d38cf2257fb60a39d51f2b8c34fb095b44f3a20cfb98e5f411fbf4,68857d3b115f7a48f2bd352a1ffcd06b7e16f7da024f6e7d5d7e4abb7ea0f4f6,0.2883276920765638,0.2463199570417083,0.4355930620172963,0.4305750252912482,0.3803736825964611,0.5113925343760508,0.4355930620172963,0.8969736154686921,0.101197629162656,FROZEN_FORMAL
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,0,2,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,ac17a800278589acb478119f2b787f650c86313551a63f3d27de32a5b5c77dbc,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/MISAR_E15_5_S1/seed_0/roundtrip_expected.npz,bccac96d039784c280633fb1ce744242614d7cffca47d3bd027c973ffbb284b0,16157c9b33d38cf2257fb60a39d51f2b8c34fb095b44f3a20cfb98e5f411fbf4,5bf5b06908443ee30efa4dbde57c91d94b8d279205a721c10fb3a009af0c23ea,0.2279117833822965,0.2331419745528068,0.4596265675087961,0.4549303350258734,0.3643544900865036,0.550350442700793,0.4596265675087961,0.9010536817626924,0.096677278269303,FROZEN_FORMAL
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,1,0,PASS,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,False,ac17a800278589acb478119f2b787f650c86313551a63f3d27de32a5b5c77dbc,/root/autodl-fs/night14a_topology_conflict_sprint_20260823/formal/development_cycle3/C15_BAL_XREC_600_WEAK_ALIGN/MISAR_E15_5_S1/seed_1/roundtrip_expected.npz,6615724d17c6b9ac2afbb116a3907756b16c00fa25739da0f22c9f28dd6d9694,f02291600b018fae1e50baadc3670e658de03737b0a05ec896d1360bb8a93930,457e2877e5506cdc5572708fccf5f5e6afe22ffaaa79806996de6d6bc29ec9d1,0.1968915238976478,0.2769708767047941,0.4806616117196904,0.4761604147007928,0.4043382442598626,0.5776183266008793,0.4806616117196904,0.9099796342387187,0.0960174018671044,FROZEN_FORMAL
