stage,dataset,source,filter_id,head,cluster_k,endpoint_seed,embedding_sha256,partition_sha256,label_policy,status,dense_n_by_n_count,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,exact_identity_fallback,edge_count,interior_fraction,boundary_fraction,conflict_fraction,abstain_fraction,trust_mean,surviving_directed_edges,identity_abstention_rows,endpoint_wall_seconds,head_head_id,head_fallback,head_affinity_nnz,head_affinity_sha256,head_clusters_sha256,head_graph_k,head_anchor,head_iterations,source_stage,candidate_id,model_seed,optimizer_steps,trainable_parameter_count,parameters_changed,fresh_process_status,wall_seconds,gpu_seconds,peak_gpu_mib,peak_rss_mib,head_id,labels_in_fit,operator_nnz,anisotropic_scale,representation,pca_dimension,coordinate_basis,coordinate_weight,algorithm,parent_head_id,graph_k,anchor,iterations,parent_candidate_id,potts_beta,formal_id,labels_in_fit_gradient_or_checkpoint,config_sha256,source_view_path,source_view_sha256
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,364efb2e4867e680fbb862a4034fe16b74b1eace5cb09e3b311884f080169d53,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4698711050551066,0.5994508065052534,0.5973458442149688,0.5738748041386339,0.6350820325114495,0.5994508065052535,0.919727800918657,0.0792422969684489,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.1_I5,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.1,5.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,364efb2e4867e680fbb862a4034fe16b74b1eace5cb09e3b311884f080169d53,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4698711050551066,0.5994508065052534,0.5973458442149688,0.5738748041386339,0.6350820325114495,0.5994508065052535,0.919727800918657,0.0792422969684489,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.1_I10,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.1,10.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,364efb2e4867e680fbb862a4034fe16b74b1eace5cb09e3b311884f080169d53,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4698711050551066,0.5994508065052534,0.5973458442149688,0.5738748041386339,0.6350820325114495,0.5994508065052535,0.919727800918657,0.0792422969684489,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.1_I20,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.1,20.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,fd14a4b069010dd7d51c7e77d551f192e3c491c3217e722e4c1b71fe9ab31170,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4698443839601808,0.6022508455735849,0.6001614177967969,0.5738289550167021,0.6382605822185943,0.602250845573585,0.9165809204454496,0.0822911683510947,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.2_I2,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.2,2.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,fd14a4b069010dd7d51c7e77d551f192e3c491c3217e722e4c1b71fe9ab31170,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4698443839601808,0.6022508455735849,0.6001614177967969,0.5738289550167021,0.6382605822185943,0.602250845573585,0.9165809204454496,0.0822911683510947,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.2_I5,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.2,5.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,fd14a4b069010dd7d51c7e77d551f192e3c491c3217e722e4c1b71fe9ab31170,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4698443839601808,0.6022508455735849,0.6001614177967969,0.5738289550167021,0.6382605822185943,0.602250845573585,0.9165809204454496,0.0822911683510947,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.2_I10,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.2,10.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,fd14a4b069010dd7d51c7e77d551f192e3c491c3217e722e4c1b71fe9ab31170,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4698443839601808,0.6022508455735849,0.6001614177967969,0.5738289550167021,0.6382605822185943,0.602250845573585,0.9165809204454496,0.0822911683510947,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.2_I20,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.2,20.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,15d079fca56242f5e9248bb1f0fe8b2846d30eb56c7f6248ed6ddd0bc1d72569,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4717638372919837,0.6055354340708129,0.6034636820407319,0.5754035291340381,0.6418581192603686,0.6055354340708129,0.9136789433356728,0.0852293642923295,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.5_I2,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.5,2.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,15d079fca56242f5e9248bb1f0fe8b2846d30eb56c7f6248ed6ddd0bc1d72569,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4717638372919837,0.6055354340708129,0.6034636820407319,0.5754035291340381,0.6418581192603686,0.6055354340708129,0.9136789433356728,0.0852293642923295,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.5_I5,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.5,5.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,15d079fca56242f5e9248bb1f0fe8b2846d30eb56c7f6248ed6ddd0bc1d72569,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4717638372919837,0.6055354340708129,0.6034636820407319,0.5754035291340381,0.6418581192603686,0.6055354340708129,0.9136789433356728,0.0852293642923295,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.5_I10,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.5,10.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,15d079fca56242f5e9248bb1f0fe8b2846d30eb56c7f6248ed6ddd0bc1d72569,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4717638372919837,0.6055354340708129,0.6034636820407319,0.5754035291340381,0.6418581192603686,0.6055354340708129,0.9136789433356728,0.0852293642923295,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A0.5_I20,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,0.5,20.0,,,,,,,
SPATIAL_HEAD_REFINEMENT,MISAR_E15_5_S1,,EXT_LOW_K12_B90_S3,,7,,,15d079fca56242f5e9248bb1f0fe8b2846d30eb56c7f6248ed6ddd0bc1d72569,PUBLIC_BENCHMARK_HPO_ONLY_NOT_IN_UNSUPERVISED_TRAINING,PASS,,0.4717638372919837,0.6055354340708129,0.6034636820407319,0.5754035291340381,0.6418581192603686,0.6055354340708129,0.9136789433356728,0.0852293642923295,,,,,,,,,,,,,,,,,,,TARGETED_HEAD_SEARCH,,,,,,,,,,,MAJ_K30_A1.0_I2,False,,,,,,,,GMM_DIAG_EQUAL3_PCA32_POLY2_W0.60,30.0,1.0,2.0,,,,,,,
