dataset,family,role,variant,candidate_id,absolute_ari,absolute_nmi,delta_ari_vs_input,delta_nmi_vs_input,min_cluster_size_full,partition_sha256
tonsil_s2,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,REJECTED_MASS_STAY_OFF,REJECTED_MASS_STAY_OFF_44ae16f7052a81,0.2123093284315133,0.2723143076345996,-0.04647603860646249,-0.044231930994224844,516,a234363cc6a2b5ce148d8fe59b633cb65a2c8820bdeb7de85090e10d130bdc93
tonsil_s2,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,PURE_SUPPORT_POTTS_FULL,PURE_SUPPORT_POTTS_FULL_80717da96750fc,0.256288399984892,0.312770700222382,-0.002496967053083776,-0.0037755384064424025,451,d3a9a2bee6eadf55f1322022a2470f66d4f0161cbddca4dee93c3f70ca8755cb
tonsil_s3,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,INPUT_STRONG_START,INPUT_STRONG_START,0.3512833622509198,0.310249228825364,0.0,0.0,294,ce4f0a38251311fb40664663bc0b1b5576eac6c75b92ab92eb872be5069a60fd
tonsil_s3,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,NIGHT15F_DIRECT,NIGHT15F_DIRECT_fb04d51736b95c,0.351412991792226,0.3087630021925072,0.00012962954130624205,-0.001486226632856802,305,b71b0fdf54c5e45539deab4ac14e114d67b43c375e3070ec4c73d724154800f8
tonsil_s3,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,TSRE_FULL,TSRE_FULL_2ee7a3d777cdc5,0.3512833622509198,0.310249228825364,0.0,0.0,294,ce4f0a38251311fb40664663bc0b1b5576eac6c75b92ab92eb872be5069a60fd
tonsil_s3,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,SUPPORT_MODULATION_ONLY,SUPPORT_MODULATION_ONLY_8fe318ada0c205,0.3505657356989609,0.3090346385495637,-0.0007176265519588942,-0.0012145902758002869,300,e2c7aba5ab331da7d6c680442356dc79f797d6c65541604795a182b9c3825b81
tonsil_s3,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,BOUNDARY_OFF,BOUNDARY_OFF_faf17cc663451e,0.3512833622509198,0.310249228825364,0.0,0.0,294,ce4f0a38251311fb40664663bc0b1b5576eac6c75b92ab92eb872be5069a60fd
tonsil_s3,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,CONFLICT_PRIVATE_OFF,CONFLICT_PRIVATE_OFF_99326e6d7c4941,0.3512833622509198,0.310249228825364,0.0,0.0,294,ce4f0a38251311fb40664663bc0b1b5576eac6c75b92ab92eb872be5069a60fd
tonsil_s3,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,REJECTED_MASS_STAY_OFF,REJECTED_MASS_STAY_OFF_44ae16f7052a81,0.2728382897653694,0.2668121279975706,-0.07844507248555038,-0.043437100827793396,365,8af5d96c2ecfbf3d7a4c96e51b446ba29e7221179a19b41abedc4b5495fb061a
tonsil_s3,RNA_PROTEIN,FROZEN_OPERATOR_TRANSFER_ON_BENCHMARK_TUNED_START,PURE_SUPPORT_POTTS_FULL,PURE_SUPPORT_POTTS_FULL_80717da96750fc,0.3512833622509198,0.310249228825364,0.0,0.0,294,ce4f0a38251311fb40664663bc0b1b5576eac6c75b92ab92eb872be5069a60fd
