dataset,tissue,protein_target,control,known_structured,shared_oof_r2,bootstrap_stability,p_boot,morans_i,spatial_excess,p_space,combined_evidence
tonsil,tonsil,CD40,LINK_PERMUTATION,0,,0.9085693051675401,1.0,0.31651309224035523,0.317473313253245,1.0,1.0
tonsil,tonsil,PECAM1,LINK_PERMUTATION,0,,0.8929476422018283,1.0,0.2754813294792647,0.2757004765751598,1.0,1.0
tonsil,tonsil,CD4,LINK_PERMUTATION,0,,0.9148915657249653,1.0,0.34112399278666633,0.34156591525498103,1.0,1.0
tonsil,tonsil,ITGAM,LINK_PERMUTATION,0,,0.8434147981212077,1.0,0.1561513158555391,0.15660350293282044,1.0,1.0
tonsil,tonsil,CD27,LINK_PERMUTATION,0,,0.8863556226270668,1.0,0.24464434693100237,0.2450379521503673,1.0,1.0
tonsil,tonsil,CCR7,LINK_PERMUTATION,0,,0.8769818871673409,1.0,0.21478428776823086,0.21535887533389542,1.0,1.0
tonsil,tonsil,CD274,LINK_PERMUTATION,0,,0.8595227346119463,1.0,0.19012420886818626,0.19044110304226156,1.0,1.0
d1,lymph_node,CD163,REAL_RESIDUAL,,0.2465848272592175,0.9010205811326315,1.0,0.26922455590622085,0.2699226998657745,1.0,1.0
d1,lymph_node,CR2,REAL_RESIDUAL,,-0.024300472701723086,0.8713093301965332,1.0,0.1770139878647718,0.17791976801656736,1.0,1.0
d1,lymph_node,PCNA,REAL_RESIDUAL,,0.2289169604001815,0.8955530125302411,1.0,0.25018959486481124,0.25058324916671415,1.0,1.0
d1,lymph_node,VIM,REAL_RESIDUAL,,0.40411819415449635,0.9566062743638493,1.0,0.5344289522407883,0.5338180727864418,1.0,1.0
d1,lymph_node,KRT5,REAL_RESIDUAL,,0.038704362938597026,0.8115206132295381,1.0,0.07134701772871233,0.07185368503347647,1.0,1.0
d1,lymph_node,CD68,REAL_RESIDUAL,,0.38040573385345233,0.8999435274351771,1.0,0.28558416681254883,0.2863054774606024,1.0,1.0
d1,lymph_node,CEACAM8,REAL_RESIDUAL,,0.23917247121310403,0.9378246961848418,1.0,0.4490882102768415,0.44890748564530386,1.0,1.0
d1,lymph_node,PTPRC,REAL_RESIDUAL,,-0.020550318231257192,0.8961882308580367,1.0,0.25114832145816507,0.2505736245148427,1.0,1.0
d1,lymph_node,PAX5,REAL_RESIDUAL,,0.07494216444124924,0.8261023081221348,1.0,0.11385873956728806,0.11432592605567121,1.0,1.0
d1,lymph_node,SDC1,REAL_RESIDUAL,,-0.009211392712724864,0.7618545044888947,1.0,0.06316521126079917,0.06364031136385247,1.0,1.0
d1,lymph_node,CD8A,REAL_RESIDUAL,,0.041889976915637006,0.8944732898290837,1.0,0.2550341993157689,0.25522908644823267,1.0,1.0
d1,lymph_node,BCL2,REAL_RESIDUAL,,0.05444115572284447,0.9393039214835599,1.0,0.4188886165838505,0.4193524763120927,1.0,1.0
d1,lymph_node,CD19,REAL_RESIDUAL,,0.16410720354611985,0.8687986776542569,1.0,0.17181139168725176,0.1717113644770193,1.0,1.0
d1,lymph_node,PDCD1,REAL_RESIDUAL,,0.005221037882416346,0.7925528176821133,1.0,0.0772948739192357,0.07841791548539735,1.0,1.0
d1,lymph_node,ACTA2,REAL_RESIDUAL,,0.3097483029196686,0.9572353613133606,1.0,0.5590516625799477,0.5592918877972206,1.0,1.0
d1,lymph_node,FCGR3A,REAL_RESIDUAL,,0.13924047628945757,0.8670886922974211,1.0,0.15673375538712248,0.156650488410107,1.0,1.0
d1,lymph_node,ITGAX,REAL_RESIDUAL,,0.09207895112423425,0.8618497118472757,1.0,0.16404714667178932,0.1642596202926445,1.0,1.0
d1,lymph_node,CXCR5,REAL_RESIDUAL,,0.041988938371571916,0.7625435272223247,1.0,0.037826348299819,0.038060541369796586,1.0,1.0
d1,lymph_node,EPCAM,REAL_RESIDUAL,,-2.0659159986058384e-05,0.7795689271884965,1.0,0.05996360347088476,0.05991231354340967,1.0,1.0
d1,lymph_node,MS4A1,REAL_RESIDUAL,,0.04064399323295809,0.7801584975336715,1.0,0.06321404651307398,0.06289335027777204,1.0,1.0
d1,lymph_node,CD3E,REAL_RESIDUAL,,0.28458595726585934,0.9115473205559989,1.0,0.3259849434246512,0.3254673979488048,1.0,1.0
d1,lymph_node,CD14,REAL_RESIDUAL,,0.07040920760947456,0.8651580703082612,1.0,0.17523253804231628,0.17589453144613715,1.0,1.0
d1,lymph_node,CD40,REAL_RESIDUAL,,-0.08833366862873504,0.9016928484649719,1.0,0.2597010671637828,0.26047877362717514,1.0,1.0
d1,lymph_node,PECAM1,REAL_RESIDUAL,,0.22524958977681364,0.9063597369785681,1.0,0.29698392724927225,0.29792942866644695,1.0,1.0
d1,lymph_node,CD4,REAL_RESIDUAL,,-0.006461882396992191,0.9080764918262054,1.0,0.2650933133516609,0.2657955128914628,1.0,1.0
d1,lymph_node,ITGAM,REAL_RESIDUAL,,0.25123727396772744,0.8837577078363065,1.0,0.26005600155841474,0.2599850075776653,1.0,1.0
d1,lymph_node,CD27,REAL_RESIDUAL,,-0.002512515794661052,0.8630584766177478,1.0,0.17080639691445232,0.1706836506944846,1.0,1.0
d1,lymph_node,CCR7,REAL_RESIDUAL,,0.14030885773335866,0.9099998167475547,1.0,0.29630095919436883,0.2968145148921915,1.0,1.0
d1,lymph_node,CD274,REAL_RESIDUAL,,0.08639547171403861,0.8374232971754387,1.0,0.14334667528414663,0.14426505556522012,1.0,1.0
d1,lymph_node,CD163,DIFFUSED_STRUCTURED,1,,0.9849510891453215,1.0,0.8580746841276158,0.8581386243853983,1.0,1.0
d1,lymph_node,CR2,DIFFUSED_STRUCTURED,1,,0.9831845823413112,1.0,0.8479389006572565,0.847653461826592,1.0,1.0
d1,lymph_node,PCNA,DIFFUSED_STRUCTURED,1,,0.9849941838167013,1.0,0.8607832251077503,0.8603078306492602,1.0,1.0
d1,lymph_node,VIM,DIFFUSED_STRUCTURED,1,,0.9829505092860653,1.0,0.844583312178363,0.8443087735523422,1.0,1.0
d1,lymph_node,KRT5,DIFFUSED_STRUCTURED,1,,0.9847482920197408,1.0,0.8589304352018243,0.8592158236462801,1.0,1.0
d1,lymph_node,CD68,DIFFUSED_STRUCTURED,1,,0.9850436522035084,1.0,0.8600864873468779,0.8607554703472542,1.0,1.0
d1,lymph_node,CEACAM8,DIFFUSED_STRUCTURED,1,,0.9835993855802924,1.0,0.8464073993243951,0.8463416577358428,1.0,1.0
d1,lymph_node,PTPRC,DIFFUSED_STRUCTURED,1,,0.9841081592900587,1.0,0.855338895084738,0.8566980481829634,1.0,1.0
d1,lymph_node,PAX5,DIFFUSED_STRUCTURED,1,,0.9882715054217036,1.0,0.8904709840496533,0.8916237477729853,1.0,1.0
d1,lymph_node,SDC1,DIFFUSED_STRUCTURED,1,,0.9834614235819035,1.0,0.8444460372159268,0.8448030111274141,1.0,1.0
d1,lymph_node,CD8A,DIFFUSED_STRUCTURED,1,,0.9837274114962606,1.0,0.8551600220883594,0.8551775615061236,1.0,1.0
d1,lymph_node,BCL2,DIFFUSED_STRUCTURED,1,,0.9856920152467494,1.0,0.8657377562774463,0.866902440764557,1.0,1.0
d1,lymph_node,CD19,DIFFUSED_STRUCTURED,1,,0.9861295482561958,1.0,0.8723438630646398,0.8728541353446132,1.0,1.0
d1,lymph_node,PDCD1,DIFFUSED_STRUCTURED,1,,0.9872380695972157,1.0,0.8772477921733288,0.8780913253619199,1.0,1.0
d1,lymph_node,ACTA2,DIFFUSED_STRUCTURED,1,,0.9842600217046287,1.0,0.8571148277400295,0.8573231077229021,1.0,1.0
d1,lymph_node,FCGR3A,DIFFUSED_STRUCTURED,1,,0.9861883009213062,1.0,0.8677244845935116,0.8677430938502857,1.0,1.0
d1,lymph_node,ITGAX,DIFFUSED_STRUCTURED,1,,0.9856111437344757,1.0,0.8674926148432875,0.8674867642738618,1.0,1.0
d1,lymph_node,CXCR5,DIFFUSED_STRUCTURED,1,,0.9846198261843858,1.0,0.8536252683576883,0.8530707759976084,1.0,1.0
d1,lymph_node,EPCAM,DIFFUSED_STRUCTURED,1,,0.9874786510729296,1.0,0.8782639531809047,0.8790032755011393,1.0,1.0
d1,lymph_node,MS4A1,DIFFUSED_STRUCTURED,1,,0.986056405766262,1.0,0.8704191216750755,0.8709378429690221,1.0,1.0
d1,lymph_node,CD3E,DIFFUSED_STRUCTURED,1,,0.9844941106901313,1.0,0.8558831683605154,0.8575113421141604,1.0,1.0
d1,lymph_node,CD14,DIFFUSED_STRUCTURED,1,,0.9846477766077449,1.0,0.8604481586588344,0.8613663306325116,1.0,1.0
d1,lymph_node,CD40,DIFFUSED_STRUCTURED,1,,0.9864386193466987,1.0,0.8683779021253192,0.8680211038130001,1.0,1.0
d1,lymph_node,PECAM1,DIFFUSED_STRUCTURED,1,,0.9865407287978962,1.0,0.8737610543395555,0.8729787183972312,1.0,1.0
d1,lymph_node,CD4,DIFFUSED_STRUCTURED,1,,0.9870586628711016,1.0,0.878343882641019,0.8794049474941864,1.0,1.0
d1,lymph_node,ITGAM,DIFFUSED_STRUCTURED,1,,0.9831284929256949,1.0,0.8433305179480562,0.8436818982557842,1.0,1.0
d1,lymph_node,CD27,DIFFUSED_STRUCTURED,1,,0.9864240524478578,1.0,0.8697562746433677,0.8705065997524682,1.0,1.0
d1,lymph_node,CCR7,DIFFUSED_STRUCTURED,1,,0.9867521758880404,1.0,0.8694174675469157,0.8698913724775494,1.0,1.0
d1,lymph_node,CD274,DIFFUSED_STRUCTURED,1,,0.9856320729754993,1.0,0.8691581859797776,0.8699648945173892,1.0,1.0
d1,lymph_node,CD163,MATCHED_IID,0,,0.7039627470657082,0.45454545454545453,0.0063751469364982105,0.006245049023501326,0.79,0.5992419453700726
