ablation,dataset,metric,scope,n_finite,n_missing,positive_delta_count,negative_delta_count,tie_count,full_win_count_corrected,direction,full_win_rule,delta_definition,delta_mean,delta_sd
UNIFORM_WITHIN,placenta,ari,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.14617336397910224,0.06412995251210839
UNIFORM_WITHIN,p22,ari,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.06284823581811001,0.046666310788285585
UNIFORM_WITHIN,ALL,ari,fifteen_seed,15,0,5,10,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.029493657860786986,0.09959906574508032
UNIFORM_WITHIN,a1,nmi,five_seed,5,0,1,4,0,1,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.007414136726394427,0.009510592807203363
UNIFORM_WITHIN,placenta,nmi,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.10657986972138808,0.029665627883581774
UNIFORM_WITHIN,p22,nmi,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.04201001059114826,0.019048933788699714
UNIFORM_WITHIN,ALL,nmi,fifteen_seed,15,0,6,9,0,6,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.023994665285544746,0.06686483525421269
UNIFORM_WITHIN,a1,spatial_neighbor_agreement,five_seed,5,0,3,2,0,3,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.007054471233575698,0.01651284634600471
UNIFORM_WITHIN,placenta,spatial_neighbor_agreement,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.053790613718411553,0.017998319967022138
UNIFORM_WITHIN,p22,spatial_neighbor_agreement,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.03227490213136144,0.01656426269450079
UNIFORM_WITHIN,ALL,spatial_neighbor_agreement,fifteen_seed,15,0,13,2,0,13,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.03103999569444956,0.025292656541537676
UNIFORM_WITHIN,a1,spatial_cluster_moran_mean,five_seed,5,0,3,2,0,3,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.009114709467813665,0.01352098251198011
UNIFORM_WITHIN,placenta,spatial_cluster_moran_mean,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.11839509428809025,0.02310794685571667
UNIFORM_WITHIN,p22,spatial_cluster_moran_mean,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.07400974631140997,0.011121756297587826
UNIFORM_WITHIN,ALL,spatial_cluster_moran_mean,fifteen_seed,15,0,13,2,0,13,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.0671731833557713,0.048966458104716046
UNIFORM_WITHIN,a1,spatial_cluster_geary_mean,five_seed,5,0,2,3,0,3,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.008047048429310654,0.01385469800530932
UNIFORM_WITHIN,placenta,spatial_cluster_geary_mean,five_seed,5,0,0,5,0,5,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.06738327172425218,0.012759716685312889
UNIFORM_WITHIN,p22,spatial_cluster_geary_mean,five_seed,5,0,0,5,0,5,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.074661351411148,0.010721884549052665
UNIFORM_WITHIN,ALL,spatial_cluster_geary_mean,fifteen_seed,15,0,2,13,0,13,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.050030557188236936,0.032983682120987894
UNIFORM_WITHIN,a1,boundary_disagreement,five_seed,5,0,2,3,0,3,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.007054471233575698,0.01651284634600471
UNIFORM_WITHIN,placenta,boundary_disagreement,five_seed,5,0,0,5,0,5,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.05379061371841154,0.01799831996702215
UNIFORM_WITHIN,p22,boundary_disagreement,five_seed,5,0,0,5,0,5,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.03227490213136144,0.01656426269450079
UNIFORM_WITHIN,ALL,boundary_disagreement,fifteen_seed,15,0,2,13,0,13,lower_is_better,delta < 0,FULL_IGE - ABLATION,-0.031039995694449558,0.025292656541537676
UNIFORM_CROSS,a1,ari,five_seed,5,0,2,3,0,2,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.0007388081363066179,0.027458996851147253
UNIFORM_CROSS,placenta,ari,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.12367185592445755,0.05231388216514936
UNIFORM_CROSS,p22,ari,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.061334142579435424,0.029601795946887735
UNIFORM_CROSS,ALL,ari,fifteen_seed,15,0,7,8,0,7,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.021025507160442918,0.08706430106533816
UNIFORM_CROSS,a1,nmi,five_seed,5,0,3,2,0,3,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.0027844375670325605,0.011405057805487293
UNIFORM_CROSS,placenta,nmi,five_seed,5,0,5,0,0,5,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.11692749014395834,0.02684119481551092
UNIFORM_CROSS,p22,nmi,five_seed,5,0,0,5,0,0,higher_is_better,delta > 0,FULL_IGE - ABLATION,-0.03546272476797967,0.011982832885578523
UNIFORM_CROSS,ALL,nmi,fifteen_seed,15,0,8,7,0,8,higher_is_better,delta > 0,FULL_IGE - ABLATION,0.026226775936315363,0.0698701736313401
