lane,control,candidate_id,partition_sha256,arm,start_id,cluster_sizes_full,cluster_sizes_eval,status,failure,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i_macro,gearys_c_macro,neighbor_agreement,min_cluster_size_full,min_cluster_size_eval,n_total,n_evaluated,k,wall_seconds,delta_vs_medoid_ari,delta_vs_medoid_nmi,oracle_gap_ari
MISAR_K7,NO_TOPOLOGY_AXIS,KMEANS_RETAINED_S0__INPUT_START,f40749fcd6e55dbc533a6aace2a770ff12012064b00620b654bc30d215a845e6,INPUT_START,KMEANS_RETAINED_S0,"[149, 230, 250, 369, 407, 279, 265]","[149, 230, 250, 369, 407, 279, 265]",PASS,,0.3556349784747265,0.5354096019683647,0.5329784468474222,0.47856859088716314,0.569464885405559,0.5354096019683647,0.8940381808208301,0.10706574130941296,0.9126298843846041,149.0,149.0,1949.0,1949.0,7.0,0.00017283298075199127,-0.007471820844625665,-0.014877602501195852,0.18629749549919056
MISAR_K7,NO_CLUSTER_RISK_AXIS,AUTHORITY_STRONG_START__DIRECT_BASE,c93cabc50ce7b0988180a9d16eefcced1ea8f54f413b346bc8976dc7bc1e4363,DIRECT_BASE,AUTHORITY_STRONG_START,"[293, 446, 182, 267, 351, 285, 125]","[293, 446, 182, 267, 351, 285, 125]",PASS,,0.5353060549066526,0.658264645807069,0.6564633311016784,0.6279846928894429,0.6958877117624496,0.6582646458070689,0.9225167185254016,0.07943000491844185,0.9373627981852773,125.0,125.0,1949.0,1949.0,7.0,0.09457798860967159,0.17219925558730043,0.10797744133750842,0.006626419067264466
MISAR_K7,BASIN_FIRST,KMEANS_RETAINED_S1__ATAC_ONLY_SUPPORT,7b8eb24374b9909fd39cc2d5a3f2288ecbc2ad31afa96f0dac25cd13161a5584,ATAC_ONLY_SUPPORT,KMEANS_RETAINED_S1,"[145, 382, 286, 410, 258, 244, 224]","[145, 382, 286, 410, 258, 244, 224]",PASS,,0.36353160216279407,0.550851840455154,0.5484976340003345,0.4854019307836222,0.585046178821233,0.550851840455154,0.916431589095046,0.08549034965906789,0.9304844138738475,145.0,145.0,1949.0,1949.0,7.0,0.09425307996571064,0.0004248028434418738,0.0005646359855934202,0.17840087181112302
MISAR_K7,BEST_CONFIG_WITH_POSITIVE_PERSISTENCE_WEIGHT,PATH_UNIFORM__KMEANS_RETAINED_S3__L05,3ffce93563ec1ccf9d8eae99a4c723e030e11e592dc9f2320f0683ec0bcb65b7,UNIFORM_MASS_MATCHED_PATH,KMEANS_RETAINED_S3,"[242, 379, 284, 266, 145, 220, 413]","[242, 379, 284, 266, 145, 220, 413]",PASS,,0.3615889833145115,0.5486960241234782,0.5463301812368613,0.4838133240828151,0.5826832280763827,0.5486960241234781,0.9196314720170217,0.0822953358802,0.9329723401141519,145.0,145.0,1949.0,1949.0,7.0,0.10518366284668446,-0.0015178160048406886,-0.0015911803460824103,0.18034349065940558
MISAR_K7,STRICT_LOSO,AUTHORITY_STRONG_START__DIRECT_BASE,c93cabc50ce7b0988180a9d16eefcced1ea8f54f413b346bc8976dc7bc1e4363,DIRECT_BASE,AUTHORITY_STRONG_START,"[293, 446, 182, 267, 351, 285, 125]","[293, 446, 182, 267, 351, 285, 125]",PASS,,0.5353060549066526,0.658264645807069,0.6564633311016784,0.6279846928894429,0.6958877117624496,0.6582646458070689,0.9225167185254016,0.07943000491844185,0.9373627981852773,125.0,125.0,1949.0,1949.0,7.0,0.09457798860967159,0.17219925558730043,0.10797744133750842,0.006626419067264466
HUMAN_HIPPOCAMPUS_K7,PLAIN_PARTITION_MEDOID,KMEANS_RETAINED_S3__BIMODAL_SUPPORT,2afe2129c36fe70795a95d6f124ef34914849fc198e69351d33a7a4952e111fe,BIMODAL_SUPPORT,KMEANS_RETAINED_S3,"[818, 9, 227, 437, 917, 41, 51]","[818, 9, 227, 437, 917, 41, 51]",PASS,,0.5654545922485111,0.5694911981127403,0.5674326885767381,0.6768936587025953,0.5178770360984314,0.5694911981127403,0.6883031413877233,0.30388860831003445,0.8973400391549816,9.0,9.0,2500.0,2500.0,7.0,0.21435219794511795,0.0,0.0,0.06913683981785224
HUMAN_HIPPOCAMPUS_K7,MINIMUM_RETAINED_INERTIA,KMEANS_RETAINED_S0__INPUT_START,28678354c300dc08f6c2af7ccc912e5bf19d0b19693ef23f2da96e309c0aee5d,INPUT_START,KMEANS_RETAINED_S0,"[491, 58, 482, 163, 325, 80, 901]","[491, 58, 482, 163, 325, 80, 901]",PASS,,0.1355350794449897,0.23737836542863225,0.23405255814737672,0.3242942247341744,0.2310453505370321,0.23737836542863225,0.33065010133545847,0.6639475172156063,0.4407391766607228,58.0,58.0,2500.0,2500.0,7.0,0.0001729242503643036,-0.4299195128035215,-0.3321128326841081,0.4990563526213737
HUMAN_HIPPOCAMPUS_K7,MAXIMUM_RETAINED_CH,KMEANS_RETAINED_S0__INPUT_START,28678354c300dc08f6c2af7ccc912e5bf19d0b19693ef23f2da96e309c0aee5d,INPUT_START,KMEANS_RETAINED_S0,"[491, 58, 482, 163, 325, 80, 901]","[491, 58, 482, 163, 325, 80, 901]",PASS,,0.1355350794449897,0.23737836542863225,0.23405255814737672,0.3242942247341744,0.2310453505370321,0.23737836542863225,0.33065010133545847,0.6639475172156063,0.4407391766607228,58.0,58.0,2500.0,2500.0,7.0,0.0001729242503643036,-0.4299195128035215,-0.3321128326841081,0.4990563526213737
HUMAN_HIPPOCAMPUS_K7,MAXIMUM_SPATIAL_COHERENCE,KMEANS_RETAINED_S3__DIRECT_BASE,6aa74b614eb670c5b1b0cbc69c0ca85d6e344819efeeae6ae00999713394d87b,DIRECT_BASE,KMEANS_RETAINED_S3,"[1343, 1, 665, 424, 2, 19, 46]","[1343, 1, 665, 424, 2, 19, 46]",PASS,,0.23103877965540923,0.42618244242236925,0.4234740253061733,0.46117817338436445,0.3487236176354284,0.4261824424223693,0.5828823610271271,0.36026654078974735,0.9446524544596279,1.0,1.0,2500.0,2500.0,7.0,0.2727304957807064,-0.33441581259310194,-0.14330875569037105,0.40355265241095417
HUMAN_HIPPOCAMPUS_K7,FIXED_AUTHORITY_DIRECT_ENERGY,NIGHT16E_BYTE_EXACT_UNLABELED_START__DIRECT_BASE,6c6c334d93ecde6865c4b5b45757ddf0a971e60dfa6f1f0ca85877dd10902159,DIRECT_BASE,NIGHT16E_BYTE_EXACT_UNLABELED_START,"[53, 502, 176, 847, 427, 395, 100]","[53, 502, 176, 847, 427, 395, 100]",PASS,,0.16750951288907545,0.2667558803103532,0.26359330990718594,0.3442976017310758,0.2622620722424041,0.26675588031035313,0.3872501491470867,0.6061614170053469,0.4742985200196438,53.0,53.0,2500.0,2500.0,7.0,0.11547335423529148,-0.3979450793594357,-0.3027353178023871,0.4670819191772879
HUMAN_HIPPOCAMPUS_K7,LABEL_ASSISTED_ORACLE_MAX_ARI,KMEANS_RETAINED_S3__ATAC_ONLY_SUPPORT,0f8e7fe77957b762bf4fe0caebd08fe529da1f07eb1350e7518910bb065aa27f,ATAC_ONLY_SUPPORT,KMEANS_RETAINED_S3,"[660, 259, 205, 422, 865, 38, 51]","[660, 259, 205, 422, 865, 38, 51]",PASS,,0.6345914320663634,0.5899949334220079,0.5881700005405646,0.7168197960092418,0.5668861950710218,0.5899949334220079,0.7768130352716162,0.21295467149948535,0.8986424258334083,38.0,38.0,2500.0,2500.0,7.0,0.201033316552639,0.06913683981785224,0.020503735309267634,0.0
HUMAN_HIPPOCAMPUS_K7,LABEL_ASSISTED_ORACLE_MAX_NMI,KMEANS_RETAINED_S3__ATAC_ONLY_SUPPORT,0f8e7fe77957b762bf4fe0caebd08fe529da1f07eb1350e7518910bb065aa27f,ATAC_ONLY_SUPPORT,KMEANS_RETAINED_S3,"[660, 259, 205, 422, 865, 38, 51]","[660, 259, 205, 422, 865, 38, 51]",PASS,,0.6345914320663634,0.5899949334220079,0.5881700005405646,0.7168197960092418,0.5668861950710218,0.5899949334220079,0.7768130352716162,0.21295467149948535,0.8986424258334083,38.0,38.0,2500.0,2500.0,7.0,0.201033316552639,0.06913683981785224,0.020503735309267634,0.0
HUMAN_HIPPOCAMPUS_K7,MULTI_EVIDENCE_GLOBAL,KMEANS_RETAINED_S4__UNIFORM_MASS_MATCHED,b12f6fe847dbeb1edf7bafe44279a9ea637f493a0099d74ffb68d5fcb08e2609,UNIFORM_MASS_MATCHED,KMEANS_RETAINED_S4,"[34, 59, 299, 655, 160, 869, 424]","[34, 59, 299, 655, 160, 869, 424]",PASS,,0.5961783620969016,0.5854895180308324,0.5836405779005621,0.6872240781271102,0.5615159891783248,0.5854895180308322,0.7741071663682941,0.2177857175066828,0.9012346431055147,34.0,34.0,2500.0,2500.0,7.0,0.16649799048900604,0.030723769848390425,0.015998319918092085,0.03841306996946181
HUMAN_HIPPOCAMPUS_K7,SIMPLE_EQUAL_WEIGHT_RANK,PATH_UNIFORM__NIGHT16E_BYTE_EXACT_UNLABELED_START__L06,66399880ad58365eb06eda2710f8d965edc6b1a6f87b9046827e01ae36379d47,UNIFORM_MASS_MATCHED_PATH,NIGHT16E_BYTE_EXACT_UNLABELED_START,"[189, 474, 171, 790, 392, 387, 97]","[189, 474, 171, 790, 392, 387, 97]",PASS,,0.1609276196487573,0.26790391482065623,0.2648433751367196,0.3307181263766149,0.2698387266252718,0.2679039148206563,0.41033241859441244,0.5910999313643995,0.5060912054631941,97.0,97.0,2500.0,2500.0,7.0,0.12788239680230618,-0.40452697259975384,-0.30158728329208406,0.4736638124176061
HUMAN_HIPPOCAMPUS_K7,NO_MOLECULAR_AXIS,KMEANS_RETAINED_S3__DIRECT_BASE,6aa74b614eb670c5b1b0cbc69c0ca85d6e344819efeeae6ae00999713394d87b,DIRECT_BASE,KMEANS_RETAINED_S3,"[1343, 1, 665, 424, 2, 19, 46]","[1343, 1, 665, 424, 2, 19, 46]",PASS,,0.23103877965540923,0.42618244242236925,0.4234740253061733,0.46117817338436445,0.3487236176354284,0.4261824424223693,0.5828823610271271,0.36026654078974735,0.9446524544596279,1.0,1.0,2500.0,2500.0,7.0,0.2727304957807064,-0.33441581259310194,-0.14330875569037105,0.40355265241095417
