stage,candidate_id,unit_id,dataset,seed,status,success,runtime_seconds,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
W,W01_QUALITY_SOFT,u010,d1,0,success,True,8.873724365606904,0.22424350260025847,0.3738064909063066,0.29902499675328253,0.643336127409891,0.5909370544346344,0.41826112044138475,0.356663872590109
W,W01_QUALITY_SOFT,u011,d1,1,success,True,8.938240239396691,0.2262201778418714,0.36697947553429366,0.29659982668808255,0.6424380313734882,0.5879719546162429,0.4208293060540441,0.3575619686265118
W,W01_QUALITY_SOFT,u020,p22,0,success,True,49.18989195674658,0.4972646079098768,0.6401070460141295,0.5686858269620032,0.8962836723474437,0.8525237953952236,0.14854073730019995,0.10371632765255634
W,W01_QUALITY_SOFT,u021,p22,1,success,True,49.80273417569697,0.47195705977664854,0.6237517396488717,0.5478543997127601,0.8960637713029137,0.8515425007530377,0.14940074806227607,0.1039362286970863
W,W02_CONFLICT_RANK,u000,a1,0,success,True,9.174132810905576,0.26807726418067035,0.401884424236067,0.3349808442083687,0.6187806992198787,0.5574270492953056,0.45417644620149644,0.38121930078012134
W,W02_CONFLICT_RANK,u001,a1,1,success,True,9.244254453107715,0.2540926995334208,0.3970320275869102,0.3255623635601655,0.6223634787633632,0.549880091470699,0.46203617412093906,0.3776365212366368
W,W02_CONFLICT_RANK,u005,tonsil,0,success,True,11.63669814914465,0.1515435967323865,0.26055751863983023,0.20605055768610836,0.7047441131022394,0.5712344021123976,0.4250789594016242,0.2952558868977606
W,W02_CONFLICT_RANK,u006,tonsil,1,success,True,11.650722039863467,0.1428128474131374,0.2664446037167462,0.20462872556494183,0.7207961438225051,0.5808577761411334,0.4162324212801968,0.2792038561774949
W,W02_CONFLICT_RANK,u010,d1,0,success,True,8.856971263885498,0.23756552418535928,0.38248187907605447,0.31002370163070686,0.6402227278170279,0.580646555037892,0.42824072943369795,0.35977727218297206
W,W02_CONFLICT_RANK,u011,d1,1,success,True,8.963643576949835,0.23659641212788693,0.37393780719938424,0.30526710966363557,0.6387558376242366,0.5825729458994168,0.42627992448737223,0.3612441623757634
W,W02_CONFLICT_RANK,u020,p22,0,success,True,50.70040446147323,0.5035859843091341,0.6491826673984604,0.5763843258537973,0.9029026937877955,0.8597144235917275,0.14167800135496422,0.09709730621220447
W,W02_CONFLICT_RANK,u021,p22,1,success,True,50.93264016509056,0.49023573683779026,0.64137878229714,0.5658072595674651,0.9011654755360088,0.86037689569882,0.1408475510290791,0.09883452446399121
W,W03_QUALITY_CONFLICT,u000,a1,0,success,True,9.439343135803938,0.268310376755119,0.403294423477255,0.335802400116187,0.6286044495810459,0.5680482341476364,0.4441390121999643,0.3713955504189541
W,W03_QUALITY_CONFLICT,u001,a1,1,success,True,9.235797485336661,0.24968389759686468,0.3901410343538101,0.3199124659753374,0.6365212366368102,0.5611567551752048,0.45123076592482986,0.36347876336318985
W,W03_QUALITY_CONFLICT,u005,tonsil,0,success,True,12.01689170487225,0.18358270418078934,0.2753862479102989,0.22948447604554412,0.7058972762286954,0.6042259524185307,0.3945730783009397,0.29410272377130464
W,W03_QUALITY_CONFLICT,u006,tonsil,1,success,True,11.606825564056635,0.1382596075450802,0.26421677368644897,0.2012381906157646,0.7169445789801425,0.5810698745512992,0.4155580170050552,0.2830554210198575
W,W03_QUALITY_CONFLICT,u010,d1,0,success,True,8.896874234080315,0.2244103062209995,0.3739497792786437,0.2991800427498216,0.6435157466171716,0.590258361211901,0.41867355955940394,0.3564842533828284
W,W03_QUALITY_CONFLICT,u011,d1,1,success,True,8.974067032337189,0.22627940658625717,0.36838260136874157,0.29733100397749934,0.642467967908035,0.5883758354502695,0.42048356732112235,0.35753203209196505
W,W03_QUALITY_CONFLICT,u020,p22,0,success,True,50.1710043605417,0.497769167414534,0.6395170709636763,0.5686431191891052,0.8966465090709181,0.8516552448936994,0.14914552769172604,0.10335349092908186
W,W03_QUALITY_CONFLICT,u021,p22,1,success,True,49.94259922578931,0.47219018328850837,0.6237622743546306,0.5479762288215695,0.8959098405717427,0.852343131246102,0.14876203304651547,0.10409015942825728
W,W04_QUALITY_SHARED,u000,a1,0,success,True,9.206936588510871,0.26831844616186085,0.4029469246404341,0.33563268540114743,0.6305691996532794,0.569735613304091,0.44243080169679416,0.3694308003467206
W,W04_QUALITY_SHARED,u001,a1,1,success,True,9.180447103455663,0.2492818733781584,0.3901776147249473,0.31972974405155286,0.6374747182895117,0.5621716974752815,0.45017151904685343,0.36252528171048826
W,W04_QUALITY_SHARED,u005,tonsil,0,success,True,11.662117520347238,0.1510299554245217,0.24933172446268081,0.20018083994360125,0.7110173205101593,0.5768545096149693,0.41956510377323886,0.2889826794898407
W,W04_QUALITY_SHARED,u006,tonsil,1,success,True,11.993667054921389,0.1382596075450802,0.26421677368644897,0.2012381906157646,0.7169445789801425,0.5810698745512992,0.4155580170050552,0.2830554210198575
W,W04_QUALITY_SHARED,u010,d1,0,success,True,9.108924327418208,0.22842948114537995,0.37750823428053737,0.3029688577129587,0.6432762543407975,0.5877745731653434,0.42112279737780567,0.3567237456592025
W,W04_QUALITY_SHARED,u011,d1,1,success,True,9.11469073779881,0.22703314322915805,0.3677774421288976,0.2974052926790278,0.6421386660280206,0.5874349253208616,0.42131558177639983,0.3578613339719794
W,W04_QUALITY_SHARED,u020,p22,0,success,True,49.39606822654605,0.4969696702336118,0.6387939081502486,0.5678817891919302,0.8962067069818581,0.8504415322166952,0.15040513912019945,0.10379329301814189
W,W04_QUALITY_SHARED,u021,p22,1,success,True,49.63471004739404,0.47340871672322576,0.6246932942736408,0.5490510054984333,0.8959428257284222,0.8514576707279853,0.14957957564882862,0.10405717427157779
W,W05_QUALITY_CONFLICT_SHARED,u000,a1,0,success,True,9.731189714744687,0.2675242655940834,0.403051649887942,0.3352879577410127,0.629500144466917,0.5691824144404023,0.4430022065605991,0.37049985553308296
W,W05_QUALITY_CONFLICT_SHARED,u001,a1,1,success,True,9.216797271743417,0.2492832367714722,0.3893046463585139,0.3192939415649931,0.636925744004623,0.5614920590731413,0.4507459716984162,0.363074255995377
W,W05_QUALITY_CONFLICT_SHARED,u005,tonsil,0,success,True,11.881077378988266,0.15126878566630522,0.2494176352786752,0.2003432104724902,0.711155700085334,0.5772075737946087,0.41922996677942664,0.288844299914666
W,W05_QUALITY_CONFLICT_SHARED,u006,tonsil,1,success,True,11.995351610705256,0.13849167215640665,0.26434285299086724,0.20141726257363696,0.7169215157176134,0.5810544832828697,0.41558831610804364,0.2830784842823866
W,W05_QUALITY_CONFLICT_SHARED,u010,d1,0,success,True,9.07844510115683,0.22383560094493038,0.3726713932415578,0.2982534970932441,0.6474374326427973,0.5923815661718433,0.41647783975885055,0.3525625673572027
W,W05_QUALITY_CONFLICT_SHARED,u011,d1,1,success,True,8.864246096462011,0.22999417442954692,0.3692491679994554,0.2996216712145012,0.6420787929589271,0.5871654576625451,0.42168779722128313,0.3579212070410729
W,W05_QUALITY_CONFLICT_SHARED,u020,p22,0,success,True,49.56947229616344,0.4971342778058217,0.6389757573849576,0.5680550175953897,0.8964156129741616,0.8515067899982921,0.14927207858582855,0.10358438702583839
W,W05_QUALITY_CONFLICT_SHARED,u021,p22,1,success,True,50.14880049042404,0.47214384419114164,0.6242337482376832,0.5481887962144124,0.8967234744365036,0.8544344087431273,0.1466479548658389,0.10327652556349642
