stage,candidate_id,unit_id,dataset,seed,status,success,runtime_seconds,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
T,T03_GLOBAL_CONSERVATIVE,u016,d1,6,success,True,2.6930405162274837,0.2326598721847101,0.3725309619204649,0.3025954170525875,0.6306131002275177,0.5694744969100982,0.440651369741553,0.3693868997724823
T,T03_GLOBAL_CONSERVATIVE,u017,d1,7,success,True,2.5499061457812786,0.23354625079164712,0.37295721498170875,0.30325173288667795,0.6412405699916177,0.5848726629252672,0.42480680340065946,0.3587594300083823
T,T03_GLOBAL_CONSERVATIVE,u018,d1,8,success,True,2.416207628324628,0.2343378082969623,0.37309381651451323,0.30371581240573775,0.6273200814273739,0.5626177028329209,0.44639281207227377,0.37267991857262606
T,T03_GLOBAL_CONSERVATIVE,u019,d1,9,success,True,2.7292221561074257,0.250687317211291,0.38036392650126666,0.31552562185627886,0.6356125014968267,0.5719435180225507,0.4385071295616426,0.3643874985031733
T,T03_GLOBAL_CONSERVATIVE,u020,p22,0,success,True,41.04967883601785,0.5046384715655635,0.6493869538731077,0.5770127127193356,0.902803738317757,0.8603269171438568,0.1406440706026082,0.09719626168224305
T,T03_GLOBAL_CONSERVATIVE,u021,p22,1,success,True,45.13714106567204,0.48341478944598376,0.6357069244085944,0.5595608569272891,0.900065970313359,0.8586335104897007,0.14255618881038729,0.099934029686641
T,T03_GLOBAL_CONSERVATIVE,u022,p22,2,success,True,50.27963152527809,0.5021339738694687,0.6478991491536549,0.5750165615115618,0.9023199560197911,0.8562066678016657,0.14530196872692563,0.09768004398020891
T,T03_GLOBAL_CONSERVATIVE,u023,p22,3,success,True,45.50017648562789,0.5123217999367473,0.6557121375215879,0.5840169687291676,0.9057284222100055,0.8613219481899288,0.1396907905532001,0.09427157778999451
T,T03_GLOBAL_CONSERVATIVE,u024,p22,4,success,True,37.12173529341817,0.49982989057326377,0.6542981154480175,0.5770640030106406,0.9112699285321605,0.8716483339622432,0.13032926823770347,0.08873007146783951
T,T03_GLOBAL_CONSERVATIVE,u025,p22,5,success,True,49.03899631090462,0.5003461200225414,0.647410277481229,0.5738781987518853,0.905519516217702,0.8655306276056378,0.135668540609734,0.09448048378229801
T,T03_GLOBAL_CONSERVATIVE,u026,p22,6,success,True,34.125481091439724,0.5085574406386004,0.6534404322147002,0.5809989364266503,0.9063881253435954,0.8614069707735872,0.13916614090472004,0.09361187465640464
T,T03_GLOBAL_CONSERVATIVE,u027,p22,7,scientific_numerical_failure,False,37.04593965224922,,,,,,,
