candidate_id,dataset,successful_cells,expected_cells,complete,mean_ari,mean_delta_ari,median_delta_ari,sd_delta_ari,wins_delta_ari,mean_nmi,mean_delta_nmi,median_delta_nmi,sd_delta_nmi,wins_delta_nmi,mean_q,mean_delta_q,median_delta_q,sd_delta_q,wins_delta_q,mean_neighbor_agreement,mean_delta_neighbor_agreement,median_delta_neighbor_agreement,sd_delta_neighbor_agreement,wins_delta_neighbor_agreement,mean_moran_i,mean_delta_moran_i,median_delta_moran_i,sd_delta_moran_i,wins_delta_moran_i,mean_geary_c,mean_delta_geary_c,median_delta_geary_c,sd_delta_geary_c,wins_delta_geary_c,mean_boundary_disagreement,mean_delta_boundary_disagreement,median_delta_boundary_disagreement,sd_delta_boundary_disagreement,wins_delta_boundary_disagreement
C02_DUAL_ARITHMETIC_MEAN,d1,10,10,True,0.2464574693842021,0.036956472300414066,0.03408860129961186,0.01468166718616474,10.0,0.3810938353044952,0.032402670777839426,0.029127094949160826,0.011346614781626156,10.0,0.3137756523443487,0.03467957153912675,0.03093819895164851,0.012822044549588957,10.0,0.6449976050772362,0.019761106454316835,0.015896299844330053,0.022761915496946616,8.0,0.5848406364398476,0.012773234622341988,0.0058083631777374745,0.028621006717321044,6.0,0.42465738280562554,-0.008428596551718199,-0.001583511509253649,0.028642305321354106,6.0,0.35500239492276375,-0.019761106454316835,-0.015896299844330053,0.022761915496946616,8.0
C02_DUAL_ARITHMETIC_MEAN,p22,10,10,True,0.4565762387311153,0.052664051336933485,0.052925174906366,0.019002992885598848,10.0,0.619658224721767,0.07582678505438484,0.0775678632116027,0.014180927958243533,10.0,0.5381172317264411,0.06424541819565915,0.06611134829019533,0.016340467246805615,10.0,0.9081957119296318,0.09725123694337548,0.10041781198460692,0.013497596849850245,10.0,0.863799295768841,0.09687382382760407,0.0960333090257598,0.012459935465718969,10.0,0.137205678695583,-0.10050950249627918,-0.09968082710723776,0.012333464030326861,10.0,0.09180428807036833,-0.09725123694337548,-0.10041781198460692,0.013497596849850245,10.0
C03_DUAL_ELEMENTWISE_MAX,a1,5,5,True,0.26360086693734597,-0.007994655195272904,-0.00869867465716484,0.0032981267266562453,0.0,0.4020347634042878,0.012291751097825066,0.011929251251537765,0.003809460479092465,5.0,0.3328178151708169,0.002148547951276092,0.0032406175576381036,0.0025514976554941744,3.0,0.6362034094192429,0.05315804680728111,0.061600693441202004,0.03411549709240172,5.0,0.569725377134683,0.07088028193301259,0.08183905851389361,0.033046101973200875,5.0,0.4424201803216792,-0.06327763413580283,-0.07361901158481332,0.03141953899581334,5.0,0.3637965905807571,-0.05315804680728111,-0.061600693441202004,0.03411549709240172,5.0
C03_DUAL_ELEMENTWISE_MAX,tonsil,5,5,True,0.15236269234858826,0.06678547720485321,0.08551018845789231,0.041240929520921815,4.0,0.2723192427880669,0.09867292870466557,0.1150555301644881,0.042575414265358914,5.0,0.2123409675683276,0.08272920295475941,0.10028285931119021,0.04161273601788561,5.0,0.7216171959685417,-0.013312115131806523,-0.033441730667220115,0.03482211029203823,1.0,0.5803036248265856,0.00030366096493759096,-0.004160839355171975,0.020655445830644825,2.0,0.41739878326870433,-0.0008799017498151707,0.004484936146562757,0.020774216832280732,2.0,0.27838280403145826,0.013312115131806523,0.033441730667220115,0.03482211029203823,1.0
C03_DUAL_ELEMENTWISE_MAX,d1,10,10,True,0.24186671997284287,0.0323657228890548,0.029819230151126197,0.012808669699108662,10.0,0.3799733900254983,0.03128222549884249,0.029990505471524653,0.010075567845253512,10.0,0.3109200549991706,0.03182397419394866,0.029825539159914594,0.011153103376955851,10.0,0.6387408693569633,0.013504370734043824,0.010387977487726019,0.021998505264095483,8.0,0.5781432052930909,0.006075803475585351,0.0007550031695559012,0.02751514826666047,5.0,0.4313106350136328,-0.001775344343710894,0.0033434081953542527,0.02745058939769997,5.0,0.3612591306430367,-0.013504370734043824,-0.010387977487726019,0.021998505264095483,8.0
C03_DUAL_ELEMENTWISE_MAX,p22,10,10,True,0.4638600198290333,0.05994783243485138,0.06009555971735503,0.022353394540156696,10.0,0.6197109713027519,0.07587953163536962,0.07515420679854662,0.016316551961003838,10.0,0.5417854955658926,0.06791368203511047,0.06774535722127956,0.019157560190571434,10.0,0.9004387025838373,0.08949422759758109,0.09135788894997249,0.012771291805777886,10.0,0.8525827333865295,0.08565726144529275,0.08430134888924318,0.011282960878887936,10.0,0.14826713765852534,-0.08944804353333687,-0.0874679837950126,0.011041818915279155,10.0,0.09956129741616274,-0.08949422759758109,-0.09135788894997249,0.012771291805777886,10.0
C04_DUAL_ELEMENTWISE_MIN,a1,5,5,True,0.25855928936065914,-0.013036232771959677,-0.010198296077941427,0.00497946077167053,0.0,0.3896534506017567,-8.956170470596492e-05,0.0022165911635850244,0.005544181418991532,3.0,0.324106369981208,-0.006562897238332821,-0.0038054292922596877,0.005065955982375045,0.0,0.6786477896561687,0.09560242704420689,0.09820861022825778,0.03295049000342012,5.0,0.612571780136294,0.11372668493462341,0.13540702292577078,0.04546022042769941,5.0,0.39849510158542806,-0.10720271287205393,-0.12593639918655147,0.0399163036649742,5.0,0.3213522103438312,-0.09560242704420689,-0.09820861022825778,0.03295049000342012,5.0
C04_DUAL_ELEMENTWISE_MIN,tonsil,5,5,True,0.14415173197459624,0.05857451683086121,0.07948928839016607,0.042135260670031614,4.0,0.26555526017433656,0.09190894609093521,0.11013708711807435,0.04429330750119347,5.0,0.20485349607446643,0.07524173146089821,0.0948131877541202,0.042920538162285124,5.0,0.7268156553426047,-0.008113655757743476,-0.027214649784358502,0.03426129894521161,2.0,0.5867919794935419,0.006792015631893822,0.00249384645320494,0.019768047823937436,4.0,0.4103664617483959,-0.007912223270123609,-0.003944961849391082,0.01973140871432634,4.0,0.2731843446573952,0.008113655757743476,0.027214649784358502,0.03426129894521161,2.0
C04_DUAL_ELEMENTWISE_MIN,d1,7,10,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C04_DUAL_ELEMENTWISE_MIN,p22,10,10,True,0.42939397937983015,0.025481791985648365,0.028828388411977574,0.016935727030794736,9.0,0.6040872827066536,0.060255843039271326,0.06279759199783935,0.014520277558718871,10.0,0.5167406310432419,0.04286881751245985,0.046293327253777466,0.015608841017239599,10.0,0.9265541506322155,0.1156096756459593,0.11761407366684995,0.01374232969797714,10.0,0.9064679348635881,0.13954246292235117,0.1395018186470821,0.012049774871792868,10.0,0.09842198115032115,-0.13929320004154105,-0.13857470784306936,0.012070172873375619,10.0,0.0734458493677845,-0.1156096756459593,-0.11761407366684995,0.01374232969797714,10.0
C05_DUAL_HARMONIC_INTERSECTION,a1,5,5,True,0.2565780977095015,-0.015017424423117338,-0.01092427233556087,0.007287228273873659,0.0,0.3874028844110916,-0.002340127895371058,0.0003185061379971099,0.005681855453490453,3.0,0.3219904910602966,-0.008678776159244206,-0.00483689256715969,0.006244437312710629,0.0,0.6758451314648946,0.09279976885293269,0.09598381970528758,0.035469051925858114,5.0,0.6219588291629703,0.12311373396129979,0.13041782473294317,0.034874486695492195,5.0,0.3914074270725563,-0.1142903873849257,-0.12105800540600314,0.03288205872404478,5.0,0.3241548685351055,-0.09279976885293269,-0.09598381970528758,0.035469051925858114,5.0
C05_DUAL_HARMONIC_INTERSECTION,tonsil,5,5,True,0.14348322146764475,0.0579060063239097,0.07891500490003518,0.04277339883505523,4.0,0.26465665946148437,0.09101034537808299,0.10956358100439523,0.04445097573623152,5.0,0.20406994046456456,0.07445817585099634,0.0942392929522152,0.043318833106283455,4.0,0.7262990382619525,-0.008630272838395726,-0.02779123134758643,0.03387180458848338,2.0,0.5869840196346355,0.006984055772987441,0.0028286753515087693,0.019415213136599725,4.0,0.41015839004080695,-0.008120294977712505,-0.004758027117821362,0.019496060978496908,4.0,0.2737009617380475,0.008630272838395726,0.02779123134758643,0.03387180458848338,2.0
C05_DUAL_HARMONIC_INTERSECTION,d1,7,10,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C05_DUAL_HARMONIC_INTERSECTION,p22,10,10,True,0.42873276810849587,0.024820580714313988,0.02575211415945486,0.01402341225716766,9.0,0.6039562433438853,0.06012480367650308,0.06149873040579712,0.012301990068710597,10.0,0.5163445057261905,0.04247269219540854,0.04366190874106188,0.013014683514141721,10.0,0.9266333150082463,0.11568884002199012,0.11628367234744369,0.013055296634924628,10.0,0.9060569554107918,0.13913148346955495,0.1403450610852925,0.013470635999354217,10.0,0.09848967631607378,-0.13922550487578841,-0.14010694876618132,0.013016344489621185,10.0,0.07336668499175371,-0.11568884002199012,-0.11628367234744369,0.013055296634924628,10.0
C06_DUAL_ROW_STOCHASTIC_MEAN,a1,5,5,True,0.2667089431128298,-0.004886579019789017,-0.004820628088863854,0.004418460641563341,1.0,0.4047670536975523,0.015024041391089649,0.013063022072496877,0.00546594166089147,5.0,0.33573799840519114,0.005068731185650333,0.004495477913534662,0.00448144166915103,4.0,0.6494250216700376,0.06637965905807572,0.07390927477607634,0.03429035167299415,5.0,0.5844200033665519,0.08557490816488138,0.09646712636304755,0.03125076123327587,5.0,0.4280030120316539,-0.07769480242582814,-0.08791166213222917,0.029580620673290876,5.0,0.35057497832996243,-0.06637965905807572,-0.07390927477607634,0.03429035167299415,5.0
C06_DUAL_ROW_STOCHASTIC_MEAN,tonsil,5,5,True,0.14933496832574608,0.06375775318201107,0.08160081402535684,0.04271915631585829,4.0,0.26969172926094676,0.09604541517754539,0.11115681309322117,0.04423341216764333,5.0,0.20951334879334643,0.07990158417977823,0.09637881355928898,0.04326920052098244,5.0,0.721165156022971,-0.013764155077377249,-0.0310892778892502,0.028879908140514447,1.0,0.5814714253672922,0.001471461505644145,-0.0024193521395371453,0.01717161742974487,2.0,0.4157507968996484,-0.0025278881188711246,0.00014455509915767273,0.017394514095153593,2.0,0.27883484397702896,0.013764155077377249,0.0310892778892502,0.028879908140514447,1.0
