dataset,seed,candidate_id,role,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement,cluster_file_sha256
d1,9,C00_G04_H05_CONFIRMED,candidate,0.2518324143016672,0.3806280943870261,0.31623025434434665,0.6342354209076757,0.5709398620355636,0.4394423089802927,0.3657645790923243,c9128ae00cc5982c594057db6e4a54e96e98e0a857e93e8134e795bacfe4f909
d1,9,C01_G00_H05,candidate,0.26081624875067827,0.3856242852946701,0.32322026702267415,0.6477068614537181,0.582723770043712,0.42656060250400885,0.35229313854628186,649a5afabbfae929a279f614f8e84dee1b2484dbe557da3a65ea7cb78583504c
d1,9,C02_DUAL_ARITHMETIC_MEAN,candidate,0.26355982045039816,0.3899159919344974,0.3267379061924478,0.6439049215662795,0.5815950630437274,0.42886204492189267,0.35609507843372046,2388a4543ac3f795e2156420991b0631120e86a8f1000d634489f7aa38988558
d1,9,C03_DUAL_ELEMENTWISE_MAX,candidate,0.2515124108650622,0.38279612915647626,0.31715427001076923,0.6421386660280206,0.5788574090590908,0.4312613000983787,0.3578613339719794,8d5ac1a92d2253d7363a12d38f53192e906708e235c72f64de1caa436ee11d55
d1,9,C04_DUAL_ELEMENTWISE_MIN,candidate,0.22707206436740052,0.36934371601296345,0.298207890190182,0.6897976290264639,0.6417991752094252,0.3683293800664295,0.3102023709735361,c5a1762d32571039812165c7a82e3b6dbc947656d74d57d395aec647a3fd64eb
d1,9,C05_DUAL_HARMONIC_INTERSECTION,candidate,0.2266423300426952,0.371369102580975,0.2990057163118351,0.6842294336007664,0.6357035531286505,0.37352613849788885,0.3157705663992336,690d006d49789f3b14345d70bfb4dd2377b92a777f41579586bab2a64d824d4b
d1,9,C06_DUAL_ROW_STOCHASTIC_MEAN,candidate,0.2582812575995528,0.38676842613177215,0.32252484186566244,0.6467788288827685,0.5835271659068793,0.426734236069339,0.3532211711172315,321dad78d045c85747097c7c37fd2444d7c0e0a0ed1ec1169cf8273e90a2c78d
d1,9,C07_DUAL_LOCAL_RELIABILITY,candidate,0.2610283699324045,0.3885912711864512,0.32480982055942786,0.6471380672973297,0.584752147779354,0.42552535373369577,0.3528619327026703,b9c407fa97df164caade29629702697fe768c2c32decefffee8f449307e616f6
d1,9,C08_SIX_VIEW_SUPPORT_MEDIAN,candidate,0.26326298372496604,0.3897996038034394,0.32653129376420276,0.6441444138426535,0.581676367797306,0.4287278901303429,0.35585558615734647,702ced0c2490e1751d58f1819d059c9d898b97fde40080530e51e2238702edff
d1,9,C09_DUAL_SPARSE_SNF10,candidate,0.22550305009126698,0.345253444655282,0.2853782473732745,0.8001736319003712,0.7395354566965306,0.2726133882512583,0.19982636809962884,25054da4d69e3dca25f587f1514a1ce09f4ad06f6adb6cd942ed14e7e433b1c3
