dataset,seed,candidate_id,delta_ari,delta_nmi,delta_q,delta_neighbor_agreement,delta_moran_i,delta_geary_c,delta_boundary_disagreement,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
d1,0,C02_DUAL_ARITHMETIC_MEAN,0.025891702267554245,0.02849625860008087,0.027193980433817544,0.013231948269668226,0.004182088763821645,-0.000720006349543667,-0.013231948269668226,0.24228464668821148,0.3764248980404436,0.3093547723643275,0.6436055562208118,0.5838081003454121,0.4255885596753732,0.35639444377918816
d1,0,C03_DUAL_ELEMENTWISE_MAX,0.02231074536389341,0.028424317909746977,0.025367531636820206,0.004101305232906194,-0.0031869772679048447,0.006734577883186099,-0.004101305232906194,0.23870368978455064,0.3763529573501097,0.3075283235673302,0.6344749131840498,0.5764390343136856,0.43304314390810295,0.3655250868159502
d1,0,C06_DUAL_ROW_STOCHASTIC_MEAN,0.042949923573874255,0.03260225191650323,0.03777608774518876,0.016794395880732838,0.003978843046221536,-0.00017714949884417575,-0.016794395880732838,0.2593428679945315,0.38053089135686596,0.3199368796756987,0.6471680038318764,0.583604854627812,0.42613141652607267,0.35283199616812355
d1,0,C07_DUAL_LOCAL_RELIABILITY,0.026519561772320344,0.029563112120275292,0.028041336946297846,0.013172075200574729,0.005327696243429658,-0.0017813214399670652,-0.013172075200574729,0.24291250619297758,0.377491751560638,0.3102021288768078,0.6435456831517183,0.5849537078250201,0.4245272445849498,0.35645431684828166
d1,0,C08_SIX_VIEW_SUPPORT_MEDIAN,0.025193101849126542,0.02715041289907466,0.0261717573741006,0.01215423302598484,0.003210544952829353,0.0003009853601056989,-0.01215423302598484,0.24158604626978378,0.3750790523394374,0.30833254930461057,0.6425278409771285,0.5828365565344198,0.42660955138502255,0.35747215902287155
d1,0,C09_DUAL_SPARSE_SNF10,0.000780829310340736,-0.015058891289400633,-0.007139030989529949,0.16045982517063817,0.1473008673166708,-0.1461563861034056,-0.16045982517063817,0.21717377373099797,0.3328697481509621,0.27502176094098,0.7908334331217818,0.7269268788982612,0.28015217992151126,0.20916656687821822
d1,0,C10_DUAL_MEAN_SPATIAL05,0.039630469522194484,0.03018581433172779,0.03490814192696118,0.028649263561250082,0.016300655907577233,-0.012434946187460105,-0.028649263561250082,0.2560234139428517,0.3781144537720905,0.31706893385747115,0.6590228715123937,0.5959266674891677,0.41387361983745674,0.3409771284876063
d1,0,C11_DUAL_MEAN_SPATIAL10,0.03711979414877467,0.029980220694221016,0.033550007421497885,0.04185127529637167,0.030424952990908194,-0.026267349227828585,-0.04185127529637167,0.2535127385694319,0.37790886013458375,0.31571079935200785,0.6722248832475153,0.6100509645724986,0.40004121679708826,0.3277751167524847
d1,1,C00_G04_H05_CONFIRMED,0.039469534198787654,0.03275115223355024,0.036110343216168905,0.016584840138905488,0.02462521781311411,-0.020240670850881992,-0.016584840138905488,0.2520413210974017,0.37951951966063835,0.31578042037902,0.6273200814273739,0.5633469149507649,0.44567541454874215,0.37267991857262606
d1,1,C01_G00_H05,0.04865448353687549,0.03948901422599643,0.044071748881435946,0.0401149562926596,0.048186394802736565,-0.04441338579432014,-0.0401149562926596,0.2612262704354895,0.38625738165308454,0.32374182604428703,0.650850197581128,0.5869080919403874,0.421502699605304,0.34914980241887195
d1,1,C02_DUAL_ARITHMETIC_MEAN,0.042987925361860385,0.04124023905843238,0.04211408221014634,0.02969704227038672,0.04070520329770966,-0.03650319751289666,-0.02969704227038672,0.2555597122604744,0.3880086064855205,0.3217841593729974,0.6404322835588552,0.5794269004353605,0.4294128878867275,0.3595677164411448
d1,1,C03_DUAL_ELEMENTWISE_MAX,0.03911587077113046,0.03595839094602049,0.03753713085857546,0.021075320320919633,0.02897217136413288,-0.02491515238414821,-0.021075320320919633,0.2516876576697445,0.3827267583731086,0.31720720802142655,0.6318105616093881,0.5676938685017837,0.44100093301547594,0.3681894383906119
d1,1,C04_DUAL_ELEMENTWISE_MIN,0.04791819664946542,0.0363948242426822,0.042156510446073825,0.05882529038438511,0.07381742346336206,-0.07016031061597505,-0.05882529038438511,0.26048998354807945,0.3831631916697703,0.3218265876089249,0.6695605316728536,0.6125391206010129,0.3957557747836491,0.33043946832714644
d1,1,C05_DUAL_HARMONIC_INTERSECTION,0.04778815879273593,0.03657387546230134,0.04218101712751865,0.059334211471680054,0.0740808985313246,-0.07051541639297088,-0.059334211471680054,0.26035994569134996,0.38334224288938945,0.32185109429036973,0.6700694527601485,0.6128025956689754,0.39540066900665327,0.3299305472398515
d1,1,C06_DUAL_ROW_STOCHASTIC_MEAN,0.047195816443034416,0.04100400971923823,0.04409991308113631,0.03709136630343668,0.04792226692248225,-0.04382877023706899,-0.03709136630343668,0.25976760334164845,0.38777237714632634,0.3237699902439874,0.6478266075919051,0.5866439640601331,0.42208731516255515,0.35217339240809487
d1,1,C07_DUAL_LOCAL_RELIABILITY,0.042798340616977154,0.04157470476707903,0.04218652269202805,0.032421266914142044,0.04346972484877021,-0.0391625424498967,-0.032421266914142044,0.2553701275155912,0.38834307219416714,0.32185659985487913,0.6431565082026105,0.582191421986421,0.42675354294972745,0.3568434917973895
d1,1,C08_SIX_VIEW_SUPPORT_MEDIAN,0.043707774127559745,0.04167786358561698,0.04269281885658838,0.029247994252185383,0.04042560289389607,-0.03624160632247819,-0.029247994252185383,0.2562795610261738,0.3884462310127051,0.32236289601943946,0.6399832355406538,0.5791473000315469,0.42967447907714595,0.36001676445934616
d1,1,C09_DUAL_SPARSE_SNF10,0.006026744316556754,-0.0037596484073157965,0.0011335479546204508,0.1634235420907676,0.15749292654538283,-0.1548851730739222,-0.1634235420907676,0.21859853121517078,0.3430087190197723,0.28080362511747153,0.774158783379236,0.6962146236830337,0.31103091232570196,0.22584121662076395
d1,1,C10_DUAL_MEAN_SPATIAL05,0.0455453922636114,0.04069051632470161,0.04311795429415649,0.04559334211471677,0.0587557363868183,-0.05443144999386873,-0.04559334211471677,0.25811717916222543,0.3874588837517897,0.3227880314570076,0.6563285834031852,0.5974774335244691,0.4114846354057554,0.34367141659681477
d1,1,C11_DUAL_MEAN_SPATIAL10,0.03434419760675242,0.029964194172433845,0.03215419588959312,0.05436474673691771,0.07214258754877378,-0.06757191571823107,-0.05436474673691771,0.24691598450536645,0.37673256159952195,0.3118242730524442,0.6650999880253862,0.6108642846864246,0.3983441696813931,0.33490001197461383
d1,2,C00_G04_H05_CONFIRMED,0.021226770261163014,0.020783122206937787,0.021004946234050414,-0.005508322356604034,-0.027268207299688374,0.029598290784663306,0.005508322356604034,0.23102745409241648,0.3793379883028963,0.3051827211976564,0.6353430726859058,0.5700139695195519,0.43949800138599626,0.36465692731409416
d1,2,C01_G00_H05,0.0245839772438316,0.022786744145970927,0.023685360694901292,0.017393126571668027,0.0024693763883739672,0.00020198637795881824,-0.017393126571668027,0.23438466107508507,0.3813416102419294,0.30786313565850726,0.6582445216141779,0.5997515532076142,0.4101016969792918,0.3417554783858221
d1,2,C02_DUAL_ARITHMETIC_MEAN,0.020528269542162525,0.019911044529505095,0.020219657035833838,0.013860615495150275,-0.0017974547351833348,0.004105392198533397,-0.013860615495150275,0.230328953373416,0.3784659106254636,0.3043974319994398,0.6547120105376601,0.5954847220840569,0.41400510279986635,0.34528798946233985
d1,2,C03_DUAL_ELEMENTWISE_MAX,0.019384926132329422,0.020832005697678957,0.020108465915004203,0.004610226320201138,-0.014162209566066397,0.01637181992102882,-0.004610226320201138,0.2291856099635829,0.37938687179363745,0.30428624087861017,0.645461621362711,0.5831199672531738,0.4262715305223618,0.354538378637289
