dataset,seed,candidate_id,delta_ari_vs_c00,delta_nmi_vs_c00,delta_q_vs_c00
d1,8,C06_DUAL_ROW_STOCHASTIC_MEAN,0.0085192898374635,0.0028968278835149186,0.005708058860489251
d1,8,C07_DUAL_LOCAL_RELIABILITY,0.0071839020673361564,0.0036009938308822487,0.0053924479491092026
d1,8,C08_SIX_VIEW_SUPPORT_MEDIAN,0.006020596057580013,0.003433669728865052,0.004727132893222574
d1,8,C09_DUAL_SPARSE_SNF10,-0.021419255869910447,-0.04984154162008486,-0.03563039874499763
d1,8,C10_DUAL_MEAN_SPATIAL05,0.0190917878430365,0.01063435749893421,0.014863072670985411
d1,8,C11_DUAL_MEAN_SPATIAL10,0.018043589990104025,0.010211209049748982,0.014127399519926531
d1,9,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
d1,9,C01_G00_H05,0.008983834449011074,0.0049961909076439714,0.006990012678327495
d1,9,C02_DUAL_ARITHMETIC_MEAN,0.011727406148730968,0.00928789754747128,0.010507651848101152
d1,9,C03_DUAL_ELEMENTWISE_MAX,-0.00032000343660498753,0.0021680347694501556,0.000924015666422584
d1,9,C04_DUAL_ELEMENTWISE_MIN,-0.02476034993426668,-0.011284378374062654,-0.01802236415416464
d1,9,C05_DUAL_HARMONIC_INTERSECTION,-0.025190084258971984,-0.009258991806051109,-0.01722453803251156
d1,9,C06_DUAL_ROW_STOCHASTIC_MEAN,0.006448843297885587,0.0061403317447460415,0.0062945875213157865
d1,9,C07_DUAL_LOCAL_RELIABILITY,0.00919595563073733,0.007963176799425098,0.008579566215081214
d1,9,C08_SIX_VIEW_SUPPORT_MEDIAN,0.011430569423298842,0.009171509416413315,0.010301039419856106
d1,9,C09_DUAL_SPARSE_SNF10,-0.02632936421040022,-0.03537464973174409,-0.030852006971072155
d1,9,C10_DUAL_MEAN_SPATIAL05,0.002780269103024091,0.005245219259883249,0.004012744181453642
d1,9,C11_DUAL_MEAN_SPATIAL10,-0.026331318839961287,-0.008861096416541592,-0.017596207628251426
p22,0,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
p22,0,C01_G00_H05,0.06219601451236145,0.042262693955143926,0.05222935423375269
p22,0,C02_DUAL_ARITHMETIC_MEAN,0.062437915362791474,0.04229217524714024,0.05236504530496583
p22,0,C03_DUAL_ELEMENTWISE_MAX,0.06410462564049879,0.03547537043456894,0.04978999803753387
p22,0,C04_DUAL_ELEMENTWISE_MIN,0.0276083644879902,0.024785577643859025,0.026196971065924612
p22,0,C05_DUAL_HARMONIC_INTERSECTION,0.032078623023058694,0.028779987640380145,0.030429305331719447
p22,0,C06_DUAL_ROW_STOCHASTIC_MEAN,0.08144559360451858,0.05658891513944764,0.06901725437198308
p22,0,C07_DUAL_LOCAL_RELIABILITY,0.06316575965108828,0.044439803521000854,0.05380278158604451
p22,0,C08_SIX_VIEW_SUPPORT_MEDIAN,0.061916912574204896,0.042110753097261866,0.05201383283573341
p22,0,C09_DUAL_SPARSE_SNF10,-0.07537723355354004,-0.07243031690558166,-0.07390377522956088
p22,0,C10_DUAL_MEAN_SPATIAL05,0.08725412277423389,0.0620764877849832,0.07466530527960852
p22,0,C11_DUAL_MEAN_SPATIAL10,0.09378676964113286,0.06906238314983504,0.081424576395484
p22,1,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
p22,1,C01_G00_H05,0.06363364503188346,0.05082115400571052,0.05722739951879702
p22,1,C02_DUAL_ARITHMETIC_MEAN,0.052573339869695646,0.047261419488098144,0.04991737967889692
p22,1,C03_DUAL_ELEMENTWISE_MAX,0.054810879447814154,0.04516558508465285,0.0499882322662335
p22,1,C04_DUAL_ELEMENTWISE_MIN,0.06168726026992666,0.05791613901527548,0.059801699642601125
p22,1,C05_DUAL_HARMONIC_INTERSECTION,0.0668475000027019,0.061732268423394854,0.06428988421304832
p22,1,C06_DUAL_ROW_STOCHASTIC_MEAN,0.06951576985958868,0.05286787470665666,0.06119182228312264
p22,1,C07_DUAL_LOCAL_RELIABILITY,0.05359400861502006,0.04846109596217352,0.05102755228859679
p22,1,C08_SIX_VIEW_SUPPORT_MEDIAN,0.05268249890050797,0.047369994452511,0.05002624667650951
p22,1,C09_DUAL_SPARSE_SNF10,0.009171869929675946,-0.024463096888157843,-0.00764561347924092
p22,1,C10_DUAL_MEAN_SPATIAL05,0.08389289355855067,0.060056813079138904,0.07197485331884484
p22,1,C11_DUAL_MEAN_SPATIAL10,0.08972041444399265,0.06349916804710265,0.07660979124554762
p22,2,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
p22,2,C01_G00_H05,0.11123830135614404,0.07767916496258509,0.09445873315936448
p22,2,C02_DUAL_ARITHMETIC_MEAN,0.1099549508553383,0.07879352060927058,0.09437423573230441
p22,2,C03_DUAL_ELEMENTWISE_MAX,0.11739124364702325,0.08036810745131684,0.09887967554916999
p22,2,C04_DUAL_ELEMENTWISE_MIN,0.0670239986321376,0.05950609520689132,0.0632650469195144
p22,2,C05_DUAL_HARMONIC_INTERSECTION,0.06533110250308238,0.05865759248626945,0.06199434749467592
p22,2,C06_DUAL_ROW_STOCHASTIC_MEAN,0.11644599064799721,0.08275618930168738,0.0996010899748423
p22,2,C07_DUAL_LOCAL_RELIABILITY,0.10522853947536004,0.07489217254406333,0.09006035600971163
p22,2,C08_SIX_VIEW_SUPPORT_MEDIAN,0.10463660911388184,0.07482588544446844,0.08973124727917514
p22,2,C09_DUAL_SPARSE_SNF10,-0.027465128089292024,-0.04806318640206375,-0.03776415724567794
p22,2,C10_DUAL_MEAN_SPATIAL05,0.11717456609278842,0.08314232655046416,0.1001584463216263
p22,2,C11_DUAL_MEAN_SPATIAL10,0.11785306466064771,0.0851071826300639,0.10148012364535575
p22,3,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
p22,3,C01_G00_H05,0.010453632829227288,0.016406616340141067,0.013430124584684178
p22,3,C02_DUAL_ARITHMETIC_MEAN,0.02335234206070219,0.019350146396119428,0.021351244228410837
p22,3,C03_DUAL_ELEMENTWISE_MAX,0.035785606008130466,0.025480859127950506,0.030633232568040403
p22,3,C04_DUAL_ELEMENTWISE_MIN,-0.03674730825837358,-0.020826947581032096,-0.028787127919702837
p22,3,C05_DUAL_HARMONIC_INTERSECTION,-0.03085440964405045,-0.01492365130126827,-0.022889030472659333
p22,3,C06_DUAL_ROW_STOCHASTIC_MEAN,0.03633353988341731,0.031085966475605686,0.033709753179511526
p22,3,C07_DUAL_LOCAL_RELIABILITY,0.025908861740065958,0.022743394819678575,0.02432612827987224
p22,3,C08_SIX_VIEW_SUPPORT_MEDIAN,0.025997517428097028,0.021272796526391247,0.023635156977244054
p22,3,C09_DUAL_SPARSE_SNF10,-0.0841113597091599,-0.09743719493446557,-0.09077427732181276
p22,3,C10_DUAL_MEAN_SPATIAL05,0.03892034726736743,0.034478505960283456,0.036699426613825414
p22,3,C11_DUAL_MEAN_SPATIAL10,0.04168494467061967,0.03752399516946836,0.03960446992004396
p22,4,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
p22,4,C01_G00_H05,0.0023314007543621673,0.010917637479989861,0.0066245191171759865
p22,4,C02_DUAL_ARITHMETIC_MEAN,0.0012604738260865167,0.006476614924860069,0.0038685443754732374
p22,4,C03_DUAL_ELEMENTWISE_MAX,0.0019895117859707323,0.0034400787079876816,0.0027147952469791514
p22,4,C04_DUAL_ELEMENTWISE_MIN,-0.02238413013707158,-0.006673076195498284,-0.014528603166284904
p22,4,C05_DUAL_HARMONIC_INTERSECTION,-0.023915386565301622,-0.007489761864187372,-0.015702574214744525
p22,4,C06_DUAL_ROW_STOCHASTIC_MEAN,0.011361524731713812,0.011687065354693105,0.011524295043203403
p22,4,C07_DUAL_LOCAL_RELIABILITY,0.008141260075090084,0.010810465126717683,0.009475862600903828
p22,4,C08_SIX_VIEW_SUPPORT_MEDIAN,0.001109083744507633,0.00697479789865274,0.004041940821580159
p22,4,C09_DUAL_SPARSE_SNF10,-0.12691043994454615,-0.10411733931569589,-0.11551388963012099
p22,4,C10_DUAL_MEAN_SPATIAL05,0.01820585224428639,0.01795457962804259,0.01808021593616449
p22,4,C11_DUAL_MEAN_SPATIAL10,0.014670742318759755,0.021519156738543987,0.01809494952865187
p22,5,C00_G04_H05_CONFIRMED,0.0,0.0,0.0
p22,5,C01_G00_H05,-0.05502600601955515,-0.024465994846515793,-0.039746000433035444
p22,5,C02_DUAL_ARITHMETIC_MEAN,0.0028240871704471315,0.009242676862270205,0.006033382016358724
p22,5,C03_DUAL_ELEMENTWISE_MAX,0.003124603446862939,0.002346195053894551,0.0027353992503788005
p22,5,C04_DUAL_ELEMENTWISE_MIN,-0.022700274769313022,-0.005840005373646373,-0.014270140071479642
p22,5,C05_DUAL_HARMONIC_INTERSECTION,-0.026085895480867483,-0.007102949081172261,-0.016594422281019816
p22,5,C06_DUAL_ROW_STOCHASTIC_MEAN,0.01999876910632392,0.01903332840214733,0.019516048754235626
p22,5,C07_DUAL_LOCAL_RELIABILITY,-0.039311524285785215,-0.020507311176404697,-0.0299094177310949
p22,5,C08_SIX_VIEW_SUPPORT_MEDIAN,0.0018221713363736902,0.008195849485946427,0.005009010411160086
p22,5,C09_DUAL_SPARSE_SNF10,-0.11946830985217949,-0.08989173799791206,-0.10468002392504572
p22,5,C10_DUAL_MEAN_SPATIAL05,0.027423173251077015,0.02615487259366267,0.026789022922369843
