lane,control,feasibility_mode,candidate_id,absolute_ari,absolute_nmi,ami,fmi,min_cluster_size_full,cluster_sizes_full,morans_i_macro,gearys_c_macro,feasible_count,homogeneity,v_measure,neighbor_agreement,n_total,n_evaluated,k,min_cluster_size_eval,cluster_sizes_eval,partition_sha256,arm,start_id
MISAR_K7,NIGHT16G_STRICT_LOSO,,AUTHORITY_STRONG_START__DIRECT_BASE,0.5353060549066526,0.658264645807069,0.6564633311016784,0.6279846928894429,125.0,"[293, 446, 182, 267, 351, 285, 125]",0.9225167185254016,0.07943000491844185,,0.6958877117624496,0.6582646458070689,0.9373627981852773,1949.0,1949.0,7.0,125.0,"[293, 446, 182, 267, 351, 285, 125]",c93cabc50ce7b0988180a9d16eefcced1ea8f54f413b346bc8976dc7bc1e4363,DIRECT_BASE,AUTHORITY_STRONG_START
MISAR_K7,LABEL_ASSISTED_ORACLE_MAX_ARI,,AUTHORITY_STRONG_START__PRIVATE_CONFLICT_OFF,0.5419324739739171,0.6658671894979475,0.66410661292332,0.6334503545200084,125,"[295, 438, 181, 267, 353, 290, 125]",0.9229553769534274,0.07893728117036,,0.7041807706688896,0.6658671894979475,0.937655495390019,1949,1949,7,125,"[295, 438, 181, 267, 353, 290, 125]",dc9f9b78913a8dde5e01c88552b335f8c511f07dd4b46972bc4a282e374ac926,PRIVATE_CONFLICT_OFF,AUTHORITY_STRONG_START
HUMAN_HIPPOCAMPUS_K7,FEASIBLE_PLAIN_MEDOID,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S0__UNIFORM_MASS_MATCHED,0.5727354282776732,0.5600655047653899,0.5580121088436922,0.679039950572211,36,"[883, 59, 471, 204, 46, 36, 801]",0.7270054840032671,0.26605216737391346,77,,,,,,,,,,,
HUMAN_HIPPOCAMPUS_K7,FEASIBLE_MIN_INERTIA,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S0__INPUT_START,0.1355350794449897,0.23737836542863225,0.23405255814737672,0.3242942247341744,58,"[491, 58, 482, 163, 325, 80, 901]",0.33065010133545847,0.6639475172156063,77,,,,,,,,,,,
HUMAN_HIPPOCAMPUS_K7,FEASIBLE_MAX_CH,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S0__INPUT_START,0.1355350794449897,0.23737836542863225,0.23405255814737672,0.3242942247341744,58,"[491, 58, 482, 163, 325, 80, 901]",0.33065010133545847,0.6639475172156063,77,,,,,,,,,,,
HUMAN_HIPPOCAMPUS_K7,FEASIBLE_MAX_SPATIAL,SMALLEST_SCALE_INTERNAL_EDGE,PATH_UNIFORM__KMEANS_RETAINED_S4__L04,0.5961783620969016,0.5854895180308324,0.5836405779005621,0.6872240781271102,34,"[34, 59, 299, 655, 160, 869, 424]",0.7741071663682941,0.2177857175066828,77,,,,,,,,,,,
HUMAN_HIPPOCAMPUS_K7,PARETO_MAXIMIN,SMALLEST_SCALE_INTERNAL_EDGE,PATH_UNIFORM__KMEANS_RETAINED_S4__L03,0.5681336315316072,0.5479822176501523,0.545984952053962,0.6653639681550713,57,"[57, 59, 230, 621, 184, 892, 457]",0.7206177168258421,0.26970944189326684,77,,,,,,,,,,,
HUMAN_HIPPOCAMPUS_K7,EQUAL_RANK,SMALLEST_SCALE_INTERNAL_EDGE,PATH_UNIFORM__KMEANS_RETAINED_S0__L00,0.13893739167022703,0.24071526226233256,0.23741457480230602,0.3258269381520671,61,"[490, 61, 485, 166, 327, 82, 889]",0.3494161689351896,0.6447201913498438,77,,,,,,,,,,,
HUMAN_HIPPOCAMPUS_K7,CONTENT_ADAPTIVE,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S4__UNIFORM_MASS_MATCHED,0.5961783620969016,0.5854895180308324,0.5836405779005621,0.6872240781271102,34,"[34, 59, 299, 655, 160, 869, 424]",0.7741071663682941,0.2177857175066828,77,,,,,,,,,,,
HUMAN_HIPPOCAMPUS_K7,PARETO_CENTRAL,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S0__UNIFORM_MASS_MATCHED,0.5727354282776732,0.5600655047653899,0.5580121088436922,0.679039950572211,36,"[883, 59, 471, 204, 46, 36, 801]",0.7270054840032671,0.26605216737391346,77,,,,,,,,,,,
HUMAN_HIPPOCAMPUS_K7,CROSS_EVIDENCE_ARBITRATION,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S4__UNIFORM_MASS_MATCHED,0.5961783620969016,0.5854895180308324,0.5836405779005621,0.6872240781271102,34,"[34, 59, 299, 655, 160, 869, 424]",0.7741071663682941,0.2177857175066828,77,,,,,,,,,,,
HUMAN_HIPPOCAMPUS_K7,NIGHT16G_FIXED_AUTHORITY_DIRECT_ENERGY,,NIGHT16E_BYTE_EXACT_UNLABELED_START__DIRECT_BASE,0.16750951288907545,0.2667558803103532,0.26359330990718594,0.3442976017310758,53.0,"[53, 502, 176, 847, 427, 395, 100]",0.3872501491470867,0.6061614170053469,,0.2622620722424041,0.26675588031035313,0.4742985200196438,2500.0,2500.0,7.0,53.0,"[53, 502, 176, 847, 427, 395, 100]",6c6c334d93ecde6865c4b5b45757ddf0a971e60dfa6f1f0ca85877dd10902159,DIRECT_BASE,NIGHT16E_BYTE_EXACT_UNLABELED_START
HUMAN_HIPPOCAMPUS_K7,NIGHT16G_MULTI_EVIDENCE_GLOBAL,,KMEANS_RETAINED_S4__UNIFORM_MASS_MATCHED,0.5961783620969016,0.5854895180308324,0.5836405779005621,0.6872240781271102,34.0,"[34, 59, 299, 655, 160, 869, 424]",0.7741071663682941,0.2177857175066828,,0.5615159891783248,0.5854895180308322,0.9012346431055147,2500.0,2500.0,7.0,34.0,"[34, 59, 299, 655, 160, 869, 424]",b12f6fe847dbeb1edf7bafe44279a9ea637f493a0099d74ffb68d5fcb08e2609,UNIFORM_MASS_MATCHED,KMEANS_RETAINED_S4
HUMAN_HIPPOCAMPUS_K7,NIGHT16G_STRICT_LOSO,,KMEANS_RETAINED_S3__DIRECT_BASE,0.23103877965540923,0.42618244242236925,0.4234740253061733,0.46117817338436445,1.0,"[1343, 1, 665, 424, 2, 19, 46]",0.5828823610271271,0.36026654078974735,,0.3487236176354284,0.4261824424223693,0.9446524544596279,2500.0,2500.0,7.0,1.0,"[1343, 1, 665, 424, 2, 19, 46]",6aa74b614eb670c5b1b0cbc69c0ca85d6e344819efeeae6ae00999713394d87b,DIRECT_BASE,KMEANS_RETAINED_S3
HUMAN_HIPPOCAMPUS_K7,LABEL_ASSISTED_ORACLE_MAX_ARI,,KMEANS_RETAINED_S3__ATAC_ONLY_SUPPORT,0.6345914320663634,0.5899949334220079,0.5881700005405646,0.7168197960092418,38,"[660, 259, 205, 422, 865, 38, 51]",0.7768130352716162,0.21295467149948535,,0.5668861950710218,0.5899949334220079,0.8986424258334083,2500,2500,7,38,"[660, 259, 205, 422, 865, 38, 51]",0f8e7fe77957b762bf4fe0caebd08fe529da1f07eb1350e7518910bb065aa27f,ATAC_ONLY_SUPPORT,KMEANS_RETAINED_S3
MELANOMA_TUMOR_K2,FEASIBLE_PLAIN_MEDOID,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S3__ATAC_ONLY_SUPPORT,0.9188297279678376,0.8451729029040616,0.845025575968487,0.9641587048401185,275,"[275, 558]",0.9347619733166393,0.0006071704061752415,89,,,,,,,,,,,
MELANOMA_TUMOR_K2,FEASIBLE_MIN_INERTIA,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S3__INPUT_START,0.9757656645125035,0.9427557787068623,0.942701233028676,0.9893187176416578,273,"[273, 560]",0.87365732802251,0.06338796998770595,89,,,,,,,,,,,
MELANOMA_TUMOR_K2,FEASIBLE_MAX_CH,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S3__INPUT_START,0.9757656645125035,0.9427557787068623,0.942701233028676,0.9893187176416578,273,"[273, 560]",0.87365732802251,0.06338796998770595,89,,,,,,,,,,,
MELANOMA_TUMOR_K2,FEASIBLE_MAX_SPATIAL,SMALLEST_SCALE_INTERNAL_EDGE,PATH_UNIFORM__KMEANS_RETAINED_S3__L06,0.9141772268245202,0.8384393166674208,0.8382856860385629,0.9620709341538081,276,"[276, 557]",0.9342954819344362,1.9188465665562544e-05,89,,,,,,,,,,,
MELANOMA_TUMOR_K2,PARETO_MAXIMIN,SMALLEST_SCALE_INTERNAL_EDGE,PATH_UNIFORM__UNLABELED_PARTITION_MEDOID__L04,0.3043845033077312,0.2044941268168907,0.2037485910264233,0.6863396526009703,300,"[533, 300]",0.8800765921603085,0.08887404718910681,89,,,,,,,,,,,
MELANOMA_TUMOR_K2,EQUAL_RANK,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S3__DIRECT_BASE,0.9141772268245202,0.8384393166674208,0.8382856860385629,0.9620709341538081,276,"[276, 557]",0.9342954819344362,1.9188465665562544e-05,89,,,,,,,,,,,
MELANOMA_TUMOR_K2,CONTENT_ADAPTIVE,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S3__DIRECT_BASE,0.9141772268245202,0.8384393166674208,0.8382856860385629,0.9620709341538081,276,"[276, 557]",0.9342954819344362,1.9188465665562544e-05,89,,,,,,,,,,,
MELANOMA_TUMOR_K2,PARETO_CENTRAL,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S3__ATAC_ONLY_SUPPORT,0.9188297279678376,0.8451729029040616,0.845025575968487,0.9641587048401185,275,"[275, 558]",0.9347619733166393,0.0006071704061752415,89,,,,,,,,,,,
MELANOMA_TUMOR_K2,CROSS_EVIDENCE_ARBITRATION,SMALLEST_SCALE_INTERNAL_EDGE,KMEANS_RETAINED_S3__INPUT_START,0.9757656645125035,0.9427557787068623,0.942701233028676,0.9893187176416578,273,"[273, 560]",0.87365732802251,0.06338796998770595,89,,,,,,,,,,,
MELANOMA_TUMOR_K2,NIGHT16G_FIXED_AUTHORITY_DIRECT_ENERGY,,UNLABELED_PARTITION_MEDOID__DIRECT_BASE,0.29364293621537724,0.19575653284452937,0.19500280831624295,0.6814933190299829,300.0,"[533, 300]",0.9251986322688023,0.04363989913020608,,0.1991353752458922,0.1957565328445294,0.9798630417428895,833.0,833.0,2.0,300.0,"[533, 300]",85ab4ff2107f294ac87bbabae5c76ac623fc771ac76e02acca95db33185bf45b,DIRECT_BASE,UNLABELED_PARTITION_MEDOID
MELANOMA_TUMOR_K2,NIGHT16G_MULTI_EVIDENCE_GLOBAL,,KMEANS_RETAINED_S3__DIRECT_BASE,0.9141772268245202,0.8384393166674208,0.8382856860385629,0.9620709341538081,276.0,"[276, 557]",0.9342954819344362,1.9188465665562544e-05,,0.8407115674276644,0.8384393166674207,0.9999914873222259,833.0,833.0,2.0,276.0,"[276, 557]",8a4a5a5cc80ac381e70b3719c416dcae57b3178dd350cd285666b3309d3fd69e,DIRECT_BASE,KMEANS_RETAINED_S3
MELANOMA_TUMOR_K2,NIGHT16G_STRICT_LOSO,,KMEANS_RETAINED_S3__DIRECT_BASE,0.9141772268245202,0.8384393166674208,0.8382856860385629,0.9620709341538081,276.0,"[276, 557]",0.9342954819344362,1.9188465665562544e-05,,0.8407115674276644,0.8384393166674207,0.9999914873222259,833.0,833.0,2.0,276.0,"[276, 557]",8a4a5a5cc80ac381e70b3719c416dcae57b3178dd350cd285666b3309d3fd69e,DIRECT_BASE,KMEANS_RETAINED_S3
MELANOMA_TUMOR_K2,LABEL_ASSISTED_ORACLE_MAX_ARI,,KMEANS_RETAINED_S3__INPUT_START,0.9757656645125035,0.9427557787068623,0.942701233028676,0.9893187176416578,273,"[273, 560]",0.87365732802251,0.06338796998770595,,0.9434018307628337,0.9427557787068622,0.9720347191230708,833,833,2,273,"[273, 560]",17f84437c815da480f1994d996149c9e4cbc35153c9404b550dd1059be7d4183,INPUT_START,KMEANS_RETAINED_S3
