ami,ari,boundary_disagreement,cpu_peak_rss_mib,dataset,embedding_davies_bouldin,embedding_silhouette,fmi,gpu_peak_allocated_mib,gpu_peak_reserved_mib,homogeneity,hungarian_balanced_accuracy,hungarian_macro_f1,hungarian_weighted_f1,n_observations_evaluated,n_observations_trained,nmi,runtime_seconds,seed,spatial_cluster_geary_mean,spatial_cluster_moran_mean,spatial_neighbor_agreement,v_measure,variant
0.37284552254245557,0.2743782478541205,0.4314644725092486,1365.0078125,a1,1.9068486233249704,0.16425131261348724,0.41275230121129847,747.1728515625,780.0,0.4234645753033865,0.3992657169907621,0.35452777529542007,0.5597169248937832,3484,3484,0.3768681421258537,11.840769231319427,2,0.5251316511105908,0.4822083745746055,0.5685355274907514,0.3768681421258537,DROP_CORR2
0.37208859793339993,0.26577589541890123,0.40520155632095933,1365.0078125,a1,2.1400135160638607,0.1429893523454666,0.41087296744891383,747.1728515625,780.0,0.41745316848669245,0.4687502529942355,0.3579251914776887,0.535376931351691,3484,3484,0.3761698193964432,14.830705270171165,3,0.5180084276164736,0.4930494974411962,0.5947984436790407,0.3761698193964432,DROP_CORR2
0.35469893324867147,0.22011734269475466,0.4544584768465365,1365.0078125,a1,2.1919106684552,0.1367655247449875,0.36010841704563007,747.1728515625,780.0,0.4147505976062634,0.39334966061655824,0.3353205773674651,0.49028215392665836,3484,3484,0.35872574467839236,12.501957843080163,4,0.5242732027140169,0.48415752236456316,0.5455415231534635,0.35872574467839236,DROP_CORR2
0.37632084677702393,0.2501812480355885,0.43384041331802525,1365.0078125,a1,1.789683947564256,0.15251322090625763,0.3912397900786758,719.9541015625,800.0,0.4280998381868309,0.392095269986383,0.33934585394410505,0.5263486280448471,3484,3484,0.38031035157131904,14.101355796679854,0,0.5398187004553049,0.46867565261303135,0.5661595866819747,0.38031035157131904,UNIFORM_WITHIN
0.3897258566096051,0.2660798666030176,0.42848258706467657,1365.0078125,a1,1.79579399357154,0.1452459692955017,0.40749976518116854,719.9541015625,800.0,0.4422230117900292,0.4658565786300947,0.36445382933552056,0.5330963403993243,3484,3484,0.3936452058862866,12.502578530460596,1,0.54695113693804,0.46597397581730265,0.5715174129353234,0.3936452058862866,UNIFORM_WITHIN
0.37311079715067286,0.25517855499862163,0.4318152825615512,1365.0078125,a1,1.9575434939115752,0.16546571254730225,0.3968204010099078,719.9541015625,800.0,0.421127763921828,0.39262162901435405,0.3558164096792492,0.5389077461303399,3484,3484,0.37714605493131115,12.249157888814807,2,0.5439653271364817,0.4636668492071082,0.5681847174384488,0.3771460549313111,UNIFORM_WITHIN
0.3775695834906982,0.2512421094935592,0.43726878428370963,1365.0078125,a1,2.0440527266295776,0.15774652361869812,0.3913745571770409,719.9541015625,800.0,0.43258128183221634,0.4682199256977718,0.3488578846615209,0.5164266145316576,3484,3484,0.38152741681834035,11.864633593708277,3,0.5262554838567046,0.47941856126880944,0.5627312157162904,0.3815274168183403,UNIFORM_WITHIN
0.3627257442456725,0.23739130376486084,0.4207169281796147,1365.0078125,a1,1.8218497574258428,0.16011671721935272,0.3796221128254208,719.9541015625,800.0,0.4153239388979009,0.44252868242317805,0.34944877709522426,0.5288720227442547,3484,3484,0.3667839724564453,17.11750199086964,4,0.5146602115222173,0.49412458759749434,0.5792830718203853,0.36678397245644523,UNIFORM_WITHIN
0.38422010754598734,0.27778391764369886,0.3775513458349279,1365.0078125,a1,2.194702773031408,0.18434292078018188,0.4229938079971658,733.5634765625,840.0,0.4257529703678583,0.45160999478393754,0.34821581341148433,0.5336164746872876,3484,3484,0.3882659983225173,15.293086644262075,0,0.4994194351182104,0.5101330892409959,0.6224486541650721,0.3882659983225173,UNIFORM_CROSS
0.3716032379180913,0.24482580024155676,0.41800612323000386,1365.0078125,a1,1.8815933829784488,0.16354162991046906,0.38599896219133606,733.5634765625,840.0,0.4273947770404211,0.43003131468394606,0.3282573963647268,0.490286495265193,3484,3484,0.37558733200986644,9.424659976735711,1,0.5087958898509677,0.503344737237314,0.5819938767699961,0.37558733200986644,UNIFORM_CROSS
0.37990065414037993,0.25688941221785516,0.42336394948335243,1365.0078125,a1,1.8426396963570693,0.16749636828899384,0.39691551108029133,733.5634765625,840.0,0.43338498068446113,0.4390688121939517,0.3422835760898254,0.5329669435482929,3484,3484,0.38385931351770997,10.404766140505672,2,0.49470519987296047,0.5160898107371145,0.5766360505166476,0.38385931351771,UNIFORM_CROSS
0.3593638676010633,0.2129425222535895,0.43948526597780324,1365.0078125,a1,1.9915377049843523,0.12537366151809692,0.3537915259129512,733.5634765625,840.0,0.4194120183098414,0.41838641087295547,0.30749122688914166,0.4574591017316016,3484,3484,0.3633672171284245,11.576162183657289,3,0.5022369998352975,0.5079084866815035,0.5605147340221968,0.36336721712842457,UNIFORM_CROSS
0.36113877439108916,0.23815816275057067,0.39496428115831106,1365.0078125,a1,2.0341301296322882,0.1684657484292984,0.37976311489538994,733.5634765625,840.0,0.4160357511118686,0.42846938232776044,0.3247812962088568,0.5003241199215036,3484,3484,0.3651846448883749,11.157009834423661,4,0.4745056348588273,0.5341429994273132,0.6050357188416889,0.36518464488837493,UNIFORM_CROSS
0.37290254022996944,0.24442883809637272,0.44610281923714756,1365.0078125,a1,1.9825455317425882,0.14413230121135712,0.38310283449659943,705.62841796875,800.0,0.4316237024560002,0.42801319024008516,0.32828923524189946,0.5142466783341189,3484,3484,0.37685112501379603,18.441175328567624,0,0.5309460338232128,0.4754815762760936,0.5538971807628524,0.3768511250137959,UNIFORM_ALL
0.3810115379268122,0.2593684651825341,0.43238933537441004,1365.0078125,a1,1.9038729443900475,0.1643095165491104,0.39886683713850396,705.62841796875,800.0,0.434775161876667,0.3878623726105885,0.3324504867735702,0.5325967230408238,3484,3484,0.38496067559761493,11.949967443943024,1,0.5201012571072013,0.48764705384222556,0.56761066462559,0.38496067559761493,UNIFORM_ALL
0.38855588056126655,0.2829735296333324,0.42833907386146197,1365.0078125,a1,1.9243262035013973,0.17968732118606567,0.4217382158629757,705.62841796875,800.0,0.4374180653102714,0.4175738137220528,0.352766361171932,0.5580579816195107,3484,3484,0.39250737091174115,12.331179708242416,2,0.5200050211774625,0.48810946104513625,0.571660926138538,0.3925073709117412,UNIFORM_ALL
0.3789811629841071,0.2577329598254229,0.41794233958413063,1365.0078125,a1,1.8481293219071468,0.16683538258075714,0.399497607056393,705.62841796875,800.0,0.4305259197093247,0.4445512196727652,0.3291584624627249,0.5108087069682937,3484,3484,0.3829639053507703,11.442068280652165,3,0.49188159271596293,0.5176305300776953,0.5820576604158694,0.38296390535077035,UNIFORM_ALL
0.3682040256154892,0.23306719083817093,0.4394374282433984,1365.0078125,a1,2.0406356369791188,0.15604645013809204,0.37454625062682556,705.62841796875,800.0,0.4257574419408547,0.4197901618681568,0.3168754876821233,0.4860803681216347,3484,3484,0.37218878848225384,11.285540221258998,4,0.5256249670694704,0.4831044670501992,0.5605625717566016,0.37218878848225384,UNIFORM_ALL
0.6710836959005966,0.6417898945638958,0.5258724428399519,1365.0078125,placenta,1.521163062963441,0.2379375398159027,0.7053725317361016,444.79833984375,514.0,0.7178041736680748,0.6207162517900924,0.5744049235658075,0.7797850158921563,1662,1662,0.6753457989565853,7.771793527528644,0,0.6841413001494535,0.465665932140175,0.4741275571600481,0.6753457989565853,FULL_IGE
