lane,role,start_candidate,candidate_id,candidate_partition_sha256,ari,nmi,ami,fmi,homogeneity,v_measure,n_total,n_eval,observed_k_full,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,internal_smallest_scale_edge_counts,all_clusters_have_internal_smallest_scale_edge,changed_observations_vs_start,neighbor_agreement,moran_indicator_macro,geary_indicator_macro,label_access
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,b422cbc547791e79e7558d29fe61cf71dd96bc30b5109162088c45599bc710c8,0.08149540093932978,0.1695495210250715,0.16583421980381194,0.2809006827968387,0.16332963707785744,0.1695495210250715,2500,2500,7,19,19|44|234|331|408|672|792,19,19|44|234|331|408|672|792,844|533|339|188|231|83|13,True,195,0.43745098039215685,0.35794203317754497,0.6374527420600847,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN__FULL__S0,3e0b51724f56ff67b0ee0e2d3bb683083ffaf32eb5ae5d5ce754c5b23704a5ee,0.06880589688380447,0.14826122262984617,0.14449060700806207,0.2668559213778983,0.14401826688198285,0.14826122262984617,2500,2500,7,23,23|45|286|315|438|625|768,23,23|45|286|315|438|625|768,710|401|314|126|219|85|13,True,16,0.36627450980392157,0.2821386359114056,0.7135523027294245,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,INPUT_GEOMETRY_START,ce7092143f0a60a86f081a70e6c66f1eefbacc2b49164a7f3f0848082203a41c,0.5961783620969016,0.5854895180308324,0.5836405779005621,0.6872240781271102,0.5615159891783248,0.5854895180308322,2500,2500,7,34,34|59|160|299|424|655|869,34,34|59|160|299|424|655|869,33|115|550|1261|247|1661|820,True,0,0.9190196078431373,0.8154449067062304,0.18190486305324546,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__EMISSION_ONLY__S0,ce7092143f0a60a86f081a70e6c66f1eefbacc2b49164a7f3f0848082203a41c,0.5961783620969016,0.5854895180308324,0.5836405779005621,0.6872240781271102,0.5615159891783248,0.5854895180308322,2500,2500,7,34,34|59|160|299|424|655|869,34,34|59|160|299|424|655|869,33|115|550|1261|247|1661|820,True,0,0.9190196078431373,0.8154449067062304,0.18190486305324546,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__SHARED_GRAPH_ONLY__S0,a379a6be406c4f0a8b0ab0e96814a0f4e2cf939265687f4f3b15e4ee8385b539,0.5774385886714467,0.5666211388347,0.5646714885810985,0.6739370539119215,0.5401849269327087,0.5666211388347,2500,2500,7,32,32|49|150|294|429|669|877,32,32|49|150|294|429|669|877,30|94|498|1231|201|1625|809,True,111,0.88,0.7631690097439632,0.23415264785646656,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__CLUSTER_GRAPH_ONLY__S0,55ff03c538ba591c3892413309db0827941ea0d6ab324514a9f02cf830c0b185,0.5958243243810416,0.5887372976059152,0.5868994256799368,0.6869812393392989,0.5642608819590802,0.5887372976059152,2500,2500,7,30,30|59|167|294|426|655|869,30,30|59|167|294|426|655|869,24|116|547|1259|265|1659|824,True,25,0.9203921568627451,0.8083855237906189,0.1894158695189924,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,ea7e2dcaf005f0f09b7cc5463e85c825feb135fc3fd2fa2aa9fe619353799af5,0.5738227940477993,0.5630342095496295,0.5610680278178857,0.6710898082468743,0.5367490627158719,0.5630342095496295,2500,2500,7,32,32|48|151|294|431|667|877,32,32|48|151|294|431|667|877,30|90|493|1214|203|1614|809,True,120,0.8731372549019608,0.7556617672600022,0.24201047302412476,independent_evaluator_after_partition_and_checkpoint_lock
HUMAN_HIPPOCAMPUS_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__FULL__S0,55ff03c538ba591c3892413309db0827941ea0d6ab324514a9f02cf830c0b185,0.5958243243810416,0.5887372976059152,0.5868994256799368,0.6869812393392989,0.5642608819590802,0.5887372976059152,2500,2500,7,30,30|59|167|294|426|655|869,30,30|59|167|294|426|655|869,24|116|547|1259|265|1659|824,True,25,0.9203921568627451,0.8083855237906189,0.1894158695189924,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_FEATURE_NCUT_K24,INPUT_GEOMETRY_START,d193308b2c8b169563b9e2921fe03a4ce6f9f980c01e8c5f0a60bb20a4a4ee76,0.819529763376469,0.7248615212023887,0.7246032400659991,0.9189200802831885,0.7361691885585238,0.7248615212023886,833,833,2,297,297|536,297,297|536,1220|658,True,0,0.8896257697773567,0.7727118612580597,0.18678735754672282,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__EMISSION_ONLY__S0,d193308b2c8b169563b9e2921fe03a4ce6f9f980c01e8c5f0a60bb20a4a4ee76,0.819529763376469,0.7248615212023887,0.7246032400659991,0.9189200802831885,0.7361691885585238,0.7248615212023886,833,833,2,297,297|536,297,297|536,1220|658,True,0,0.8896257697773567,0.7727118612580597,0.18678735754672282,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__SHARED_GRAPH_ONLY__S0,165f520303cd3a5205b4c63f69281ea1a1f439ad3fa2540f8d3e64feb2b22281,0.95660620405201,0.9077769500054643,0.9076891944407093,0.9808403129100967,0.9096291042165854,0.9077769500054642,833,833,2,275,275|558,275,275|558,1346|688,True,34,0.9635243960208432,0.9143787799141952,0.03970588815620903,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__CLUSTER_GRAPH_ONLY__S0,91b418a297cf4f341a3893bbf4f835c8bf27fa18622c2746ed74bb2f63c53bfd,0.923555656613929,0.8543426691299544,0.8542043457131634,0.9661593134864648,0.8577892694038052,0.8543426691299544,833,833,2,278,278|555,278,278|555,1360|712,True,41,0.9815253434391283,0.9501329434926467,0.004947227332482719,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,40b2914d8edc69080119bdfcfe9732cc7749b09b6d9e60060999314808976c92,0.9613885274057146,0.9173897278195653,0.9173111723950436,0.9829381886399455,0.9198759417470839,0.9173897278195652,833,833,2,276,276|557,276,276|557,1343|689,True,33,0.9625769777356703,0.9102262501570723,0.04421517126722576,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__FULL__S0,99f847650ca11b99d5ecc274189dd70ccb42330d0c6b0c1bd82c6ed5da875d67,0.9282595238908207,0.8628197852630969,0.8626895978154653,0.968216700799297,0.8668651778066359,0.8628197852630969,833,833,2,279,279|554,279,279|554,1360|716,True,42,0.9834201800094742,0.9487717306176509,0.004934482186285477,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_LEIDEN_FEATURE,INPUT_GEOMETRY_START,e43e805feb4510ab77eb7abac81872d4e600d2419eb8740f79dd093d8ddee5ae,0.8105591406877988,0.7057591865230683,0.7054820213622089,0.91524177356939,0.7143299033349519,0.7057591865230682,833,833,2,291,291|542,291,291|542,1220|629,True,0,0.8758882046423496,0.7400058013267111,0.22600546275035024,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN__EMISSION_ONLY__S0,e43e805feb4510ab77eb7abac81872d4e600d2419eb8740f79dd093d8ddee5ae,0.8105591406877988,0.7057591865230683,0.7054820213622089,0.91524177356939,0.7143299033349519,0.7057591865230682,833,833,2,291,291|542,291,291|542,1220|629,True,0,0.8758882046423496,0.7400058013267111,0.22600546275035024,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN__SHARED_GRAPH_ONLY__S0,60869aedb44c0656197b1395eb5b9b5dad6006790f93bd1fe4631315e0030b2a,0.9517947242775668,0.8985552440798433,0.8984583790122803,0.9788145488357561,0.8973097276892051,0.8985552440798434,833,833,2,270,270|563,270,270|563,1351|667,True,35,0.9559450497394599,0.9124429282246109,0.048147104601496446,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN__CLUSTER_GRAPH_ONLY__S0,15ead969d533a993498e57c0ba63d54eb6bdbca1f2f31fb447078364e507e55b,0.9329213417021096,0.8680330137989708,0.8679075242884021,0.9703557771988618,0.87038546630962,0.8680330137989708,833,833,2,276,276|557,276,276|557,1365|708,True,47,0.9819990525817148,0.9496739539507961,0.0018963178615814527,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,4e7ab32e85404cffc525440d4a526d843297b5f51ef903cb6e3907a5bc956acf,0.9613420632116575,0.9155992109463498,0.9155186204016745,0.9830106745790081,0.9143300693637898,0.9155992109463499,833,833,2,270,270|563,270,270|563,1351|666,True,35,0.9554713405968736,0.901222382052634,0.05643795221702471,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN__FULL__S0,b1cf575f0f5e21b04746bee26ba51db9e780d3d642ab69bb8741c83e58443d02,0.928203630490583,0.8599139985672275,0.8597806986365623,0.9682981001511632,0.8616684971074676,0.8599139985672274,833,833,2,275,275|558,275,275|558,1365|704,True,46,0.980104216011369,0.9505018940360768,0.002331093605503506,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,NIGHT16H_FROZEN_SELECTOR,INPUT_GEOMETRY_START,a57dcbd03e7e119477cb020264c8500ee07b2bb95d0f4663e1cc7346a6327aa6,0.9141772268245202,0.8384393166674208,0.8382856860385629,0.9620709341538081,0.8407115674276644,0.8384393166674207,833,833,2,276,276|557,276,276|557,724|1382,True,0,0.9976314542870678,0.9511601059063458,6.875516665195568e-08,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__EMISSION_ONLY__S0,a57dcbd03e7e119477cb020264c8500ee07b2bb95d0f4663e1cc7346a6327aa6,0.9141772268245202,0.8384393166674208,0.8382856860385629,0.9620709341538081,0.8407115674276644,0.8384393166674207,833,833,2,276,276|557,276,276|557,724|1382,True,0,0.9976314542870678,0.9511601059063458,6.875516665195568e-08,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__SHARED_GRAPH_ONLY__S0,a2260dfa58ea085aacb576a1a6dfa105799b750977d4a44264d20ea608c93775,0.966167350570216,0.9254214914813939,0.9253505257181273,0.9850623927716742,0.9273096461789756,0.9254214914813939,833,833,2,275,275|558,275,275|558,699|1359,True,11,0.9748934154429181,0.9275917185753387,0.026681880459190326,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__CLUSTER_GRAPH_ONLY__S0,3009eac24b39c315509977f95b88292aae4c16d4c0be87c3813f906ee22e50b9,0.928203630490583,0.8599139985672277,0.8597806986365625,0.9682981001511632,0.8616684971074678,0.8599139985672277,833,833,2,275,275|558,275,275|558,717|1379,True,3,0.9928943628612033,0.952558294166641,6.091224069550127e-06,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,a2260dfa58ea085aacb576a1a6dfa105799b750977d4a44264d20ea608c93775,0.966167350570216,0.9254214914813939,0.9253505257181273,0.9850623927716742,0.9273096461789756,0.9254214914813939,833,833,2,275,275|558,275,275|558,699|1359,True,11,0.9748934154429181,0.9275917185753387,0.026681880459190326,independent_evaluator_after_partition_and_checkpoint_lock
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__FULL__S0,3009eac24b39c315509977f95b88292aae4c16d4c0be87c3813f906ee22e50b9,0.928203630490583,0.8599139985672277,0.8597806986365625,0.9682981001511632,0.8616684971074678,0.8599139985672277,833,833,2,275,275|558,275,275|558,717|1379,True,3,0.9928943628612033,0.952558294166641,6.091224069550127e-06,independent_evaluator_after_partition_and_checkpoint_lock
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,INPUT_GEOMETRY_START,a5f94edf7b1d578c1d68ed1da6d39924134afd185e7057e1e8b9c070710fa434,0.4279610864336926,0.5565080783995364,0.5542006220891528,0.5382720357746597,0.5948640579020366,0.5565080783995363,1949,1949,7,187,187|210|272|282|287|338|373,187,187|210|272|282|287|338|373,526|670|393|556|695|552|387,True,0,0.9365551425030979,0.9274290443377102,0.07424691656990488,independent_evaluator_after_partition_and_checkpoint_lock
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__EMISSION_ONLY__S0,a5f94edf7b1d578c1d68ed1da6d39924134afd185e7057e1e8b9c070710fa434,0.4279610864336926,0.5565080783995364,0.5542006220891528,0.5382720357746597,0.5948640579020366,0.5565080783995363,1949,1949,7,187,187|210|272|282|287|338|373,187,187|210|272|282|287|338|373,526|670|393|556|695|552|387,True,0,0.9365551425030979,0.9274290443377102,0.07424691656990488,independent_evaluator_after_partition_and_checkpoint_lock
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__SHARED_GRAPH_ONLY__S0,48a47373309cbe276fa9f804363e8c564f641363b2f5aa8225fc421e73816563,0.42552642697850535,0.5555337974206992,0.5532215158834235,0.5362257246444659,0.5938770976568941,0.5555337974206991,1949,1949,7,188,188|210|274|280|287|337|373,188,188|210|274|280|287|337|373,530|668|394|556|695|548|389,True,10,0.9368029739776952,0.9277850514496153,0.07388939363076129,independent_evaluator_after_partition_and_checkpoint_lock
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__CLUSTER_GRAPH_ONLY__S0,32f195c69f112ea05035246aeeb32b387f17c2575956c0bc2d555bad910febc8,0.42686858343123807,0.5558023364581737,0.5534912111320591,0.5373567854513825,0.5941103366395323,0.5558023364581737,1949,1949,7,187,187|210|273|280|288|338|373,187,187|210|273|280|288|338|373,529|670|394|560|695|549|388,True,6,0.9380421313506815,0.929463980898774,0.07222773868406829,independent_evaluator_after_partition_and_checkpoint_lock
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,77cfe168ec64b6aba86ae23bd91dd0e9f2ce6254668e65cfb1feec0f73e117aa,0.42639495095600993,0.5560202468174995,0.5537103855340487,0.5369574250240546,0.5943708053982844,0.5560202468174995,1949,1949,7,188,188|210|273|280|287|337|374,188,188|210|273|280|287|337|374,527|668|394|556|696|548|389,True,9,0.9363073110285006,0.9272609710156183,0.07442339667234418,independent_evaluator_after_partition_and_checkpoint_lock
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__FULL__S0,435a850194d8169fc6e5fa39ad255c0587d3fc9106d7aebd26f45fb9e1c4894a,0.4278033186804824,0.5562379422512761,0.5539287469097578,0.5381496100326699,0.5944993105469252,0.5562379422512761,1949,1949,7,187,187|208|272|282|288|338|374,187,187|208|272|282|288|338|374,527|670|390|560|697|553|388,True,5,0.9380421313506815,0.9294205131365779,0.07225694397194594,independent_evaluator_after_partition_and_checkpoint_lock
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,INPUT_GEOMETRY_START,584026b0de43b808501d8c031857a65482b2f8ea3d3488e47d258b3eb55983e6,0.5353060549066526,0.658264645807069,0.6564633311016784,0.6279846928894429,0.6958877117624496,0.6582646458070689,1949,1949,7,125,125|182|267|285|293|351|446,125,125|182|267|285|293|351|446,580|927|357|522|657|540|247,True,0,0.9491945477075588,0.9370624667796008,0.06379105102706097,independent_evaluator_after_partition_and_checkpoint_lock
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__EMISSION_ONLY__S0,584026b0de43b808501d8c031857a65482b2f8ea3d3488e47d258b3eb55983e6,0.5353060549066526,0.658264645807069,0.6564633311016784,0.6279846928894429,0.6958877117624496,0.6582646458070689,1949,1949,7,125,125|182|267|285|293|351|446,125,125|182|267|285|293|351|446,580|927|357|522|657|540|247,True,0,0.9491945477075588,0.9370624667796008,0.06379105102706097,independent_evaluator_after_partition_and_checkpoint_lock
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__SHARED_GRAPH_ONLY__S0,536b81ec8bc3e7b5d984e3f5f00538caf57d87ebc06826fd090ab64eb9239ce8,0.5325826861867995,0.6547413602763985,0.6529213771224189,0.6257434838673616,0.6920754414355762,0.6547413602763985,1949,1949,7,128,128|180|268|285|287|348|453,128,128|180|268|285|287|348|453,565|938|353|521|648|537|252,True,37,0.9452292441140024,0.932458392435808,0.06816980600604834,independent_evaluator_after_partition_and_checkpoint_lock
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__CLUSTER_GRAPH_ONLY__S0,db5fac308982921dc76365a3f05c57dd8594f85f5efc768ceffca2cf2fc94a4f,0.5353484441355739,0.6584064447445105,0.6566060738139881,0.6280192086092108,0.696097376634937,0.6584064447445105,1949,1949,7,125,125|184|265|290|291|345|449,125,125|184|265|290|291|345|449,574|932|361|518|645|551|247,True,25,0.9486988847583643,0.9365727979255515,0.06419373719958835,independent_evaluator_after_partition_and_checkpoint_lock
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,3f06e9567ff082e80320ac3e5e18116af3c868e6baac1652d42024ac49be4c88,0.5322266428742004,0.6543166827920265,0.652494939927237,0.6254454514765844,0.6917772887047012,0.6543166827920266,1949,1949,7,129,129|180|269|285|287|347|452,129,129|180|269|285|287|347|452,565|937|353|523|646|537|253,True,39,0.9452292441140024,0.9321129394373889,0.06846983725916121,independent_evaluator_after_partition_and_checkpoint_lock
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__FULL__S0,db5fac308982921dc76365a3f05c57dd8594f85f5efc768ceffca2cf2fc94a4f,0.5353484441355739,0.6584064447445105,0.6566060738139881,0.6280192086092108,0.696097376634937,0.6584064447445105,1949,1949,7,125,125|184|265|290|291|345|449,125,125|184|265|290|291|345|449,574|932|361|518|645|551|247,True,25,0.9486988847583643,0.9365727979255515,0.06419373719958835,independent_evaluator_after_partition_and_checkpoint_lock
