lane,role,start_candidate,candidate_id,ari,nmi,delta_ari_vs_start,delta_nmi_vs_start,changed_observations,partition_sha256
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__EMISSION_ONLY__S0,0.9141772268245202,0.8384393166674208,0.0,0.0,0,a57dcbd03e7e119477cb020264c8500ee07b2bb95d0f4663e1cc7346a6327aa6
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__SHARED_GRAPH_ONLY__S0,0.966167350570216,0.9254214914813939,0.05199012374569578,0.08698217481397308,11,a2260dfa58ea085aacb576a1a6dfa105799b750977d4a44264d20ea608c93775
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__CLUSTER_GRAPH_ONLY__S0,0.928203630490583,0.8599139985672277,0.014026403666062781,0.021474681899806947,3,3009eac24b39c315509977f95b88292aae4c16d4c0be87c3813f906ee22e50b9
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,0.966167350570216,0.9254214914813939,0.05199012374569578,0.08698217481397308,11,a2260dfa58ea085aacb576a1a6dfa105799b750977d4a44264d20ea608c93775
MELANOMA_TUMOR_K2,SECONDARY_ROBUSTNESS,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__FULL__S0,0.928203630490583,0.8599139985672277,0.014026403666062781,0.021474681899806947,3,3009eac24b39c315509977f95b88292aae4c16d4c0be87c3813f906ee22e50b9
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,INPUT_GEOMETRY_START,0.4279610864336926,0.5565080783995364,0.0,0.0,0,a5f94edf7b1d578c1d68ed1da6d39924134afd185e7057e1e8b9c070710fa434
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__EMISSION_ONLY__S0,0.4279610864336926,0.5565080783995364,0.0,0.0,0,a5f94edf7b1d578c1d68ed1da6d39924134afd185e7057e1e8b9c070710fa434
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__SHARED_GRAPH_ONLY__S0,0.42552642697850535,0.5555337974206992,-0.002434659455187227,-0.0009742809788372275,10,48a47373309cbe276fa9f804363e8c564f641363b2f5aa8225fc421e73816563
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__CLUSTER_GRAPH_ONLY__S0,0.42686858343123807,0.5558023364581737,-0.0010925030024545035,-0.0007057419413627475,6,32f195c69f112ea05035246aeeb32b387f17c2575956c0bc2d555bad910febc8
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,0.42639495095600993,0.5560202468174995,-0.0015661354776826397,-0.0004878315820369128,9,77cfe168ec64b6aba86ae23bd91dd0e9f2ce6254668e65cfb1feec0f73e117aa
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN__FULL__S0,0.4278033186804824,0.5562379422512761,-0.00015776775321019176,-0.00027013614826032484,5,435a850194d8169fc6e5fa39ad255c0587d3fc9106d7aebd26f45fb9e1c4894a
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,INPUT_GEOMETRY_START,0.5353060549066526,0.658264645807069,0.0,0.0,0,584026b0de43b808501d8c031857a65482b2f8ea3d3488e47d258b3eb55983e6
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__EMISSION_ONLY__S0,0.5353060549066526,0.658264645807069,0.0,0.0,0,584026b0de43b808501d8c031857a65482b2f8ea3d3488e47d258b3eb55983e6
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__SHARED_GRAPH_ONLY__S0,0.5325826861867995,0.6547413602763985,-0.0027233687198531253,-0.0035232855306704947,37,536b81ec8bc3e7b5d984e3f5f00538caf57d87ebc06826fd090ab64eb9239ce8
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__CLUSTER_GRAPH_ONLY__S0,0.5353484441355739,0.6584064447445105,4.238922892130237e-05,0.00014179893744148409,25,db5fac308982921dc76365a3f05c57dd8594f85f5efc768ceffca2cf2fc94a4f
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__ADDITIVE_SHARED__S0,0.5322266428742004,0.6543166827920265,-0.003079412032452211,-0.0039479630150425216,39,3f06e9567ff082e80320ac3e5e18116af3c868e6baac1652d42024ac49be4c88
MISAR_K7,PRIMARY_FROZEN_CONFIRMATION,NIGHT16H_FROZEN_SELECTOR,J01_GRAPH_LEAN__FULL__S0,0.5353484441355739,0.6584064447445105,4.238922892130237e-05,0.00014179893744148409,25,db5fac308982921dc76365a3f05c57dd8594f85f5efc768ceffca2cf2fc94a4f
