dataset,max,mean,median,metric,min,n_seeds,sd,variant
a1,17.11750199086964,13.567045560106635,12.502578530460596,runtime_seconds,11.864633593708277,5,2.159823648491706,UNIFORM_WITHIN
a1,719.9541015625,719.9541015625,719.9541015625,gpu_peak_allocated_mib,719.9541015625,5,0.0,UNIFORM_WITHIN
a1,800.0,800.0,800.0,gpu_peak_reserved_mib,800.0,5,0.0,UNIFORM_WITHIN
a1,1365.0078125,1365.0078125,1365.0078125,cpu_peak_rss_mib,1365.0078125,5,0.0,UNIFORM_WITHIN
a1,0.27778391764369886,0.24611996302145417,0.24482580024155676,ari,0.2129425222535895,5,0.02389767119968447,UNIFORM_CROSS
a1,0.3882659983225173,0.3752529011733786,0.37558733200986644,nmi,0.3633672171284245,5,0.011024542447137749,UNIFORM_CROSS
a1,0.38422010754598734,0.3712453283193222,0.3716032379180913,ami,0.3593638676010633,5,0.011030630097982537,UNIFORM_CROSS
a1,0.4229938079971658,0.38789258441542684,0.38599896219133606,fmi,0.3537915259129512,5,0.025229275521350163,UNIFORM_CROSS
a1,0.43338498068446113,0.42439609950289003,0.4257529703678583,homogeneity,0.4160357511118686,5,0.006825863333177214,UNIFORM_CROSS
a1,0.3882659983225173,0.3752529011733786,0.37558733200986644,v_measure,0.36336721712842457,5,0.011024542447137731,UNIFORM_CROSS
a1,0.34821581341148433,0.330205861792807,0.3282573963647268,hungarian_macro_f1,0.30749122688914166,5,0.015964073791276723,UNIFORM_CROSS
a1,0.5336164746872876,0.5029306270307756,0.5003241199215036,hungarian_weighted_f1,0.4574591017316016,5,0.03193011555251822,UNIFORM_CROSS
a1,0.45160999478393754,0.43351318297251024,0.43003131468394606,hungarian_balanced_accuracy,0.41838641087295547,5,0.012497421530650882,UNIFORM_CROSS
a1,0.6224486541650721,0.5893258068631202,0.5819938767699961,spatial_neighbor_agreement,0.5605147340221968,5,0.024437621513923452,UNIFORM_CROSS
a1,0.5341429994273132,0.5143238246648482,0.5101330892409959,spatial_cluster_moran_mean,0.503344737237314,5,0.011991430071589525,UNIFORM_CROSS
a1,0.5087958898509677,0.49593263190725273,0.4994194351182104,spatial_cluster_geary_mean,0.4745056348588273,5,0.013019111417860753,UNIFORM_CROSS
a1,0.43948526597780324,0.4106741931368797,0.41800612323000386,boundary_disagreement,0.3775513458349279,5,0.024437621513923452,UNIFORM_CROSS
a1,0.18434292078018188,0.16184406578540803,0.16749636828899384,embedding_silhouette,0.12537366151809692,5,0.021880161060216743,UNIFORM_CROSS
a1,2.194702773031408,1.9889207373967133,1.9915377049843523,embedding_davies_bouldin,1.8426396963570693,5,0.13902723458884722,UNIFORM_CROSS
a1,15.293086644262075,11.57113695591688,11.157009834423661,runtime_seconds,9.424659976735711,5,2.23563303727606,UNIFORM_CROSS
a1,733.5634765625,733.5634765625,733.5634765625,gpu_peak_allocated_mib,733.5634765625,5,0.0,UNIFORM_CROSS
a1,840.0,840.0,840.0,gpu_peak_reserved_mib,840.0,5,0.0,UNIFORM_CROSS
a1,1365.0078125,1365.0078125,1365.0078125,cpu_peak_rss_mib,1365.0078125,5,0.0,UNIFORM_CROSS
a1,0.2829735296333324,0.25551419671516656,0.2577329598254229,ari,0.23306719083817093,5,0.01871193808787445,UNIFORM_ALL
a1,0.39250737091174115,0.3818943730712353,0.3829639053507703,nmi,0.37218878848225384,5,0.007791254020142884,UNIFORM_ALL
a1,0.38855588056126655,0.3779310294635289,0.3789811629841071,ami,0.3682040256154892,5,0.007800321812020025,UNIFORM_ALL
