bh_fdr_q_value,channel,dataset,domain,domain_mean,domain_median,domain_n,epsilon_squared,kruskal_h,n_domains,n_observations,p_value,seed
7.472099369772495e-36,modality2_spatial_attention,a1,subcapsular sinus,0.44180984029898773,0.44558118283748627,74,0.05217270304832752,190.24797038988982,10,3484,3.653026358555442e-36,1
7.472099369772495e-36,modality2_spatial_attention,a1,trabeculae,0.463696476072073,0.47375544905662537,8,0.05217270304832752,190.24797038988982,10,3484,3.653026358555442e-36,1
7.472099369772495e-36,modality2_feature_attention,a1,capsule,0.5435579698167595,0.555682510137558,204,0.05217270304832752,190.24797038988982,10,3484,3.653026358555442e-36,1
7.472099369772495e-36,modality2_feature_attention,a1,cortex,0.502415204170849,0.5021898746490479,753,0.05217270304832752,190.24797038988982,10,3484,3.653026358555442e-36,1
7.472099369772495e-36,modality2_feature_attention,a1,follicle,0.5407630945245425,0.5460548400878906,60,0.05217270304832752,190.24797038988982,10,3484,3.653026358555442e-36,1
7.472099369772495e-36,modality2_feature_attention,a1,hilum,0.47823970991632214,0.47404325008392334,23,0.05217270304832752,190.24797038988982,10,3484,3.653026358555442e-36,1
7.472099369772495e-36,modality2_feature_attention,a1,medulla cords,0.4811856740652913,0.4940412789583206,1188,0.05217270304832752,190.24797038988982,10,3484,3.653026358555442e-36,1
7.472099369772495e-36,modality2_feature_attention,a1,medulla sinuses,0.5109523412779703,0.5346089005470276,797,0.05217270304832752,190.24797038988982,10,3484,3.653026358555442e-36,1
7.472099369772495e-36,modality2_feature_attention,a1,medulla vessels,0.48289762803337033,0.5060543417930603,57,0.05217270304832752,190.24797038988982,10,3484,3.653026358555442e-36,1
7.472099369772495e-36,modality2_feature_attention,a1,pericapsular adipose tissue,0.43919884574133905,0.437841072678566,320,0.05217270304832752,190.24797038988982,10,3484,3.653026358555442e-36,1
7.472099369772495e-36,modality2_feature_attention,a1,subcapsular sinus,0.5581901617146827,0.5544188618659973,74,0.05217270304832752,190.24797038988982,10,3484,3.653026358555442e-36,1
7.472099369772495e-36,modality2_feature_attention,a1,trabeculae,0.536303523927927,0.5262445509433746,8,0.05217270304832752,190.24797038988982,10,3484,3.653026358555442e-36,1
0.0,cross_omics_rna_attention,a1,capsule,0.7380826299389204,0.7691676616668701,204,0.5082401278664065,1774.626204207896,10,3484,0.0,2
0.0,cross_omics_rna_attention,a1,cortex,0.6172171804613643,0.6446732878684998,753,0.5082401278664065,1774.626204207896,10,3484,0.0,2
0.0,cross_omics_rna_attention,a1,follicle,0.8753096103668213,0.9002488553524017,60,0.5082401278664065,1774.626204207896,10,3484,0.0,2
0.0,cross_omics_rna_attention,a1,hilum,0.7186774715133335,0.7160989046096802,23,0.5082401278664065,1774.626204207896,10,3484,0.0,2
0.0,cross_omics_rna_attention,a1,medulla cords,0.3860723230523694,0.3718230724334717,1188,0.5082401278664065,1774.626204207896,10,3484,0.0,2
0.0,cross_omics_rna_attention,a1,medulla sinuses,0.4630712785172642,0.45935365557670593,797,0.5082401278664065,1774.626204207896,10,3484,0.0,2
0.0,cross_omics_rna_attention,a1,medulla vessels,0.41085477186399594,0.3645420968532562,57,0.5082401278664065,1774.626204207896,10,3484,0.0,2
0.0,cross_omics_rna_attention,a1,pericapsular adipose tissue,0.8925720747560263,0.9185420870780945,320,0.5082401278664065,1774.626204207896,10,3484,0.0,2
0.0,cross_omics_rna_attention,a1,subcapsular sinus,0.6295306380536105,0.62802454829216,74,0.5082401278664065,1774.626204207896,10,3484,0.0,2
0.0,cross_omics_rna_attention,a1,trabeculae,0.6783924475312233,0.6879065334796906,8,0.5082401278664065,1774.626204207896,10,3484,0.0,2
0.0,cross_omics_modality2_attention,a1,capsule,0.26191736951324285,0.23083234578371048,204,0.5082404368475877,1774.6272776085195,10,3484,0.0,2
0.0,cross_omics_modality2_attention,a1,cortex,0.38278282021641097,0.35532671213150024,753,0.5082404368475877,1774.6272776085195,10,3484,0.0,2
0.0,cross_omics_modality2_attention,a1,follicle,0.12469038994361957,0.09975116327404976,60,0.5082404368475877,1774.6272776085195,10,3484,0.0,2
0.0,cross_omics_modality2_attention,a1,hilum,0.2813225346414939,0.2839011251926422,23,0.5082404368475877,1774.6272776085195,10,3484,0.0,2
0.0,cross_omics_modality2_attention,a1,medulla cords,0.6139276765713386,0.6281769573688507,1188,0.5082404368475877,1774.6272776085195,10,3484,0.0,2
0.0,cross_omics_modality2_attention,a1,medulla sinuses,0.5369287209031424,0.5406463146209717,797,0.5082404368475877,1774.6272776085195,10,3484,0.0,2
0.0,cross_omics_modality2_attention,a1,medulla vessels,0.5891452243453578,0.6354578733444214,57,0.5082404368475877,1774.6272776085195,10,3484,0.0,2
0.0,cross_omics_modality2_attention,a1,pericapsular adipose tissue,0.10742792690580245,0.08145789429545403,320,0.5082404368475877,1774.6272776085195,10,3484,0.0,2
0.0,cross_omics_modality2_attention,a1,subcapsular sinus,0.3704693647655281,0.37197545170783997,74,0.5082404368475877,1774.6272776085195,10,3484,0.0,2
0.0,cross_omics_modality2_attention,a1,trabeculae,0.32160754315555096,0.31209343671798706,8,0.5082404368475877,1774.6272776085195,10,3484,0.0,2
9.042171131627673e-30,rna_spatial_attention,a1,capsule,0.4902038356544925,0.49754202365875244,204,0.043700951549034084,160.8171056813444,10,3484,5.023428406459818e-30,2
9.042171131627673e-30,rna_spatial_attention,a1,cortex,0.5301737673135393,0.5241901278495789,753,0.043700951549034084,160.8171056813444,10,3484,5.023428406459818e-30,2
9.042171131627673e-30,rna_spatial_attention,a1,follicle,0.5030535943806171,0.5190500020980835,60,0.043700951549034084,160.8171056813444,10,3484,5.023428406459818e-30,2
9.042171131627673e-30,rna_spatial_attention,a1,hilum,0.4343563007271808,0.41761910915374756,23,0.043700951549034084,160.8171056813444,10,3484,5.023428406459818e-30,2
9.042171131627673e-30,rna_spatial_attention,a1,medulla cords,0.5224506853631249,0.5260370075702667,1188,0.043700951549034084,160.8171056813444,10,3484,5.023428406459818e-30,2
9.042171131627673e-30,rna_spatial_attention,a1,medulla sinuses,0.45683896625729997,0.45846283435821533,797,0.043700951549034084,160.8171056813444,10,3484,5.023428406459818e-30,2
9.042171131627673e-30,rna_spatial_attention,a1,medulla vessels,0.4904908320882864,0.47701770067214966,57,0.043700951549034084,160.8171056813444,10,3484,5.023428406459818e-30,2
