channel,dataset,extreme_below_005_or_above_095_fraction,iqr,mean,median,n_observations,normalized_two_way_entropy,p05,p95,sd,seed,variant
rna_spatial_attention,a1,0.0,0.23088686168193817,0.501601758176711,0.5042267143726349,3484,0.923803424227631,0.24043764621019365,0.7662158578634262,0.15878448428328892,3,FULL_IGE
rna_feature_attention,a1,0.0,0.2308868020772934,0.4983982419173835,0.4957732856273651,3484,0.9238034252555639,0.23378417566418647,0.7595624148845672,0.15878448325112848,3,FULL_IGE
modality2_spatial_attention,a1,0.0,0.08271761238574982,0.5030545875960458,0.49610331654548645,3484,0.9784081630774594,0.38699827045202256,0.6592776626348495,0.08499973504758133,3,FULL_IGE
modality2_feature_attention,a1,0.0,0.08271759748458862,0.49694541208317716,0.5038966834545135,3484,0.9784081628335934,0.3407223328948021,0.6130017548799513,0.08499973552900032,3,FULL_IGE
cross_omics_rna_attention,a1,0.0169345579793341,0.3816881328821182,0.546125155654399,0.5327252745628357,3484,0.825056718307549,0.18919143155217172,0.9127895295619964,0.22969752164943374,4,FULL_IGE
cross_omics_modality2_attention,a1,0.0169345579793341,0.3816881328821182,0.45387484452697363,0.4672747403383255,3484,0.8250567157963987,0.08721049651503562,0.8108085811138153,0.22969752309139915,4,FULL_IGE
rna_spatial_attention,a1,0.0,0.1850692555308342,0.510506641900276,0.5108011662960052,3484,0.9473037511267067,0.2926931083202362,0.7346648603677749,0.1323955802930019,4,FULL_IGE
rna_feature_attention,a1,0.0,0.185069277882576,0.48949335802059907,0.48919884860515594,3484,0.9473037515954076,0.2653351351618767,0.7073068618774414,0.13239557977248076,4,FULL_IGE
modality2_spatial_attention,a1,0.0,0.12717920541763306,0.5018724522133167,0.4867297112941742,3484,0.9602209573127778,0.3436184525489807,0.7434029132127762,0.1149409538534453,4,FULL_IGE
modality2_feature_attention,a1,0.0,0.12717921286821365,0.4981275480005347,0.5132702887058258,3484,0.9602209572225692,0.25659711211919783,0.6563815265893935,0.11494095397341163,4,FULL_IGE
cross_omics_rna_attention,placenta,0.2719614921780987,0.1156870573759079,0.8783331524432781,0.9100637137889862,1662,0.4687303072857151,0.6556424528360367,0.980642706155777,0.10538354895418202,0,FULL_IGE
cross_omics_modality2_attention,placenta,0.2719614921780987,0.11568701732903719,0.12166684675176105,0.08993623033165932,1662,0.46873030566848384,0.0193572866730392,0.3443575724959371,0.10538354825474931,0,FULL_IGE
