lane,representation_source,candidate_id,candidate_partition_sha256,ari,nmi,ami,fmi,homogeneity,v_measure,n_total,n_eval,observed_k_full,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,neighbor_agreement,moran_indicator_macro,geary_indicator_macro,label_access,evidence_board
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,GEOM_LEIDEN_JOINT,5471a47723bfbd7af492990dc7ac422926811fab4f22cd0095a232f20a19b86c,0.14647357849527853,0.2813900964000473,0.2768926994207631,0.2934982285088379,0.3264483017063721,0.28139009640004725,3484,3484,10,156,156|209|269|286|299|303|381|454|480|647,156,156|209|269|286|299|303|381|454|480|647,0.9239023012847664,0.9143830396106642,0.08808492264197246,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,RETAINED_CARRIER,GEOM_KMEANS_RAW,48ef4fb52e815f15015438684259dd8b38118d29f875997dfc8b68e157f0a6d0,0.22678008502081123,0.3855115458623491,0.3816864046533749,0.3645188872570268,0.4496800434626669,0.38551154586234904,3484,3484,10,171,171|226|233|316|332|349|377|457|489|534,171,171|226|233|316|332|349|377|457|489|534,0.5610616970210363,0.5298844823947537,0.4753672909962553,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,RETAINED_CARRIER,GEOM_GMM_FULL,52c1fe9f5d129ebe5d53ba166db3d7451bb8296d9dbab1237ab332f0de3c297c,0.23955361227503894,0.39271613692184937,0.3888483370739786,0.38008876656248497,0.4473679626210222,0.3927161369218493,3484,3484,10,122,122|128|210|217|343|359|360|397|572|776,122,122|128|210|217|343|359|360|397|572|776,0.5835098122264577,0.559519333491073,0.4502782657575078,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,RETAINED_CARRIER,GEOM_FEATURE_NCUT_K12,f73c6b4bb8f2c65a8488c886f259fd4e22218241f5308dd35d4e18eb1f977471,0.25008632240818557,0.3727200817753939,0.3687256432317091,0.38898077839316814,0.4246818749915028,0.37272008177539395,3484,3484,10,120,120|150|184|218|293|314|377|514|648|666,120,120|150|184|218|293|314|377|514|648|666,0.5963574756459128,0.5653353566003351,0.44250511361608885,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,RETAINED_CARRIER,GEOM_FEATURE_NCUT_K24,41369d537dcab2cbc7c0c5ea32661c1b43d23b29dc65b903c1e5f5a2d0220235,0.26806593463595035,0.39594080155513667,0.39213729607494496,0.40299711450814574,0.4563278450575884,0.3959408015551366,3484,3484,10,118,118|183|217|264|319|342|391|468|588|594,118,118|183|217|264|319|342|391|468|588|594,0.5874629394324439,0.5433928183039223,0.4623782874790254,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,RETAINED_CARRIER,GEOM_JOINT_NCUT_S025,3b2b032db71873cf4faebbd8eb8416527c54aecea19a1bbc3e2e9d646d85ba7a,0.23659102473843746,0.36972613917809766,0.36573507014906614,0.3762506339045807,0.4237992662198117,0.3697261391780977,3484,3484,10,136,136|181|202|229|271|326|365|494|636|644,136,136|181|202|229|271|326|365|494|636|644,0.6710433432161513,0.6457577502648466,0.3608903528848841,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,RETAINED_CARRIER,GEOM_JOINT_NCUT_S100,e5086348cdf4290d8ddc2c5b65ad820f068ea6ad2c0757d65f74ed3ec9a92f0b,0.23010585087802313,0.3880584303284934,0.38416830027987686,0.37182750571091294,0.4432095987237367,0.38805843032849335,3484,3484,10,186,186|187|193|227|231|267|366|422|693|712,186,186|187|193|227|231|267|366|422|693|712,0.8099675278836651,0.7866855163253461,0.22084295721687086,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,RETAINED_CARRIER,GEOM_DENSITY_CORRECTED_NCUT,efb587dd9c26ecdc0384ce673903e64471b38187b512985b1f0077b5ce12b046,0.23895235432170372,0.3584344450618621,0.35434998496195963,0.3794976693947772,0.40862301817187974,0.3584344450618621,3484,3484,10,131,131|170|198|241|276|289|296|553|641|689,131,131|170|198|241|276|289|296|553|641|689,0.5815332486234647,0.544040918533155,0.4629780368164105,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,RETAINED_CARRIER,GEOM_DIFFUSION_T2,1f93975ba8d0b4d82bddedee975fd457d99abaafcccd433d1ef685414aac1afd,0.2344916572192623,0.36925536998396674,0.3649361586753763,0.39913882047199506,0.38686715157338236,0.3692553699839667,3484,3484,10,44,44|56|104|127|130|188|329|538|854|1114,44,44|56|104|127|130|188|329|538|854|1114,0.7366934914584216,0.7162604897789758,0.29708135906481703,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,RETAINED_CARRIER,GEOM_SPATIAL_NCUT,2bbe5adadbbef2f8847105218881d4c7ee8b10970856bd4a8a966376919c7217,0.07154483254307781,0.15508556473162186,0.14988869598519491,0.21836822893524596,0.18313212386398664,0.15508556473162188,3484,3484,10,294,294|319|321|325|329|346|365|377|388|420,294,294|319|321|325|329|346|365|377|388|420,0.9551037695891571,0.9510369741462474,0.0494801751566686,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
A1_K10,RETAINED_CARRIER,GEOM_LEIDEN_FEATURE,e367c0a4541ec15c5b80cf90d1d2d4cbbfa928fe43305aae83d3ea72741e8988,0.2628398625298799,0.384972236638401,0.3810137018838378,0.4025657224341812,0.4329506167588187,0.384972236638401,3484,3484,10,66,66|167|199|229|261|266|311|509|705|771,66,66|167|199|229|261|266|311|509|705|771,0.6135818156148525,0.5710329905908964,0.43680421553031124,independent_evaluator_after_bank_lock,STAGE_A_LABEL_ASSISTED_GEOMETRY_CEILING
