lane,family,start_candidate,profile_id,full_candidate_id,full_ari,full_nmi,input_start_ari,input_start_nmi,strongest_atomic_ari,strongest_atomic_nmi,delta_ari_vs_coordinatewise_atomic,delta_nmi_vs_coordinatewise_atomic,stage_a_best_head_ari,stage_a_best_head_nmi,delta_ari_vs_stage_a_best_head,delta_nmi_vs_stage_a_best_head,changed_spots_vs_start,min_cluster_size,strict_full_double_beats_each_matched_atomic,independent_lane_pass,partition_sha256
PLACENTA_K10,RNA_CHROMATIN,GEOM_FEATURE_NCUT_K24,J03_EMISSION_LEAN,J03_EMISSION_LEAN__FULL__S0,0.46667617667089634,0.59701637492566,0.4634017685769465,0.5836917415201206,0.46876275753502367,0.5966177677742831,-0.00208658086412733,0.00039860715137685077,0.5351464387496713,0.5920843173869431,-0.06847026207877493,0.004932057538716839,59,61,False,False,178d6a040dd4d7f61d55897818620b466d04928839c4d7ab818c82f4141afd70
PLACENTA_K10,RNA_CHROMATIN,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN,J01_GRAPH_LEAN__FULL__S0,0.5499475674157077,0.630558755886357,0.5351464387496713,0.5920843173869431,0.5485070748717413,0.6281880368171037,0.0014404925439663874,0.0023707190692533464,0.5351464387496713,0.5920843173869431,0.014801128666036445,0.0384744384994139,65,44,True,True,8a299103339e7d5e988692e78938ee95efc07ca3acc74380d002272132ceb990
PLACENTA_K10,RNA_CHROMATIN,GEOM_LEIDEN_FEATURE,J02_BALANCED,J02_BALANCED__FULL__S0,0.5487929027541869,0.6281569034845949,0.5351464387496713,0.5920843173869431,0.5440647441775383,0.6258746100165798,0.004728158576648656,0.0022822934680150064,0.5351464387496713,0.5920843173869431,0.013646464004515635,0.03607258609765174,56,44,True,True,be375f49cd320d655ba0c3a4417f03c4f49dbfaefcbafc63f16074ae5e5cf274
PLACENTA_K10,RNA_CHROMATIN,GEOM_LEIDEN_FEATURE,J03_EMISSION_LEAN,J03_EMISSION_LEAN__FULL__S0,0.5510007924725191,0.625390581256051,0.5351464387496713,0.5920843173869431,0.5424840395518955,0.621698438541339,0.008516752920623594,0.0036921427147119656,0.5351464387496713,0.5920843173869431,0.015854353722847825,0.033306263869107844,46,43,True,True,6918f8bf265fd84cb4834e478eb96f17a8812161e1afd1a5ce09764d71d00d3b
TONSIL_S1_K4,RNA_PROTEIN,GEOM_FEATURE_NCUT_K24,J01_GRAPH_LEAN,J01_GRAPH_LEAN__FULL__S0,0.1973062474226681,0.2568945371442215,0.19314335941552432,0.2545209192485351,0.20635031268045143,0.2691944095334278,-0.009044065257783312,-0.012299872389206323,0.1943900653060564,0.2595074094203575,0.0029161821166117097,-0.0026128722761359913,70,676,False,False,1126caf21e0a233beb50b61e89f37b20e5b40d22056b03dcfde3923f010bd1d7
TONSIL_S1_K4,RNA_PROTEIN,GEOM_FEATURE_NCUT_K24,J02_BALANCED,J02_BALANCED__FULL__S0,0.1980370579572855,0.25753399268885846,0.19314335941552432,0.2545209192485351,0.2064385780746516,0.26945381336861407,-0.008401520117366112,-0.01191982067975561,0.1943900653060564,0.2595074094203575,0.0036469926512290862,-0.0019734167314990336,61,676,False,False,e2f4e05b61f55c043fbd13fca8f55012077d4c69fba8cbc6c4b99b5e074d821d
TONSIL_S1_K4,RNA_PROTEIN,GEOM_FEATURE_NCUT_K24,J03_EMISSION_LEAN,J03_EMISSION_LEAN__FULL__S0,0.19720189006885996,0.25785305448920975,0.19314335941552432,0.2545209192485351,0.20437296920657688,0.26792059824510406,-0.007171079137716918,-0.010067543755894304,0.1943900653060564,0.2595074094203575,0.002811824762803561,-0.001654354931147739,46,681,False,False,61d2312d3a5dadfe1d43cd9f532258c00f81a2a564b6fac57292fe2a03bbc90f
TONSIL_S1_K4,RNA_PROTEIN,GEOM_LEIDEN_FEATURE,J01_GRAPH_LEAN,J01_GRAPH_LEAN__FULL__S0,0.1672216461824577,0.2696556500148103,0.166879380950464,0.26879687643765526,0.1759287983431081,0.28341772039534835,-0.008707152160650405,-0.01376207038053806,0.1943900653060564,0.2595074094203575,-0.027168419123598714,0.010148240594452795,5,316,False,False,141ce066fc5985f64ede24e56d037e63493ee1e7b16f715f7d97bddfc7a64070
TONSIL_S1_K4,RNA_PROTEIN,GEOM_LEIDEN_FEATURE,J02_BALANCED,J02_BALANCED__FULL__S0,0.16714365122061758,0.2695258524434565,0.166879380950464,0.26879687643765526,0.17555965425316075,0.28233067242439464,-0.008416003032543168,-0.012804819980938131,0.1943900653060564,0.2595074094203575,-0.02724641408543882,0.01001844302309901,6,317,False,False,b9bfe59cd7e1dfc1af060a18de6ecffcc91df00f8560c6a5615576e5dd1b8e1a
TONSIL_S1_K4,RNA_PROTEIN,GEOM_LEIDEN_FEATURE,J03_EMISSION_LEAN,J03_EMISSION_LEAN__FULL__S0,0.16765893606624527,0.2702350847173804,0.166879380950464,0.26879687643765526,0.17545658101740597,0.2817055858821377,-0.007797644951160698,-0.011470501164757285,0.1943900653060564,0.2595074094203575,-0.026731129239811136,0.010727675297022898,10,317,False,False,d0dcc978d14de81f3f00ed42b5dfe0a522bb8b651a92fb346928614472c03d8e
