stage,dataset,candidate_id,seed,semantic_match,registered_changes,actual_mechanisms,graph_sha256,parameter_count,initial_neighbor_cosine,final_neighbor_cosine,initial_pairwise_variance,final_pairwise_variance
R3,placenta,N00,0,True,[],[],cf0dcd9734797d7c6e5a4c74be6c649e7eb29c455118f416f9e3da1d3e392c25,833408,0.6839354634284973,0.6777194738388062,0.0077959876507520676,0.007788880728185177
R3,placenta,N00,1,True,[],[],cf0dcd9734797d7c6e5a4c74be6c649e7eb29c455118f416f9e3da1d3e392c25,833408,0.6744507551193237,0.6733324527740479,0.007802620064467192,0.007789009250700474
R3,placenta,N00,2,True,[],[],cf0dcd9734797d7c6e5a4c74be6c649e7eb29c455118f416f9e3da1d3e392c25,833408,0.6755755543708801,0.6787691712379456,0.007801775820553303,0.007787850219756365
R3,placenta,N00,3,True,[],[],cf0dcd9734797d7c6e5a4c74be6c649e7eb29c455118f416f9e3da1d3e392c25,833408,0.6798959374427795,0.6763687133789062,0.00779720488935709,0.007789483293890953
R3,placenta,N00,4,True,[],[],cf0dcd9734797d7c6e5a4c74be6c649e7eb29c455118f416f9e3da1d3e392c25,833408,0.6748837232589722,0.6756407022476196,0.007805134169757366,0.007790460716933012
R2,tonsil,N00,0,True,[],[],609163c2ede8d068de2983937c798f46108c3d4313c69eff51c101f47219fcd1,400320,0.7180402874946594,0.7505866289138794,0.015387963503599167,0.015036708675324917
R2,tonsil,N00,1,True,[],[],609163c2ede8d068de2983937c798f46108c3d4313c69eff51c101f47219fcd1,400320,0.7111566662788391,0.7628593444824219,0.015487754717469215,0.01511235348880291
R2,tonsil,N00,2,True,[],[],609163c2ede8d068de2983937c798f46108c3d4313c69eff51c101f47219fcd1,400320,0.7314291000366211,0.7600566744804382,0.015427589416503906,0.01514999195933342
R3,tonsil,N00,3,True,[],[],609163c2ede8d068de2983937c798f46108c3d4313c69eff51c101f47219fcd1,400320,0.7265374064445496,0.7616985440254211,0.015388762578368187,0.01507942471653223
R3,tonsil,N00,4,True,[],[],609163c2ede8d068de2983937c798f46108c3d4313c69eff51c101f47219fcd1,400320,0.7107618451118469,0.7582409381866455,0.015432700514793396,0.015056310221552849
