stage,dataset,candidate_id,seed,ari,nmi,q,spatial_neighbor_agreement,spatial_cluster_moran_mean,spatial_cluster_geary_mean,boundary_disagreement,runtime_seconds,gpu_peak_allocated_mib,run_manifest_sha256
R1,a1,N11,0,0.2753926475706463,0.3913417559899788,0.3333672017803125,0.495901900752647,0.3928442232630998,0.6167590279946135,0.5040980992473529,9.865862840786576,625.33349609375,7a323b1db13d0f52b2d97a3ed91061051fea2f1908f6644be14468ff47ab2c4d
R1,a1,N11,1,0.2462758545610174,0.3630976921233128,0.3046867733421651,0.4987881107284092,0.3839883802162792,0.6226799480980245,0.5012118892715908,11.359433320350943,625.33349609375,73007f7ba7ad290ae467a09e66ffca874cf0e9f9edb76a0c9387bcfd34606e18
R1,a1,N12,0,0.2690616404447064,0.3787769054976953,0.3239192729712008,0.5102691669855849,0.4151586727453323,0.5924277937428417,0.4897308330144151,659.827835354954,785.0546875,d9ac88fb4f34fad5891dcd649c4094f409c153789bbd477617a1c5376367fc08
R1,a1,N12,1,0.2494267673052385,0.3706117156744195,0.310019241489829,0.5103170047199898,0.4140447956356893,0.5937855365356279,0.4896829952800102,658.1472458168864,785.0546875,5fd01620c4fc851951bbb862ed925f28dec199a2595fc57750c38514ea642000
R1,a1,N13,0,0.269148556523941,0.3937981304378634,0.3314733434809022,0.5151964536292895,0.4092267383657916,0.5988404479689738,0.4848035463707105,14.821054792031646,625.28662109375,d0da95d843fb282de0be9624a5e48fa5fdc916f47b82800ef024bdf1d14e23c3
R1,a1,N13,1,0.2460989872261641,0.3788879188504406,0.3124934530383023,0.5162648296976655,0.4160331653375658,0.5949272719813948,0.4837351703023345,14.149947459809482,625.28662109375,03f44a13fcd1dbfb361511306eae968a20192deaa76ca5e21616fd07a165ee14
R1,a1,N14,0,0.2702606404392757,0.3834924232905438,0.3268765318649097,0.4877854318152825,0.3710989837313372,0.6379904158093151,0.5122145681847174,16.773700083605945,625.33349609375,ca43e7c9cfc2b0d3fb45d0205cdde49f01253bf34aaf5076506a5e0869ef1024
R1,a1,N14,1,0.2759300922749628,0.3819750470415467,0.3289525696582547,0.4940521750223243,0.3675845468821526,0.6388183277899029,0.5059478249776757,19.318042535334826,625.33349609375,8e9dba22fd382f222d8cd185af599833e8d34117d7025b9d6bb7d93c6bc7c6f3
R1,a1,N15,0,0.2675791903893471,0.3890051719887756,0.3282921811890613,0.4698941191478505,0.3617238935040496,0.6455865653178959,0.5301058808521495,17.09171272814274,625.33349609375,9cb26dfae2bd8786b6e2c1667e18ad42c063652ff0b7eadf1874f55b48a622f0
R1,a1,N15,1,0.254070965588336,0.3780695642606175,0.3160702649244767,0.4926170429901773,0.3853302783185582,0.6239788788320574,0.5073829570098227,15.40217044390738,625.33349609375,5cc4b064eaa609098e7b926b6a6e3f7b8e085c9430acdce04c4738df313fb3fa
R3,placenta,N00,0,0.7429131506405641,0.7293095017442809,0.7361113261924225,0.49759326113116725,0.5163260131692406,0.6624722270099086,0.5024067388688327,6.8003055937588215,464.95068359375,84cd0fc1187e89145503b819f627fc096d6b3898c435ee826a76c3602d5c6e7c
