stage,config_id,recipe_id,endpoint,head_id,unit_id,dataset,seed,status,success,training_runtime_seconds,peak_gpu_mib,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u022,p22,2,success,True,59.4406246971339,1346.5908203125,0.4576814459202816,0.6319129448568634,0.5447971953885725,0.9065750412314458,0.8845629589858182,0.11665980523420716,0.09342495876855417
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u023,p22,3,success,True,60.33647436834872,1342.15380859375,0.4829457209641001,0.6444212319015972,0.5636834764328487,0.9167894447498626,0.8967450838428417,0.10639501647238102,0.08321055525013743
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u024,p22,4,success,True,59.97400644980371,1339.193359375,0.4757936541498754,0.643127740608446,0.5594606973791607,0.9191533809785597,0.8947775244921772,0.10883212170478808,0.0808466190214403
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u025,p22,5,success,True,60.87793359719217,1351.61083984375,0.4778719974517984,0.6367302469505837,0.557301122201191,0.9111269928532161,0.8779614337133917,0.12407319036675012,0.08887300714678392
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u026,p22,6,success,True,60.16125574335456,1340.095703125,0.47925445196042,0.636012097405553,0.5576332746829865,0.9096536558548654,0.8790952096839327,0.12300791714771675,0.09034634414513465
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u027,p22,7,success,True,60.42055329307914,1346.2392578125,0.4785542109767917,0.636859441558353,0.5577068262675723,0.9138537658053876,0.8818063409554484,0.11978110236938412,0.08614623419461243
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u028,p22,8,success,True,60.20821871422231,1339.5859375,0.4857182132240601,0.6398738545588813,0.5627960338914707,0.9123694337548104,0.8840719060860481,0.11833002737635284,0.08763056624518961
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u029,p22,9,success,True,59.483286863192916,1346.8388671875,0.4794962306071829,0.6418448266040571,0.5606705286056199,0.9163606377130291,0.8868473203945924,0.11568546743220232,0.08363936228697089
R1,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u005,tonsil,0,success,True,14.716609803959727,438.2431640625,0.1861704315814379,0.2786631536314857,0.2324167926064618,0.711916787748795,0.612089415723496,0.3867693702828721,0.288083212251205
R1,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u006,tonsil,1,success,True,14.441830163821578,442.4208984375,0.139088222411228,0.2641749019631303,0.2016315621871792,0.721372725385733,0.5864254631006381,0.4109015378450147,0.2786272746142669
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u007,tonsil,2,success,True,14.393010508269072,438.3017578125,0.1456446990346929,0.2652159466622324,0.20543032284846266,0.7222491293618395,0.5853654180218583,0.4125336261357332,0.2777508706381605
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u008,tonsil,3,success,True,14.615382613614202,438.3759765625,0.14320162052135985,0.26071268220874716,0.2019571513650535,0.7245554556147512,0.5909638571168221,0.4069828648663931,0.2754445443852488
R2,R08__E1_ADAPTER_C06_MEAN__H01,R08,E1_ADAPTER_C06_MEAN,H01,u009,tonsil,4,success,True,14.818907050415874,440.07470703125,0.1417876778870055,0.26327048493825844,0.20252908141263198,0.721372725385733,0.5873561895701509,0.4102560894175887,0.27862727461426695
R1,R08__E1_ADAPTER_C06_MEAN__H02,R08,E1_ADAPTER_C06_MEAN,H02,u000,a1,0,success,True,11.636497842147946,400.845703125,0.2706008888706638,0.4039189853290449,0.3372599370998543,0.6475585091014158,0.5913306917605796,0.4206805241689437,0.3524414908985842
R1,R08__E1_ADAPTER_C06_MEAN__H02,R08,E1_ADAPTER_C06_MEAN,H02,u001,a1,1,success,True,11.602192578837276,393.880859375,0.2583351915025726,0.3979530472687043,0.3281441193856385,0.6610806125397284,0.5971078142984586,0.4149552989850084,0.3389193874602716
R2,R08__E1_ADAPTER_C06_MEAN__H02,R08,E1_ADAPTER_C06_MEAN,H02,u002,a1,2,success,True,12.00264254771173,394.1533203125,0.2643308442055221,0.3937656738930231,0.3290482590492726,0.6566021381103727,0.5870189487231788,0.4247868135365264,0.3433978618896273
R2,R08__E1_ADAPTER_C06_MEAN__H02,R08,E1_ADAPTER_C06_MEAN,H02,u003,a1,3,success,True,11.485404703766108,393.81689453125,0.25514981399134484,0.39340998344121,0.3242798987162774,0.6697197341808726,0.6056737573060369,0.4066805054292666,0.3302802658191274
R2,R08__E1_ADAPTER_C06_MEAN__H02,R08,E1_ADAPTER_C06_MEAN,H02,u004,a1,4,success,True,11.563693288713694,393.4560546875,0.2565857058553775,0.39837083969655046,0.327478272775964,0.6738225946258307,0.6128739400298044,0.4000911717153687,0.3261774053741693
R1,R08__E1_ADAPTER_C06_MEAN__H02,R08,E1_ADAPTER_C06_MEAN,H02,u010,d1,0,success,True,11.417910546064377,388.0322265625,0.2609840515603198,0.3831576052033308,0.3220708283818253,0.6671057358400192,0.6073983211883698,0.4023705569706132,0.3328942641599808
R1,R08__E1_ADAPTER_C06_MEAN__H02,R08,E1_ADAPTER_C06_MEAN,H02,u011,d1,1,success,True,11.453546417877078,388.01318359375,0.2656164225822217,0.3891947581231882,0.327405590352705,0.658484013890552,0.5961776985336413,0.4122234862812154,0.341515986109448
