stage,recipe_id,unit_id,dataset,seed,status,checkpoint_sha256,state_tensor_sha256,embedding_sha256,gate_sha256,reload_status,reload_embedding_exact,reload_gate_exact,fresh_process
R1,R08,u006,tonsil,1,success,08192ece88adc00ee04f44e209df109fcb746dae28ad16a3dd03afd3c664e1b4,43fe1b12fe7f30fda6a88a612c8cd42eea9ace74e9c81d47e5c4a31f81f95f9a,6df2ddaacebe3effd376c42105f34c0f402af1823031d5d71887da90bdc0775d,c82da92dc8d05eb970ab909bb90871c708661f1d199c50f8864ace657de22ed6,PASS,True,True,True
R1,R08,u010,d1,0,success,134b8dba1965238699cf7e765f5f6e8b66ea87a058c7c9cdff9a7c52bf8d2afe,f7a6803d1da245ff5f37e6200dac74a9ed18fa799fbd82887445f546228c7669,7b3711ed0dcb3705b7ca7c176d1219735e6005b02087aa2eea4489d24169b534,ed725e8a519ba0b059f7e4e1de9aa872516760da809c7ccb3ea9b13ef8a0f503,PASS,True,True,True
R1,R08,u011,d1,1,success,3bc64a791f1069eb2eec80680757b01cc0b3f25704d38f9b3ef90f1cae43fba7,af308aeaaba692209db9d8a9a9b85d2950eb2f12ba471a2e6d2cdd4c3d29344e,9be4ab29f2ad75919b304bbd0f8990d7aca7a5dcbde12d36236ecc2003859ea6,f2a8ca1b92a7afa2918e156ca31334b56bcfa74114ccf67659c9d08b7c680e96,PASS,True,True,True
R1,R08,u020,p22,0,success,31727d07e0d838194e7bf9a7b97ccdcb11204fd4080e80b97a9f84a2db7bf6a2,908cc94b2e05ede98cc09e7ea577e35e2314351b4e73d0c69cfa739ca9d3daf5,6ddff34d6f54dd5a1f94ad2fb6922386183f08713bef12afb5e7f1014abf3f02,956b863eae6c8adab360176c12d4316db43787d0b51eb3b05a3ae9cd2e177c0d,PASS,True,True,True
R1,R08,u021,p22,1,success,a22d60bd6cf5af30870099f7c0c6f1d56b8e8103841ec4533ea9f5b4d78de69b,d608437b59243dcccf7247cff86c6b1a25236a68b4d24ab3f9ab185eb38c4d5c,fb6faa95a95e9c36d4f841aabc0c6267f8443f97f3213a788ab4dd4036f3a434,599fb72c44e326ef04d1a38fe328bd48123bd20b6d08d18c9d4445beaa8fde33,PASS,True,True,True
R1,R09,u000,a1,0,success,22bf733ae925836f7a4b92e76770c301079c11f07f3bbcc9cd363a79ae740b18,4a0d5113d8fea6c46964942ea5b7455df68ff603ba75da7f6bc4765595a137b9,48c3c46ff87f22d3efacfdec1089f0b824d0802eb97c29a7ebfa7a5d6964156b,9ab105ffe7b63326a6c96b162557f6d3fb6e56e4541f9a4b045b91747716134c,PASS,True,True,True
R1,R09,u001,a1,1,success,d00e12cd8a969ce8d9a6ce62dba1046e7205d7d786ec7fb53092c8a5f41a79fa,df07c8d282615ad8a27c655b731be66db2bd63d328892af646f228004a3c4a78,9c568a320662126cb20b76d62d8a0cc8820c556da55002b2536e6e8cc72ac889,a0cc5a4995a088adb1f4f39bf78473715c4f30960c8524c5bafbc2deb46bfddd,PASS,True,True,True
R1,R09,u005,tonsil,0,success,bd0b787728bebb6d017880fa9d66b6faf2f06e8495f91ad0c1da44397473df1d,415808595f981b1c5079ba6fead6cfc123d6b1f34996e1b916e55a98f825f276,b7ff52d0e6f5c0a9c45424cdb8a1746c60e889c00ebf7e742971e4d1852843a8,b1bb513eb20474f65bf9a8cb301ed4e5e6c145a2590d684dbb95ec65d5a28d8d,PASS,True,True,True
R1,R09,u006,tonsil,1,success,0daf89a7261f77ccd35b9a8b93e2ac8d1775843186749858368664e57135d814,877d15be54a48953ce1ba2e31df9901270855cf957d63c337568c7791ca26828,27f86d437fd5e2caf2c3d2709bd8ce6868ec7669e87a022173760292d3428edd,ac28d048f396535a96c504c8fa33150cb589af3af2337021c95a14bbe3cf7469,PASS,True,True,True
R1,R09,u010,d1,0,success,75cdc07c75f5b31f2e2cfa99bc9d6ee6740f0f5a1bf9067c775dc93fb01689e2,4a0d5113d8fea6c46964942ea5b7455df68ff603ba75da7f6bc4765595a137b9,f280c49afde7dee91f4e0e81bd36419cc18b667906e8c8b6ec3b2b085b9adf38,737072d1435f5d70e8be6e9b07702c150d953649073d8e7c1946b19abef7f154,PASS,True,True,True
