stage,recipe_id,unit_id,dataset,seed,learned_moe,expert0_mean,expert1_mean,expert0_q05,expert0_q50,expert0_q95,expert1_q05,expert1_q50,expert1_q95,fraction_max_expert_gt_0_95,collapse_diagnostic_min_mean_lt_0_05,gate_sha256
R1,R01,u020,p22,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R1,R01,u021,p22,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R1,R02,u000,a1,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R1,R02,u001,a1,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R1,R02,u005,tonsil,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R1,R02,u006,tonsil,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R1,R02,u010,d1,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R1,R02,u011,d1,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R1,R02,u020,p22,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R1,R02,u021,p22,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R1,R03,u000,a1,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R1,R03,u001,a1,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R1,R03,u005,tonsil,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R1,R03,u006,tonsil,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R1,R03,u010,d1,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R1,R03,u011,d1,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R1,R03,u020,p22,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R1,R03,u021,p22,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R1,R04,u000,a1,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R1,R04,u001,a1,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R1,R04,u005,tonsil,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R1,R04,u006,tonsil,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R1,R04,u010,d1,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R1,R04,u011,d1,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R1,R04,u020,p22,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R1,R04,u021,p22,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R1,R05,u000,a1,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R1,R05,u001,a1,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R1,R05,u005,tonsil,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R1,R05,u006,tonsil,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R1,R05,u010,d1,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R1,R05,u011,d1,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R1,R05,u020,p22,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R1,R05,u021,p22,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R1,R06,u000,a1,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R1,R06,u001,a1,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R1,R06,u005,tonsil,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R1,R06,u006,tonsil,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R1,R06,u010,d1,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R1,R06,u011,d1,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R1,R06,u020,p22,0,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R1,R06,u021,p22,1,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R1,R07,u000,a1,0,True,0.48784565925598145,0.5121543407440186,0.4520940870046616,0.48782017827033997,0.5207257330417633,0.4792742162942886,0.51217982172966,0.5479059129953384,0.0,False,2810c3e6132df936cb68dca513b3ee66ba38d25d8aa09f221a6064322d235b6c
R1,R07,u001,a1,1,True,0.4872888922691345,0.5127111077308655,0.4410629689693451,0.49352264404296875,0.5149962186813355,0.48500382751226423,0.5064773261547089,0.5589370012283326,0.0,False,70339257fc17206e513e9d2f1e97c039ab23f9031439abbc9d16b357b8191807
R1,R07,u005,tonsil,0,True,0.49240386486053467,0.5075961351394653,0.4383118003606796,0.4865324795246124,0.570903554558754,0.42909644544124603,0.5134675204753876,0.561688169836998,0.0,False,3e82c1745eedc686e24d4f726510077f8c620154e0aac6857aa1f62c3135a540
R1,R07,u006,tonsil,1,True,0.49528592824935913,0.5047140717506409,0.4610210657119751,0.49616946280002594,0.5266746133565903,0.47332536429166794,0.5038305222988129,0.5389789491891861,0.0,False,5dcaca5d6894bbc1755c702518afdb7a879edc9baa2a30bd79e5044659956228
R1,R07,u010,d1,0,True,0.48876121640205383,0.5112387537956238,0.4549378424882889,0.4888859987258911,0.5234200119972229,0.4765799641609192,0.5111140012741089,0.5450621604919433,0.0,False,8d48e74777dc392ec32d8a5f9337533b55b052ab600d3c483f3c7b5be4eb0512
R1,R07,u011,d1,1,True,0.48848363757133484,0.5115163922309875,0.45077604949474337,0.4893302321434021,0.5221248865127563,0.4778750896453857,0.5106697678565979,0.5492239713668823,0.0,False,1b1f278ad49b6cbec580115ff1444362d9c32c0a8c2a24bd50133accb13a904b
R1,R07,u020,p22,0,True,0.48001599311828613,0.5199840068817139,0.4521676301956177,0.47983498871326447,0.5083922743797302,0.49160777032375336,0.5201650261878967,0.5478323847055435,0.0,False,b1b16b6fe284dc817344a41b8563505e89c14df662b143ba1e4e5915bf935631
R1,R07,u021,p22,1,True,0.4796067178249359,0.5203933119773865,0.4464028403162956,0.47931721806526184,0.5136409848928452,0.486359067261219,0.5206827521324158,0.5535971969366074,0.0,False,5d6567754af344e7371b60c028127f75cb693c65885a6b4078fcbd7719593e0f
R1,R08,u000,a1,0,True,0.4811004102230072,0.5188996195793152,0.44837204217910764,0.4806223064661026,0.5127700954675675,0.4872298538684845,0.5193776786327362,0.55162792801857,0.0,False,0b97939075735302970f3f034151c58c0d2a6e74f2ccfbf6b12de2302fbfd847
R1,R08,u001,a1,1,True,0.4777061641216278,0.5222938656806946,0.45234457552433016,0.4792638272047043,0.49616341590881347,0.5038365840911865,0.5207361578941345,0.5476554334163666,0.0,False,4c4732ec135d2d67598fc874109983eef06c96865f634591b78bdbf2806f4d1a
R1,R08,u005,tonsil,0,True,0.4895106554031372,0.5104893445968628,0.45381299406290054,0.4886838346719742,0.5244801789522171,0.4755198359489441,0.511316180229187,0.5461869686841965,0.0,False,0d0660db3459064b17b3afc4a45070881eb66fa51642c4534918965108f0d58d
R1,R08,u006,tonsil,1,True,0.48770153522491455,0.5122984647750854,0.45469994843006134,0.48909011483192444,0.5174413472414017,0.4825587049126625,0.510909914970398,0.5453000217676163,0.0,False,c82da92dc8d05eb970ab909bb90871c708661f1d199c50f8864ace657de22ed6
R1,R08,u010,d1,0,True,0.4819454848766327,0.5180545449256897,0.4472352504730225,0.483747661113739,0.5139257073402405,0.48607432246208193,0.516252338886261,0.5527647495269775,0.0,False,ed725e8a519ba0b059f7e4e1de9aa872516760da809c7ccb3ea9b13ef8a0f503
R1,R08,u011,d1,1,True,0.4823811650276184,0.5176187753677368,0.44926272332668304,0.48301011323928833,0.5125101208686829,0.48748990297317507,0.5169898271560669,0.5507373034954071,0.0,False,f2a8ca1b92a7afa2918e156ca31334b56bcfa74114ccf67659c9d08b7c680e96
R1,R08,u020,p22,0,True,0.46918419003486633,0.5308157801628113,0.42733803391456604,0.4678373485803604,0.5153301358222961,0.48466992378234863,0.5321626365184784,0.5726619958877563,0.0,False,956b863eae6c8adab360176c12d4316db43787d0b51eb3b05a3ae9cd2e177c0d
R1,R08,u021,p22,1,True,0.4667972922325134,0.5332027077674866,0.4354391098022461,0.46698397397994995,0.4983275607228279,0.5016724765300751,0.53301602602005,0.5645608752965927,0.0,False,599fb72c44e326ef04d1a38fe328bd48123bd20b6d08d18c9d4445beaa8fde33
R1,R09,u000,a1,0,True,0.4682500958442688,0.5317499041557312,0.45741321295499804,0.4688563942909241,0.47783838361501696,0.5221616327762604,0.5311435759067535,0.5425868421792984,0.0,False,9ab105ffe7b63326a6c96b162557f6d3fb6e56e4541f9a4b045b91747716134c
R1,R09,u001,a1,1,True,0.4870379865169525,0.5129620432853699,0.47872347235679624,0.48664847016334534,0.49594448655843737,0.5040555387735367,0.5133515298366547,0.5212765276432038,0.0,False,a0cc5a4995a088adb1f4f39bf78473715c4f30960c8524c5bafbc2deb46bfddd
R1,R09,u005,tonsil,0,True,0.46730148792266846,0.5326984524726868,0.456413634121418,0.46630987524986267,0.4794808551669121,0.5205191969871521,0.5336901247501373,0.5435863435268402,0.0,False,b1bb513eb20474f65bf9a8cb301ed4e5e6c145a2590d684dbb95ec65d5a28d8d
R1,R09,u006,tonsil,1,True,0.4882503151893616,0.5117496848106384,0.4795989841222763,0.4880552291870117,0.4969498887658119,0.5030501037836075,0.5119447708129883,0.5204009860754013,0.0,False,ac28d048f396535a96c504c8fa33150cb589af3af2337021c95a14bbe3cf7469
R1,R09,u010,d1,0,True,0.4682391285896301,0.5317608714103699,0.4586535632610321,0.46768781542778015,0.4787975400686264,0.5212024927139283,0.5323122143745422,0.5413464903831482,0.0,False,737072d1435f5d70e8be6e9b07702c150d953649073d8e7c1946b19abef7f154
R1,R09,u011,d1,1,True,0.48453614115715027,0.5154638886451721,0.4754795730113983,0.48465052247047424,0.4931828737258911,0.5068171501159668,0.5153495073318481,0.5245204746723175,0.0,False,2cf81d0471b4453c0b7f784bda69aa660ef04a39770f8ea77cda40253f328764
R1,R09,u020,p22,0,True,0.4958169162273407,0.5041830539703369,0.4840257987380028,0.4959100931882858,0.5072110891342163,0.4927889332175255,0.5040899217128754,0.5159742087125778,0.0,False,a25982c42f4b4a447b13c1706e6a28264107c4c51667338578d743db7ee94ea4
R1,R09,u021,p22,1,True,0.5237080454826355,0.4762920141220093,0.5109976083040237,0.5235620737075806,0.536722257733345,0.46327778697013855,0.47643791139125824,0.48900242149829865,0.0,False,721833b121f096000371de8c46e2e267866706ce7498e72c6394c1ed082ced7e
R2,R02,u002,a1,2,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R2,R02,u003,a1,3,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R2,R02,u004,a1,4,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,bfbde3c59d8a4725f724583a3927ae3e1be5082e4bd42927b4aae861622fec7d
R2,R02,u007,tonsil,2,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R2,R02,u008,tonsil,3,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R2,R02,u009,tonsil,4,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,8ac8257e26879a20f3753aae9942034170ce72dc9df5d29e216722df48cfec15
R2,R02,u012,d1,2,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R2,R02,u013,d1,3,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R2,R02,u014,d1,4,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R2,R02,u015,d1,5,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R2,R02,u016,d1,6,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R2,R02,u017,d1,7,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R2,R02,u018,d1,8,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R2,R02,u019,d1,9,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,4c50096baf7b24890d844cb06154ff46fc684d02d1d09eb54350d6dc56e7c7e5
R2,R02,u022,p22,2,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R2,R02,u023,p22,3,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R2,R02,u024,p22,4,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R2,R02,u025,p22,5,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R2,R02,u026,p22,6,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R2,R02,u027,p22,7,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R2,R02,u028,p22,8,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R2,R02,u029,p22,9,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,False,732cc835d36f6d96549b94a7b11b4c041c34f6ba5c3eb5f4a0c582e4717e48f7
R2,R08,u002,a1,2,True,0.4852074980735779,0.5147925019264221,0.4531637832522392,0.48842431604862213,0.5083224207162857,0.49167757034301757,0.5115756690502167,0.5468361616134644,0.0,False,a2e973944e7b52c19c38146fd1c7a7245e739d26561449319d75421189a76981
R2,R08,u003,a1,3,True,0.4831102788448334,0.516889750957489,0.45231491774320604,0.4833618700504303,0.5130011349916458,0.48699888586997986,0.5166381299495697,0.547685107588768,0.0,False,48462e2a10c93b968c4e1863f4806d8f3341042b9f7d2361b31473f727fb0f4e
R2,R08,u004,a1,4,True,0.48559489846229553,0.5144051313400269,0.452787509560585,0.487388014793396,0.513919574022293,0.4860804513096809,0.5126119554042816,0.5472125113010406,0.0,False,21ffade422ba540fd28a2a749421ebaf2d65761d9b611eb562f068097aa57eb5
R2,R08,u007,tonsil,2,True,0.48443150520324707,0.5155684351921082,0.4541046842932701,0.4869905412197113,0.5073028653860092,0.4926971420645714,0.5130094587802887,0.5458953231573105,0.0,False,6532e39b77ac0ef5c6072d69c19acf4f27c6341dad0ddb8895cdc22f7644b108
R2,R08,u008,tonsil,3,True,0.4874124825000763,0.5125875473022461,0.45405738800764084,0.4893982410430908,0.5137894302606583,0.48621055483818054,0.5106017887592316,0.5459426194429398,0.0,False,1930a0c33f30bd88ad899bdf9059d5f8469068c17c7c800f30f57dab9dc20ed7
R2,R08,u009,tonsil,4,True,0.4810873866081238,0.5189126133918762,0.4531170055270195,0.478227898478508,0.5196326076984406,0.48036740720272064,0.5217721164226532,0.5468830466270447,0.0,False,4321563754d7262ed9dd94d8e913fcce83cd7da49af7b8843ccb2f2151a864ad
R2,R08,u012,d1,2,True,0.49044325947761536,0.5095567107200623,0.4523786842823029,0.49286162853240967,0.5203772246837616,0.4796228051185608,0.5071383714675903,0.5476213157176971,0.0,False,ff10b3f7a4e56fe30aed22612cd1989493ae423344b8ffb34ea268bae2876d4c
R2,R08,u013,d1,3,True,0.4841381907463074,0.5158618092536926,0.4305367052555084,0.48742547631263733,0.5255108058452607,0.47448917031288146,0.5125744938850403,0.5694632947444915,0.0,False,27dea4327dfd214872c35d53f489920f36e06595e9c2bdd80e455512bcd4d178
R2,R08,u014,d1,4,True,0.48627832531929016,0.5137216448783875,0.44646118879318236,0.48683401942253113,0.5271405816078186,0.4728594183921814,0.5131660103797913,0.5535388112068176,0.0,False,60774e73fe1b8150d42d184583dd1f232125f960c4b9be8686dc060f7b08c9a0
R2,R08,u015,d1,5,True,0.4858461022377014,0.5141538977622986,0.4386992365121841,0.48323336243629456,0.529311740398407,0.47068828642368316,0.5167666673660278,0.561300790309906,0.0,False,bf88571ad0e03f2d0b985333deb280fa7a37434229653ee5ea8e6ff7fc24389e
R2,R08,u016,d1,6,True,0.4918166995048523,0.5081833004951477,0.45206505060195923,0.4933215081691742,0.5289216637611389,0.47107828259468076,0.5066784620285034,0.5479349732398987,0.0,False,533836880f5cea29d31ed0b09a5abc5892a479d485045a9a010137fd04db7a82
R2,R08,u017,d1,7,True,0.49217489361763,0.5078251361846924,0.458077672123909,0.49226832389831543,0.5267070293426513,0.47329296767711637,0.5077316164970398,0.5419223248958588,0.0,False,ba7bbf3f7b439c796ad9148a324fdcb59b387039e0bc1d4915c3eedc32dee6d8
R2,R08,u018,d1,8,True,0.48545771837234497,0.514542281627655,0.4536642611026764,0.4879109859466553,0.5119882047176361,0.4880117654800415,0.5120890140533447,0.5463356792926788,0.0,False,a356ea550bf2af08319d58366c38e77e2963709ae89093e06ffc4c1b4a33d9df
R2,R08,u019,d1,9,True,0.4905405044555664,0.5094594359397888,0.4335440546274185,0.4891242980957031,0.5524458467960358,0.44755413234233854,0.5108756422996521,0.5664559721946716,0.0,False,092aa944412c0fb5bd45945125fcdbb40c5313b97309d1806ff62f76ad7d3217
R2,R08,u022,p22,2,True,0.4690040647983551,0.5309959650039673,0.4308045729994774,0.46878573298454285,0.5086184591054916,0.49138157069683075,0.5312142372131348,0.5691954493522644,0.0,False,dbf8edf92aea88a4a5da59c43b7a352b1493897b30f3813f73bfc75df3a03e6a
R2,R08,u023,p22,3,True,0.4699682593345642,0.5300317406654358,0.4360922500491142,0.4696613997220993,0.505746454000473,0.494253545999527,0.5303386151790619,0.56390780210495,0.0,False,60289eeaa7189a43124cb3f9f9d957d641e5d9553078eb684db85323b18d2fe8
R2,R08,u024,p22,4,True,0.47357073426246643,0.5264292359352112,0.4316720962524414,0.47361674904823303,0.5147291123867035,0.4852708950638771,0.526383250951767,0.568327933549881,0.0,False,2a6496cfc9ac86a19526b3fb7163fb775b9499878526cb4132ef2055ad7bd0a0
R2,R08,u025,p22,5,True,0.4724447727203369,0.5275552272796631,0.43394722789525986,0.47210127115249634,0.5114978849887848,0.4885020926594734,0.5278987288475037,0.5660527497529984,0.0,False,e7285bc3b9c33a6860fb1932d6bf3682e2c59d253c997c0834575fd069ba0e0f
R2,R08,u026,p22,6,True,0.4707493185997009,0.5292506217956543,0.42809537053108215,0.46995076537132263,0.5161285102367401,0.4838715195655823,0.530049204826355,0.5719046592712402,0.0,False,bb1e3a3dac167a8a351ea558231ca9efec3361483d5cba68834fc31f70dd9e24
R2,R08,u027,p22,7,True,0.4666156470775604,0.5333843231201172,0.43221721798181534,0.4659964144229889,0.5018668174743652,0.498133160173893,0.5340035557746887,0.5677828192710876,0.0,False,60fd322d279c0e3af3cc57deb6d77186c9a34957e08f4f82e014896a220eb3c5
