stage,config_id,dataset,seed,success,status,runtime_seconds,peak_rss_mib,gpu_allocation_mib,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement
H,H06,a1,2,True,success,2.562339087948203,777.359375,0.0,0.2713938971732611,0.40380696829610113,0.3376004327346811,0.6431956082057209,0.5714163799154263,0.4399981245025765,0.35680439179427914
H,H07,a1,2,True,success,2.6371824108064175,777.359375,0.0,0.26717342860546767,0.39981942985814667,0.33349642923180717,0.6457960127130887,0.5759475788637375,0.43567921689685907,0.35420398728691127
H,H08,a1,2,True,success,4.491270063444972,777.359375,0.0,0.22896420778976656,0.3829913164689477,0.3059777621293571,0.5748338630453627,0.45767694296288425,0.5463008177161222,0.42516613695463734
H,H09,a1,2,True,success,3.770796401426196,777.359375,0.0,0.22890178551096557,0.3843609961168919,0.30663139081392876,0.564085524414909,0.4991041136661504,0.5079984494855663,0.435914475585091
H,H10,a1,2,True,success,3.8895761389285326,777.359375,0.0,0.17791934824781883,0.33980074664372417,0.2588600474457715,0.5721756717711644,0.4559742551133851,0.5438166896552523,0.42782432822883565
H,H11,a1,2,True,success,4.80114515684545,777.359375,0.0,0.1819931122031878,0.35082253357520016,0.26640782288919396,0.5554175093903496,0.43683039136700363,0.5631724172680901,0.4445824906096504
H,H12,a1,2,True,success,3.564098659902811,777.359375,0.0,0.1548004707193346,0.32602126036234247,0.24041086554083851,0.5171337763652124,0.43888804090796063,0.5644405443689646,0.4828662236347876
H,H13,a1,2,True,success,7.311586147174239,777.359375,0.0,0.18677682201161916,0.3612539299365239,0.27401537597407155,0.5316960416064721,0.4834783598787945,0.5215372297837841,0.4683039583935279
H,H14,a1,2,True,success,0.9164928961545229,777.359375,0.0,0.2415761148882144,0.3992627389231686,0.3204194269056915,0.5753828373302514,0.5115896207989824,0.49593622096239365,0.4246171626697486
H,H15,a1,2,True,success,0.9105661753565073,777.359375,0.0,0.26245085240099303,0.39588508666719924,0.3291679695340961,0.6453915053452759,0.5781613616739796,0.43276757358307527,0.3546084946547241
H,H16,a1,2,False,scientific_numerical_failure,15.86783559806645,777.359375,0.0,,,,,,,
