stage,recipe_id,unit_id,dataset,seed,epochs,initial_total,final_total,loss_curve_sha256,initial_RECON,final_RECON,initial_RELKL,final_RELKL,initial_CLIP,final_CLIP,initial_MNN,final_MNN,initial_MASK,final_MASK,initial_SEMANTIC,final_SEMANTIC,initial_MOE_BALANCE,final_MOE_BALANCE,initial_DCCA,final_DCCA
R1,R03,u006,tonsil,1,160,1.9981788396835327,1.0348107814788818,3d583342d530ff82c2ef5a1d542aa9f5481f12c056e6dad731b80f73c8ff3c15,0.025803817436099,0.004097253549844,0.1820845901966095,0.1488317549228668,8.951452255249023,4.4094085693359375,,,,,,,,,,
R1,R03,u010,d1,0,160,2.097245931625366,1.0010570287704468,1230d8e7663bde8f4c0390cc1eabed3f56e60f22cd7bc5bfdb765c105193d05e,0.0256799664348363,0.0061908103525638,0.3466951847076416,0.2592252492904663,8.624353408813477,3.678204536437988,,,,,,,,,,
R1,R03,u011,d1,1,160,2.1767618656158447,1.0119751691818235,2ec55cf1877618af2cac850b9e4f71479f27062e7c579a6adaa2a3ea99ff3b9c,0.026373166590929,0.0065338406711816,0.3386369943618774,0.2642900943756103,9.058757781982422,3.7057559490203857,,,,,,,,,,
R1,R03,u020,p22,0,160,2.5833425521850586,1.0597717761993408,339c7c9f1469d387f89777a4175259d39bd818b332b6a869903dd9f02c2f5812,0.0181971862912178,0.0068666199222207,0.6069607138633728,0.4990606904029846,9.790923118591309,2.7692220211029053,,,,,,,,,,
R1,R03,u021,p22,1,160,2.6262898445129395,1.0668432712554932,0e4db5df70417f3cdca5c8c8b8f89867654d2640ada0ad80b6cf47b8341cdbf0,0.0182403810322284,0.0068167462013661,0.6325280070304871,0.5045747756958008,9.877607345581056,2.7772583961486816,,,,,,,,,,
R1,R04,u000,a1,0,160,0.347939133644104,0.2304626554250717,99a3133cfd83f12e49f67ab1fd02acec9f9d2c79a8d587f86a101a5ffd8acc41,0.0253599565476179,0.0047223768197,0.2878898978233337,0.2221041321754455,,,0.173446387052536,0.0181807503104209,,,,,,,,
R1,R04,u001,a1,1,160,0.3652297556400299,0.2306461632251739,116b806468fffa8c95acc479e2a8647cd921e84840c488a6ee147b42ac41566f,0.0258765649050474,0.0049584601074457,0.2976726293563843,0.2216823697090149,,,0.2084028720855713,0.0200266521424055,,,,,,,,
R1,R04,u005,tonsil,0,160,0.2289971113204956,0.1508575677871704,3098ef75cbbebaee9e8c90e8d38caa5c10270cb48ba6ab91cd9716addf821c68,0.0257566533982753,0.0034768942277878,0.183921679854393,0.1466520726680755,,,0.0965938344597816,0.0036430524196475,,,,,,,,
R1,R04,u006,tonsil,1,160,0.2387818396091461,0.1492918878793716,9558148a0d20b91f7e22e636fc7fe2ce674c70a1be44f4f0b070e455df681708,0.025803817436099,0.0033778282813727,0.1820845901966095,0.145094484090805,,,0.1544671207666397,0.0040979185141623,,,,,,,,
R1,R04,u010,d1,0,160,0.4120203256607055,0.2650257050991058,f88ef4ded6d668cc013352519d399e7206666bc5338dbd455c0968924455a0d6,0.0256799664348363,0.00539131462574,0.3466951847076416,0.254934012889862,,,0.1982258707284927,0.023501917719841,,,,,,,,
R1,R04,u011,d1,1,160,0.4082503914833069,0.2687810659408569,89e7c072b28b267bb0a7ed542e979e8fb43d808df01e9eee990f4549de556055,0.026373166590929,0.0056218518875539,0.3386369943618774,0.2581221759319305,,,0.2162010371685028,0.0251852106302976,,,,,,,,
R1,R04,u020,p22,0,160,0.6978130340576172,0.486179769039154,a2b58bd0228cd531810f46a6ab5ab1db9c53c7128c201c0c90ceec5b2da55110,0.0181971862912178,0.0064389603212475,0.6069607138633728,0.4710977971553802,,,0.3632756769657135,0.0432149395346641,,,,,,,,
