lane,ablation,full_ari,ablation_ari,full_minus_ablation_ari,full_nmi,ablation_nmi,full_minus_ablation_nmi,partition_exact_to_full,interpretation
MISAR_E15_5_S1_K12,TRUST_TERM_NEAR_ZERO,0.45236704915733733,0.45236704915733733,0.0,0.5977075353765589,0.5977075353765589,0.0,True,EXACT_OR_NEAR_EXACT
P22,UNIFORM_EDGE_EVIDENCE,0.5891910297854036,0.5873083709613107,0.0018826588240928865,0.7100418847809442,0.7088059344182905,0.0012359503626536705,False,FULL_BETTER_BOTH
P22,NO_REJECTED_MASS_SELF_RETURN,0.5891910297854036,0.5895617004326321,-0.0003706706472285104,0.7100418847809442,0.7107881350597716,-0.000746250278827354,False,ABLATION_BETTER_BOTH
P22,RETAINED_UNARY_DOMINANT,0.5891910297854036,0.5888626223050262,0.00032840748037743506,0.7100418847809442,0.7096384297891902,0.00040345499175398203,False,FULL_BETTER_BOTH
P22,SINGLE_SCALE_DOMINANT,0.5891910297854036,0.5892152653200956,-2.4235534691996463e-05,0.7100418847809442,0.7095637539666154,0.0004781308143287921,False,MIXED
P22,TRUST_TERM_NEAR_ZERO,0.5891910297854036,0.5891910297854036,0.0,0.7100418847809442,0.7100418847809442,0.0,True,EXACT_OR_NEAR_EXACT
P22_3DOT_K18,UNIFORM_EDGE_EVIDENCE,0.7283067896750458,0.7280195722742973,0.00028721740074855173,0.7501143785801062,0.7496798939960668,0.00043448458403938517,False,FULL_BETTER_BOTH
P22_3DOT_K18,NO_REJECTED_MASS_SELF_RETURN,0.7283067896750458,0.7275922198198391,0.0007145698552066815,0.7501143785801062,0.7492460970673723,0.0008682815127338817,False,FULL_BETTER_BOTH
P22_3DOT_K18,RETAINED_UNARY_DOMINANT,0.7283067896750458,0.7284174807981029,-0.00011069112305706064,0.7501143785801062,0.7501422464642981,-2.7867884191845604e-05,False,ABLATION_BETTER_BOTH
P22_3DOT_K18,SINGLE_SCALE_DOMINANT,0.7283067896750458,0.7280727320548337,0.00023405762021211363,0.7501143785801062,0.7496264350960179,0.00048794348408831567,False,FULL_BETTER_BOTH
P22_3DOT_K18,TRUST_TERM_NEAR_ZERO,0.7283067896750458,0.72827849963816,2.8290036885758596e-05,0.7501143785801062,0.7498325761324559,0.0002818024476503034,False,FULL_BETTER_BOTH
tonsil_s1,UNIFORM_EDGE_EVIDENCE,0.23382458055710792,0.23244655965051958,0.0013780209065883398,0.314270251883914,0.31390855675756196,0.00036169512635203516,False,FULL_BETTER_BOTH
tonsil_s1,NO_REJECTED_MASS_SELF_RETURN,0.23382458055710792,0.2049645412401603,0.02886003931694761,0.314270251883914,0.288270284005628,0.025999967878286012,False,FULL_BETTER_BOTH
tonsil_s1,RETAINED_UNARY_DOMINANT,0.23382458055710792,0.23115189441506656,0.0026726861420413583,0.314270251883914,0.3120957071211136,0.002174544762800379,False,FULL_BETTER_BOTH
tonsil_s1,SINGLE_SCALE_DOMINANT,0.23382458055710792,0.23071911850805643,0.0031054620490514884,0.314270251883914,0.31107989079768644,0.0031903610862275555,False,FULL_BETTER_BOTH
tonsil_s1,TRUST_TERM_NEAR_ZERO,0.23382458055710792,0.2335308850744213,0.0002936954826866234,0.314270251883914,0.313907625645899,0.0003626262380149736,False,FULL_BETTER_BOTH
tonsil_s2,UNIFORM_EDGE_EVIDENCE,0.2547979281144028,0.253213162651314,0.001584765463088833,0.3052523860699747,0.3060014311674558,-0.000749045097481138,False,MIXED
tonsil_s2,NO_REJECTED_MASS_SELF_RETURN,0.2547979281144028,0.23127977694340934,0.023518151170993484,0.3052523860699747,0.28797540285872875,0.017276983211245933,False,FULL_BETTER_BOTH
tonsil_s2,RETAINED_UNARY_DOMINANT,0.2547979281144028,0.2534212083348003,0.00137671977960252,0.3052523860699747,0.30346441160834814,0.0017879744616265403,False,FULL_BETTER_BOTH
tonsil_s2,SINGLE_SCALE_DOMINANT,0.2547979281144028,0.25238777225618825,0.00241015585821458,0.3052523860699747,0.3042654666177095,0.0009869194522652003,False,FULL_BETTER_BOTH
tonsil_s2,TRUST_TERM_NEAR_ZERO,0.2547979281144028,0.2547979281144028,0.0,0.3052523860699747,0.3052523860699747,0.0,True,EXACT_OR_NEAR_EXACT
tonsil_s3,UNIFORM_EDGE_EVIDENCE,0.32831055003908766,0.3218409426039511,0.006469607435136582,0.2895243534508425,0.28347671497114885,0.00604763847969364,False,FULL_BETTER_BOTH
tonsil_s3,NO_REJECTED_MASS_SELF_RETURN,0.32831055003908766,0.2897572231254598,0.03855332691362784,0.2895243534508425,0.24924357998581761,0.04028077346502487,False,FULL_BETTER_BOTH
tonsil_s3,RETAINED_UNARY_DOMINANT,0.32831055003908766,0.3235032761363609,0.004807273902726783,0.2895243534508425,0.28601142241412064,0.0035129310367218447,False,FULL_BETTER_BOTH
tonsil_s3,SINGLE_SCALE_DOMINANT,0.32831055003908766,0.3274546740260162,0.000855876013071466,0.2895243534508425,0.28866144753985506,0.0008629059109874215,False,FULL_BETTER_BOTH
tonsil_s3,TRUST_TERM_NEAR_ZERO,0.32831055003908766,0.32831055003908766,0.0,0.2895243534508425,0.2895243534508425,0.0,True,EXACT_OR_NEAR_EXACT
