ablation,ari_bootstrap_ci_high,ari_bootstrap_ci_low,ari_full_minus_ablation,ari_full_minus_ablation_macro_mean,ari_full_minus_ablation_max,ari_full_minus_ablation_mean,ari_full_minus_ablation_median,ari_full_minus_ablation_min,ari_full_minus_ablation_sd,ari_full_win_count,ari_full_win_count_15,boundary_disagreement_bootstrap_ci_high,boundary_disagreement_bootstrap_ci_low,boundary_disagreement_full_minus_ablation,boundary_disagreement_full_minus_ablation_macro_mean,boundary_disagreement_full_minus_ablation_max,boundary_disagreement_full_minus_ablation_mean,boundary_disagreement_full_minus_ablation_median,boundary_disagreement_full_minus_ablation_min,boundary_disagreement_full_minus_ablation_sd,boundary_disagreement_full_win_count,boundary_disagreement_full_win_count_15,dataset,nmi_bootstrap_ci_high,nmi_bootstrap_ci_low,nmi_full_minus_ablation,nmi_full_minus_ablation_macro_mean,nmi_full_minus_ablation_max,nmi_full_minus_ablation_mean,nmi_full_minus_ablation_median,nmi_full_minus_ablation_min,nmi_full_minus_ablation_sd,nmi_full_win_count,nmi_full_win_count_15,row_type,seed,spatial_cluster_geary_mean_bootstrap_ci_high,spatial_cluster_geary_mean_bootstrap_ci_low,spatial_cluster_geary_mean_full_minus_ablation,spatial_cluster_geary_mean_full_minus_ablation_macro_mean,spatial_cluster_geary_mean_full_minus_ablation_max,spatial_cluster_geary_mean_full_minus_ablation_mean,spatial_cluster_geary_mean_full_minus_ablation_median,spatial_cluster_geary_mean_full_minus_ablation_min,spatial_cluster_geary_mean_full_minus_ablation_sd,spatial_cluster_geary_mean_full_win_count,spatial_cluster_geary_mean_full_win_count_15,spatial_cluster_moran_mean_bootstrap_ci_high,spatial_cluster_moran_mean_bootstrap_ci_low,spatial_cluster_moran_mean_full_minus_ablation,spatial_cluster_moran_mean_full_minus_ablation_macro_mean,spatial_cluster_moran_mean_full_minus_ablation_max,spatial_cluster_moran_mean_full_minus_ablation_mean,spatial_cluster_moran_mean_full_minus_ablation_median,spatial_cluster_moran_mean_full_minus_ablation_min,spatial_cluster_moran_mean_full_minus_ablation_sd,spatial_cluster_moran_mean_full_win_count,spatial_cluster_moran_mean_full_win_count_15,spatial_neighbor_agreement_bootstrap_ci_high,spatial_neighbor_agreement_bootstrap_ci_low,spatial_neighbor_agreement_full_minus_ablation,spatial_neighbor_agreement_full_minus_ablation_macro_mean,spatial_neighbor_agreement_full_minus_ablation_max,spatial_neighbor_agreement_full_minus_ablation_mean,spatial_neighbor_agreement_full_minus_ablation_median,spatial_neighbor_agreement_full_minus_ablation_min,spatial_neighbor_agreement_full_minus_ablation_sd,spatial_neighbor_agreement_full_win_count,spatial_neighbor_agreement_full_win_count_15
DROP_MOD2_RECON,,,-0.023923624901631607,,,,,,,,,,,-0.013745375685674244,,,,,,,,,a1,,,-0.012931230311064967,,,,,,,,,seed,2,,,-0.0017206690648501333,,,,,,,,,,,0.002830932274106357,,,,,,,,,,,0.013745375685674244,,,,,,,,
DROP_MOD2_RECON,,,-0.015159270860989449,,,,,,,,,,,0.0006697282816685579,,,,,,,,,a1,,,-0.007607624429559312,,,,,,,,,seed,3,,,0.0019294098130105963,,,,,,,,,,,-0.004041504739024093,,,,,,,,,,,-0.0006697282816685579,,,,,,,,
DROP_MOD2_RECON,,,-0.02475443689822468,,,,,,,,,,,-0.0005581069013904649,,,,,,,,,a1,,,-0.0037448393458381912,,,,,,,,,seed,4,,,-0.0030829723060196157,,,,,,,,,,,0.005094299748277575,,,,,,,,,,,0.0005581069013904649,,,,,,,,
DROP_MOD2_RECON,0.004296538826653862,-0.022503078892140406,,,0.009719485780728288,-0.009103270032743272,-0.015159270860989449,-0.02475443689822468,0.017095554910398703,2,,0.010081005230258944,-0.016382829442531,,,0.021160224518433468,-0.00364842454394696,-0.0005581069013904649,-0.025768592932772116,0.017570684727451744,2,,a1,0.01154268407362632,-0.00896450976541735,,,0.018544609524517253,0.0007896263324387864,-0.0037448393458381912,-0.012931230311064967,0.012978286100356317,2,,dataset_summary,,-7.074581551222981e-05,-0.012950369726877908,,,0.0019294098130105963,-0.005185589314132444,-0.003070979258296469,-0.019982735754506598,0.008521692931308578,1,,0.011832542361046926,-0.0009684962232555105,,,0.018048015392870376,0.004823895205749473,0.002830932274106357,-0.004041504739024093,0.008131221311773686,4,,0.01615001913509382,-0.010081005230258944,,,0.025768592932772116,0.00364842454394696,0.0005581069013904649,-0.021160224518433468,0.017570684727451744,3,
DROP_MOD2_RECON,,,0.006894118909688607,,,,,,,,,,,0.05535499398315291,,,,,,,,,placenta,,,0.03751368538376598,,,,,,,,,seed,0,,,0.02846850736650297,,,,,,,,,,,-0.05608549777373256,,,,,,,,,,,-0.055354993983152856,,,,,,,,
DROP_MOD2_RECON,,,-0.03886355661024543,,,,,,,,,,,0.07942238267148016,,,,,,,,,placenta,,,0.029396382638140484,,,,,,,,,seed,1,,,0.04483631868103588,,,,,,,,,,,-0.0969756543987571,,,,,,,,,,,-0.07942238267148016,,,,,,,,
DROP_MOD2_RECON,,,0.1077020866313888,,,,,,,,,,,0.030084235860409203,,,,,,,,,placenta,,,0.0790805623494002,,,,,,,,,seed,2,,,0.011954831591640125,,,,,,,,,,,-0.042319195413418886,,,,,,,,,,,-0.030084235860409148,,,,,,,,
DROP_MOD2_RECON,,,-0.059805315863317166,,,,,,,,,,,0.060168471720818295,,,,,,,,,placenta,,,0.007900399638849032,,,,,,,,,seed,3,,,0.018356200569977332,,,,,,,,,,,-0.053903666425980545,,,,,,,,,,,-0.060168471720818295,,,,,,,,
DROP_MOD2_RECON,,,-0.06672643038343429,,,,,,,,,,,0.03369434416365824,,,,,,,,,placenta,,,-0.009822399601150167,,,,,,,,,seed,4,,,0.013204043585299363,,,,,,,,,,,-0.0396392702992765,,,,,,,,,,,-0.03369434416365824,,,,,,,,
DROP_MOD2_RECON,0.052654789684084144,-0.05838540982074967,,,0.1077020866313888,-0.010159819463183895,-0.03886355661024543,-0.06672643038343429,0.07188641567135241,2,,0.06787003610108304,0.03658243080625756,,,0.07942238267148016,0.05174488567990376,0.05535499398315291,0.030084235860409203,0.020279542173709645,5,,placenta,0.05653115441416312,0.005110476542707643,,,0.0790805623494002,0.028813726081801105,0.029396382638140484,-0.009822399601150167,0.03366341129316216,4,,dataset_summary,,0.035015631892316136,0.013734790184771261,,,0.04483631868103588,0.023363980358891135,0.018356200569977332,0.011954831591640125,0.01365273194495323,5,,-0.04346450081699619,-0.07786633127668455,,,-0.0396392702992765,-0.05778465686223312,-0.053903666425980545,-0.0969756543987571,0.023034317157374307,0,,-0.036582430806257525,-0.06690734055354995,,,-0.030084235860409148,-0.05174488567990374,-0.055354993983152856,-0.07942238267148016,0.020279542173709655,0,
