dataset,geary_c,mean_one_vs_rest_geary_c,predicted_cluster,seed,variant
a1,0.32935869473787993,0.5202072482218791,10,2,DROP_MOD2_RECON
a1,0.6589520059078069,0.5160043577519337,1,3,DROP_MOD2_RECON
a1,0.40587256225689705,0.5160043577519337,2,3,DROP_MOD2_RECON
a1,0.5196922976755395,0.5160043577519337,3,3,DROP_MOD2_RECON
a1,0.5830284157023228,0.5160043577519337,4,3,DROP_MOD2_RECON
a1,0.6180452886183015,0.5160043577519337,5,3,DROP_MOD2_RECON
a1,0.4364668336621128,0.5160043577519337,6,3,DROP_MOD2_RECON
a1,0.40005394503746683,0.5160043577519337,7,3,DROP_MOD2_RECON
a1,0.3219825981209469,0.5160043577519337,8,3,DROP_MOD2_RECON
a1,0.6135140413627271,0.5160043577519337,9,3,DROP_MOD2_RECON
a1,0.6024355891752154,0.5160043577519337,10,3,DROP_MOD2_RECON
a1,0.6448360846809423,0.5253599778543646,1,4,DROP_MOD2_RECON
a1,0.6584735596551734,0.5253599778543646,2,4,DROP_MOD2_RECON
a1,0.4631498988830874,0.5253599778543646,3,4,DROP_MOD2_RECON
a1,0.5754529137422398,0.5253599778543646,4,4,DROP_MOD2_RECON
a1,0.5788310085362491,0.5253599778543646,5,4,DROP_MOD2_RECON
a1,0.44596751494525194,0.5253599778543646,6,4,DROP_MOD2_RECON
a1,0.4429843344256355,0.5253599778543646,7,4,DROP_MOD2_RECON
a1,0.6165105689164408,0.5253599778543646,8,4,DROP_MOD2_RECON
a1,0.5314634441445578,0.5253599778543646,9,4,DROP_MOD2_RECON
a1,0.29593045061406803,0.5253599778543646,10,4,DROP_MOD2_RECON
a1,0.8046903294094481,0.5932700728386747,1,0,DROP_CORR1
a1,0.41851762694003625,0.5932700728386747,2,0,DROP_CORR1
a1,0.7999441529652332,0.5932700728386747,3,0,DROP_CORR1
a1,0.3880735071446432,0.5932700728386747,4,0,DROP_CORR1
a1,0.654107444073212,0.5932700728386747,5,0,DROP_CORR1
a1,0.6525903940612985,0.5932700728386747,6,0,DROP_CORR1
a1,0.6302277156083405,0.5932700728386747,7,0,DROP_CORR1
a1,0.5673863015582757,0.5932700728386747,8,0,DROP_CORR1
a1,0.5761310000406248,0.5932700728386747,9,0,DROP_CORR1
a1,0.4410322565856353,0.5932700728386747,10,0,DROP_CORR1
a1,0.6755935040353611,0.5593804779170694,1,1,DROP_CORR1
a1,0.5643171421655295,0.5593804779170694,2,1,DROP_CORR1
a1,0.6387921657825524,0.5593804779170694,3,1,DROP_CORR1
a1,0.46837214850005265,0.5593804779170694,4,1,DROP_CORR1
a1,0.5847839577046166,0.5593804779170694,5,1,DROP_CORR1
a1,0.6487972475883087,0.5593804779170694,6,1,DROP_CORR1
a1,0.43911673481259933,0.5593804779170694,7,1,DROP_CORR1
a1,0.3746554479572958,0.5593804779170694,8,1,DROP_CORR1
a1,0.6303812329118085,0.5593804779170694,9,1,DROP_CORR1
a1,0.5689951977125695,0.5593804779170694,10,1,DROP_CORR1
a1,0.8087470097316846,0.6033007565606676,1,2,DROP_CORR1
a1,0.4329241313004053,0.6033007565606676,2,2,DROP_CORR1
a1,0.8577573842814512,0.6033007565606676,3,2,DROP_CORR1
a1,0.5686571521731956,0.6033007565606676,4,2,DROP_CORR1
a1,0.651890039604172,0.6033007565606676,5,2,DROP_CORR1
a1,0.4350235666796236,0.6033007565606676,6,2,DROP_CORR1
a1,0.6393356889076303,0.6033007565606676,7,2,DROP_CORR1
a1,0.674046355829083,0.6033007565606676,8,2,DROP_CORR1
a1,0.6243203554107123,0.6033007565606676,9,2,DROP_CORR1
a1,0.3403058816887183,0.6033007565606676,10,2,DROP_CORR1
a1,0.7703782769651247,0.5932271667149805,1,3,DROP_CORR1
a1,0.7324246980731871,0.5932271667149805,2,3,DROP_CORR1
a1,0.47608647031771756,0.5932271667149805,3,3,DROP_CORR1
a1,0.5612605577907639,0.5932271667149805,4,3,DROP_CORR1
a1,0.4218095018683444,0.5932271667149805,5,3,DROP_CORR1
a1,0.7366361894333124,0.5932271667149805,6,3,DROP_CORR1
a1,0.5991064022830103,0.5932271667149805,7,3,DROP_CORR1
a1,0.6333643978598976,0.5932271667149805,8,3,DROP_CORR1
a1,0.6283240616466503,0.5932271667149805,9,3,DROP_CORR1
a1,0.37288111091179715,0.5932271667149805,10,3,DROP_CORR1
a1,0.8745920625246026,0.6237243234735617,1,4,DROP_CORR1
