cpu_peak_rss_mib,dataset,gpu_peak_allocated_mib,gpu_peak_reserved_mib,runtime_seconds,seed,variant
1365.0078125,placenta,444.79833984375,474.0,7.4702111184597015,0,DROP_CORR2
1365.0078125,placenta,444.79833984375,474.0,8.668831815943122,1,DROP_CORR2
1365.0078125,placenta,444.79833984375,474.0,9.012435471639037,2,DROP_CORR2
1365.0078125,placenta,444.79833984375,474.0,7.515733651816845,3,DROP_CORR2
1365.0078125,placenta,444.79833984375,474.0,8.02189439535141,4,DROP_CORR2
1365.0078125,placenta,417.62451171875,474.0,7.00712495110929,0,UNIFORM_WITHIN
1365.0078125,placenta,417.62451171875,474.0,7.38223977573216,1,UNIFORM_WITHIN
1365.0078125,placenta,417.62451171875,474.0,6.711962511762977,2,UNIFORM_WITHIN
1365.0078125,placenta,417.62451171875,474.0,6.61264767870307,3,UNIFORM_WITHIN
1365.0078125,placenta,417.62451171875,474.0,6.537580473348498,4,UNIFORM_WITHIN
1365.0078125,placenta,431.29052734375,494.0,7.7489351481199265,0,UNIFORM_CROSS
1365.0078125,placenta,431.29052734375,494.0,7.170422909781337,1,UNIFORM_CROSS
1365.0078125,placenta,431.29052734375,494.0,7.343325342983007,2,UNIFORM_CROSS
1365.0078125,placenta,431.29052734375,494.0,7.527741843834519,3,UNIFORM_CROSS
1365.0078125,placenta,431.29052734375,494.0,7.299056543037295,4,UNIFORM_CROSS
1365.0078125,placenta,404.64013671875,474.0,6.64919801056385,0,UNIFORM_ALL
1365.0078125,placenta,404.64013671875,474.0,6.706078862771392,1,UNIFORM_ALL
1365.0078125,placenta,404.64013671875,474.0,6.7071648593991995,2,UNIFORM_ALL
1365.0078125,placenta,404.64013671875,474.0,6.6447562128305435,3,UNIFORM_ALL
1365.0078125,placenta,404.64013671875,474.0,6.197738695889711,4,UNIFORM_ALL
1376.15234375,p22,1511.49072265625,1586.0,46.68700310960412,0,FULL_IGE
1376.15234375,p22,1511.49072265625,1586.0,47.91132151521742,1,FULL_IGE
1406.5234375,p22,1511.49072265625,1586.0,47.21370741724968,2,FULL_IGE
1407.51953125,p22,1511.49072265625,1586.0,47.26578177139163,3,FULL_IGE
1408.36328125,p22,1511.49072265625,1586.0,50.75700674392283,4,FULL_IGE
1413.375,p22,1511.49072265625,1586.0,48.678090155124664,0,DROP_RNA_RECON
1413.453125,p22,1511.49072265625,1586.0,49.09659613855183,1,DROP_RNA_RECON
1413.453125,p22,1511.49072265625,1586.0,48.60724421031773,2,DROP_RNA_RECON
1413.453125,p22,1511.49072265625,1586.0,48.20647016353905,3,DROP_RNA_RECON
1413.453125,p22,1511.49072265625,1586.0,47.12327319383621,4,DROP_RNA_RECON
1420.62890625,p22,1511.49072265625,1586.0,51.1771423984319,0,DROP_MOD2_RECON
1420.62890625,p22,1511.49072265625,1586.0,53.3114284966141,1,DROP_MOD2_RECON
1420.62890625,p22,1511.49072265625,1586.0,51.595649391412735,2,DROP_MOD2_RECON
1420.62890625,p22,1511.49072265625,1586.0,48.502859527245164,3,DROP_MOD2_RECON
1420.62890625,p22,1511.49072265625,1586.0,47.06268680840731,4,DROP_MOD2_RECON
1420.62890625,p22,1511.49072265625,1586.0,52.05658770725131,0,DROP_CORR1
1420.62890625,p22,1511.49072265625,1586.0,56.75462300889194,1,DROP_CORR1
1420.62890625,p22,1511.49072265625,1586.0,51.308687599375844,2,DROP_CORR1
1431.59765625,p22,1511.49072265625,1586.0,48.294927040115,3,DROP_CORR1
1431.68359375,p22,1511.49072265625,1586.0,49.864348128437996,4,DROP_CORR1
1431.68359375,p22,1511.49072265625,1586.0,52.74529678002,0,DROP_CORR2
1431.68359375,p22,1511.49072265625,1586.0,49.424775337800384,1,DROP_CORR2
1431.68359375,p22,1511.49072265625,1586.0,47.299685668200254,2,DROP_CORR2
1431.68359375,p22,1511.49072265625,1586.0,46.83740761503577,3,DROP_CORR2
1431.68359375,p22,1511.49072265625,1586.0,48.46647008694708,4,DROP_CORR2
1431.68359375,p22,1367.87158203125,1474.0,45.13825701735914,0,UNIFORM_WITHIN
1431.68359375,p22,1367.87158203125,1474.0,44.398091869428754,1,UNIFORM_WITHIN
