bh_fdr_q_value,channel,dataset,label_values_read,n_observations,p_value,qc_variable,seed,spearman_rho
0.006465834206272077,cross_omics_modality2_attention,a1,False,3484,0.004649242691176589,spatial_graph_degree,1,0.04794155250592321
5.958282170686989e-20,cross_omics_modality2_attention,a1,False,3484,1.5507816780423837e-20,feature_graph_degree,1,-0.15646652759617613
4.373854112352331e-50,cross_omics_modality2_attention,a1,False,3484,4.304427856600707e-51,local_modality_neighborhood_consistency,1,0.250737780646303
0.02346827315287478,rna_spatial_attention,a1,False,3484,0.017955091523310544,rna_log_library_size,1,0.04009189165323341
0.42502738202565793,rna_spatial_attention,a1,False,3484,0.3867880189499915,rna_feature_l2_norm,1,-0.014666920010742424
0.1977038167987497,rna_spatial_attention,a1,False,3484,0.1725985702211307,modality2_row_sum,1,0.023112226867000762
0.013697174542094624,rna_spatial_attention,a1,False,3484,0.010131560851771578,modality2_l2_norm,1,0.043557654768392316
0.5773947719475464,rna_spatial_attention,a1,False,3484,0.5425677857030913,spatial_graph_degree,1,0.010319909511862742
0.0030149722895831217,rna_spatial_attention,a1,False,3484,0.0021152662730091107,feature_graph_degree,1,0.05205504865813314
4.2009686593900384e-05,rna_spatial_attention,a1,False,3484,2.3938853154301963e-05,local_modality_neighborhood_consistency,1,-0.0715062195308025
0.02346827315287478,rna_feature_attention,a1,False,3484,0.017955091523310544,rna_log_library_size,1,-0.04009189165323341
0.42502738202565793,rna_feature_attention,a1,False,3484,0.3867880189499915,rna_feature_l2_norm,1,0.014666920010742424
0.1977038167987497,rna_feature_attention,a1,False,3484,0.1725985702211307,modality2_row_sum,1,-0.023112226867000762
0.013697174542094624,rna_feature_attention,a1,False,3484,0.010131560851771578,modality2_l2_norm,1,-0.043557654768392316
0.5773947719475464,rna_feature_attention,a1,False,3484,0.5425677857030913,spatial_graph_degree,1,-0.010319909511862742
0.0030149722895831217,rna_feature_attention,a1,False,3484,0.0021152662730091107,feature_graph_degree,1,-0.05205504865813314
4.2009686593900384e-05,rna_feature_attention,a1,False,3484,2.3938853154301963e-05,local_modality_neighborhood_consistency,1,0.0715062195308025
0.0001622459044974603,modality2_spatial_attention,a1,False,3484,9.709000951673418e-05,rna_log_library_size,1,0.06598683599284547
6.922330155373935e-08,modality2_spatial_attention,a1,False,3484,3.131530308383447e-08,rna_feature_l2_norm,1,0.0935826319966312
2.5059890143222407e-86,modality2_spatial_attention,a1,False,3484,1.6706593428814937e-87,modality2_row_sum,1,0.32679276917553024
3.4926933761900054e-42,modality2_spatial_attention,a1,False,3484,4.10252872758826e-43,modality2_l2_norm,1,0.23016022602518407
3.7076233678152133e-06,modality2_spatial_attention,a1,False,3484,1.953858663674049e-06,spatial_graph_degree,1,-0.0805097079249746
0.00047627651857773114,modality2_spatial_attention,a1,False,3484,0.00030164179509922974,feature_graph_degree,1,0.06119050884991295
7.158952647792651e-19,modality2_spatial_attention,a1,False,3484,1.9317808732138903e-19,local_modality_neighborhood_consistency,1,0.1519328578553491
0.0001622459044974603,modality2_feature_attention,a1,False,3484,9.709000951673418e-05,rna_log_library_size,1,-0.06598683599284547
6.922330155373935e-08,modality2_feature_attention,a1,False,3484,3.131530308383447e-08,rna_feature_l2_norm,1,-0.0935826319966312
2.5059890143222407e-86,modality2_feature_attention,a1,False,3484,1.6706593428814937e-87,modality2_row_sum,1,-0.32679276917553024
3.4926933761900054e-42,modality2_feature_attention,a1,False,3484,4.10252872758826e-43,modality2_l2_norm,1,-0.23016022602518407
3.7076233678152133e-06,modality2_feature_attention,a1,False,3484,1.953858663674049e-06,spatial_graph_degree,1,0.0805097079249746
0.00047627651857773114,modality2_feature_attention,a1,False,3484,0.00030164179509922974,feature_graph_degree,1,-0.06119050884991295
7.158952647792651e-19,modality2_feature_attention,a1,False,3484,1.9317808732138903e-19,local_modality_neighborhood_consistency,1,-0.1519328578553491
0.1419436525212339,cross_omics_rna_attention,a1,False,3484,0.11955876158285625,rna_log_library_size,2,0.02637704590429744
6.543847572930961e-52,cross_omics_rna_attention,a1,False,3484,5.8163035934589135e-53,rna_feature_l2_norm,2,-0.25529158718575157
0.015443221645970343,cross_omics_rna_attention,a1,False,3484,0.011471920430108749,modality2_row_sum,2,0.04282447448204198
0.0,cross_omics_rna_attention,a1,False,3484,0.0,modality2_l2_norm,2,0.6157350813104111
0.000604171605256507,cross_omics_rna_attention,a1,False,3484,0.00038741456702341443,spatial_graph_degree,2,-0.060085610225801424
1.3043596566884903e-06,cross_omics_rna_attention,a1,False,3484,6.666727134185618e-07,feature_graph_degree,2,0.08409602571312125
3.142757669325677e-06,cross_omics_rna_attention,a1,False,3484,1.6362223212480768e-06,local_modality_neighborhood_consistency,2,-0.08111172716211319
0.1419436525212339,cross_omics_modality2_attention,a1,False,3484,0.11955603744539409,rna_log_library_size,2,-0.026377240149628257
6.543847572930961e-52,cross_omics_modality2_attention,a1,False,3484,5.816753398160854e-53,rna_feature_l2_norm,2,0.25529150619118995
0.015443221645970343,cross_omics_modality2_attention,a1,False,3484,0.011472107508435112,modality2_row_sum,2,-0.04282437758200665
0.0,cross_omics_modality2_attention,a1,False,3484,0.0,modality2_l2_norm,2,-0.6157348990401098
0.000604171605256507,cross_omics_modality2_attention,a1,False,3484,0.0003874370294025855,spatial_graph_degree,2,0.06008535215031939
1.3043596566884903e-06,cross_omics_modality2_attention,a1,False,3484,6.666368827441529e-07,feature_graph_degree,2,-0.08409620136477466
3.142757669325677e-06,cross_omics_modality2_attention,a1,False,3484,1.6362293897441617e-06,local_modality_neighborhood_consistency,2,0.08111171255437297
5.1564219589658704e-26,rna_spatial_attention,a1,False,3484,9.821756112315943e-27,rna_log_library_size,2,0.17991671273753435
6.907269761580202e-05,rna_spatial_attention,a1,False,3484,4.0141154983166086e-05,rna_feature_l2_norm,2,0.06951530091510681
0.008709037199203325,rna_spatial_attention,a1,False,3484,0.006317507936564952,modality2_row_sum,2,0.046257153910173716
0.08412435125374879,rna_spatial_attention,a1,False,3484,0.06903538031458432,modality2_l2_norm,2,-0.030807221597821666
0.002629869225531641,rna_spatial_attention,a1,False,3484,0.001790815710719165,spatial_graph_degree,2,0.05288957980546068
3.593331159568574e-08,rna_spatial_attention,a1,False,3484,1.6141471716792165e-08,feature_graph_degree,2,0.0955193623570069
4.5306363648501275e-05,rna_spatial_attention,a1,False,3484,2.5961265519220574e-05,local_modality_neighborhood_consistency,2,-0.07119722471527724
5.1564219589658704e-26,rna_feature_attention,a1,False,3484,9.821756112315943e-27,rna_log_library_size,2,-0.17991671273753435
6.907269761580202e-05,rna_feature_attention,a1,False,3484,4.0141154983166086e-05,rna_feature_l2_norm,2,-0.06951530091510681
0.008709037199203325,rna_feature_attention,a1,False,3484,0.006317507936564952,modality2_row_sum,2,-0.046257153910173716
0.08412435125374879,rna_feature_attention,a1,False,3484,0.06903538031458432,modality2_l2_norm,2,0.030807221597821666
0.002629869225531641,rna_feature_attention,a1,False,3484,0.001790815710719165,spatial_graph_degree,2,-0.05288957980546068
3.593331159568574e-08,rna_feature_attention,a1,False,3484,1.6141471716792165e-08,feature_graph_degree,2,-0.0955193623570069
4.5306363648501275e-05,rna_feature_attention,a1,False,3484,2.5961265519220574e-05,local_modality_neighborhood_consistency,2,0.07119722471527724
7.183496978677108e-48,modality2_spatial_attention,a1,False,3484,7.525568263376018e-49,rna_log_library_size,2,-0.24514857569652118
1.8992093254097695e-13,modality2_spatial_attention,a1,False,3484,6.210113032292262e-14,rna_feature_l2_norm,2,-0.12665763862019747
0.0002392189358252072,modality2_spatial_attention,a1,False,3484,0.00014542992447786406,modality2_row_sum,2,0.06431424766013874
1.823020940277983e-101,modality2_spatial_attention,a1,False,3484,1.0417262515874189e-102,modality2_l2_norm,2,0.3528991855171839
6.608287705743383e-13,modality2_spatial_attention,a1,False,3484,2.2656986419691598e-13,spatial_graph_degree,2,-0.12378581866868392
0.23616425671669192,modality2_spatial_attention,a1,False,3484,0.2076746003508688,feature_graph_degree,2,0.021351718221378796
