corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share,dataset,diagnostic_grad_fields_unchanged,diagnostic_optimizer_state_unchanged,diagnostic_parameter_state_unchanged,diagnostic_rng_state_unchanged,fraction_of_training,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,seed,step,variant
0.003097558043593,0.0001312298474581,0.2500000021608942,0.0001513651296791,0.0001312298466018,0.2500000005294856,placenta,True,True,True,True,0.0,0.0010453652407806,0.0001312298473076,0.250000001874186,4.425779178178345e-05,0.0001312298439278,0.2499999954354341,2,0,FULL_IGE
0.0027522659204331,0.0001166013459053,0.2596832899811394,0.0001454511254878,0.0001261025503449,0.2808434576320067,placenta,True,True,True,True,0.005,0.0008190883097532,0.0001028241896967,0.2290001342847449,3.490092722425161e-05,0.0001034855795598,0.230473118102109,2,1,FULL_IGE
0.0017316195368611,7.336106845451284e-05,0.2326873937995079,0.0001236529909768,0.0001072041035616,0.3400310817153607,placenta,True,True,True,True,0.025,0.0005253326095228,6.594758984136053e-05,0.2091732458485085,2.319113861457247e-05,6.876460343762331e-05,0.2181082786366228,2,5,FULL_IGE
0.001215501776152,5.149543944769242e-05,0.2101357957487733,0.0001013062315582,8.783001246967619e-05,0.3584051278887987,placenta,True,True,True,True,0.05,0.0003969783923948,4.983465279515025e-05,0.2033586766767944,1.885176011845957e-05,5.589780778734624e-05,0.2281003996856335,2,10,FULL_IGE
0.001057689413237,4.480962693961548e-05,0.2159884177802269,7.129742797882457e-05,6.181311743728692e-05,0.297947524788242,placenta,True,True,True,True,0.1,0.0003424670017382,4.299156944654181e-05,0.207225136579702,1.9509735761778037e-05,5.7848787208252224e-05,0.2788389208518291,2,20,FULL_IGE
0.0014972900411238,6.343356312683889e-05,0.2565348311453719,4.4407252001309865e-05,3.849999587417677e-05,0.155699750318781,placenta,True,True,True,True,0.2,0.0004218618259878,5.295839276996076e-05,0.2141716731221115,3.115512460552719e-05,9.237881003404596e-05,0.3735937454137354,2,40,FULL_IGE
0.002951002246173,0.0001250209258919,0.3496094913140625,2.5229044705309135e-05,2.1872961583733496e-05,0.0611657202045638,placenta,True,True,True,True,0.4,0.000692789427818,8.696926900021333e-05,0.243201541487575,4.173129889978523e-05,0.0001237384790575,0.3460232469937985,2,80,FULL_IGE
0.0030188322265872,0.0001278945824489,0.3718905732828901,2.0490723390246412e-05,1.776495348012335e-05,0.051656752049699,placenta,True,True,True,True,0.5,0.0006907278975302,8.671047494974302e-05,0.2521358420444012,3.7615219223345584e-05,0.0001115337921134,0.3243168326230096,2,100,FULL_IGE
0.0026176414255557,0.0001108979009082,0.4020679469617993,1.1790183225983672e-05,1.0221799032796948e-05,0.037059833574073,placenta,True,True,True,True,1.0,0.0006031439680745,7.571563291683923e-05,0.2745122209750464,2.663749332458101e-05,7.898347275998631e-05,0.2863599984890813,2,200,FULL_IGE
0.00289148586336,0.0001386294143004,0.2500000019130339,0.0001417820123857,0.0001386294131488,0.2499999998362117,placenta,True,True,True,True,0.0,0.001099752836548,0.0001386294140554,0.2500000014711989,4.8672016180383575e-05,0.0001386294114538,0.2499999967795554,3,0,FULL_IGE
0.0025972289682284,0.0001245215600851,0.2569072578854726,0.0001368324208792,0.0001337898784693,0.2760292337077118,placenta,True,True,True,True,0.005,0.0008855094292471,0.0001116229476638,0.2302954233933157,4.029167278664176e-05,0.0001147602117858,0.2367680850134998,3,1,FULL_IGE
0.0017606934607653,8.441469706683376e-05,0.2559947900668775,0.0001183323089776,0.0001157011264975,0.3508735636969391,placenta,True,True,True,True,0.025,0.0004859872473077,6.12611535007921e-05,0.1857796885449186,2.4005957720160008e-05,6.837464422674506e-05,0.2073519576912647,3,5,FULL_IGE
0.0013597526670603,6.519198942547327e-05,0.2443314298377728,9.874688571201272e-05,9.655119564313852e-05,0.3618618160288382,placenta,True,True,True,True,0.05,0.0003662591013942,4.616881442028776e-05,0.1730349470945264,2.068152062959718e-05,5.8905861269981873e-05,0.2207718070388626,3,10,FULL_IGE
0.0010809211011228,5.182368727874507e-05,0.2354222361074427,7.075054041727546e-05,6.917736413083794e-05,0.3142557121438202,placenta,True,True,True,True,0.1,0.0003296742584263,4.155710970318406e-05,0.1887837050239858,2.0213436799667485e-05,5.757264783551608e-05,0.2615383467247513,3,20,FULL_IGE
0.001441914588248,6.913116103145953e-05,0.2778619019764427,4.337829382067931e-05,4.2413754146744194e-05,0.1704754588428292,placenta,True,True,True,True,0.2,0.0003675541343452,4.6332059881640055e-05,0.1862244766197462,3.192145675873467e-05,9.091985725047598e-05,0.3654381625609819,3,40,FULL_IGE
0.0026863278598201,0.0001287933178387,0.3470808401274194,2.4319395096466915e-05,2.3778640277625632e-05,0.0640802689389593,placenta,True,True,True,True,0.4,0.0007150681500099,9.013796132298096e-05,0.2429098020638754,4.506856512996066e-05,0.0001283659307615,0.3459290888697457,3,80,FULL_IGE
0.0027766856043199,0.0001331254300431,0.3713519572092125,1.976287321290731e-05,1.932343510675221e-05,0.0539025146778741,placenta,True,True,True,True,0.5,0.0007116676278909,8.970930829007456e-05,0.2502431519102929,4.084295398648026e-05,0.0001163303910033,0.3245023762026203,3,100,FULL_IGE
