stage,dataset,graph_id,seed,head_id,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement,training_runtime_seconds,head_runtime_seconds,effective_runtime_seconds,peak_gpu_allocated_mib,process_peak_rss_mib,checkpoint_file_sha256,cluster_file_sha256
R2,a1,G00_SP18_F20_CORR_UNION,4,H05_EQUAL3_AFFINITY_SPECTRAL,0.25820197494119207,0.3887325550235621,0.3234672649823771,0.659115862467495,0.5961551944750033,0.41624218146097214,0.340884137532505,23.354390224441886,3.5893533043563366,26.943743528798223,768.7939453125,1196.234375,81fe061452536d28f15ac34746aec17814a39f6190b7603f0b49fe13a342d0ea,9dcc790e11c2ab306412ec3d03b7d8fe2d6293ce7f4b5d3db796b46b323b285f
R2,a1,G00_SP18_F20_CORR_UNION,4,H07_EQUAL3_AFFINITY_SPATIAL05,0.2582355674953367,0.39040764095529135,0.32432160422531403,0.6637099104305114,0.6008186408064062,0.4117863094455701,0.3362900895694886,23.354390224441886,4.314519573003054,27.66890979744494,768.7939453125,1196.234375,81fe061452536d28f15ac34746aec17814a39f6190b7603f0b49fe13a342d0ea,46736a6b6c76577656be81898d71916a503df2ef187ca5f32744f1e3064e6eca
R2,a1,G00_SP18_F20_CORR_UNION,4,H08_EQUAL3_AFFINITY_SPATIAL10,0.25414349751761894,0.38838445876213246,0.3212639781398757,0.6677260907252239,0.6039305073554526,0.40857956881427826,0.33227390927477607,23.354390224441886,4.671134063974023,28.02552428841591,768.7939453125,1196.234375,81fe061452536d28f15ac34746aec17814a39f6190b7603f0b49fe13a342d0ea,6c69602e5afaff9f3392efa4249a442ec35e36019e1f35a0d330304e32d0c089
R1,a1,G01_SP3_F20_CORR_UNION,0,H00_FUSED_PCA20_MCLUST_EEE,0.2631122071615231,0.3834475351312097,0.3232798711463664,0.48904940768564,0.3860622209536465,0.6194558781624715,0.51095059231436,18.847932869568467,5.26222512871027,24.110157998278737,764.8974609375,1212.84375,37d5981014a3ebafbac8f8af3344568f851ce83e2ba1a3f87a93a7ed0387acde,9aabae7024375e6e72db8aaec272e310950ce3ac5ede95f13eb63617b40f5f26
R1,a1,G01_SP3_F20_CORR_UNION,0,H01_FUSED_DIRECT_MCLUST_EEE,0.2424197483951232,0.3773505430672842,0.3098851457312037,0.4505056342097659,0.380070513574874,0.625001328158609,0.549494365790234,18.847932869568467,21.92569064721465,40.77362351678312,764.8974609375,1212.84375,37d5981014a3ebafbac8f8af3344568f851ce83e2ba1a3f87a93a7ed0387acde,afc69dd4e618c3ac4529b2646912fe9c2eedd89096778406c701dc5abeb10df4
R1,a1,G01_SP3_F20_CORR_UNION,0,H02_FUSED_PCA20_MCLUST_BIC,0.2254532382695128,0.3731130514667937,0.2992831448681533,0.4853799479919098,0.4040401738354382,0.6068425948944166,0.5146200520080901,18.847932869568467,16.969093035906553,35.81702590547502,764.8974609375,1212.84375,37d5981014a3ebafbac8f8af3344568f851ce83e2ba1a3f87a93a7ed0387acde,5cdbc2e190bfc22afc23a9a10a77b7fd3f4c8a4b3ddf29ecab51934c94598f95
R1,a1,G01_SP3_F20_CORR_UNION,0,H03_CONCAT_PRIVATE_PCA20_MCLUST_EEE,0.1971802357531923,0.3491520657672653,0.2731661507602289,0.4537416931522681,0.4008193781828147,0.603721585411286,0.5462583068477318,18.847932869568467,8.86197248287499,27.709905352443457,764.8974609375,1212.84375,37d5981014a3ebafbac8f8af3344568f851ce83e2ba1a3f87a93a7ed0387acde,a7e6e6bc4445322ce777bb262fe9ad00b9a7f4a73c4e5145de04a6dec2f39a00
R1,a1,G01_SP3_F20_CORR_UNION,0,H04_RELIABILITY_CONCAT3_PCA20_MCLUST_EEE,0.2034388068847858,0.3583257456648833,0.2808822762748346,0.4786766830395839,0.4240098072605661,0.5805139895843329,0.5213233169604161,18.847932869568467,7.454498251900077,26.302431121468544,764.8974609375,1212.84375,37d5981014a3ebafbac8f8af3344568f851ce83e2ba1a3f87a93a7ed0387acde,32dcdec7eabf9ffb21aa13ec548f0ad2efbf71d3504798ff3b1d27c6a08ab17d
R1,a1,G01_SP3_F20_CORR_UNION,0,H05_EQUAL3_AFFINITY_SPECTRAL,0.2738469491350427,0.3925736549798705,0.3332103020574566,0.5446980641433112,0.4609353707597812,0.5486938728804647,0.4553019358566887,18.847932869568467,4.836549311876297,23.684482181444764,764.8974609375,1212.84375,37d5981014a3ebafbac8f8af3344568f851ce83e2ba1a3f87a93a7ed0387acde,25c4f060f69bcb1f3f49bcd40c98f2ad6a0cf1fcc6ff201f75d4e427dbb98124
R1,a1,G01_SP3_F20_CORR_UNION,0,H06_AGREEMENT3_AFFINITY_SPECTRAL,0.2614819878246821,0.3840939362263334,0.3227879620255077,0.53941057497833,0.4499670768638606,0.556271458142359,0.46058942502167,18.847932869568467,2.160014010965824,21.00794688053429,764.8974609375,1212.84375,37d5981014a3ebafbac8f8af3344568f851ce83e2ba1a3f87a93a7ed0387acde,1f224a1b992ddaf427c51c17af7fc20f4339988f7ba033e970509e064d789ae6
