family,lane,variant,partition_sha256,changed_observations,producer_label_reads,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,neighbor_agreement,evaluated_observations,min_cluster_size,cluster_sizes
RNA_PROTEIN,tonsil_s3,BOUNDARY_STATE_DISABLED,46f91009e7c882af3498c40bc124956056fd2c33846082c151f7d008dcf37541,10,0,0.35027208170755425,0.31000526206056045,0.3093636516349094,0.6140867055943483,0.31580161505388615,0.3100052620605605,0.3267788853028087,0.34503461204804853,0.7945040972025996,4460,296,"[2466,577,1182,296]"
RNA_PROTEIN,tonsil_s3,CONFLICT_STATE_DISABLED,ec84b26e33adda6659e18ee2c8ecd1816feb3e1c16b072fb76caa5b93fa031d6,5,0,0.35138416161162156,0.31062520078052247,0.3099838136537856,0.614943602438816,0.3162627009416119,0.31062520078052247,0.32551713173154084,0.34778856878560344,0.7937270415371573,4460,295,"[2469,575,1182,295]"
RNA_PROTEIN,tonsil_s3,TRUST_GATE_DISABLED,ce4f0a38251311fb40664663bc0b1b5576eac6c75b92ab92eb872be5069a60fd,3,0,0.35128336225091983,0.31024922882536426,0.309607242029315,0.615016726276322,0.3157600416355239,0.31024922882536426,0.32538063077922214,0.3480947044111666,0.7935857586888951,4460,294,"[2471,574,1182,294]"
RNA_PROTEIN,tonsil_s3,GENERIC_REPAIR_ONLY,0003aaac74f65273cf1b21b9f52070eb6f8ad11328b2b0f96d815c3e9ce83f43,0,0,0.350644182009914,0.3097714630576775,0.30912902465600894,0.6146168233278212,0.3152708757168304,0.30977146305767744,0.32517089619736017,0.3484934881972105,0.7930912687199774,4460,294,"[2470,573,1184,294]"
RNA_PROTEIN,tonsil_s3,DIRECTIONAL_EDGE_ONLY,64e1adece7a8e4becdfc93d9f6a119d6fc29d3cb1501561fc76d595ef6fb85b4,242,0,0.30724152158646806,0.2696070826998896,0.2689298321573333,0.588354684183279,0.27540657446615846,0.2696070826998896,0.323024629513113,0.3526930861216977,0.7943628143543374,4460,293,"[2492,649,1087,293]"
RNA_CHROMATIN,P22,STRONG_START_ONLY,331a1acf7adb1e499510522f2e852081032b0d97beed69a6dfbca8865f0a8e26,0,0,0.5955516462857395,0.7179305602206435,0.7174432596967804,0.6554770871185194,0.7298653625776463,0.7179305602206435,0.47635808360377363,0.04343591366488481,0.9588310116960879,9196,167,"[1154,623,1481,803,1015,1524,610,1819,167]"
RNA_CHROMATIN,P22,CMBF_TPR_FULL,ce444fc82e04a3c0aa7c9b8b5a74a1e7f5ac0bd4a55d3a2d92bd39008b547e3d,10,0,0.5959576919633218,0.7180057752361862,0.717518466586666,0.6558322730162267,0.7298003565931807,0.7180057752361862,0.4759391120780742,0.044328459510758804,0.9583966742158657,9196,163,"[1153,624,1481,803,1018,1524,610,1820,163]"
RNA_CHROMATIN,P22,BOUNDARY_STATE_DISABLED,2e0852277b7e894a1b271ce501f94d1973dd1dc21eb89f35014facecce794d5b,13,0,0.5959796018037106,0.7180656832047944,0.7175784595237988,0.655854302985391,0.7298343981039456,0.7180656832047944,0.4757539489066388,0.044710984252443006,0.9582105295814848,9196,163,"[1152,624,1481,803,1018,1525,609,1821,163]"
RNA_CHROMATIN,P22,CONFLICT_STATE_DISABLED,925223c5345070076befbc61bdbc62ceb7cb4ce8db340fad19ada37ae3144f0d,16,0,0.596222301456935,0.7183171848136233,0.7178303474703491,0.656066768849146,0.7300348034989484,0.7183171848136233,0.47555029949128136,0.04513016945530736,0.9581484813700245,9196,162,"[1151,623,1482,803,1018,1524,610,1823,162]"
RNA_CHROMATIN,P22,TRUST_GATE_DISABLED,ee916782115593918657e74ebc4e0ff7342dc27469828c3db5fad825c0dd9246,22,0,0.5950092897191985,0.7161896053926614,0.7156986701770526,0.6550541653792847,0.7274452799826036,0.7161896053926615,0.4758884119181624,0.04436239842075991,0.9582105295814848,9196,151,"[1153,624,1481,805,1019,1524,611,1828,151]"
RNA_CHROMATIN,P22,GENERIC_REPAIR_ONLY,331a1acf7adb1e499510522f2e852081032b0d97beed69a6dfbca8865f0a8e26,0,0,0.5955516462857395,0.7179305602206435,0.7174432596967804,0.6554770871185194,0.7298653625776463,0.7179305602206435,0.47635808360377363,0.04343591366488481,0.9588310116960879,9196,167,"[1154,623,1481,803,1015,1524,610,1819,167]"
RNA_CHROMATIN,P22,DIRECTIONAL_EDGE_ONLY,7a879663b938c65dbd0fdb574892ccc3d592b8447133e14d7224c3b41ec44f47,174,0,0.5869676663414604,0.7067504736160789,0.7062426819839752,0.6482414979100505,0.7172546173251981,0.706750473616079,0.4718445774667924,0.05245548889327144,0.9480346229019948,9196,144,"[1135,621,1488,802,1014,1535,611,1846,144]"
RNA_CHROMATIN,MISAR_E15_5_S1,STRONG_START_ONLY,0c47bba6e9d2070df15578c8d6ab5effb1db01f01cb4d9c75edc8e5fa0873416,0,0,0.5414237853091904,0.6667977615565593,0.6650415476824866,0.6330318218564436,0.7049785660682982,0.6667977615565593,0.4805389153414107,0.046978386304957064,0.9372164495829065,1949,125,"[295,438,178,267,355,291,125]"
