stage,family,lane,candidate_or_variant,status,failure,partition_sha256,absolute_ari,absolute_nmi,wall_seconds,notes
stage0_superseded,RNA_PROTEIN,A1,CMBF_6d28a9e9fb017139,SUPERSEDED,,6cdda484dfd5d547e085fa6af23619ffb984194d69dc39cd2616148f2faca431,0.25064608149485657,0.3934890947601756,0.08282630000030622,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_7ed38195448cac9e,SUPERSEDED,,6a25f798c92193cfc34f07fec74ae63daa4564be2092be46de7b78db5d384809,0.257011892758438,0.3982013005721889,0.08112690001144074,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_ab7054c57f80c6fe,SUPERSEDED,,f25ff6d1eb57de9dfdee9130ce1c8f03b6009e31f8480c64577d114ce5a5a519,0.23166071921612913,0.37821706799414423,0.12200630002189428,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_44b0138b90d0a8a0,SUPERSEDED,,6e5bb3ab178b5c7110a8ceb3c320a27a977577b379c92c81e08061d18039fb91,0.2653233041999642,0.4061052689969773,0.06344210001407191,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_402dd71831b50491,SUPERSEDED,,4b8b40be61345488278aef5d50d57e7b477be04014c0f4685fdd0dd7f163d99a,0.2563124083254035,0.39534757979285196,0.042891800025245175,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_468e9337c117e281,SUPERSEDED,,dac0131e24cc65a91189e3eebfa0e17fe5bbeccdcb0b4a6f848aa88cb8ac6a17,0.261345385912015,0.40133959573451516,0.04210330001660623,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_9616cb92b706249e,SUPERSEDED,,8ead8b81897ff855625ee3982a7cf3af0363908e44beac486f0584f628bf715a,0.2547702361820205,0.40084973121504025,0.09569200000260025,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_5c176e1faab66fbd,SUPERSEDED,,5f5c0acb6ed41371ebd1a4988ba7f862ca09dba38963e8a1d62b558ad646e6a9,0.2567158220179608,0.4074994483065344,0.18534189998172224,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_55b524e6f44a0c67,SUPERSEDED,,ff80a4c25e88395f3a8f281ae5a5cbbe414989e7280caa2ad89b1931b5187d6c,0.25158127012761367,0.38933361645305387,0.04515980000724085,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_94b6087160965589,SUPERSEDED,,576ea68925bdb50b7bed56107b1f3e79240574c6d2eedf79b95d79ca1b04dd36,0.23897844015096212,0.37804275072253185,0.08106830000178888,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_558cc321f4ba02b8,SUPERSEDED,,c8df9dd4b77b6b8da893b0f068f3b1bfad873c4875a056ad7207be7fb6439d7d,0.25424216012968515,0.389661102266583,0.0663899999926798,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_2a3e5c59c7e6860d,SUPERSEDED,,0d9787cd7c23b820011711d2b03b0edb3d609855de60a67184bb8aff6a8d1bdd,0.22797954999769862,0.36825367230597583,0.06732219998957589,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,A1,CMBF_d9a4af35695081ab,SUPERSEDED,,988593623b42e01bbc0bfc89f2ceada78935821bf5394acd63d45a71a8e18540,0.22206349985678714,0.3586153767305665,0.12928750002174638,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,D1,CMBF_aee14a9246feae9c,SUPERSEDED,,62787ef341fd01198c121b8a43c1359d8191674253ead3ce355323fe2ab39426,0.36517354375792177,0.44457744301444424,0.03698330000042915,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,D1,CMBF_829e747294553ae8,SUPERSEDED,,1cb591127950e176e459ba35665bf87a619b463a4c9aeacf8ffe3e0fd2a6b392,0.33126615924663094,0.4245271718745699,0.09240669998689555,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
stage0_superseded,RNA_PROTEIN,D1,CMBF_d8bce54e951b68d1,SUPERSEDED,,a41662c6ee35416cc846f8127d6efa93b28e069323431ee78b456627c12aceeb,0.3333842181751826,0.4225232781629366,0.06554720000713132,"v0 trust gate used averaged evidence; retained, then superseded by explicit conjunctive TPR"
