ami_delta,ari_delta,contrast,cpu_peak_rss_mib_delta,dataset,embedding_davies_bouldin_delta,embedding_silhouette_delta,fmi_delta,gpu_peak_allocated_mib_delta,gpu_peak_reserved_mib_delta,homogeneity_delta,hungarian_balanced_accuracy_delta,hungarian_macro_f1_delta,hungarian_weighted_f1_delta,nmi_delta,runtime_seconds_delta,seed,spatial_cluster_moran_mean_delta,spatial_neighbor_agreement_delta,v_measure_delta
-0.25481842826643103,-0.2883967206784389,ILN-C0,0.0,placenta,0.5239667879905134,-0.0058925580233335495,-0.24464765759298923,0.0,0.0,-0.2650049385913942,-0.16898538278770192,-0.1640160199827323,-0.2443855228690533,-0.25152920577543875,-0.23349195532500744,2,-0.040919643557459195,-0.000601684717208173,-0.25152920577543864
-0.12269923953890932,-0.1868376442309228,ILN-C0,16.71875,placenta,0.5033300125904199,-0.021813511848449707,-0.16112821937944066,0.0,0.0,-0.12231172779580923,-0.06601190530924594,-0.09461305199601655,-0.11388018053704674,-0.12120544676888217,1.0685175769031048,3,-0.010780994256606002,-0.03971119133574008,-0.12120544676888212
-0.30063925488424775,-0.3147051747868201,ILN-C0,-16.71875,placenta,0.8672142102161295,-0.004254031926393509,-0.27711892191116444,0.0,0.0,-0.30047163311506075,-0.20154000332780353,-0.21403256011481475,-0.25288818914360733,-0.29709503015119976,1.7397041730582714,4,0.01969023554541105,0.043321299638989175,-0.29709503015119976
-0.008486114020106128,-0.07055335095091392,IGE-C0,0.0,p22,1.0503378792405549,-0.06841984391212463,-0.06838609940018281,394.021484375,362.0,0.005015041361078665,-0.0010198461801955716,-0.0024841777820464594,-0.029198936625113414,-0.008491892269185009,0.2713946998119354,0,0.04462127995982035,0.017772672901261388,-0.008491892269184897
0.0021493502459380975,-0.026295664648012584,IGE-C0,15.09765625,p22,0.7665701720940366,-0.07796155661344528,-0.02651265714706602,394.021484375,362.0,0.01158507882393589,-0.06513617805159566,-0.05361156563142028,-0.045923024810803126,0.0021314837184690516,-3.342263799160719,1,0.0018153133330279791,-0.009161591996520224,0.0021314837184689406
0.016098039500284433,0.037231051435229756,IGE-C0,0.0,p22,0.6406395859778535,-0.04984503239393234,0.029825263687651482,394.021484375,362.0,0.018589742845495527,0.06394255563216145,0.06582020830391178,0.03252223939182153,0.01606698963133979,-5.487710269168019,2,0.00021765238833715284,0.0012233579817312323,0.01606698963133979
0.000692318680615589,-0.035356654259549425,IGE-C0,16.71875,p22,1.036101863755169,-0.0871945358812809,-0.034812416527309376,394.021484375,362.0,0.010642384852119546,-0.06405231661886979,-0.04220003583898957,-0.03756652406780403,0.0006767558224298753,-0.48219843581318855,3,0.0012868445720872757,-0.015190028273162293,0.0006767558224299863
0.007410459699010108,0.002852714415476243,IGE-C0,-1.18359375,p22,1.1105145839686905,-0.08391769975423813,-0.00828659056107145,394.021484375,362.0,0.02953985315849872,-0.09130777569016868,-0.07257614743029672,-0.0345300644934442,0.007365614900258888,5.754625992849469,4,-0.012151865598971967,-0.029747988255763413,0.007365614900258888
0.0021801570414490268,0.0027737059879869297,C1-C0,0.0,p22,0.05161923813446778,-0.0020138919353485107,0.0017136320240663805,0.0,0.0,0.003029000309736185,0.003766789907698187,0.0020428116833099974,0.0011560448550608227,0.00217500101960566,0.5160403102636337,0,-0.0017242920990608868,-0.0014340474119182156,0.002175001019605549
-0.0037130792234102428,-0.0031120134421295798,C1-C0,-1.62109375,p22,0.041327899310170224,-0.0024001598358154297,-0.003390748292191381,0.0,0.0,-0.002524051979827413,0.0014127156083408865,-0.0004180804392133197,0.0009185995609142239,-0.0037084270994146573,-0.7547752130776644,1,0.0013191400815399934,0.001542790343627698,-0.0037084270994148794
0.020551773597162315,0.034195809295473056,C1-C0,-16.71875,p22,-0.04509337753872256,-0.0028483569622039795,0.029740873649588218,0.0,0.0,0.01951972614742481,0.007710101930617164,0.01511330509318276,0.027317642014062837,0.020517192002081575,-3.094840381294489,2,0.0028703330838806274,0.003500163114397603,0.020517192002081575
0.0020982117383339105,0.001997377851189197,C1-C0,-6.59765625,p22,0.04153878459080396,-0.002572193741798401,0.0015094465251366262,0.0,0.0,0.0023943670338290035,0.0015499228060351644,0.0016606486884916949,0.0024112352944385407,0.0020941266807160686,-0.0052287522703409195,3,0.0008283217637414797,0.0008563505872117849,0.0020941266807161796
0.0021486064551629047,0.002346628606510026,C1-C0,16.71875,p22,0.03088044094370801,-0.0027429014444351196,0.0016591700799223341,0.0,0.0,0.002557340439832023,0.001187952081534327,0.0034487095533565215,0.004416269258798344,0.0021441768527737937,-0.21996090188622475,4,0.0005369177460372576,-0.000326228795128336,0.0021441768527739047
0.04149037732874794,0.03833992580225931,ILN-C0,16.71875,p22,-0.9254480514430299,0.06072776019573212,0.038463071620147504,0.0,0.0,0.029772171433797512,0.025863253751099546,0.02312663238669066,0.026874408557415408,0.04143524903222462,0.8666844367980957,0,0.04987843631296529,0.04873722270552405,0.04143524903222462
0.0055295185722413764,0.01964178229332436,ILN-C0,15.09765625,p22,-0.8042725972194724,0.07465563714504242,0.019992292985833382,0.0,0.0,-0.0019342917982343444,-0.0003453471043506351,-0.007891039807526923,0.016829685144054918,0.005533597841478555,-0.36730195581912994,1,0.0028787426869942845,0.010493692909960939,0.005533597841478444
0.04544449418249619,0.07110765498889093,ILN-C0,-61.09765625,p22,-0.8361225106836736,0.08018255233764648,0.06450882276435665,0.0,0.0,0.03876938638279892,0.07694892859934843,0.08152777940093281,0.06025062391112701,0.045373443182849416,-4.715504823252559,2,0.006844771945884287,0.014877392344497697,0.045373443182849305
0.046992997746101994,0.0664722973166389,ILN-C0,16.71875,p22,-0.9792190220123216,0.07269933819770813,0.06099405971352745,0.0,0.0,0.038174632821299626,0.07080363474206164,0.056718928126428425,0.039634867483213765,0.04692194640052383,-0.5816086307168007,3,0.010608296344835066,0.020905828621139544,0.04692194640052394
0.049116335478670003,0.0893864533397698,ILN-C0,16.71875,p22,-0.6915101783426738,0.07854951918125153,0.0760355866254413,0.0,0.0,0.04877909076233866,0.041295771896745714,0.05399325864066229,0.06336120441218729,0.04902876865417105,-0.39199323393404484,4,-0.0009164499507551271,0.0003534145280555956,0.04902876865417127
