dataset,has_gradient,l2_norm,loss,loss_non_none_numel,loss_rms_gradient,loss_sq_sum,numel,parameter,rms,seed
placenta,True,0.2521739602088928,L_corr1_raw,416384,0.0034898452132337897,5.071148902260745,7936,encoder2.weight,0.002830736187129111,1
placenta,True,0.35643693804740906,L_corr1_raw,416384,0.0034898452132337897,5.071148902260745,7936,decoder2.weight,0.004001122629578745,1
placenta,True,0.17960728704929352,L_corr1_raw,416384,0.0034898452132337897,5.071148902260745,16384,attention1.w_omega,0.001403181978394207,1
placenta,True,0.14017677307128906,L_corr1_raw,416384,0.0034898452132337897,5.071148902260745,128,attention1.u_omega,0.012389993664339119,1
placenta,False,0.0,L_corr1_raw,416384,0.0034898452132337897,5.071148902260745,16384,attention2.w_omega,0.0,1
placenta,False,0.0,L_corr1_raw,416384,0.0034898452132337897,5.071148902260745,128,attention2.u_omega,0.0,1
placenta,False,0.0,L_corr1_raw,416384,0.0034898452132337897,5.071148902260745,16384,cross_attention.w_omega,0.0,1
placenta,False,0.0,L_corr1_raw,416384,0.0034898452132337897,5.071148902260745,128,cross_attention.u_omega,0.0,1
placenta,True,0.07671252638101578,L_corr2_raw,792448,0.00014232630209018706,0.016052441838967875,384000,encoder1.weight,0.00012379431490454739,1
placenta,True,0.07612419128417969,L_corr2_raw,792448,0.00014232630209018706,0.016052441838967875,384000,decoder1.weight,0.00012284488229266234,1
placenta,True,0.06345362216234207,L_corr2_raw,792448,0.00014232630209018706,0.016052441838967875,7936,encoder2.weight,0.0007122879285513767,1
placenta,False,0.0,L_corr2_raw,792448,0.00014232630209018706,0.016052441838967875,7936,decoder2.weight,0.0,1
placenta,False,0.0,L_corr2_raw,792448,0.00014232630209018706,0.016052441838967875,16384,attention1.w_omega,0.0,1
placenta,False,0.0,L_corr2_raw,792448,0.00014232630209018706,0.016052441838967875,128,attention1.u_omega,0.0,1
placenta,True,0.01502139214426279,L_corr2_raw,792448,0.00014232630209018706,0.016052441838967875,16384,attention2.w_omega,0.0001173546274160855,1
placenta,True,0.010987851768732071,L_corr2_raw,792448,0.00014232630209018706,0.016052441838967875,128,attention2.u_omega,0.0009711980584509891,1
placenta,False,0.0,L_corr2_raw,792448,0.00014232630209018706,0.016052441838967875,16384,cross_attention.w_omega,0.0,1
placenta,False,0.0,L_corr2_raw,792448,0.00014232630209018706,0.016052441838967875,128,cross_attention.u_omega,0.0,1
placenta,True,0.035056501626968384,L_rna_recon_raw,825472,4.4257792219977566e-05,0.0016168950730793053,384000,encoder1.weight,5.657218654706338e-05,2
placenta,True,0.015816837549209595,L_rna_recon_raw,825472,4.4257792219977566e-05,0.0016168950730793053,384000,decoder1.weight,2.5524311759554016e-05,2
placenta,True,0.00315036135725677,L_rna_recon_raw,825472,4.4257792219977566e-05,0.0016168950730793053,7936,encoder2.weight,3.5363850838002694e-05,2
placenta,False,0.0,L_rna_recon_raw,825472,4.4257792219977566e-05,0.0016168950730793053,7936,decoder2.weight,0.0,2
placenta,True,0.002127614337950945,L_rna_recon_raw,825472,4.4257792219977566e-05,0.0016168950730793053,16384,attention1.w_omega,1.662198779475703e-05,2
placenta,True,0.0013472249265760183,L_rna_recon_raw,825472,4.4257792219977566e-05,0.0016168950730793053,128,attention1.u_omega,0.00011907898411399966,2
placenta,True,0.0003276752249803394,L_rna_recon_raw,825472,4.4257792219977566e-05,0.0016168950730793053,16384,attention2.w_omega,2.5599625095521667e-06,2
placenta,True,0.00019942397193517536,L_rna_recon_raw,825472,4.4257792219977566e-05,0.0016168950730793053,128,attention2.u_omega,1.7626755027030545e-05,2
placenta,True,0.008847998455166817,L_rna_recon_raw,825472,4.4257792219977566e-05,0.0016168950730793053,16384,cross_attention.w_omega,6.912498797644956e-05,2
placenta,True,0.006562289781868458,L_rna_recon_raw,825472,4.4257792219977566e-05,0.0016168950730793053,128,cross_attention.u_omega,0.0005800299833650002,2
placenta,True,0.6556105017662048,L_mod2_recon_raw,449408,0.0010453652422488249,0.4911078895799713,384000,encoder1.weight,0.0010579869351581457,2
placenta,False,0.0,L_mod2_recon_raw,449408,0.0010453652422488249,0.4911078895799713,384000,decoder1.weight,0.0,2
placenta,True,0.08291564881801605,L_mod2_recon_raw,449408,0.0010453652422488249,0.4911078895799713,7936,encoder2.weight,0.0009307556521322232,2
placenta,True,0.13334639370441437,L_mod2_recon_raw,449408,0.0010453652422488249,0.4911078895799713,7936,decoder2.weight,0.0014968574872211778,2
placenta,True,0.036301031708717346,L_mod2_recon_raw,449408,0.0010453652422488249,0.4911078895799713,16384,attention1.w_omega,0.00028360181809267186,2
placenta,True,0.022714223712682724,L_mod2_recon_raw,449408,0.0010453652422488249,0.4911078895799713,128,attention1.u_omega,0.002007672576157492,2
placenta,True,0.006399732083082199,L_mod2_recon_raw,449408,0.0010453652422488249,0.4911078895799713,16384,attention2.w_omega,4.99979065242996e-05,2
placenta,True,0.003924269694834948,L_mod2_recon_raw,449408,0.0010453652422488249,0.4911078895799713,128,attention2.u_omega,0.0003468597079378596,2
placenta,True,0.1483892947435379,L_mod2_recon_raw,449408,0.0010453652422488249,0.4911078895799713,16384,cross_attention.w_omega,0.001159291403761862,2
placenta,True,0.11276976764202118,L_mod2_recon_raw,449408,0.0010453652422488249,0.4911078895799713,128,cross_attention.u_omega,0.00996753369203831,2
placenta,True,1.9608350992202759,L_corr1_raw,416384,0.0030975580458434794,3.9951486209911757,384000,encoder1.weight,0.003164284072640158,2
placenta,False,0.0,L_corr1_raw,416384,0.0030975580458434794,3.9951486209911757,384000,decoder1.weight,0.0,2
placenta,True,0.2131173461675644,L_corr1_raw,416384,0.0030975580458434794,3.9951486209911757,7936,encoder2.weight,0.0023923127599585724,2
placenta,True,0.28282761573791504,L_corr1_raw,416384,0.0030975580458434794,3.9951486209911757,7936,decoder2.weight,0.0031748336850673012,2
placenta,True,0.1355636566877365,L_corr1_raw,416384,0.0030975580458434794,3.9951486209911757,16384,attention1.w_omega,0.0010590911278638687,2
placenta,True,0.08053742349147797,L_corr1_raw,416384,0.0030975580458434794,3.9951486209911757,128,attention1.u_omega,0.0071185697659808134,2
placenta,False,0.0,L_corr1_raw,416384,0.0030975580458434794,3.9951486209911757,16384,attention2.w_omega,0.0,2
placenta,False,0.0,L_corr1_raw,416384,0.0030975580458434794,3.9951486209911757,128,attention2.u_omega,0.0,2
placenta,False,0.0,L_corr1_raw,416384,0.0030975580458434794,3.9951486209911757,16384,cross_attention.w_omega,0.0,2
placenta,False,0.0,L_corr1_raw,416384,0.0030975580458434794,3.9951486209911757,128,cross_attention.u_omega,0.0,2
placenta,True,0.08227823674678802,L_corr2_raw,792448,0.00015136512967102287,0.018156095072729035,384000,encoder1.weight,0.00013277594028884642,2
placenta,True,0.0803731381893158,L_corr2_raw,792448,0.00015136512967102287,0.018156095072729035,384000,decoder1.weight,0.00012970159359499537,2
placenta,True,0.06694010645151138,L_corr2_raw,792448,0.00015136512967102287,0.018156095072729035,7936,encoder2.weight,0.000751424904608859,2
placenta,False,0.0,L_corr2_raw,792448,0.00015136512967102287,0.018156095072729035,7936,decoder2.weight,0.0,2
placenta,False,0.0,L_corr2_raw,792448,0.00015136512967102287,0.018156095072729035,16384,attention1.w_omega,0.0,2
placenta,False,0.0,L_corr2_raw,792448,0.00015136512967102287,0.018156095072729035,128,attention1.u_omega,0.0,2
placenta,True,0.017802046611905098,L_corr2_raw,792448,0.00015136512967102287,0.018156095072729035,16384,attention2.w_omega,0.00013907848375910826,2
placenta,True,0.011342567391693592,L_corr2_raw,792448,0.00015136512967102287,0.018156095072729035,128,attention2.u_omega,0.0010025507910550052,2
placenta,False,0.0,L_corr2_raw,792448,0.00015136512967102287,0.018156095072729035,16384,cross_attention.w_omega,0.0,2
placenta,False,0.0,L_corr2_raw,792448,0.00015136512967102287,0.018156095072729035,128,cross_attention.u_omega,0.0,2
placenta,True,0.03876282647252083,L_rna_recon_raw,825472,4.8672015994908215e-05,0.001955514392878652,384000,encoder1.weight,6.255324449630646e-05,3
placenta,True,0.017459476366639137,L_rna_recon_raw,825472,4.8672015994908215e-05,0.001955514392878652,384000,decoder1.weight,2.8175110513579364e-05,3
placenta,True,0.0029436813201755285,L_rna_recon_raw,825472,4.8672015994908215e-05,0.001955514392878652,7936,encoder2.weight,3.304379921026489e-05,3
placenta,False,0.0,L_rna_recon_raw,825472,4.8672015994908215e-05,0.001955514392878652,7936,decoder2.weight,0.0,3
placenta,True,0.0017775328597053885,L_rna_recon_raw,825472,4.8672015994908215e-05,0.001955514392878652,16384,attention1.w_omega,1.3886975205692494e-05,3
placenta,True,0.0011203978210687637,L_rna_recon_raw,825472,4.8672015994908215e-05,0.001955514392878652,128,attention1.u_omega,9.903010989977067e-05,3
placenta,True,0.00040609523421153426,L_rna_recon_raw,825472,4.8672015994908215e-05,0.001955514392878652,16384,attention2.w_omega,3.172618954064015e-06,3
placenta,True,0.00027825828874483705,L_rna_recon_raw,825472,4.8672015994908215e-05,0.001955514392878652,128,attention2.u_omega,2.4594790429022943e-05,3
placenta,True,0.009382114745676517,L_rna_recon_raw,825472,4.8672015994908215e-05,0.001955514392878652,16384,cross_attention.w_omega,7.329776840201159e-05,3
placenta,True,0.006839417852461338,L_rna_recon_raw,825472,4.8672015994908215e-05,0.001955514392878652,128,cross_attention.u_omega,0.0006045248129127285,3
placenta,True,0.694251537322998,L_mod2_recon_raw,449408,0.0010997528370597406,0.5435393380482753,384000,encoder1.weight,0.0011203436371060164,3
placenta,False,0.0,L_mod2_recon_raw,449408,0.0010997528370597406,0.5435393380482753,384000,decoder1.weight,0.0,3
placenta,True,0.07892730087041855,L_mod2_recon_raw,449408,0.0010997528370597406,0.5435393380482753,7936,encoder2.weight,0.0008859851100616064,3
placenta,True,0.14036597311496735,L_mod2_recon_raw,449408,0.0010997528370597406,0.5435393380482753,7936,decoder2.weight,0.0015756545959280618,3
placenta,True,0.03259418532252312,L_mod2_recon_raw,449408,0.0010997528370597406,0.5435393380482753,16384,attention1.w_omega,0.0002546420557654868,3
placenta,True,0.020059628412127495,L_mod2_recon_raw,449408,0.0010997528370597406,0.5435393380482753,128,attention1.u_omega,0.0017730373225504682,3
placenta,True,0.007189313415437937,L_mod2_recon_raw,449408,0.0010997528370597406,0.5435393380482753,16384,attention2.w_omega,5.616651272888049e-05,3
placenta,True,0.004562668036669493,L_mod2_recon_raw,449408,0.0010997528370597406,0.5435393380482753,128,attention2.u_omega,0.00040328667984146333,3
placenta,True,0.149562805891037,L_mod2_recon_raw,449408,0.0010997528370597406,0.5435393380482753,16384,cross_attention.w_omega,0.001168459429837828,3
placenta,True,0.10823898017406464,L_mod2_recon_raw,449408,0.0010997528370597406,0.5435393380482753,128,cross_attention.u_omega,0.00956706461824238,3
placenta,True,1.8218052387237549,L_corr1_raw,416384,0.002891485865646552,3.4812577578295705,384000,encoder1.weight,0.002939925533350495,3
