bootstrap_ci_high,bootstrap_ci_low,bootstrap_replicates,ci_is_descriptive_only,dataset,max,mean,median,metric,min,n,sd,variant
638.0,638.0,10000,True,a1,638.0,638.0,638.0,gpu_peak_reserved_mib,638.0,5,0.0,C0
1436.9140625,1336.57890625,10000,True,a1,1436.9140625,1401.23984375,1436.9140625,cpu_peak_rss_mib,1275.26171875,5,70.79503412019166,C0
0.2498535945271625,0.20795088426542083,10000,True,a1,0.26932717040617266,0.2270868344104636,0.22064323070864722,ari,0.19739379289088343,5,0.02742268845876848,C1
0.3680634569446912,0.35124882046077005,10000,True,a1,0.371456788802982,0.35997447689470224,0.36497525771612477,nmi,0.34378060012357375,5,0.0111876579428242,C1
0.3640255063040647,0.34608435762475664,10000,True,a1,0.3674858888334025,0.3558656785240136,0.3607351313335176,ami,0.3396572078353178,5,0.011242901138630978,C1
0.39719124127199745,0.3513710290347739,10000,True,a1,0.4190108087664182,0.3714042329796023,0.3694051858660599,fmi,0.3396813902048006,5,0.029959118922606272,C1
0.41944752985169276,0.39560413229773295,10000,True,a1,0.42666470303601284,0.40699917991819634,0.39714473013491364,homogeneity,0.39394292626963007,5,0.015440932050773635,C1
0.3680634569446912,0.35124882046077005,10000,True,a1,0.37145678880298205,0.35997447689470224,0.36497525771612477,v_measure,0.34378060012357375,5,0.011187657942824216,C1
0.3343211901657959,0.2992588046249304,10000,True,a1,0.3438282637472152,0.31791185670789546,0.3239281123062261,hungarian_macro_f1,0.287245557819308,5,0.022210841246231572,C1
0.5150504391376637,0.4673592194786731,10000,True,a1,0.540591995801846,0.4886162268891666,0.4767381041413903,hungarian_weighted_f1,0.4572335224943377,5,0.032125664416523904,C1
0.435721293516234,0.3549531705033804,10000,True,a1,0.45738817161419715,0.3949235725456638,0.3909756939273753,hungarian_balanced_accuracy,0.319812044448168,5,0.05145400583412127,C1
0.6530935068248501,0.5745024875621891,10000,True,a1,0.7006952417400178,0.6052270697793085,0.5857890036994514,spatial_neighbor_agreement,0.5664306671769358,5,0.0544356797682757,C1
0.5844431759723964,0.5237900699497059,10000,True,a1,0.6183308447194666,0.5478179153943709,0.5311143640514591,spatial_cluster_moran_mean,0.521496970351189,5,0.04059941713253892,C1
0.11354005485773086,0.09271628558635711,10000,True,a1,0.1179845854640007,0.10302955210208893,0.09716498851776123,embedding_silhouette,0.08625166863203049,5,0.013836309635841312,C1
