dataset,hungarian_f1,seed,true_domain,variant
placenta,0.834920634920635,2,STB,IGE
placenta,0.30588235294117644,2,STB-progenitor,IGE
placenta,0.7615176151761517,2,vCTB,IGE
placenta,0.7564102564102563,3,EVT,IGE
placenta,0.0,3,EVT-progenitor,IGE
placenta,0.7285714285714284,3,Endothelial,IGE
placenta,0.015384615384615385,3,Erythroblasts,IGE
placenta,0.5771812080536912,3,FIB1,IGE
placenta,0.9049773755656109,3,FIB2,IGE
placenta,0.6243093922651933,3,Hofbauer cells,IGE
placenta,0.8343949044585988,3,STB,IGE
placenta,0.16556291390728478,3,STB-progenitor,IGE
placenta,0.7187500000000001,3,vCTB,IGE
placenta,0.732919254658385,4,EVT,IGE
placenta,0.0,4,EVT-progenitor,IGE
placenta,0.723404255319149,4,Endothelial,IGE
placenta,0.015503875968992248,4,Erythroblasts,IGE
placenta,0.5733333333333333,4,FIB1,IGE
placenta,0.5508100147275405,4,FIB2,IGE
placenta,0.6027397260273972,4,Hofbauer cells,IGE
placenta,0.8357256778309411,4,STB,IGE
placenta,0.0,4,STB-progenitor,IGE
placenta,0.8837209302325582,4,vCTB,IGE
placenta,0.6751592356687899,0,EVT,ILN
placenta,0.014814814814814814,0,EVT-progenitor,ILN
placenta,0.1967213114754098,0,Endothelial,ILN
placenta,0.06703910614525141,0,Erythroblasts,ILN
placenta,0.5477707006369427,0,FIB1,ILN
placenta,0.415929203539823,0,FIB2,ILN
placenta,0.8305489260143198,0,Hofbauer cells,ILN
placenta,0.5761589403973509,0,STB,ILN
placenta,0.09345794392523364,0,STB-progenitor,ILN
placenta,0.42745709828393136,0,vCTB,ILN
placenta,0.02857142857142857,1,EVT,ILN
placenta,0.03137254901960784,1,EVT-progenitor,ILN
placenta,0.48749999999999993,1,Endothelial,ILN
placenta,0.1073170731707317,1,Erythroblasts,ILN
placenta,0.5733333333333333,1,FIB1,ILN
placenta,0.5461538461538462,1,FIB2,ILN
placenta,0.8523002421307506,1,Hofbauer cells,ILN
placenta,0.5417376490630323,1,STB,ILN
placenta,0.04081632653061224,1,STB-progenitor,ILN
placenta,0.5728643216080402,1,vCTB,ILN
placenta,0.6495726495726496,2,EVT,ILN
placenta,0.07647058823529411,2,EVT-progenitor,ILN
placenta,0.3896103896103896,2,Endothelial,ILN
placenta,0.024539877300613494,2,Erythroblasts,ILN
placenta,0.6596858638743456,2,FIB1,ILN
placenta,0.4115384615384616,2,FIB2,ILN
placenta,0.45145631067961167,2,Hofbauer cells,ILN
placenta,0.2998027613412229,2,STB,ILN
placenta,0.0,2,STB-progenitor,ILN
placenta,0.49097472924187724,2,vCTB,ILN
placenta,0.8305084745762712,3,EVT,ILN
placenta,0.012738853503184714,3,EVT-progenitor,ILN
placenta,0.24089635854341737,3,Endothelial,ILN
placenta,0.07920792079207921,3,Erythroblasts,ILN
placenta,0.5789473684210527,3,FIB1,ILN
placenta,0.41379310344827586,3,FIB2,ILN
placenta,0.9044289044289044,3,Hofbauer cells,ILN
placenta,0.6153846153846153,3,STB,ILN
placenta,0.03007518796992482,3,STB-progenitor,ILN
placenta,0.5906593406593407,3,vCTB,ILN
placenta,0.44036697247706424,4,EVT,ILN
placenta,0.03428571428571429,4,EVT-progenitor,ILN
placenta,0.1423728813559322,4,Endothelial,ILN
placenta,0.036036036036036036,4,Erythroblasts,ILN
placenta,0.5578231292517006,4,FIB1,ILN
placenta,0.4520795660036166,4,FIB2,ILN
placenta,0.5636363636363637,4,Hofbauer cells,ILN
placenta,0.5464684014869888,4,STB,ILN
placenta,0.037037037037037035,4,STB-progenitor,ILN
placenta,0.42627737226277373,4,vCTB,ILN
p22,0.6017601760176018,0,ACB,C0
p22,0.8405572755417957,0,CP,C0
p22,0.6848381601362862,0,L1-L3,C0
p22,0.4275286757038582,0,L4,C0
p22,0.0015325670498084292,0,L5,C0
p22,0.71120246659815,0,L6a/b,C0
p22,0.0735009671179884,0,VL,C0
p22,0.7897362794012829,0,ccg/aco,C0
p22,0.5616808820470148,0,others,C0
p22,0.5945633314054366,1,ACB,C0
p22,0.8304997424008242,1,CP,C0
p22,0.7150319210679048,1,L1-L3,C0
p22,0.4655532359081419,1,L4,C0
p22,0.36958677685950414,1,L5,C0
p22,0.6530426884650318,1,L6a/b,C0
p22,0.0,1,VL,C0
p22,0.7906316536550745,1,ccg/aco,C0
p22,0.36664415935178934,1,others,C0
p22,0.5869682283252559,2,ACB,C0
p22,0.8340645161290322,2,CP,C0
p22,0.694946974422957,2,L1-L3,C0
p22,0.4804597701149426,2,L4,C0
p22,0.0,2,L5,C0
p22,0.6374840628984275,2,L6a/b,C0
p22,0.10455764075067024,2,VL,C0
p22,0.7928057553956835,2,ccg/aco,C0
p22,0.48708654281830543,2,others,C0
p22,0.5994134897360704,3,ACB,C0
p22,0.8354689902614044,3,CP,C0
p22,0.684946838276441,3,L1-L3,C0
p22,0.4456521739130435,3,L4,C0
p22,0.3689138576779026,3,L5,C0
p22,0.7164490861618799,3,L6a/b,C0
p22,0.0,3,VL,C0
p22,0.796875,3,ccg/aco,C0
p22,0.4119558154645875,3,others,C0
p22,0.5667970933482392,4,ACB,C0
p22,0.8293559148062613,4,CP,C0
p22,0.7213470939706682,4,L1-L3,C0
p22,0.0031446540880503146,4,L4,C0
p22,0.38903783139708076,4,L5,C0
p22,0.7115479115479115,4,L6a/b,C0
p22,0.6197916666666666,4,VL,C0
p22,0.7317708333333334,4,ccg/aco,C0
p22,0.35104559478916697,4,others,C0
p22,0.600768808347062,0,ACB,C1
p22,0.8397104446742503,0,CP,C1
p22,0.6862302483069977,0,L1-L3,C1
p22,0.4279749478079332,0,L4,C1
p22,0.001518602885345482,0,L5,C1
p22,0.7182095625635808,0,L6a/b,C1
p22,0.07843137254901962,0,VL,C1
p22,0.7960479887085393,0,ccg/aco,C1
p22,0.5618307789208483,0,others,C1
p22,0.6027554535017221,1,ACB,C1
p22,0.8322563970018093,1,CP,C1
p22,0.7066817667044167,1,L1-L3,C1
p22,0.4551020408163265,1,L4,C1
p22,0.3723296032553408,1,L5,C1
p22,0.6519386834986475,1,L6a/b,C1
p22,0.0,1,VL,C1
p22,0.7917555081734187,1,ccg/aco,C1
p22,0.3689713322091062,1,others,C1
p22,0.5929919137466307,2,ACB,C1
p22,0.8353184878301398,2,CP,C1
p22,0.7032019704433498,2,L1-L3,C1
p22,0.47154471544715443,2,L4,C1
p22,0.0,2,L5,C1
p22,0.6852886405959031,2,L6a/b,C1
p22,0.0958721704394141,2,VL,C1
p22,0.8025843503230439,2,ccg/aco,C1
p22,0.5675909878682842,2,others,C1
p22,0.6035087719298246,3,ACB,C1
p22,0.8350462487153135,3,CP,C1
p22,0.6886898096304592,3,L1-L3,C1
p22,0.44228694714131606,3,L4,C1
p22,0.37074085651766175,3,L5,C1
p22,0.7175732217573221,3,L6a/b,C1
p22,0.0,3,VL,C1
p22,0.8005677785663591,3,ccg/aco,C1
p22,0.41620745542949755,3,others,C1
p22,0.5698386199220923,4,ACB,C1
p22,0.8296067848882035,4,CP,C1
p22,0.722131593257205,4,L1-L3,C1
p22,0.003134796238244514,4,L4,C1
p22,0.3829787234042553,4,L5,C1
p22,0.7056530214424952,4,L6a/b,C1
p22,0.6299212598425196,4,VL,C1
p22,0.7458745874587458,4,ccg/aco,C1
p22,0.3657375934738274,4,others,C1
p22,0.5423131170662906,0,ACB,IGE
p22,0.6704318936877076,0,CP,IGE
p22,0.6930585683297179,0,L1-L3,IGE
p22,0.4436936936936937,0,L4,IGE
p22,0.3788732394366197,0,L5,IGE
p22,0.6892093485827946,0,L6a/b,IGE
p22,0.0,0,VL,IGE
p22,0.8081692195477754,0,ccg/aco,IGE
p22,0.4442307692307692,0,others,IGE
p22,0.3849025300705101,1,ACB,IGE
p22,0.6328182487122884,1,CP,IGE
p22,0.7037643207855975,1,L1-L3,IGE
p22,0.41890440386680994,1,L4,IGE
p22,0.0,1,L5,IGE
p22,0.7197549770290965,1,L6a/b,IGE
p22,0.07525655644241734,1,VL,IGE
p22,0.8126346015793252,1,ccg/aco,IGE
p22,0.5550137799448802,1,others,IGE
p22,0.6019417475728155,2,ACB,IGE
p22,0.813394544963543,2,CP,IGE
p22,0.6842105263157895,2,L1-L3,IGE
