formal_phase,dataset,model_seed,filter_id,topology_correlation,global_disagreement,roughness_ratio,frequency_gate,integrity_score,integrity_gate,raw_global_gate,global_gate,joint_support_mean,conflict_mean,conflict_q90,trust_mean,trust_evidence_fraction,beta_low_mean,beta_high_mean,exact_identity_fallback,dense_n_by_n_count
DEVELOPMENT,tonsil_s1,0,W01_FIXED_LOW60,0.6778264045715332,0.1610867977142334,0.1384711265563964,2.914897549999296e-07,0.8827052116394043,1.0,2.914897549999296e-07,2.914897549999296e-07,0.9205719828605652,0.037866786122322,0.0847877264022827,1.0,1.0,0.6000000238418579,0.0,0.0,0.0
DEVELOPMENT,tonsil_s1,0,W02_TCF_FINAL,0.6778264045715332,0.1610867977142334,0.1384711265563964,2.914897549999296e-07,0.8827052116394043,0.9671103954315186,2.819027713485412e-07,0.0,0.9205719828605652,0.037866786122322,0.0847877264022827,0.9449679851531982,0.25,0.0,0.0,1.0,0.0
DEVELOPMENT,tonsil_s1,1,W00_IDENTITY,0.6813738942146301,0.1593130528926849,0.1388705819845199,2.781114858407818e-07,0.8831265568733215,1.0,2.781114858407818e-07,2.781114858407818e-07,0.9207804799079896,0.0376539304852485,0.0843985080718994,1.0,1.0,0.0,0.0,0.0,0.0
DEVELOPMENT,tonsil_s1,1,W01_FIXED_LOW60,0.6813738942146301,0.1593130528926849,0.1388705819845199,2.781114858407818e-07,0.8831265568733215,1.0,2.781114858407818e-07,2.781114858407818e-07,0.9207804799079896,0.0376539304852485,0.0843985080718994,1.0,1.0,0.6000000238418579,0.0,0.0,0.0
DEVELOPMENT,tonsil_s1,1,W02_TCF_FINAL,0.6813738942146301,0.1593130528926849,0.1388705819845199,2.781114858407818e-07,0.8831265568733215,0.9675101637840272,2.690756844003772e-07,0.0,0.9207804799079896,0.0376539304852485,0.0843985080718994,0.9451931715011596,0.25,0.0,0.0,1.0,0.0
DEVELOPMENT,tonsil_s1,2,W00_IDENTITY,0.670513927936554,0.164743036031723,0.1373469084501266,3.15387239879783e-07,0.8817834854125977,1.0,3.15387239879783e-07,3.15387239879783e-07,0.9195542335510254,0.0377707220613956,0.0836751461029052,1.0,1.0,0.0,0.0,0.0,0.0
DEVELOPMENT,tonsil_s1,2,W01_FIXED_LOW60,0.670513927936554,0.164743036031723,0.1373469084501266,3.15387239879783e-07,0.8817834854125977,1.0,3.15387239879783e-07,3.15387239879783e-07,0.9195542335510254,0.0377707220613956,0.0836751461029052,1.0,1.0,0.6000000238418579,0.0,0.0,0.0
DEVELOPMENT,tonsil_s1,2,W02_TCF_FINAL,0.670513927936554,0.164743036031723,0.1373469084501266,3.15387239879783e-07,0.8817834854125977,0.966219425201416,3.047332768346678e-07,0.0,0.9195542335510254,0.0377707220613956,0.0836751461029052,0.9447229504585266,0.25,0.0,0.0,1.0,0.0
DEVELOPMENT,P22,0,W00_IDENTITY,0.0611742809414863,0.4694128632545471,0.2620463073253631,0.990980327129364,0.8544015884399414,1.0,0.990980327129364,0.990980327129364,0.9096174836158752,0.0552158840000629,0.1058059707283973,1.0,1.0,0.0,0.0,0.0,0.0
DEVELOPMENT,P22,0,W01_FIXED_LOW60,0.0611742809414863,0.4694128632545471,0.2620463073253631,0.990980327129364,0.8544015884399414,1.0,0.990980327129364,0.990980327129364,0.9096174836158752,0.0552158840000629,0.1058059707283973,1.0,1.0,0.6000000238418579,0.0,0.0,0.0
