lane,config_id,training_seed,endpoint,candidate_id,partition_sha256,n_total,n_eval,k,ari,nmi,ami,fmi,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,wall_seconds,gpu_peak_mib,peak_rss_mib,neighbor_agreement,moran_macro_indicator,geary_macro_indicator,family,changed_spots_vs_frozen_same_endpoint,changed_spots_vs_same_embedding_common_kmeans,historical_frontier_ari,historical_frontier_nmi,delta_ari_vs_historical_frontier,delta_nmi_vs_historical_frontier
P22_K9,C01_FULL,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,d7b2e08a2f431c41571cb83019e45a27e31a44055be2ae93f4b0da4fbda5527f,9196,9196,9,0.47804745790541214,0.6064542273461079,0.6057846579469305,0.5542045366664256,728,"[782, 750, 839, 1237, 945, 2236, 729, 728, 950]",728,"[782, 750, 839, 1237, 945, 2236, 729, 728, 950]",18.45909557491541,380.0703125,1901.35546875,0.8640700209343883,0.8320907056365747,0.16913861681585185,RNA_CHROMATIN,8316,0,0.5955516462857395,0.7179305602206435,-0.11750418838032739,-0.11147633287453562
P22_K9,C01_FULL,0,FEASIBLE_MEDOID,RAW_KMEANS_N1_S2,8f894ffe16859e92d20a735f5c3a9bb8a43e7075dda44d411db9ce59b121d0e9,9196,9196,9,0.4784207200682664,0.6068014610298205,0.6061324511514976,0.5545313465351066,728,"[944, 2236, 1241, 729, 952, 728, 834, 750, 782]",728,"[944, 2236, 1241, 729, 952, 728, 834, 750, 782]",18.45909557491541,380.0703125,1901.35546875,0.864393792222296,0.8324571677124527,0.16879163723342927,RNA_CHROMATIN,7773,8247,0.5955516462857395,0.7179305602206435,-0.11713092621747312,-0.11112909919082303
P22_K9,C01_FULL,0,NIGHT16H_FIXED_STRUCTURED,RAW_GMM_DIAG_S0,c95536268c99a8df6659c5491c808a02b6586125800348a3f69adb172f297459,9196,9196,9,0.47184653688065686,0.607461173924221,0.6067782389109365,0.5513264197975122,161,"[161, 653, 1401, 662, 1377, 631, 911, 2244, 1156]",161,"[161, 653, 1401, 662, 1377, 631, 911, 2244, 1156]",18.45909557491541,380.0703125,1901.35546875,0.8744522869051055,0.8370784445133053,0.16355334913979222,RNA_CHROMATIN,5470,7218,0.5955516462857395,0.7179305602206435,-0.12370510940508267,-0.11046938629642244
P22_K9,C01_FULL,0,COMMON_GMM,RAW_GMM_DIAG_S0,c95536268c99a8df6659c5491c808a02b6586125800348a3f69adb172f297459,9196,9196,9,0.47184653688065686,0.607461173924221,0.6067782389109365,0.5513264197975122,161,"[161, 653, 1401, 662, 1377, 631, 911, 2244, 1156]",161,"[161, 653, 1401, 662, 1377, 631, 911, 2244, 1156]",18.45909557491541,380.0703125,1901.35546875,0.8744522869051055,0.8370784445133053,0.16355334913979222,RNA_CHROMATIN,5470,7218,0.5955516462857395,0.7179305602206435,-0.12370510940508267,-0.11046938629642244
P22_K9,C02_NO_GRAPH,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,fdafb3715c6e41f7228b31453ff281a099df96ed47a60a8816b29569cc307389,9196,9196,9,0.4192055973769617,0.5511881134661232,0.5504256561097217,0.5032287350822704,701,"[800, 1095, 2157, 1186, 982, 715, 762, 798, 701]",701,"[800, 1095, 2157, 1186, 982, 715, 762, 798, 701]",19.186611220240593,337.556640625,1902.84375,0.8072841344887864,0.7630827910090631,0.23781046583551088,RNA_CHROMATIN,9038,0,0.5955516462857395,0.7179305602206435,-0.1763460489087778,-0.16674244675452032
P22_K9,C02_NO_GRAPH,0,FEASIBLE_MEDOID,RAW_KMEANS_N1_S3,8b581e1ead91736eb790eace64835d0e4ddf2c8d537813069a729e06a9202455,9196,9196,9,0.40181863700280146,0.5413842045840513,0.5405914851132932,0.4904518896282287,195,"[195, 862, 2127, 1378, 707, 752, 659, 1407, 1109]",195,"[195, 862, 2127, 1378, 707, 752, 659, 1407, 1109]",19.186611220240593,337.556640625,1902.84375,0.814313568897495,0.7711450140534103,0.22906305690519005,RNA_CHROMATIN,8966,6151,0.5955516462857395,0.7179305602206435,-0.19373300928293807,-0.17654635563659216
P22_K9,C02_NO_GRAPH,0,NIGHT16H_FIXED_STRUCTURED,GRAPH_L3_KMEANS_S1,9013047795249458c0325ae540376e967e460faa5d0435813f33f1c319d42e6a,9196,9196,9,0.4333241394925015,0.5825988780527571,0.5818828216552621,0.5171101363859202,547,"[547, 699, 1499, 2234, 756, 907, 740, 1232, 582]",547,"[547, 699, 1499, 2234, 756, 907, 740, 1232, 582]",19.186611220240593,337.556640625,1902.84375,0.8801398691947293,0.8465316869699819,0.15450016099421837,RNA_CHROMATIN,8324,8847,0.5955516462857395,0.7179305602206435,-0.16222750679323805,-0.13533168216788638
P22_K9,C02_NO_GRAPH,0,COMMON_GMM,RAW_GMM_DIAG_S0,adade29296a115423ee05c000a1ea6a6887cd645b421f2b08cc0ec2c9081a8c5,9196,9196,9,0.4087910312832014,0.5533384225324424,0.5525742360032998,0.4951119733282152,359,"[736, 1127, 1003, 644, 2146, 1253, 1107, 821, 359]",359,"[736, 1127, 1003, 644, 2146, 1253, 1107, 821, 359]",19.186611220240593,337.556640625,1902.84375,0.8176699979148272,0.7892877749216783,0.2106041156564656,RNA_CHROMATIN,5459,9193,0.5955516462857395,0.7179305602206435,-0.18676061500253816,-0.16459213768820113
P22_K9,C03_NO_ANCHOR,0,COMMON_KMEANS,COMMON_KMEANS_N20_S0,17fad6d43dd73201e3f2e19c0745b22302b783df844dbd902ed777e805ba362f,9196,9196,9,0.4783703592101559,0.6066440237186519,0.6059747535573821,0.5544855741973604,728,"[784, 729, 832, 751, 728, 2235, 1244, 946, 947]",728,"[784, 729, 832, 751, 728, 2235, 1244, 946, 947]",19.993709890171885,380.0703125,1866.296875,0.8637462496464807,0.8315996202177705,0.1696510788592045,RNA_CHROMATIN,9036,0,0.5955516462857395,0.7179305602206435,-0.11718128707558362,-0.1112865365019916
P22_K9,C03_NO_ANCHOR,0,FEASIBLE_MEDOID,GRAPH_L1_KMEANS_S1,8f9d64b26574262349c59c64a1bf2a0351fa866b6e399508058cdb07079a6018,9196,9196,9,0.4828708514333835,0.6128922552072872,0.6122333600261749,0.558422969258918,718,"[944, 753, 825, 718, 795, 724, 1240, 947, 2250]",718,"[944, 753, 825, 718, 795, 724, 1240, 947, 2250]",19.993709890171885,380.0703125,1866.296875,0.8751106218533246,0.8456880810520441,0.1555882871325377,RNA_CHROMATIN,9157,7140,0.5955516462857395,0.7179305602206435,-0.11268079485235605,-0.10503830501335631
P22_K9,C03_NO_ANCHOR,0,NIGHT16H_FIXED_STRUCTURED,RAW_KMEANS_N1_S3,243997aa41efb1a23a76c4910f88e830b38977d2c435e2308650f46942ab4a83,9196,9196,9,0.45511423438016324,0.5947642408854422,0.5940609157346839,0.5367316235443946,170,"[170, 1483, 1301, 2229, 731, 687, 921, 649, 1025]",170,"[170, 1483, 1301, 2229, 731, 687, 921, 649, 1025]",19.993709890171885,380.0703125,1866.296875,0.8713224977854488,0.8349801600806672,0.1655396271537738,RNA_CHROMATIN,8160,9145,0.5955516462857395,0.7179305602206435,-0.1404374119055763,-0.12316631933520128
P22_K9,C03_NO_ANCHOR,0,COMMON_GMM,RAW_GMM_DIAG_S0,105eec2ad941c15c191c658e89de14c352d71de0f16be52a2748901e4d1114dd,9196,9196,9,0.4080951242813698,0.5869597292134178,0.5862626963623059,0.4921415390894019,654,"[779, 911, 1399, 654, 1377, 753, 1160, 675, 1488]",654,"[779, 911, 1399, 654, 1377, 753, 1160, 675, 1488]",19.993709890171885,380.0703125,1866.296875,0.8462194305969882,0.8227972965283675,0.17772490404337732,RNA_CHROMATIN,7570,8991,0.5955516462857395,0.7179305602206435,-0.18745652200436974,-0.13097083100722573
