lane,candidate_id,arm,config_id,partition_sha256,ari,nmi,ami,fmi,n_total,n_eval,k,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,wall_seconds,peak_rss_mib,gpu_time_seconds,peak_gpu_mib,neighbor_agreement,moran_macro_indicator,geary_macro_indicator
P22_K9,T02_MORE_TV__FULL,FULL,T02_MORE_TV,9b871cabb750ff1325e2f0af9e3d9aef2eab414469f1bc3812a11b14a3b2abec,0.4753392672318652,0.6042879158088686,0.6036158960695114,0.5515970307544356,9196,9196,9,718,"[1123, 774, 902, 718, 1032, 2199, 903, 787, 758]",718,"[1123, 774, 902, 718, 1032, 2199, 903, 787, 758]",78.25722036324441,172.2421875,0.0,0.0,0.8660558181707481,0.8367482151962014,0.1644103484606281
P22_K9,T02_MORE_TV__PERMUTED_PRIVATE,PERMUTED_PRIVATE,T02_MORE_TV,a1b67e3908c25426dd10c40382add6ee5ff2e4516b0745a2ead53444846bea4b,0.4736322063169377,0.6026976168850317,0.6020230322491196,0.5500972415357459,9196,9196,9,721,"[721, 784, 771, 767, 902, 2194, 1110, 1040, 907]",721,"[721, 784, 771, 767, 902, 2194, 1110, 1040, 907]",78.25722036324441,172.2421875,0.0,0.0,0.8631526689551998,0.833478254708382,0.1676718922967244
P22_K9,T03_MORE_PRIVATE__L2_LOWPASS,L2_LOWPASS,T03_MORE_PRIVATE,b451fd447a92da296563c90cf7dda2781c83284b3d03468d8b98ccf1720e8373,0.4750998887525123,0.6040219383077222,0.6033494425359727,0.5513977689948896,9196,9196,9,718,"[772, 910, 786, 718, 1025, 2201, 903, 758, 1123]",718,"[772, 910, 786, 718, 1025, 2201, 903, 758, 1123]",78.25722036324441,172.2421875,0.0,0.0,0.8669623777775326,0.8377599253874541,0.163381386679135
P22_K9,T03_MORE_PRIVATE__GRAPH_TV_ONLY,GRAPH_TV_ONLY,T03_MORE_PRIVATE,5496d51f1648aa513b1b4047e3f8418a7fce896eb34e137317594784c4bc07b6,0.4727963110439651,0.6015059754731322,0.6008293775724601,0.5493729798806143,9196,9196,9,720,"[781, 773, 900, 720, 766, 1126, 1018, 920, 2192]",720,"[781, 773, 900, 720, 766, 1126, 1018, 920, 2192]",78.25722036324441,172.2421875,0.0,0.0,0.8649729830858492,0.8355795815827707,0.1655387242633686
P22_K9,T03_MORE_PRIVATE__PRIVATE_ONLY,PRIVATE_ONLY,T03_MORE_PRIVATE,cfc8d28a30991b6c615103679217e7e79f0ef8d867362db5313ba6f884d99fbf,0.4734598936695202,0.602213858047945,0.6015384806324727,0.5499412832680814,9196,9196,9,720,"[773, 921, 902, 720, 782, 766, 2192, 1122, 1018]",720,"[773, 921, 902, 720, 782, 766, 2192, 1122, 1018]",78.25722036324441,172.2421875,0.0,0.0,0.8644333642726698,0.8349581196715545,0.1661582627863936
P22_K9,T03_MORE_PRIVATE__FULL,FULL,T03_MORE_PRIVATE,bb1157cc305f0e16a7420c5cbd02a3f1012125c64c10265a1235b2af9af49407,0.4741027403052794,0.6028345129633769,0.6021601097402799,0.5505108658083041,9196,9196,9,718,"[774, 780, 1128, 2194, 1020, 904, 915, 718, 763]",718,"[774, 780, 1128, 2194, 1020, 904, 915, 718, 763]",78.25722036324441,172.2421875,0.0,0.0,0.8659371020324919,0.8365922417444449,0.164527949547786
P22_K9,T03_MORE_PRIVATE__PERMUTED_PRIVATE,PERMUTED_PRIVATE,T03_MORE_PRIVATE,446978914a244e958cd5958acbc9e4d8bf0f255057ba015fcb9e6c687d2f06e0,0.47370743543394,0.6027885946375692,0.6021141510495673,0.5501658170956623,9196,9196,9,722,"[722, 784, 770, 1038, 2195, 767, 903, 1111, 906]",722,"[722, 784, 770, 1038, 2195, 767, 903, 1111, 906]",78.25722036324441,172.2421875,0.0,0.0,0.8630339528169436,0.8332412520471065,0.1679145406540546
MISAR_K7,IDENTITY_RETAINED,IDENTITY_RETAINED,IDENTITY,e12110bb62cd89c02aabf86a6f3e42f3ca717bd6eb0415f0a6616fad779bc9b5,0.35793610413592,0.5287048033632064,0.5262475075351158,0.4799708092619591,1949,1949,7,185,"[366, 386, 274, 185, 271, 204, 263]",185,"[366, 386, 274, 185, 271, 204, 263]",15.48149537667632,107.32421875,0.0,0.0,0.92572917713248,0.9083972118661864,0.090739124240106
MISAR_K7,IDENTITY_FUSED,IDENTITY_FUSED,IDENTITY,7b5c7516a7466d1024485b0fdbd6af90986db98a45245aea39ea9d7491c8e7f1,0.3634458046811113,0.5357439665083862,0.5333219163698067,0.4846874434299729,1949,1949,7,188,"[203, 275, 371, 250, 269, 393, 188]",188,"[203, 275, 371, 250, 269, 393, 188]",15.48149537667632,107.32421875,0.0,0.0,0.9249273328942405,0.9077283242659554,0.0916046198202721
MISAR_K7,T01_BALANCED__L2_LOWPASS,L2_LOWPASS,T01_BALANCED,5bf634ee4fd16bf7282bcf55174329b8076048a546c649f89e8e588bb0a4d584,0.3635164614851557,0.534587937977292,0.5321605376410745,0.4846822058452629,1949,1949,7,184,"[256, 387, 369, 278, 204, 271, 184]",184,"[256, 387, 369, 278, 204, 271, 184]",15.48149537667632,107.32421875,0.0,0.0,0.9219204169896402,0.9043014269364472,0.0948923617975531
MISAR_K7,T01_BALANCED__GRAPH_TV_ONLY,GRAPH_TV_ONLY,T01_BALANCED,49cc2dec96a2911be6e7f4580fc60e44589f942b29cbbc210f82a5b678e42d64,0.3631112287614091,0.5349712716958097,0.5325449782631823,0.4844158293836008,1949,1949,7,186,"[393, 370, 203, 278, 186, 269, 250]",186,"[393, 370, 203, 278, 186, 269, 250]",15.48149537667632,107.32421875,0.0,0.0,0.9244261802434736,0.9070916985497248,0.0922653471515641
MISAR_K7,T01_BALANCED__PRIVATE_ONLY,PRIVATE_ONLY,T01_BALANCED,7b5c7516a7466d1024485b0fdbd6af90986db98a45245aea39ea9d7491c8e7f1,0.3634458046811113,0.5357439665083862,0.5333219163698067,0.4846874434299729,1949,1949,7,188,"[203, 275, 371, 250, 269, 393, 188]",188,"[203, 275, 371, 250, 269, 393, 188]",15.48149537667632,107.32421875,0.0,0.0,0.9249273328942405,0.9077283242659554,0.0916046198202721
MISAR_K7,T01_BALANCED__FULL,FULL,T01_BALANCED,0fdb530bd8183fc799b5b7aac81106e07ef4270cecab56f5ef892436ecbd9b2b,0.363375812413153,0.53503907274016,0.5326129888772795,0.484639012190537,1949,1949,7,184,"[251, 278, 203, 370, 271, 184, 392]",184,"[251, 278, 203, 370, 271, 184, 392]",15.48149537667632,107.32421875,0.0,0.0,0.9249273328942405,0.9076941021247648,0.0916143755081207
MISAR_K7,T01_BALANCED__PERMUTED_PRIVATE,PERMUTED_PRIVATE,T01_BALANCED,4bfbc41c3f97e1ebe9295b09bf0a475b9a150ec700c22be6162f5daecb3e3eb9,0.3615555240861081,0.5343225647246534,0.5318937279142574,0.4830504443239306,1949,1949,7,184,"[390, 204, 277, 272, 256, 366, 184]",184,"[390, 204, 277, 272, 256, 366, 184]",15.48149537667632,107.32421875,0.0,0.0,0.9229728375532632,0.9054166165017148,0.093785117149838
MISAR_K7,T02_MORE_TV__L2_LOWPASS,L2_LOWPASS,T02_MORE_TV,966cb6ded8a8123aa31accff2cfd12db1e48d957f21bba60143793c490e565ff,0.3636331178784842,0.5355615102151416,0.5331374249191759,0.4848878964432814,1949,1949,7,179,"[275, 278, 370, 392, 179, 251, 204]",179,"[275, 278, 370, 392, 179, 251, 204]",15.48149537667632,107.32421875,0.0,0.0,0.925328255020828,0.9079318641276284,0.0911584182598547
MISAR_K7,T02_MORE_TV__GRAPH_TV_ONLY,GRAPH_TV_ONLY,T02_MORE_TV,0fdb530bd8183fc799b5b7aac81106e07ef4270cecab56f5ef892436ecbd9b2b,0.363375812413153,0.53503907274016,0.5326129888772795,0.484639012190537,1949,1949,7,184,"[251, 278, 203, 370, 271, 184, 392]",184,"[251, 278, 203, 370, 271, 184, 392]",15.48149537667632,107.32421875,0.0,0.0,0.9249273328942405,0.9076941021247648,0.0916143755081207
MISAR_K7,T02_MORE_TV__PRIVATE_ONLY,PRIVATE_ONLY,T02_MORE_TV,7b5c7516a7466d1024485b0fdbd6af90986db98a45245aea39ea9d7491c8e7f1,0.3634458046811113,0.5357439665083862,0.5333219163698067,0.4846874434299729,1949,1949,7,188,"[203, 275, 371, 250, 269, 393, 188]",188,"[203, 275, 371, 250, 269, 393, 188]",15.48149537667632,107.32421875,0.0,0.0,0.9249273328942405,0.9077283242659554,0.0916046198202721
MISAR_K7,T02_MORE_TV__FULL,FULL,T02_MORE_TV,8d79ad650b4413f2bf40b125f21765316aa7fd850fe0d8ddde14098e302dde4a,0.3613903970638978,0.53322413539406,0.5307939582332982,0.4826785722689869,1949,1949,7,201,"[201, 258, 249, 388, 271, 362, 220]",201,"[201, 258, 249, 388, 271, 362, 220]",15.48149537667632,107.32421875,0.0,0.0,0.9203668437752506,0.9026017468390424,0.0964163267510195
MISAR_K7,T02_MORE_TV__PERMUTED_PRIVATE,PERMUTED_PRIVATE,T02_MORE_TV,d6e2ee62a88fd03bb995159dff63a86b6ce9e8388252fa7a2a13205402fce432,0.3609898129213864,0.5321113584561101,0.5296700753782185,0.4826351419670194,1949,1949,7,182,"[370, 256, 278, 270, 390, 203, 182]",182,"[370, 256, 278, 270, 390, 203, 182]",15.48149537667632,107.32421875,0.0,0.0,0.92347399020403,0.9061190473426414,0.0931044006225475
MISAR_K7,T03_MORE_PRIVATE__L2_LOWPASS,L2_LOWPASS,T03_MORE_PRIVATE,5bf634ee4fd16bf7282bcf55174329b8076048a546c649f89e8e588bb0a4d584,0.3635164614851557,0.534587937977292,0.5321605376410745,0.4846822058452629,1949,1949,7,184,"[256, 387, 369, 278, 204, 271, 184]",184,"[256, 387, 369, 278, 204, 271, 184]",15.48149537667632,107.32421875,0.0,0.0,0.9219204169896402,0.9043014269364472,0.0948923617975531
MISAR_K7,T03_MORE_PRIVATE__GRAPH_TV_ONLY,GRAPH_TV_ONLY,T03_MORE_PRIVATE,49cc2dec96a2911be6e7f4580fc60e44589f942b29cbbc210f82a5b678e42d64,0.3631112287614091,0.5349712716958097,0.5325449782631823,0.4844158293836008,1949,1949,7,186,"[393, 370, 203, 278, 186, 269, 250]",186,"[393, 370, 203, 278, 186, 269, 250]",15.48149537667632,107.32421875,0.0,0.0,0.9244261802434736,0.9070916985497248,0.0922653471515641
MISAR_K7,T03_MORE_PRIVATE__PRIVATE_ONLY,PRIVATE_ONLY,T03_MORE_PRIVATE,7b5c7516a7466d1024485b0fdbd6af90986db98a45245aea39ea9d7491c8e7f1,0.3634458046811113,0.5357439665083862,0.5333219163698067,0.4846874434299729,1949,1949,7,188,"[203, 275, 371, 250, 269, 393, 188]",188,"[203, 275, 371, 250, 269, 393, 188]",15.48149537667632,107.32421875,0.0,0.0,0.9249273328942405,0.9077283242659554,0.0916046198202721
MISAR_K7,T03_MORE_PRIVATE__FULL,FULL,T03_MORE_PRIVATE,8c871c8b00a160964c26627cfecb6a6c509d7e327d085a239fc331c93f909a56,0.3633630588410614,0.5351051200211603,0.5326796933961759,0.4846133944329049,1949,1949,7,186,"[251, 278, 203, 370, 269, 186, 392]",186,"[251, 278, 203, 370, 269, 186, 392]",15.48149537667632,107.32421875,0.0,0.0,0.9244261802434736,0.9070808877226966,0.0922524147167632
MISAR_K7,T03_MORE_PRIVATE__PERMUTED_PRIVATE,PERMUTED_PRIVATE,T03_MORE_PRIVATE,d6e2ee62a88fd03bb995159dff63a86b6ce9e8388252fa7a2a13205402fce432,0.3609898129213864,0.5321113584561101,0.5296700753782185,0.4826351419670194,1949,1949,7,182,"[370, 256, 278, 270, 390, 203, 182]",182,"[370, 256, 278, 270, 390, 203, 182]",15.48149537667632,107.32421875,0.0,0.0,0.92347399020403,0.9061190473426414,0.0931044006225475
HUMAN_HIPPOCAMPUS_K7,IDENTITY_RETAINED,IDENTITY_RETAINED,IDENTITY,99f76468558f89ad18c3cec0a4107ccf1ab35b6627a4e7a24280b4bb10657d7f,0.1529342262585984,0.213902375356642,0.2107184298996735,0.3110711181134497,2500,2500,7,157,"[248, 521, 457, 523, 211, 157, 383]",157,"[248, 521, 457, 523, 211, 157, 383]",23.346692146733403,113.23046875,0.0,0.0,0.3691038075788315,0.2843261890395825,0.7153668475124392
HUMAN_HIPPOCAMPUS_K7,IDENTITY_FUSED,IDENTITY_FUSED,IDENTITY,a485463d52db29303d49058523f08892b3d1dee28b199139fdce2f7fccf9baee,0.1529815086582991,0.2243598299067289,0.2211450460927106,0.314889393534922,2500,2500,7,53,"[385, 494, 504, 395, 53, 505, 164]",53,"[385, 494, 504, 395, 53, 505, 164]",23.346692146733403,113.23046875,0.0,0.0,0.3977701440368911,0.3605449123908256,0.6359000295024793
HUMAN_HIPPOCAMPUS_K7,T01_BALANCED__L2_LOWPASS,L2_LOWPASS,T01_BALANCED,d688a27ffd2207201b7a5b166e98ec3f336348e9de20239f5a980d0ed0c34136,0.1748556120054148,0.2495119543633654,0.2463929011836047,0.3354221476462116,2500,2500,7,61,"[463, 165, 311, 61, 655, 443, 402]",61,"[463, 165, 311, 61, 655, 443, 402]",23.346692146733403,113.23046875,0.0,0.0,0.4239996682425078,0.381105849124029,0.61562325649719
HUMAN_HIPPOCAMPUS_K7,T01_BALANCED__GRAPH_TV_ONLY,GRAPH_TV_ONLY,T01_BALANCED,7939acf5f7cc0c93119ae6e2b1bd6197dad69dc0dbf17f2864441c5ec3937aaf,0.1609666065351694,0.2152999984250089,0.2121233152284838,0.3172968278500702,2500,2500,7,160,"[473, 508, 207, 160, 236, 464, 452]",160,"[473, 508, 207, 160, 236, 464, 452]",23.346692146733403,113.23046875,0.0,0.0,0.3748828527654695,0.2788357507343411,0.7209024696370744
HUMAN_HIPPOCAMPUS_K7,T01_BALANCED__PRIVATE_ONLY,PRIVATE_ONLY,T01_BALANCED,a485463d52db29303d49058523f08892b3d1dee28b199139fdce2f7fccf9baee,0.1529815086582991,0.2243598299067289,0.2211450460927106,0.314889393534922,2500,2500,7,53,"[385, 494, 504, 395, 53, 505, 164]",53,"[385, 494, 504, 395, 53, 505, 164]",23.346692146733403,113.23046875,0.0,0.0,0.3977701440368911,0.3605449123908256,0.6359000295024793
HUMAN_HIPPOCAMPUS_K7,T01_BALANCED__FULL,FULL,T01_BALANCED,c8df44126257a00ffd0fe39ad609e371220f89c1efe45c784512299028f5b8d0,0.1609799144346667,0.2192843692606624,0.2161371397657694,0.3158249306777834,2500,2500,7,163,"[488, 245, 426, 438, 495, 245, 163]",163,"[488, 245, 426, 438, 495, 245, 163]",23.346692146733403,113.23046875,0.0,0.0,0.3852998881565863,0.294795119902711,0.7048134676822129
HUMAN_HIPPOCAMPUS_K7,T01_BALANCED__PERMUTED_PRIVATE,PERMUTED_PRIVATE,T01_BALANCED,9d60b27fd2b51b2cc9cfda651f2214ef7c0ae2fe3fb86477da858d990130466e,0.1717000275414086,0.2343917741804273,0.2312135241526731,0.330599270046461,2500,2500,7,51,"[460, 163, 558, 429, 51, 364, 475]",51,"[460, 163, 558, 429, 51, 364, 475]",23.346692146733403,113.23046875,0.0,0.0,0.4049475236352709,0.3697355676484853,0.6266077577450444
HUMAN_HIPPOCAMPUS_K7,T02_MORE_TV__L2_LOWPASS,L2_LOWPASS,T02_MORE_TV,565b592cc427d292367286d833e99212652b59345093a504002b4a96e35b1ee7,0.1624700518284604,0.2428177169218216,0.239673992125922,0.3232099194174616,2500,2500,7,51,"[334, 476, 51, 449, 547, 476, 167]",51,"[334, 476, 51, 449, 547, 476, 167]",23.346692146733403,113.23046875,0.0,0.0,0.4386526986794102,0.4024759078358234,0.5937129472633375
HUMAN_HIPPOCAMPUS_K7,T02_MORE_TV__GRAPH_TV_ONLY,GRAPH_TV_ONLY,T02_MORE_TV,31e7248eb88afcba971f3d9fa2a5d3275224d14e72948230ab27fda9cb6f0a1c,0.1723757031033768,0.2390250817185539,0.2358643056984954,0.3315814916864055,2500,2500,7,51,"[406, 165, 417, 392, 595, 474, 51]",51,"[406, 165, 417, 392, 595, 474, 51]",23.346692146733403,113.23046875,0.0,0.0,0.4131582148053356,0.3786020396334531,0.6177221686761306
HUMAN_HIPPOCAMPUS_K7,T02_MORE_TV__PRIVATE_ONLY,PRIVATE_ONLY,T02_MORE_TV,a485463d52db29303d49058523f08892b3d1dee28b199139fdce2f7fccf9baee,0.1529815086582991,0.2243598299067289,0.2211450460927106,0.314889393534922,2500,2500,7,53,"[385, 494, 504, 395, 53, 505, 164]",53,"[385, 494, 504, 395, 53, 505, 164]",23.346692146733403,113.23046875,0.0,0.0,0.3977701440368911,0.3605449123908256,0.6359000295024793
HUMAN_HIPPOCAMPUS_K7,T02_MORE_TV__FULL,FULL,T02_MORE_TV,cecc09ed7a70f87785d52f63bb020963d4f6d61d9dd3a10b80be06152a0f1282,0.1728118915120868,0.242730693943853,0.2395875454549413,0.3330415459239772,2500,2500,7,61,"[464, 165, 316, 61, 633, 444, 417]",61,"[464, 165, 316, 61, 633, 444, 417]",23.346692146733403,113.23046875,0.0,0.0,0.4203115691594047,0.3766823567862528,0.6200353917962117
HUMAN_HIPPOCAMPUS_K7,T02_MORE_TV__PERMUTED_PRIVATE,PERMUTED_PRIVATE,T02_MORE_TV,401c58cf0e2f7c3e6e530daffd183120167a1a9ad1f769c7737a3f32ca7cc84a,0.1727108124606993,0.2381201655750014,0.234947854235085,0.3328713398411979,2500,2500,7,51,"[418, 160, 503, 437, 51, 331, 600]",51,"[418, 160, 503, 437, 51, 331, 600]",23.346692146733403,113.23046875,0.0,0.0,0.4103397258713768,0.3755992540807738,0.6206503225222886
HUMAN_HIPPOCAMPUS_K7,T03_MORE_PRIVATE__L2_LOWPASS,L2_LOWPASS,T03_MORE_PRIVATE,d688a27ffd2207201b7a5b166e98ec3f336348e9de20239f5a980d0ed0c34136,0.1748556120054148,0.2495119543633654,0.2463929011836047,0.3354221476462116,2500,2500,7,61,"[463, 165, 311, 61, 655, 443, 402]",61,"[463, 165, 311, 61, 655, 443, 402]",23.346692146733403,113.23046875,0.0,0.0,0.4239996682425078,0.381105849124029,0.61562325649719
HUMAN_HIPPOCAMPUS_K7,T03_MORE_PRIVATE__GRAPH_TV_ONLY,GRAPH_TV_ONLY,T03_MORE_PRIVATE,7939acf5f7cc0c93119ae6e2b1bd6197dad69dc0dbf17f2864441c5ec3937aaf,0.1609666065351694,0.2152999984250089,0.2121233152284838,0.3172968278500702,2500,2500,7,160,"[473, 508, 207, 160, 236, 464, 452]",160,"[473, 508, 207, 160, 236, 464, 452]",23.346692146733403,113.23046875,0.0,0.0,0.3748828527654695,0.2788357507343411,0.7209024696370744
HUMAN_HIPPOCAMPUS_K7,T03_MORE_PRIVATE__PRIVATE_ONLY,PRIVATE_ONLY,T03_MORE_PRIVATE,a485463d52db29303d49058523f08892b3d1dee28b199139fdce2f7fccf9baee,0.1529815086582991,0.2243598299067289,0.2211450460927106,0.314889393534922,2500,2500,7,53,"[385, 494, 504, 395, 53, 505, 164]",53,"[385, 494, 504, 395, 53, 505, 164]",23.346692146733403,113.23046875,0.0,0.0,0.3977701440368911,0.3605449123908256,0.6359000295024793
HUMAN_HIPPOCAMPUS_K7,T03_MORE_PRIVATE__FULL,FULL,T03_MORE_PRIVATE,dce6ecaaca4c1be12d3aa20484012ad37395851adcb383f7b473fb980c7f60c8,0.17306152432085,0.2390812520022036,0.2359216492470561,0.3319416789829306,2500,2500,7,51,"[405, 164, 427, 396, 586, 471, 51]",51,"[405, 164, 427, 396, 586, 471, 51]",23.346692146733403,113.23046875,0.0,0.0,0.4118450503978822,0.377653229366153,0.6186188174289048
HUMAN_HIPPOCAMPUS_K7,T03_MORE_PRIVATE__PERMUTED_PRIVATE,PERMUTED_PRIVATE,T03_MORE_PRIVATE,1bda0cd25630f32da6e420d95cad86272e6e2bfaab9f377c738a2e7754d661f0,0.1661330953139254,0.2312397513145229,0.2280479585697943,0.3260944485960961,2500,2500,7,51,"[461, 162, 546, 430, 51, 358, 492]",51,"[461, 162, 546, 430, 51, 358, 492]",23.346692146733403,113.23046875,0.0,0.0,0.4050016105911191,0.3692694509617099,0.6270883701296349
