scope,config_id,molecular,topology,learned,uncertainty,dual_improvement_count,worst_min_delta,mean_delta_ari,mean_delta_nmi,weight_sum
DIRECT_ALL3,M1_T2_L0.5_U0.5,1.0,2.0,0.5,0.5,0,-0.098974557785588,-0.04372677401848307,-0.026157016907166136,4.0
DIRECT_ALL3,M1_T2_L0.5_U1,1.0,2.0,0.5,1.0,0,-0.098974557785588,-0.04372677401848307,-0.026157016907166136,4.5
DIRECT_ALL3,M1_T2_L1_U0,1.0,2.0,1.0,0.0,0,-0.17109194117325038,-0.10426450735745603,-0.07056119286631175,4.0
DIRECT_ALL3,M1_T2_L1_U0.5,1.0,2.0,1.0,0.5,0,-0.10479476769223539,-0.045666843987365535,-0.033085508572824406,4.5
DIRECT_ALL3,M1_T2_L1_U1,1.0,2.0,1.0,1.0,0,-0.10479476769223539,-0.045666843987365535,-0.033085508572824406,5.0
DIRECT_ALL3,M1_T2_L2_U0,1.0,2.0,2.0,0.0,0,-0.17126051530862574,-0.10432069873591449,-0.07057948470723252,5.0
DIRECT_ALL3,M1_T2_L2_U0.5,1.0,2.0,2.0,0.5,0,-0.17126051530862574,-0.1021979799335863,-0.0681473004816902,5.5
DIRECT_ALL3,M1_T2_L2_U1,1.0,2.0,2.0,1.0,0,-0.17126051530862574,-0.1021979799335863,-0.0681473004816902,6.0
STRICT_LOSO_HELD_P22_K9,M0_T0.5_L0.5_U0,0.0,0.5,0.5,0.0,0,-0.17153643028359716,-0.10103754354174746,-0.06095033239371317,1.0
STRICT_LOSO_HELD_P22_K9,M0_T0.5_L0.5_U0.5,0.0,0.5,0.5,0.5,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,1.5
STRICT_LOSO_HELD_P22_K9,M0_T0.5_L0.5_U1,0.0,0.5,0.5,1.0,0,-0.030899402218832805,-0.014430791795074283,-0.01584447620292251,2.0
STRICT_LOSO_HELD_P22_K9,M0_T0.5_L1_U0,0.0,0.5,1.0,0.0,0,-0.17153643028359716,-0.10103754354174746,-0.06095033239371317,1.5
STRICT_LOSO_HELD_P22_K9,M0_T0.5_L1_U0.5,0.0,0.5,1.0,0.5,0,-0.17126051530862574,-0.10089958605426175,-0.060875374705661955,2.0
STRICT_LOSO_HELD_P22_K9,M0_T0.5_L1_U1,0.0,0.5,1.0,1.0,0,-0.3683878268811675,-0.2716840399745428,-0.19732625398020168,2.5
STRICT_LOSO_HELD_P22_K9,M0_T0.5_L2_U0,0.0,0.5,2.0,0.0,0,-0.17102304044932481,-0.10078084862461129,-0.060635297617807726,2.5
STRICT_LOSO_HELD_P22_K9,M0_T0.5_L2_U0.5,0.0,0.5,2.0,0.5,0,-0.4611580773078291,-0.31806916518787365,-0.23653414047493287,3.0
STRICT_LOSO_HELD_P22_K9,M0_T0.5_L2_U1,0.0,0.5,2.0,1.0,0,-0.4611580773078291,-0.31806916518787365,-0.23653414047493287,3.5
STRICT_LOSO_HELD_P22_K9,M0_T1_L0.5_U0,0.0,1.0,0.5,0.0,0,-0.001667107469963458,-0.000833553734981729,-0.0003947750935061056,1.5
STRICT_LOSO_HELD_P22_K9,M0_T1_L0.5_U0.5,0.0,1.0,0.5,0.5,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,2.0
STRICT_LOSO_HELD_P22_K9,M0_T1_L0.5_U1,0.0,1.0,0.5,1.0,0,-0.09954442765261096,-0.05060576756128721,-0.025075158922523377,2.5
STRICT_LOSO_HELD_P22_K9,M0_T1_L1_U0,0.0,1.0,1.0,0.0,0,-0.17153643028359716,-0.10103754354174746,-0.06095033239371317,2.0
STRICT_LOSO_HELD_P22_K9,M0_T1_L1_U0.5,0.0,1.0,1.0,0.5,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,2.5
STRICT_LOSO_HELD_P22_K9,M0_T1_L1_U1,0.0,1.0,1.0,1.0,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,3.0
STRICT_LOSO_HELD_P22_K9,M0_T1_L2_U0,0.0,1.0,2.0,0.0,0,-0.17153643028359716,-0.10103754354174746,-0.06095033239371317,3.0
STRICT_LOSO_HELD_P22_K9,M0_T1_L2_U0.5,0.0,1.0,2.0,0.5,0,-0.17126051530862574,-0.10089958605426175,-0.060875374705661955,3.5
STRICT_LOSO_HELD_P22_K9,M0_T1_L2_U1,0.0,1.0,2.0,1.0,0,-0.17126051530862574,-0.10089958605426175,-0.060875374705661955,4.0
STRICT_LOSO_HELD_P22_K9,M0_T2_L0.5_U0,0.0,2.0,0.5,0.0,0,-0.001667107469963458,-0.000833553734981729,-0.0003947750935061056,2.5
STRICT_LOSO_HELD_P22_K9,M0_T2_L0.5_U0.5,0.0,2.0,0.5,0.5,0,-0.001667107469963458,-0.000833553734981729,-0.0003947750935061056,3.0
STRICT_LOSO_HELD_P22_K9,M0_T2_L0.5_U1,0.0,2.0,0.5,1.0,0,-0.09954442765261096,-0.05060576756128721,-0.025075158922523377,3.5
STRICT_LOSO_HELD_P22_K9,M0_T2_L1_U0,0.0,2.0,1.0,0.0,0,-0.001667107469963458,-0.000833553734981729,-0.0003947750935061056,3.0
STRICT_LOSO_HELD_P22_K9,M0_T2_L1_U0.5,0.0,2.0,1.0,0.5,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,3.5
STRICT_LOSO_HELD_P22_K9,M0_T2_L1_U1,0.0,2.0,1.0,1.0,0,-0.030538656799897756,-0.016102882134930607,-0.008282686842363274,4.0
