candidate_index,candidate_id,profile_id,arm,start_index,start_name,partition_sha256,changed_observations,structure_feasible,ari,nmi,ami,fmi,homogeneity,v_measure,moran_indicator_macro,geary_indicator_macro,neighbor_agreement,observed_k,min_cluster_size,cluster_sizes
20,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__L2_LOWPASS_MATCHED__ATAC_REGULATORY_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,L2_LOWPASS_MATCHED,7,ATAC_REGULATORY_KMEANS_S0,897b1c3fe9c6b28f98672bf25f30e15a04917f1f36345ba72c11e207f2ff3faa,1120,True,0.40034153860379124,0.5268218950453708,0.5206975434936194,0.4984205342274213,0.5657452071083238,0.5268218950453707,0.3303296074585623,0.6866139652994702,0.3050072219547424,10,44,"[291, 197, 44, 180, 170, 95, 112, 293, 228, 52]"
21,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__L2_LOWPASS_MATCHED__ATAC_REGULATORY_KMEANS_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,L2_LOWPASS_MATCHED,8,ATAC_REGULATORY_KMEANS_S1,0518c865be90b65ddd8c249871db7022e6437abc559d9e876e85328535886aa8,1054,True,0.3848142359785787,0.5055194185027502,0.4991964486279963,0.4845662048862443,0.5485862670730637,0.5055194185027502,0.28550265974803535,0.7202303541052391,0.3103033220991815,10,43,"[110, 155, 151, 242, 296, 226, 93, 148, 43, 198]"
22,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__L2_LOWPASS_MATCHED__LOWPASS_FUSED_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,L2_LOWPASS_MATCHED,9,LOWPASS_FUSED_KMEANS_S0,62e75e40cc7c599e57a3fca064fb9be6974ccbb0d3fa4849a6f7623451d52c80,290,True,0.3506293351008363,0.5438635908685714,0.5378417818628725,0.4588970271223072,0.574909029090549,0.5438635908685713,0.31890540679298895,0.6942228527515939,0.3249879634087626,10,45,"[442, 115, 55, 215, 45, 256, 100, 95, 191, 148]"
23,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__L2_LOWPASS_MATCHED__LOWPASS_FUSED_KMEANS_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,L2_LOWPASS_MATCHED,10,LOWPASS_FUSED_KMEANS_S1,9ec4ac628b42774d2f336be086cd762fdb369a01601fbccc2e9b03e549459bb7,223,True,0.41386611922110905,0.5539990364215415,0.5482553380126318,0.5100461598509137,0.5979003632645562,0.5539990364215415,0.2561869885993289,0.7499602110216789,0.2927298988926336,10,43,"[43, 97, 209, 172, 229, 272, 108, 108, 119, 305]"
24,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__L2_LOWPASS_MATCHED__FUSED_GMM_DIAG_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,L2_LOWPASS_MATCHED,11,FUSED_GMM_DIAG_S0,1aed8ab161fc54228703775099c58199a9fdcbc35e008bb8d1074fb8fc1ba102,518,True,0.37059687981510664,0.5268495229761752,0.5207033504995205,0.4733414569495425,0.5651418157429586,0.5268495229761752,0.2804839385855993,0.7340140668276159,0.31872893596533464,10,52,"[271, 100, 140, 109, 183, 381, 52, 121, 212, 93]"
25,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__L2_LOWPASS_MATCHED__FUSED_GMM_DIAG_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,L2_LOWPASS_MATCHED,12,FUSED_GMM_DIAG_S1,1e0295d299f76da4673db252ddd13fa9c5e7fdcdc44a331139aa6bfd86fc5cc8,493,True,0.3681634531544642,0.5445986034006092,0.538762469342453,0.4702253593178335,0.591021895669657,0.5445986034006093,0.22077052548619852,0.7829756296011638,0.3086181993259509,10,80,"[367, 139, 212, 110, 80, 168, 100, 217, 132, 137]"
26,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__FULL_FROZEN_ENERGY__FUSED_KMEANS_S0,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,FULL_FROZEN_ENERGY,0,FUSED_KMEANS_S0,b60cc6b5996254cd455d2f6e9cdab5104f17e759be33ccd7952fdd56a254cc66,1141,True,0.030578236734994577,0.12342015319206402,0.11096145400216134,0.24494332623526865,0.11422989139882382,0.12342015319206402,0.9379191232749233,0.05760262463038688,0.9675012036591237,10,5,"[6, 5, 14, 69, 171, 648, 51, 67, 509, 122]"
27,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__FULL_FROZEN_ENERGY__FUSED_KMEANS_S1,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,FULL_FROZEN_ENERGY,1,FUSED_KMEANS_S1,ba2097462d4bab3ddbbf28d9e8a185ab8d786a015bd987795b8712f9b5ac336b,1174,False,0.0304903698406734,0.1097639333593921,0.09707342441317468,0.2671484245107802,0.09521603541241397,0.10976393335939211,0.6020391793417659,0.43791979175463147,0.9357246027924891,10,1,"[22, 246, 777, 22, 7, 21, 12, 1, 88, 466]"
28,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__FULL_FROZEN_ENERGY__FUSED_KMEANS_S2,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,FULL_FROZEN_ENERGY,2,FUSED_KMEANS_S2,5e9452154fc96db7518328664023709b6bb076eaf7836a333e83d45c7f260265,1156,False,0.010396848887790007,0.11195097754471231,0.09581548671327754,0.38726164151302644,0.07242729821029285,0.1119509775447123,0.5648891264011655,0.4465499652246486,0.9634087626384208,10,1,"[6, 34, 14, 15, 100, 1464, 9, 15, 1, 4]"
29,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER__FULL_FROZEN_ENERGY__FUSED_KMEANS_S3,RNA_CHROMATIN_FAMILY_GEOMETRIC_CENTER,FULL_FROZEN_ENERGY,3,FUSED_KMEANS_S3,912fc070a197b2d1454991eb8beebaa0aaa16f889421b975b6bf544d789f41bf,1379,False,-0.00583561349871602,0.11422014291804417,0.0973404998114756,0.37830586297359686,0.07324810740030045,0.11422014291804417,0.488859695849301,0.5618869167969321,0.9530572941742899,10,1,"[19, 1, 6, 23, 1488, 9, 12, 29, 59, 16]"
