lane,start_index,start_id,certificate_config_id,full_candidate_id,full_partition_sha256,absolute_ari,absolute_nmi,baseline_ari,baseline_nmi,delta_ari_vs_noop,delta_nmi_vs_noop,dual_gain_vs_noop,dominating_key_controls,byte_exact_key_controls,independent_dual_gain,strictly_beaten_key_controls,strict_independent_dual_gain,trusted_fraction,changed_from_initial,min_cluster_size_full
P22_K9,1,KMEANS_RETAINED_S0,Q80_S2_KEEP0_E1E6,KMEANS_RETAINED_S0__Q80_S2_KEEP0_E1E6__CCSR_FULL,71b6a690e0a1301093370b8aa6d79931ef5a3f8d5c964ec75e6932400ba08e2e,0.5029600994209105,0.636461183251417,0.4783709631885838,0.6071249240502686,0.02458913623232667,0.02933625920114835,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,,False,0.19976076555023922,1129,670
P22_K9,1,KMEANS_RETAINED_S0,Q80_S2_KEEP1_E1E6,KMEANS_RETAINED_S0__Q80_S2_KEEP1_E1E6__CCSR_FULL,502acdcd64bfb12f742c0dfe3a68d95b193bbad0a3e6c5ebfed8ee86f0ea2b93,0.5127780828746243,0.6424539216623882,0.4783709631885838,0.6071249240502686,0.034407119686040544,0.035328997612119606,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.19976076555023922,921,702
P22_K9,1,KMEANS_RETAINED_S0,Q80_S3_KEEP0_E1E6,KMEANS_RETAINED_S0__Q80_S3_KEEP0_E1E6__CCSR_FULL,9e2e0bcb7aab889bb8559ad71682445eb419005baec262fcdb92a62b5da1957f,0.5031350313101787,0.6369615134570922,0.4783709631885838,0.6071249240502686,0.024764068121594873,0.029836589406823544,True,NIGHT15F_ORIGINAL_SELF_RETURN,,False,,False,0.19290996085254458,1131,668
P22_K9,1,KMEANS_RETAINED_S0,Q80_S3_KEEP1_E1E6,KMEANS_RETAINED_S0__Q80_S3_KEEP1_E1E6__CCSR_FULL,28c9b54d160ba3a411c4e3e598e9dcb3e602ab2f081ab176594d0019a4ab7098,0.5129201104626919,0.6426234783027793,0.4783709631885838,0.6071249240502686,0.03454914727410813,0.035498554252510695,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.19290996085254458,923,701
P22_K9,2,KMEANS_RETAINED_S1,Q50_S2_KEEP0_E1E6,KMEANS_RETAINED_S1__Q50_S2_KEEP0_E1E6__CCSR_FULL,bd39167f3163ed86df4bf6affe404291af0a22bacede085581fd1f0ee16f08f8,0.4896415437414557,0.6243475933170946,0.4490447455901838,0.5869323958022975,0.04059679815127187,0.03741519751479705,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.4964114832535885,1126,165
P22_K9,2,KMEANS_RETAINED_S1,Q50_S2_KEEP1_E1E6,KMEANS_RETAINED_S1__Q50_S2_KEEP1_E1E6__CCSR_FULL,da7a350ced0ee4e4c348129ccf57b55319af887a0c4b400a741965ec11dc49bb,0.4888652226507258,0.6257744669285452,0.4490447455901838,0.5869323958022975,0.03982047706054198,0.03884207112624771,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.4964114832535885,905,166
P22_K9,2,KMEANS_RETAINED_S1,Q50_S3_KEEP0_E1E6,KMEANS_RETAINED_S1__Q50_S3_KEEP0_E1E6__CCSR_FULL,1a53c2dfc5537bfcf1e6f3bb0a2489731b29c8ad10cbc20a74d4b76735029e89,0.4915511031309116,0.6285136859400867,0.4490447455901838,0.5869323958022975,0.04250635754072779,0.04158129013778922,True,CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.45911265767725096,1148,166
P22_K9,2,KMEANS_RETAINED_S1,Q50_S3_KEEP1_E1E6,KMEANS_RETAINED_S1__Q50_S3_KEEP1_E1E6__CCSR_FULL,78387a7b0513624407740b0ddabe26b4e3a0e0d0a1c74035ce80371fb3927000,0.4900075069794381,0.6286541499002863,0.4490447455901838,0.5869323958022975,0.04096276138925431,0.04172175409798884,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.45911265767725096,912,166
P22_K9,2,KMEANS_RETAINED_S1,Q65_S2_KEEP0_E1E6,KMEANS_RETAINED_S1__Q65_S2_KEEP0_E1E6__CCSR_FULL,fc166cfe59764a93016ea8b351f575bd4c84f23cd405f56de7a48e57ab014760,0.487862687319751,0.6314268269350968,0.4490447455901838,0.5869323958022975,0.03881794172956721,0.04449443113279927,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.3486298390604611,1228,167
P22_K9,2,KMEANS_RETAINED_S1,Q65_S2_KEEP1_E1E6,KMEANS_RETAINED_S1__Q65_S2_KEEP1_E1E6__CCSR_FULL,6d6ccf5291a42bf1f21f167040c226848f4d55d8b3cb7568b497c3cb5f4af879,0.4852015482968876,0.6230584740790887,0.4490447455901838,0.5869323958022975,0.036156802706703794,0.03612607827679115,True,NIGHT15F_ORIGINAL_SELF_RETURN|CCSR_CERTIFICATE_DISABLED,,False,CCSR_RANDOM_MASK_COUNT_MATCHED,False,0.3486298390604611,939,166
