lane,start_index,start_id,certificate_config_id,partition_sha256,trusted_count,trusted_fraction,certified_changed_count,noncertified_changed_count,certificate_gap_mean,certificate_gap_max,certificate_epsilon_max,mean_untrusted_original_stay,each_frozen_cycle_monotone,exact_k
MISAR_K7,0,AUTHORITY_STRONG_START,Q50_S2_KEEP1_E1E6,8022356d937c8f1a8018b2c0bf03eaa105528961be9abe0e5463b690925f8696,939,0.4817855310415598,0,4,2.5327180399912304,10.453005270161261,6.51150619982938e-05,0.9382350415748776,1,7
MISAR_K7,0,AUTHORITY_STRONG_START,Q50_S3_KEEP0_E1E6,dfb8545b9b50fbf8ae184d28016d151ce13690bc795bc1b65a23908653367773,812,0.41662390969728064,0,42,2.1750516814858343,10.45300491205026,6.475695099493965e-05,0.0,1,7
MISAR_K7,0,AUTHORITY_STRONG_START,Q50_S3_KEEP1_E1E6,8022356d937c8f1a8018b2c0bf03eaa105528961be9abe0e5463b690925f8696,812,0.41662390969728064,0,4,2.1750518630104225,10.453005347753983,6.519265471856514e-05,1.0473093545590468,1,7
MISAR_K7,0,AUTHORITY_STRONG_START,Q65_S2_KEEP0_E1E6,dfb8545b9b50fbf8ae184d28016d151ce13690bc795bc1b65a23908653367773,657,0.3370959466393022,0,42,1.767717558842258,10.45300491205026,6.475695099493965e-05,0.0,1,7
MISAR_K7,0,AUTHORITY_STRONG_START,Q65_S2_KEEP1_E1E6,8022356d937c8f1a8018b2c0bf03eaa105528961be9abe0e5463b690925f8696,657,0.3370959466393022,0,4,1.7677177275401326,10.453005412494944,6.525739567946917e-05,1.195007569107885,1,7
MISAR_K7,0,AUTHORITY_STRONG_START,Q65_S3_KEEP0_E1E6,dfb8545b9b50fbf8ae184d28016d151ce13690bc795bc1b65a23908653367773,574,0.2945100051308363,0,42,1.5331400355050062,10.45300491205026,6.475695099493965e-05,0.0,1,7
MISAR_K7,0,AUTHORITY_STRONG_START,Q65_S3_KEEP1_E1E6,8022356d937c8f1a8018b2c0bf03eaa105528961be9abe0e5463b690925f8696,574,0.2945100051308363,0,4,1.5331401928397286,10.453005446275649,6.529117638498695e-05,1.264576121319369,1,7
MISAR_K7,0,AUTHORITY_STRONG_START,Q80_S2_KEEP0_E1E6,dfb8545b9b50fbf8ae184d28016d151ce13690bc795bc1b65a23908653367773,378,0.193945613134941,0,42,0.9760980331929474,10.053379843349852,6.475695099493965e-05,0.0,1,7
MISAR_K7,0,AUTHORITY_STRONG_START,Q80_S2_KEEP1_E1E6,8022356d937c8f1a8018b2c0bf03eaa105528961be9abe0e5463b690925f8696,378,0.193945613134941,0,4,0.976098125983303,10.05338032178478,6.523538592335939e-05,1.4335168803510039,1,7
MISAR_K7,0,AUTHORITY_STRONG_START,Q80_S3_KEEP0_E1E6,dfb8545b9b50fbf8ae184d28016d151ce13690bc795bc1b65a23908653367773,338,0.17342226782965622,0,42,0.8719362189557098,10.053379843349852,6.475695099493965e-05,0.0,1,7
MISAR_K7,0,AUTHORITY_STRONG_START,Q80_S3_KEEP1_E1E6,8022356d937c8f1a8018b2c0bf03eaa105528961be9abe0e5463b690925f8696,338,0.17342226782965622,0,4,0.8719363016619731,10.053380320256679,6.523385782142743e-05,1.468619353754758,1,7
MISAR_K7,1,KMEANS_RETAINED_S0,Q50_S2_KEEP0_E1E6,6ef4290980ef8081f0cea2b6dd1564587541aa3dd5eaa1c255b6e8594c8b252e,969,0.49717804002052335,0,97,2.5589901206046837,10.082453636761004,6.467905439693095e-05,0.0,1,7
MISAR_K7,1,KMEANS_RETAINED_S0,Q50_S2_KEEP1_E1E6,ee139fac93efb4a15878ad00ac00e39c4fed2b91977702db2e1da2ec907b7be2,969,0.49717804002052335,0,47,2.558990310302764,10.0824540183106,6.506060399399119e-05,0.9156297239971346,1,7
MISAR_K7,1,KMEANS_RETAINED_S0,Q50_S3_KEEP0_E1E6,6ef4290980ef8081f0cea2b6dd1564587541aa3dd5eaa1c255b6e8594c8b252e,840,0.43099025141097996,0,97,2.1798389735307184,10.028987840869645,6.467905439693095e-05,0.0,1,7
MISAR_K7,1,KMEANS_RETAINED_S0,Q50_S3_KEEP1_E1E6,ee139fac93efb4a15878ad00ac00e39c4fed2b91977702db2e1da2ec907b7be2,840,0.43099025141097996,0,47,2.1798391995939275,10.028988365390113,6.520357486638071e-05,1.0212025443665667,1,7
MISAR_K7,1,KMEANS_RETAINED_S0,Q65_S2_KEEP0_E1E6,6ef4290980ef8081f0cea2b6dd1564587541aa3dd5eaa1c255b6e8594c8b252e,682,0.34992303745510517,0,97,1.8252145426357527,10.082453636761004,6.467905439693095e-05,0.0,1,7
MISAR_K7,1,KMEANS_RETAINED_S0,Q65_S2_KEEP1_E1E6,ee139fac93efb4a15878ad00ac00e39c4fed2b91977702db2e1da2ec907b7be2,682,0.34992303745510517,0,47,1.8252147539489627,10.082454240645822,6.528293921598461e-05,1.1818119365930382,1,7
