unit_id,raw_target,canonical_identifier,gene_id,status,authority,selected_for_engineering
P10S1,GFP,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S1,PDGFR2,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S1,GFAP,Gfap,14580,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,PAX6,Pax6,18508,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,IBA1,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S1,NeuN,Rbfox3,52897,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,OLIGO2,Olig2,50913,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,MBP,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S1,Degraded_MBP,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S1,unmapped,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD4,Cd4,12504,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD8a,Cd8a,12525,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD366,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD279,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,Ms_Ly_6C,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD11b,Itgam,16409,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,Ms_Ly_6G,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD49f,Itga6,16403,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD44,Cd44,12505,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD54,Icam1,15894,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD90.2,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD73,Nt5e,23959,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD49d,Itga4,16401,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD200,Cd200,17470,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,Isotype_MOPC_21,,,control,deposited isotype-control name,false
P10S2,Isotype_MOPC_173,,,control,deposited isotype-control name,false
P10S2,Isotype_MPC_11,,,control,deposited isotype-control name,false
P10S2,CD19,Cd19,12478,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,Isotype_RTK4530,,,control,deposited isotype-control name,false
P10S2,CD45,Ptprc,19264,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD25,Il2ra,16184,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD45R_B220,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD102,Icam2,15896,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD115,Csf1r,12978,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD11c,Itgax,16411,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD21_CD35,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD23,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S2,CD43,Spn,20737,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD5,Cd5,12507,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD62L,Sell,20343,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD93,Cd93,17064,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,F4_80,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,FceRIa,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,I_A_I_E,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,NK_1_1,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,Siglec_H,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,TCR_Bchain,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,TCR_RD_GL3,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,TER_119,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,Ly_6A_E,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD45_2,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD3,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S2,CD274,Cd274,60533,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,Rt_CD27,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD20,Ms4a1,12482,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD357,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD137,Tnfrsf9,21942,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD134,Tnfrsf4,22163,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD69,Cd69,12515,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD127,Il7r,16197,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD86,Cd86,12524,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD103,Itgae,16407,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD64,Fcgr1,14129,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD150,Slamf1,27218,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD24,Cd24a,12484,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,integrin_b7,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S2,CD106,Vcam1,22329,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,CD8b,Cd8b1,12526,unique,NCBI Gene exact Symbol/Synonym token,true
P10S2,Isotype_RTK2071,,,control,deposited isotype-control name,false
