dataset,variant,deterministic_embedding_sha256,training_seed,endpoint_seed,k,total_observations,evaluated_observations,ordered_id_sha256,partition_sha256,inertia,centroid_margin,change_rate_vs_endpoint_seed0,wall_seconds,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,identity_ari,identity_nmi,delta_ari,delta_nmi,win_both
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,20,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,2b604820b877a14ad0e0e4720f03484d99a90d17d14c29889114a0cba311f070,177774.984375,0.09293528954244266,0.21555683122847302,3.7872653659433126,0.22709680638063634,0.3555041791423878,0.3515451072620911,0.3807783823782637,0.38201423162570214,0.35550417914238774,0.4526662881373523,0.5503416893052586,0.22709680638063634,0.3555041791423878,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,21,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,2e2a4eaab876b4764601700191d002987eac3021efcdc0bdd2fd4f5d7eb7ae5f,177328.140625,0.09203875197061526,0.19948335246842708,3.700974551960826,0.2207519301350847,0.3456701715646149,0.34187814023333,0.374794435813429,0.3703275641618052,0.3456701715646149,0.42975233391595696,0.5870749066142785,0.2207519301350847,0.3456701715646149,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,22,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,5bf7fe41383ad6c4e9ff3d384acc34362b29739323b79a07989887209ca6a793,177618.390625,0.09175562716891754,0.22646383467278985,3.4844969157129526,0.220962888655468,0.35077753794767796,0.34676175374640317,0.37345454039130505,0.38148331082042014,0.35077753794767796,0.4818612111248419,0.520769234698386,0.220962888655468,0.35077753794767796,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,23,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,85cf40e8b05137ee0a9feee190dcda3f57b78bb43434b0dc1cf14429934be8aa,177190.609375,0.09276339160387323,0.235361653272101,3.6167316269129515,0.2283517301471887,0.3552567596421055,0.3512593615884743,0.3801767503113946,0.3851367080931974,0.3552567596421055,0.4754763159558175,0.5231726055165928,0.2283517301471887,0.3552567596421055,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,24,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,e1ee42cbdedae3951a303b143bcdf3d13f824fcc0ca8744bb566e1843a4f0f21,177359.4375,0.09725240218822827,0.365097588978186,3.596212415024638,0.25993929904721635,0.3692919828916761,0.36547000737931457,0.42214639401244114,0.37798500351438474,0.36929198289167614,0.45333518614674306,0.5471155086099391,0.25993929904721635,0.3692919828916761,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,25,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,7321b64f90d7009c8340e57d133fa9f2d0b665e8dae07bc107509384a6c8eb0d,177187.203125,0.0930992354119648,0.22962112514351318,3.7944848109036684,0.2249553984230806,0.3510525070974241,0.34702629618746894,0.3778576673741741,0.38072498286160106,0.351052507097424,0.4778145610934965,0.5218609054175607,0.2249553984230806,0.3510525070974241,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,26,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,298382a8007d7f0be898a4c834730ab1411c7fa3f15de36e723dba9f3e0035bd,178029.640625,0.09058218579955996,0.2299081515499426,3.6054310090839863,0.2209610263371799,0.33585633590402025,0.3320012330073301,0.37502033868066076,0.35918338309281,0.3358563359040203,0.4283428880502466,0.5743813569320506,0.2209610263371799,0.33585633590402025,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,27,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,cc502db38e67b043c06c9c7c056e6959f11b71c583c3ec2079080dc4ce461d81,177770.0625,0.09685810853208318,0.37600459242250284,3.4693123027682304,0.264294169133279,0.3686388386227547,0.36456471185780065,0.4232469175012953,0.3832734661810189,0.3686388386227548,0.4966287019856708,0.51624292545838,0.264294169133279,0.3686388386227547,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,28,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,e8c9cb5b1232474f8f23192a296748eb23addb0f71e08b3fd2cdb71497106d80,177997.90625,0.086376471680709,0.10074626865671643,3.733070757240057,0.22888948771888035,0.3605601831433246,0.35669584785835895,0.3730699813784725,0.40160092271008296,0.36056018314332455,0.4746463409205616,0.5274953138257952,0.22888948771888035,0.3605601831433246,0.0,0.0,False
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,NOT_APPLICABLE,29,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,4925aad0a152db4913a71792c9562616c4248bff659efb3de47eb2326dff6397,178038.140625,0.08712162817967958,0.08639494833524686,3.8788903895765543,0.20606472464333028,0.3335854526379733,0.32954911066741216,0.3544768419087629,0.3707950208839912,0.33358545263797323,0.46420776893877463,0.537936879140846,0.20606472464333028,0.3335854526379733,0.0,0.0,False
A1,B10_MIXTURE,bcc2990e91751c5c942e28fe4233c163e1033f28eb4018294f21536c8dcafef3,NOT_APPLICABLE,0,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,5d87c16ac05a33daa28cda3b0914fb4af1401be84b1b2486ee6441b607e932fd,157275.234375,0.10227234066205992,0.0,4.673441085964441,0.26929200747390925,0.3816576360584507,0.3776770242539349,0.42742426302601255,0.39508228871332146,0.38165763605845077,0.506203948094449,0.4906624138890239,0.22115084021548198,0.3555763553356055,0.048141167258427264,0.026081280722845213,True
