dataset,variant,deterministic_embedding_sha256,endpoint_seed_count,n_init,ari_mean,ari_sd,nmi_mean,nmi_sd,ami_mean,fmi_mean,inertia_mean,centroid_margin_mean,partition_change_rate_mean,consensus_method,consensus_medoid_endpoint_seed,consensus_mean_pairwise_ari,consensus_partition_sha256,consensus_absolute_ari,consensus_absolute_nmi,consensus_ami,consensus_fmi,consensus_homogeneity,consensus_v_measure,consensus_morans_i,consensus_gearys_c,identity_ari_mean,identity_nmi_mean,identity_consensus_ari,identity_consensus_nmi,delta_ari_mean,delta_nmi_mean,consensus_delta_ari,consensus_delta_nmi,paired_endpoint_win_both_rate,semantic_lane
D1,FIXED_BETA_0.32,b4e3ca691c5f65c273a6825bce93f7e21d22e64e48adfceb2775468f98b8e4a7,10,20,0.2340123706895612,0.01192006392578557,0.36483626791505896,0.006311779619160134,0.36055943039486266,0.3812462175015659,93629.66875,0.11347751891651672,0.15730872283417682,PAIRWISE_ARI_MEDOID,9,0.8068465245113601,20271881a57678d7b35e2e774a8c554574e4be2c8d9f33daaebad7d6b6d36377,0.2304857878989671,0.36625762583832894,0.3619617158946783,0.38002617473506656,0.393872526958839,0.36625762583832894,0.6383054789300487,0.36354945378318065,0.23981370520581194,0.35584866347085103,0.23866357975501026,0.35794867816467446,-0.005801334516250728,0.00898760444420793,-0.00817779185604317,0.008308947673654477,0.4,COMMON_HEAD_ROBUSTNESS
tonsil_s1,IDENTITY,0374ab13fee4b236db2d1bbf0d245aada26e52bb76a56d35f5e48f521c65096f,30,20,0.1563975610419868,0.024633361339874944,0.2748507352406529,0.01211625293766817,0.27419342098048183,0.46550064103356115,238021.309375,0.10649116914171451,0.17844043766373865,PAIRWISE_ARI_MEDOID,20,0.814522761186508,dcd73ee2c5f482feb87c1b2c0d9c353a1624bc88c67b162537c3e5efde07a183,0.1477773149447954,0.2743170927462934,0.2736447207655526,0.4710660043203413,0.2920302971393693,0.27431709274629335,0.6494820396783048,0.3498704027815027,0.1563975610419868,0.2748507352406529,0.1477773149447954,0.2743170927462934,0.0,0.0,0.0,0.0,0.0,COMMON_HEAD_ROBUSTNESS
tonsil_s1,B10_MIXTURE,2694e4be0cc41ccdc2c024aedfdf322f2b31efc2646f677bdd5e4996ee526f3a,30,20,0.15628820491208337,0.024531103288268078,0.2747833846077777,0.012132952750017299,0.27412602311396067,0.4654158262996602,238007.453125,0.10649399101651458,0.17844043766373865,PAIRWISE_ARI_MEDOID,20,0.8144267384288528,dcd73ee2c5f482feb87c1b2c0d9c353a1624bc88c67b162537c3e5efde07a183,0.1477773149447954,0.2743170927462934,0.2736447207655526,0.4710660043203413,0.2920302971393693,0.27431709274629335,0.6494820396783048,0.3498704027815027,0.1563975610419868,0.2748507352406529,0.1477773149447954,0.2743170927462934,-0.00010935612990342625,-6.735063287521825e-05,0.0,0.0,0.06666666666666667,COMMON_HEAD_ROBUSTNESS
tonsil_s1,P4_ONLY,786db44313ed64f009428c8cdf56d5f87f410a779d5de29db11f4402ffe60926,10,20,0.15936396816150017,0.0013297507910390387,0.2706136872455963,0.000719377637716971,0.26997785215340675,0.44853318233552947,103190.56796875,0.14223694104933707,0.0039990753582986645,PAIRWISE_ARI_MEDOID,9,0.9889231567820402,4229e340fb7604e67fef91038dff9a56b8bb5b5d45a5a9e800fcbabcb2f4ae6e,0.158658467495727,0.2698739674547033,0.2692376101951634,0.44797423457132374,0.3049198745742632,0.2698739674547034,0.7541372712219736,0.24599742664412763,0.1563975610419868,0.2748507352406529,0.1477773149447954,0.2743170927462934,0.0029664071195133757,-0.0042370479950565865,0.010881152550931611,-0.004443125291590078,0.3,COMMON_HEAD_ROBUSTNESS
tonsil_s1,P18_ONLY,0e6fa3af540896726da4fd4abe7ee62c616d1f7deaf721842a18885f9ca354a4,10,20,0.0569994374180844,0.000397438696376459,0.1513665262863592,0.001045449237268015,0.1506233520969345,0.38086597528039506,53513.01328125,0.18245396113682893,0.010980120203421173,PAIRWISE_ARI_MEDOID,1,0.9744302324663578,0a5df2277b2ba1cb48264f5b9aff19f727ac4be1596908bdd7195be43f45c12d,0.056640517417469935,0.15078783081361455,0.15004460566562963,0.38023878953570966,0.1696817362795364,0.15078783081361458,0.8390760082886206,0.16166894713438307,0.1563975610419868,0.2748507352406529,0.1477773149447954,0.2743170927462934,-0.09939812362390239,-0.12348420895429371,-0.09113679752732547,-0.12352926193267885,0.0,COMMON_HEAD_ROBUSTNESS
tonsil_s1,FIXED_BETA_0.04,bd6ab94562cefd5e995f7422a2635fd8d3dbcc5ad84194688e339920a5edbceb,10,20,0.1596605366360988,0.02600860287905356,0.2806819513120515,0.008634542574054774,0.28002766377066557,0.4687855178322697,225437.0109375,0.10962254137000445,0.2146786870087841,PAIRWISE_ARI_MEDOID,3,0.8303255288489941,0361f2be76718708996076fbce1f49ba4940ad3dddef74672e6a3d024181c6ba,0.14758480602360036,0.2735249134499594,0.27285097214167553,0.47161489566248405,0.29083514577443975,0.2735249134499594,0.6532211604669469,0.34603466166577845,0.1563975610419868,0.2748507352406529,0.1477773149447954,0.2743170927462934,0.003262975594112011,0.005831216071398582,-0.0001925089211950448,-0.0007921792963340168,0.5,COMMON_HEAD_ROBUSTNESS
tonsil_s1,FIXED_BETA_0.16,50b6fe1eb6e3e50a9139ca4b4d4737e39a4930bfbdbac773ee18e9a8c25ba650,10,20,0.15346373046526912,0.0015135603184208524,0.2778037606698473,0.00425889794639327,0.2771347395254869,0.47384990478037,191267.18125,0.1193199115556737,0.0396208969024503,PAIRWISE_ARI_MEDOID,1,0.9766917246420153,3e0328fad68e8cd9fe404bf388363a79557d2bc7c8a089a83110ffaede1bc6e6,0.15429835140633982,0.2763693565395505,0.2756974457820491,0.47588276706914573,0.29360049651690917,0.27636935653955047,0.6780249415214089,0.32126012825446637,0.1563975610419868,0.2748507352406529,0.1477773149447954,0.2743170927462934,-0.002933830576717672,0.0029530254291944003,0.006521036461544422,0.0020522637932571253,0.7,COMMON_HEAD_ROBUSTNESS
tonsil_s1,FIXED_BETA_0.32,e528b0adcd0f1b63a90e9dacded167fb3738dede40399542a1e23e8fe450ce6c,10,20,0.15630650504306248,0.011894989025489034,0.2783269757280965,0.005548238200638807,0.27766951839073617,0.46719214220024263,154199.6421875,0.13114867053083207,0.267799352750809,PAIRWISE_ARI_MEDOID,6,0.8835105580917743,5cd80643abdfb2bda7d119106ebcae3da9c9828e9a4dc0943a9048e10b663261,0.1502026184385976,0.2735477178754165,0.27287671445634776,0.47032589727401425,0.29209930261834427,0.27354771787541654,0.6935438822234384,0.3050832295853817,0.1563975610419868,0.2748507352406529,0.1477773149447954,0.2743170927462934,-9.105599892431093e-05,0.003476240487443605,0.002425303493802211,-0.0007693748708769155,0.6,COMMON_HEAD_ROBUSTNESS
tonsil_s2,IDENTITY,e80f34da4f4137a4079a1b79078fae48d5dba1abde6f1886ec373770dbf5409d,30,20,0.16789742055382764,0.019905992414931472,0.2694354291741437,0.004818100602772443,0.2688173935619522,0.459823342293192,248878.69010416666,0.10029129800471483,0.11119716751493693,PAIRWISE_ARI_MEDOID,4,0.8151218670748803,e9fff53c2cd1ab2e42261bc71c186bdbf19be9347e299988ff668e279d0aacc0,0.15171735129486796,0.267430886702876,0.26678923353048717,0.46602100805035795,0.2798451493948876,0.267430886702876,0.6629254442800888,0.3339388316193066,0.16789742055382764,0.2694354291741437,0.15171735129486796,0.267430886702876,0.0,0.0,0.0,0.0,0.0,COMMON_HEAD_ROBUSTNESS
tonsil_s2,B10_MIXTURE,6cab8537b6b4d8ec8677aa540d25e69c5bad3883e5f1e68d072ad5e4465792b1,30,20,0.16782153262705837,0.019834943501687755,0.26935940795775154,0.004769597675998806,0.268741326130072,0.45975616663609603,248830.36979166666,0.10030064772499779,0.11130781146271299,PAIRWISE_ARI_MEDOID,4,0.8153025082651851,e9fff53c2cd1ab2e42261bc71c186bdbf19be9347e299988ff668e279d0aacc0,0.15171735129486796,0.267430886702876,0.26678923353048717,0.46602100805035795,0.2798451493948876,0.267430886702876,0.6629254442800888,0.3339388316193066,0.16789742055382764,0.2694354291741437,0.15171735129486796,0.267430886702876,-7.588792676926914e-05,-7.602121639216364e-05,0.0,0.0,0.1,COMMON_HEAD_ROBUSTNESS
