dataset,has_gradient,l2_norm,loss,loss_non_none_numel,loss_rms_gradient,loss_sq_sum,numel,parameter,repeat,rms,seed
a1,True,0.14899490773677826,L_mod2_recon_raw,208320,0.0016311391589718333,0.5542593076196167,4096,cross_attention.w_omega,1,0.0023280455058823334,0
a1,True,0.08258507400751114,L_mod2_recon_raw,208320,0.0016311391589718333,0.5542593076196167,64,cross_attention.u_omega,1,0.010323134912203448,0
a1,True,0.9030892848968506,L_corr1_raw,200000,0.0020379043283405853,0.8306108102938584,192000,encoder1.weight,1,0.0020610099190342956,0
a1,False,0.0,L_corr1_raw,200000,0.0020379043283405853,0.8306108102938584,192000,decoder1.weight,1,0.0,0
a1,True,0.07267921417951584,L_corr1_raw,200000,0.0020379043283405853,0.8306108102938584,1920,encoder2.weight,1,0.0016586684922565845,0
a1,True,0.09824121743440628,L_corr1_raw,200000,0.0020379043283405853,0.8306108102938584,1920,decoder2.weight,1,0.0022420388541271362,0
a1,True,0.008489076048135757,L_corr1_raw,200000,0.0020379043283405853,0.8306108102938584,4096,attention1.w_omega,1,0.0001326418164361971,0
a1,True,0.005904105957597494,L_corr1_raw,200000,0.0020379043283405853,0.8306108102938584,64,attention1.u_omega,1,0.0007380132490298297,0
a1,False,0.0,L_corr1_raw,200000,0.0020379043283405853,0.8306108102938584,4096,attention2.w_omega,1,0.0,0
a1,False,0.0,L_corr1_raw,200000,0.0020379043283405853,0.8306108102938584,64,attention2.u_omega,1,0.0,0
a1,False,0.0,L_corr1_raw,200000,0.0020379043283405853,0.8306108102938584,4096,cross_attention.w_omega,1,0.0,0
a1,False,0.0,L_corr1_raw,200000,0.0020379043283405853,0.8306108102938584,64,cross_attention.u_omega,1,0.0,0
a1,True,0.19682902097702026,L_corr2_raw,390080,0.0005607258156776477,0.12264639481850108,192000,encoder1.weight,1,0.00044919870577745264,0
a1,True,0.20066608488559723,L_corr2_raw,390080,0.0005607258156776477,0.12264639481850108,192000,decoder1.weight,1,0.00045795558199500066,0
a1,True,0.18612541258335114,L_corr2_raw,390080,0.0005607258156776477,0.12264639481850108,1920,encoder2.weight,1,0.004247711925349121,0
a1,False,0.0,L_corr2_raw,390080,0.0005607258156776477,0.12264639481850108,1920,decoder2.weight,1,0.0,0
a1,False,0.0,L_corr2_raw,390080,0.0005607258156776477,0.12264639481850108,4096,attention1.w_omega,1,0.0,0
a1,False,0.0,L_corr2_raw,390080,0.0005607258156776477,0.12264639481850108,64,attention1.u_omega,1,0.0,0
a1,True,0.08044097572565079,L_corr2_raw,390080,0.0005607258156776477,0.12264639481850108,4096,attention2.w_omega,1,0.0012568902787586606,0
a1,True,0.0502437986433506,L_corr2_raw,390080,0.0005607258156776477,0.12264639481850108,64,attention2.u_omega,1,0.006280474575802138,0
a1,False,0.0,L_corr2_raw,390080,0.0005607258156776477,0.12264639481850108,4096,cross_attention.w_omega,1,0.0,0
a1,False,0.0,L_corr2_raw,390080,0.0005607258156776477,0.12264639481850108,64,cross_attention.u_omega,1,0.0,0
a1,True,0.012973448261618614,L_rna_recon_raw,398400,2.5950559324353774e-05,0.00026829512125192695,192000,encoder1.weight,2,2.9607709297415158e-05,0
a1,True,0.006603478454053402,L_rna_recon_raw,398400,2.5950559324353774e-05,0.00026829512125192695,192000,decoder1.weight,2,1.5070308518388649e-05,0
a1,True,0.004587200004607439,L_rna_recon_raw,398400,2.5950559324353774e-05,0.00026829512125192695,1920,encoder2.weight,2,0.0001046880353220937,0
