dataset,phase,method,candidate_id,config_sha256,seed,endpoint,k,total_observations,evaluated_observations,ordered_id_sha256,embedding_sha256,partition_sha256,processed_shapes,raw_shapes,status,discrepancy,gate,beta,parameter_count,label_in_loss,within_run_label_selection,dataset_name_routing,dense_n_by_n_count,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,wall_seconds,gpu_seconds,peak_gpu_mib,peak_rss_mib
P22,discovery,NIGHT13B_UNIFIED_RESIDUAL,B07_T66_S20_M50,7a18350bbd582649e0457b1ea05fc9931db31c96879dc2fc76afa9b05be368cf,0,COMMON_KMEANS,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,36f5693ebd2596cc6a46f27978ce707dc03e1496ac1cbacc5b396797ce8e65cd,44d0762d5e4e94d106aec7f44fbd27f4d43f5029b7445a30582719ef73cb2431,"[[9196, 30], [9196, 50]]","[[9196, 22914], [9196, 121068]]",PASS,0.7251256704330444,0.7862575650215149,0.3931287825107574,1,False,False,False,0,0.4182019045173101,0.556979947169964,0.5562051235404627,0.5067869240954512,0.5597296443932626,0.556979947169964,0.7692812760136255,0.2335136631206671,1.0913317166268826,0.0,24.3818359375,1929.08984375
A1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B08_T66_S30_M60,4f970ff58ceb83de44b61acf19268a6c89fc3de2c8b6906b8ebf92450b61ca66,0,COMMON_KMEANS,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,65354de63b248c9729306e1d1058ce3320e63f0f296c2ab3e1f2d84120256082,56e8fb2b5aa37b232d225fd2e1f8efbb3075343eacb5f2d6d8629fa9c3f4b5a6,"[[3484, 30], [3484, 30]]","[[3484, 18085], [3484, 31]]",PASS,0.6047326922416687,0.1600279659032821,0.0960167869925499,1,False,False,False,0,0.2169429744519102,0.3564668512025764,0.352470054211745,0.3709766424098832,0.3861466732513747,0.3564668512025764,0.5274177853540303,0.4727949666855152,0.7168520204722881,0.0,8.744140625,1929.08984375
tonsil_s1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B08_T66_S30_M60,4f970ff58ceb83de44b61acf19268a6c89fc3de2c8b6906b8ebf92450b61ca66,0,COMMON_KMEANS,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,604f3f9028cb4879d56342302fc10ef3ca4c8f394fecb48b64551f41e664b06e,d5c995f73c84c45ae0437b899fbe6c4047a629af7e7ab754cb88119f1c999589,"[[4326, 30], [4326, 30]]","[[4326, 18085], [4326, 31]]",PASS,0.4177672564983368,0.0006977281300351,0.0004186368896625,1,False,False,False,0,0.1417839133254965,0.2842034209675455,0.2835550625061156,0.4513270341892034,0.3094460037009155,0.2842034209675455,0.6881942054559338,0.310359649835894,0.5048000533133745,0.0,10.86083984375,1929.08984375
P22,discovery,NIGHT13B_UNIFIED_RESIDUAL,B08_T66_S30_M60,4f970ff58ceb83de44b61acf19268a6c89fc3de2c8b6906b8ebf92450b61ca66,0,COMMON_KMEANS,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,5c5f71927e009de245a42fa9dcfed929d12a6261cfa2b9529f0eadafedd50eaa,58a9b046a671dc331898cf5e8c6cacc00ac075b75b539f6e9f4797db5e92f431,"[[9196, 30], [9196, 50]]","[[9196, 22914], [9196, 121068]]",PASS,0.7251256704330444,0.8758571147918701,0.5255143046379089,1,False,False,False,0,0.4450271325862989,0.5850570224330683,0.5843321923188264,0.5294752323384704,0.5884697526317967,0.5850570224330685,0.8208800837639068,0.1821424274338,1.0835351571440697,0.0,24.3818359375,1929.08984375
A1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B09_T66_S30_M70,9c9b3e7d6bd7858f5557bd5f6d709000c49cd80b47837e18b9a5ba8e7217a656,0,COMMON_KMEANS,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,4d8c4432022ed94decb9f0032ba6d8ba8a3df935919c74dcffcea6351a7afeed,fbe4af2afbde4b0212e52e13d26266805f85bd12fccffe557fb80cfd2220c07b,"[[3484, 30], [3484, 30]]","[[3484, 18085], [3484, 31]]",PASS,0.6047326922416687,0.1600279659032821,0.1120195761322975,1,False,False,False,0,0.2177443393604682,0.3627786052171245,0.3588228812286879,0.3716756060784815,0.392925051157379,0.3627786052171246,0.5195828711191532,0.4818275771198171,0.690955987200141,0.0,8.744140625,1929.08984375
tonsil_s1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B09_T66_S30_M70,9c9b3e7d6bd7858f5557bd5f6d709000c49cd80b47837e18b9a5ba8e7217a656,0,COMMON_KMEANS,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,e93c200eb0295cec47296ca117c918f9b3700340a0e219cb372571229d031cf2,d5c995f73c84c45ae0437b899fbe6c4047a629af7e7ab754cb88119f1c999589,"[[4326, 30], [4326, 30]]","[[4326, 18085], [4326, 31]]",PASS,0.4177672564983368,0.0006977281300351,0.0004884096560999,1,False,False,False,0,0.1417839133254965,0.2842034209675455,0.2835550625061156,0.4513270341892034,0.3094460037009155,0.2842034209675455,0.6881942054559338,0.310359649835894,0.5011472459882498,0.0,10.86083984375,1929.08984375
P22,discovery,NIGHT13B_UNIFIED_RESIDUAL,B09_T66_S30_M70,9c9b3e7d6bd7858f5557bd5f6d709000c49cd80b47837e18b9a5ba8e7217a656,0,COMMON_KMEANS,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,b357d4e0a6f215b67eff142285ae4b9cd05c3c8ec389530d1fd0fa2ed2f54987,d68d72406c72b80967da4ad36fdbda39f8a6c536da97e8cf4852d8fd21a6a6e5,"[[9196, 30], [9196, 50]]","[[9196, 22914], [9196, 121068]]",PASS,0.7251256704330444,0.8758571147918701,0.613099992275238,1,False,False,False,0,0.4588279534146943,0.600273370670232,0.599575033863837,0.5413949271750695,0.6035801805084104,0.6002733706702318,0.8488696697698489,0.1542573834171868,1.0020052399486303,0.0,24.3818359375,1929.08984375
A1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B10_T66_S40_M70,b264b9142f182ab6d2cc7977a671d33f45e97fb0252f78f17dd138eb1e64140b,0,COMMON_KMEANS,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,4afa798da8f6afefec62823e5ccb0b5c2d7d4dd180fc7f088e36058adc6a3f67,5d87c16ac05a33daa28cda3b0914fb4af1401be84b1b2486ee6441b607e932fd,"[[3484, 30], [3484, 30]]","[[3484, 18085], [3484, 31]]",PASS,0.6047326922416687,0.0987943261861801,0.069156028330326,1,False,False,False,0,0.2692920074739092,0.3816576360584507,0.3776770242539349,0.4274242630260125,0.3950822887133214,0.3816576360584507,0.506203948094449,0.4906624138890239,0.7238279860466719,0.0,8.744140625,1929.08984375
tonsil_s1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B10_T66_S40_M70,b264b9142f182ab6d2cc7977a671d33f45e97fb0252f78f17dd138eb1e64140b,0,COMMON_KMEANS,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,b6608340208932bd6858da467b92d5c0ee7b7a1473958c981a149f0fea227f85,3ac179651383fd20f7b964edede3e5231ee6c6de6dbe8b8e2b52d05a49c532d3,"[[4326, 30], [4326, 30]]","[[4326, 18085], [4326, 31]]",PASS,0.4177672564983368,6.193823355715722e-05,4.335676203481853e-05,1,False,False,False,0,0.1418066616082619,0.2842230497175844,0.2835747377572314,0.4513103679211487,0.3094809839240393,0.2842230497175843,0.6878652668545209,0.310688861996281,0.4945406466722488,0.0,10.86083984375,1929.08984375
P22,discovery,NIGHT13B_UNIFIED_RESIDUAL,B10_T66_S40_M70,b264b9142f182ab6d2cc7977a671d33f45e97fb0252f78f17dd138eb1e64140b,0,COMMON_KMEANS,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,1251153302673a8a6de60b84c17db1a1f8ece078669d60346744de28e0224b90,93e61848899d784acc611f5a70af616c96863c6c2e971c0e7c8d9ea0c8d3f1c6,"[[9196, 30], [9196, 50]]","[[9196, 22914], [9196, 121068]]",PASS,0.7251256704330444,0.9311843514442444,0.6518290638923645,1,False,False,False,0,0.4618829990410196,0.6041556287522191,0.6034644586654463,0.5440290985155649,0.6076375572102435,0.6041556287522192,0.8587687083535638,0.144216740568502,1.0138680525124073,0.0,24.3818359375,1929.08984375
