stage,candidate_id,dataset,seed,status,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement,total_runtime_seconds
R1,N04_ANCHOR_K15_HIER,a1,2,success,0.2748365109855952,0.41536087014934886,0.345098690567472,0.7087258017913898,0.6384000133082555,0.37387189598915876,0.2912741982086102,6.358820587396622
R1,N05_ANCHOR_K10_HIER_DGI,a1,2,success,0.27536286341412974,0.4106697331416514,0.3430162982778906,0.7147934123085813,0.6420531113647274,0.3686311275392211,0.2852065876914187,6.377555748447776
R1,N06_ANCHOR_K10_HIER_REL,a1,2,success,0.2762737729102604,0.4140911660087421,0.34518246945950126,0.7095926032938457,0.6244755069936627,0.3846465205348076,0.29040739670615434,6.632504511624575
R1,N07_ANCHOR_K10_HIER_REL_DGI,a1,2,success,0.27687586209133963,0.41464298651699866,0.34575942430416917,0.7091880959260329,0.6242662182818033,0.38483764401383536,0.29081190407396706,6.870259087532759
R1,REFERENCE,p22,0,success,0.4640214159224604,0.6296920798268202,0.5468567478746402,0.8932930181418361,0.8698042808631683,0.13259835021806346,0.10670698185816385,
R1,N01_ANCHOR_K10,p22,0,success,0.47893169594131646,0.6398814674848652,0.5594065817130909,0.9188894997251237,0.9010506577894003,0.10343089504879437,0.08111050027487632,14.098703350871801
R1,N02_HIER_ONLY,p22,0,success,0.5027118730906596,0.6538177908110582,0.5782648319508589,0.908609125893348,0.8638286976700931,0.13879496393967392,0.09139087410665203,15.279400059953332
R1,N03_ANCHOR_K10_HIER,p22,0,success,0.48094673328108734,0.6415183780191237,0.5612325556501055,0.9185816382627817,0.9006452401710369,0.10386525663817216,0.08141836173721828,15.17192848585546
R1,N04_ANCHOR_K15_HIER,p22,0,success,0.4814369110826592,0.6415539016883496,0.5614954063855044,0.9194832325453546,0.9014445796942108,0.10305277819985521,0.08051676745464542,18.762031953781843
R1,N05_ANCHOR_K10_HIER_DGI,p22,0,success,0.48092092714061146,0.6416332256970352,0.5612770764188233,0.9187795492028588,0.9008370402519463,0.10367019144589712,0.08122045079714124,13.926832173019648
R1,N06_ANCHOR_K10_HIER_REL,p22,0,success,0.47696720255221225,0.6387174257636101,0.5578423141579112,0.9189994502473887,0.9012969659091665,0.10325378625687491,0.08100054975261128,15.074609844014049
R1,N07_ANCHOR_K10_HIER_REL_DGI,p22,0,success,0.47669944504519907,0.6386397465384952,0.5576695957918472,0.9190214403518416,0.901417265555789,0.10313978295603596,0.08097855964815837,15.35585762001574
R1,REFERENCE,p22,1,success,0.4602633548090242,0.6299215441424021,0.5450924494757131,0.8939197361187465,0.8702452761951331,0.13178021960804903,0.10608026388125347,
R1,N01_ANCHOR_K10,p22,1,success,0.4820781820040435,0.6375267317641579,0.5598024568841007,0.9210775151181968,0.9041637881107643,0.10039478164327675,0.0789224848818032,14.62023076042533
R1,N02_HIER_ONLY,p22,1,success,0.5187688800530765,0.6612943553652966,0.5900316177091866,0.9088620120945574,0.8642302601855563,0.13771293073987467,0.09113798790544259,23.764830825850368
R1,N03_ANCHOR_K10_HIER,p22,1,success,0.4839684410167351,0.6385480989283108,0.5612582699725229,0.9205497526113249,0.9030933386472625,0.10146405322772427,0.07945024738867512,14.696661077439785
R1,N04_ANCHOR_K15_HIER,p22,1,success,0.48303724522701835,0.637690665866186,0.5603639555466021,0.9216052776250687,0.9051276568039973,0.0995529569131287,0.07839472237493128,14.362065881490707
R1,N05_ANCHOR_K10_HIER_DGI,p22,1,success,0.4837344816497192,0.638744409559741,0.56123944560473,0.9206267179769104,0.9033947356869348,0.10114367102724008,0.07937328202308958,14.25656089745462
R1,N06_ANCHOR_K10_HIER_REL,p22,1,success,0.4819639932919499,0.6391541102203093,0.5605590517561296,0.9210775151181968,0.9042619870108773,0.10027132372918089,0.0789224848818032,14.412994775921106
