lane,representation_source,probe,folds,accuracy,balanced_accuracy,macro_f1,n_eval,label_flow
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,LINEAR_LOGISTIC,5,0.710390355912744,0.7036969650126038,0.6325829602228757,3484,after embedding lock; diagnostic only
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_GRAPH_ONLY,LINEAR_LOGISTIC,5,0.6122273249138921,0.7308519571104897,0.5776154650416425,3484,after embedding lock; diagnostic only
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_GRAPH_ONLY,KNN_15,5,0.6894374282433984,0.490158185895182,0.4986975213984531,3484,after embedding lock; diagnostic only
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_GRAPH_ONLY,NEAREST_CENTROID,5,0.48048220436280137,0.6214381158524179,0.4147533139032321,3484,after embedding lock; diagnostic only
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_AE_ONLY,LINEAR_LOGISTIC,5,0.6541974771639844,0.6617899401413304,0.6107408948285622,9196,after embedding lock; diagnostic only
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_AE_ONLY,KNN_15,5,0.6296215745976511,0.5542518355406197,0.5645774951958971,9196,after embedding lock; diagnostic only
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_AE_ONLY,NEAREST_CENTROID,5,0.539908655937364,0.5607318091834408,0.5152075072678444,9196,after embedding lock; diagnostic only
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,LINEAR_LOGISTIC,5,0.8560243584167029,0.8486144947857246,0.8109536359477629,9196,after embedding lock; diagnostic only
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,KNN_15,5,0.898651587646803,0.8403719090274724,0.8530392361926353,9196,after embedding lock; diagnostic only
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,NEAREST_CENTROID,5,0.784688995215311,0.7777359503087773,0.740682323853084,9196,after embedding lock; diagnostic only
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_GRAPH_ONLY,LINEAR_LOGISTIC,5,0.9273597216180949,0.930352964084209,0.9064957048661739,9196,after embedding lock; diagnostic only
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_GRAPH_ONLY,KNN_15,5,0.9659634623749457,0.9410522268248646,0.9448313827143267,9196,after embedding lock; diagnostic only
P22_K9,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_GRAPH_ONLY,NEAREST_CENTROID,5,0.8262287951283167,0.8181026602536231,0.7817004849397979,9196,after embedding lock; diagnostic only
P22_K9,NIGHT21B_SPARSE_PORT_STABLE700,LINEAR_LOGISTIC,5,0.7865376250543714,0.7705578180674266,0.7366016151374554,9196,after embedding lock; diagnostic only
P22_K9,NIGHT21B_SPARSE_PORT_STABLE700,KNN_15,5,0.7827316224445411,0.7068533456814472,0.7170890652750751,9196,after embedding lock; diagnostic only
P22_K9,NIGHT21B_SPARSE_PORT_STABLE700,NEAREST_CENTROID,5,0.7255328403653762,0.711768842133222,0.68562952507618,9196,after embedding lock; diagnostic only
P22_K9,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,LINEAR_LOGISTIC,5,0.845150065245759,0.8348982415207864,0.8008228647773059,9196,after embedding lock; diagnostic only
P22_K9,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,KNN_15,5,0.8659199652022619,0.8107255837301613,0.8244813733479484,9196,after embedding lock; diagnostic only
P22_K9,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,NEAREST_CENTROID,5,0.7840365376250543,0.7721168280864031,0.7430937048931844,9196,after embedding lock; diagnostic only
P22_K9,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL__S1,LINEAR_LOGISTIC,5,0.8410178338408003,0.8299457210093871,0.7962655832062308,9196,after embedding lock; diagnostic only
P22_K9,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL__S1,KNN_15,5,0.8570030448020879,0.7978648071131397,0.8097455236448912,9196,after embedding lock; diagnostic only
P22_K9,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL__S1,NEAREST_CENTROID,5,0.7832753371030883,0.7698124983924397,0.7404129516040929,9196,after embedding lock; diagnostic only
P22_K9,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL__S2,LINEAR_LOGISTIC,5,0.842431491953023,0.8283981698727607,0.7952345654754042,9196,after embedding lock; diagnostic only
P22_K9,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL__S2,KNN_15,5,0.8658112222705524,0.8050207536955082,0.8167536633492234,9196,after embedding lock; diagnostic only
P22_K9,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL__S2,NEAREST_CENTROID,5,0.7959982601130926,0.7833175526962624,0.7546865789985485,9196,after embedding lock; diagnostic only
P22_K9,RETAINED_CARRIER,LINEAR_LOGISTIC,5,0.8863636363636364,0.8754812575529862,0.849464085592047,9196,after embedding lock; diagnostic only
P22_K9,RETAINED_CARRIER,KNN_15,5,0.9294258373205742,0.8904078076086631,0.9006776400773835,9196,after embedding lock; diagnostic only
P22_K9,RETAINED_CARRIER,NEAREST_CENTROID,5,0.7396694214876033,0.7652484703636544,0.7084642854838008,9196,after embedding lock; diagnostic only
PLACENTA_K10,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_AE_ONLY,LINEAR_LOGISTIC,5,0.9235860409145608,0.8737664867610826,0.8463224245740566,1662,after embedding lock; diagnostic only
PLACENTA_K10,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_AE_ONLY,KNN_15,5,0.9217809867629362,0.792993442362195,0.8206149063147544,1662,after embedding lock; diagnostic only
PLACENTA_K10,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_AE_ONLY,NEAREST_CENTROID,5,0.8670276774969916,0.8541865306482682,0.78449821373144,1662,after embedding lock; diagnostic only
PLACENTA_K10,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,LINEAR_LOGISTIC,5,0.7833935018050542,0.7575004433017469,0.7030435346403413,1662,after embedding lock; diagnostic only
PLACENTA_K10,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,KNN_15,5,0.6492178098676293,0.474262501288533,0.4952223235966513,1662,after embedding lock; diagnostic only
PLACENTA_K10,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_FULL,NEAREST_CENTROID,5,0.6991576413959085,0.7169501115125192,0.6211785421906748,1662,after embedding lock; diagnostic only
PLACENTA_K10,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_GRAPH_ONLY,LINEAR_LOGISTIC,5,0.3862815884476534,0.4176657129543907,0.33698002364580815,1662,after embedding lock; diagnostic only
PLACENTA_K10,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_GRAPH_ONLY,KNN_15,5,0.381468110709988,0.27293388233420013,0.2825512260660933,1662,after embedding lock; diagnostic only
PLACENTA_K10,MOUSE_E15_NOTEBOOK_ANALOG_400__OFFICIAL_GRAPH_ONLY,NEAREST_CENTROID,5,0.3074608904933815,0.34682475417813363,0.2766424536740243,1662,after embedding lock; diagnostic only
PLACENTA_K10,NIGHT21B_SPARSE_PORT_STABLE700,LINEAR_LOGISTIC,5,0.8832731648616126,0.8645488311758427,0.8197689267952757,1662,after embedding lock; diagnostic only
PLACENTA_K10,NIGHT21B_SPARSE_PORT_STABLE700,KNN_15,5,0.9139590854392299,0.8057308834506361,0.8302982599913564,1662,after embedding lock; diagnostic only
PLACENTA_K10,NIGHT21B_SPARSE_PORT_STABLE700,NEAREST_CENTROID,5,0.822503008423586,0.8436612850149483,0.7645183055584301,1662,after embedding lock; diagnostic only
PLACENTA_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,LINEAR_LOGISTIC,5,0.8868832731648616,0.8370250860857554,0.8038150504502257,1662,after embedding lock; diagnostic only
PLACENTA_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,KNN_15,5,0.8483754512635379,0.6884858075144893,0.7108536624319706,1662,after embedding lock; diagnostic only
PLACENTA_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,NEAREST_CENTROID,5,0.7683513838748496,0.7903112066823209,0.7022656610221206,1662,after embedding lock; diagnostic only
PLACENTA_K10,RETAINED_CARRIER,LINEAR_LOGISTIC,5,0.8706377858002406,0.8423685420565876,0.7916040757284996,1662,after embedding lock; diagnostic only
PLACENTA_K10,RETAINED_CARRIER,KNN_15,5,0.8874849578820698,0.7583492514939556,0.7817923369389392,1662,after embedding lock; diagnostic only
PLACENTA_K10,RETAINED_CARRIER,NEAREST_CENTROID,5,0.8315282791817088,0.8598172418808356,0.7631486365094353,1662,after embedding lock; diagnostic only
TONSIL_S1_K4,NIGHT21B_SPARSE_PORT_STABLE700,LINEAR_LOGISTIC,5,0.7288488210818308,0.7893974259893685,0.7155869977535991,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,NIGHT21B_SPARSE_PORT_STABLE700,KNN_15,5,0.8259361997226075,0.7551429859273298,0.7836464635075303,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,NIGHT21B_SPARSE_PORT_STABLE700,NEAREST_CENTROID,5,0.7364771151178918,0.7713192401000282,0.7167954660314103,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,LINEAR_LOGISTIC,5,0.7489597780859917,0.7985926715592049,0.7322840450637019,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,KNN_15,5,0.8284789644012945,0.7401149191264829,0.7785222793428178,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,NEAREST_CENTROID,5,0.7276930189551549,0.7551695173629747,0.705946645177775,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,RETAINED_CARRIER,LINEAR_LOGISTIC,5,0.7431807674526121,0.8025008303964198,0.7331612580289402,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,RETAINED_CARRIER,KNN_15,5,0.8157651410078595,0.7706283136024334,0.7779695114519432,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,RETAINED_CARRIER,NEAREST_CENTROID,5,0.7764678687008784,0.7967025266424812,0.7470669911652814,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,S1_NOTEBOOK_EXACT_300__OFFICIAL_AE_ONLY,LINEAR_LOGISTIC,5,0.7140545538603791,0.7850973552139195,0.7129527954810022,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,S1_NOTEBOOK_EXACT_300__OFFICIAL_AE_ONLY,KNN_15,5,0.7743874248728617,0.6828967230535681,0.7191960901204367,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,S1_NOTEBOOK_EXACT_300__OFFICIAL_AE_ONLY,NEAREST_CENTROID,5,0.6199722607489597,0.7078526832907878,0.6389157066119542,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,S1_NOTEBOOK_EXACT_300__OFFICIAL_FULL,LINEAR_LOGISTIC,5,0.7369394359685622,0.7948445865801689,0.7254140112232061,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,S1_NOTEBOOK_EXACT_300__OFFICIAL_FULL,KNN_15,5,0.8143781784558484,0.7338751278233443,0.766959470234184,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,S1_NOTEBOOK_EXACT_300__OFFICIAL_FULL,NEAREST_CENTROID,5,0.6266759130836801,0.7136891168434418,0.6282236422245866,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,S1_NOTEBOOK_EXACT_300__OFFICIAL_GRAPH_ONLY,LINEAR_LOGISTIC,5,0.7156726768377254,0.7670733905150645,0.6748622030469726,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,S1_NOTEBOOK_EXACT_300__OFFICIAL_GRAPH_ONLY,KNN_15,5,0.8104484512251503,0.699746126622322,0.7308101664720272,4326,after embedding lock; diagnostic only
TONSIL_S1_K4,S1_NOTEBOOK_EXACT_300__OFFICIAL_GRAPH_ONLY,NEAREST_CENTROID,5,0.5709662505779011,0.6612213280492786,0.5409251920902192,4326,after embedding lock; diagnostic only
